# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_beta/phi.table.ACBA_SFS.txt
# sampleSize: 78
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 6006
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-56612.236666221055202	38894.608921257466136	76518.947866580288974
1	1	0	0.01	-55814.27190700173378	38302.678997087881726	75449.199529647550662
1	1	0	0.02	-50594.825698884436861	37716.871041988328216	74379.451192714783247
1	1	0	0.03	-47781.035714928235393	37137.474761615441821	73309.702855782146798
1	1	0	0.04	-46055.904716174234636	36564.79495045603835	72239.954518849393935
1	1	0	0.05	-44964.035664449504111	35999.152149679743161	71170.206181916713831
1	1	0	0.06	-44288.835570231487509	35440.883296700085339	70100.457844984004623
1	1	0	0.07	-43909.052607297606301	34890.342357627610909	69030.709508051295415
1	1	0	0.08	-43749.550754430994857	34347.900932112803275	67960.961171118557104
1	1	0	0.09	-43760.399675009597559	33813.948818196819047	66891.212834185891552
1	1	0	0.1	-43906.678506563941482	33288.894522718212102	66825.752848095042282
1	1	0	0.11	-44162.992675185902044	32773.165700574427319	66825.874416411999846
1	1	0	0.12	-44510.300098794046789	32267.209503729678545	66825.995984729001066
1	1	0	0.13	-44933.965340007096529	31771.492818334554613	66826.117553046002286
1	1	0	0.14	-45422.510071577620693	31286.502365732896578	66826.239121362988953
1	1	0	0.15	-45966.779510070744436	30812.744640556800732	66826.360689679975621
1	1	0.5	0	-71483.32518177118618	42504.473253628908424	83604.830194849797408
1	1	0.5	0.01	-68511.203189048101194	41874.036269885102229	82458.966233665123582
