# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_beta/phi.table.Aptenodytes_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 12
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-88.317131799461321862	79.014698944166667616	178.36049389279304478
1	1	0	0.01	-99.380219827229666407	82.964241695572169988	195.5104968398850076
1	1	0	0.02	-121.60198149733741957	88.112331000907772705	212.66049978697691358
1	1	0	0.03	-147.52863572890373689	94.262797922159890618	229.81050273406893325
1	1	0	0.04	-174.97545566379858428	101.23310719928812773	246.96050568116086765
1	1	0	0.05	-203.2155513024792981	108.86589749659610504	264.40198821288089448
1	1	0	0.06	-231.90932054834070186	117.03161968316236141	282.15264129805063931
1	1	0	0.07	-260.86996784830148499	125.62639490567883627	300.71866549318860962
1	1	0	0.08	-289.98468834461914412	134.56803822505159474	319.28468968832623887
1	1	0	0.09	-319.18135143246695407	143.79185460202026547	337.85071388346392496
1	1	0	0.1	-348.4122009070540571	153.24690114793946805	356.41673807860172474
1	1	0	0.11	-377.64502578005863143	162.89291788292177898	374.98276227373946767
1	1	0	0.12	-406.8580055608715611	172.69790793401782025	393.54878646887709692
1	1	0	0.13	-436.03652314234363985	182.63626922538929875	412.11481066401483986
1	1	0	0.14	-465.1711031997781447	192.68736593705219207	430.68083485915269648
1	1	0	0.15	-494.25602928803732539	202.83443955689142513	449.24685905429038257
1	1	0.5	0	-82.646133482934601489	99.012890937586988116	194.78510012168044341
1	1	0.5	0.01	-91.193545907266980066	95.594301074148390285	196.99656139305076863
1	1	0.5	0.02	-111.89713391603027048	93.627167259051574888	199.87140018444779344
1	1	0.5	0.03	-136.81615413696317773	93.203437303121745572	202.74623897584467613
1	1	0.5	0.04	-163.55657527276912333	94.343909322979158105	205.62107776724167252
1	1	0.5	0.05	-191.2858983471458032	96.993422213215765737	208.49591655863878259
1	1	0.5	0.06	-219.60516461624479234	101.03332570980131777	211.37075535003577897
1	1	0.5	0.07	-248.29150247006123209	106.30522132236738742	218.5452291307947803
