# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_beta/phi.table.Arabidopsis_SFS.txt
# sampleSize: 344
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 1023148
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-5700317.2682248130441	4614830.4516521869227	9124796.6035120245069
1	1	0	0.01	-5869400.2132481336594	4532822.8080901475623	8967050.9655885510147
1	1	0	0.02	-5139602.3505733087659	4452126.7913313992321	8809305.3276650719345
1	1	0	0.03	-4794216.6194140017033	4372815.0163415530697	8651559.6897415779531
1	1	0	0.04	-4612804.363206923008	4294964.1689653526992	8507013.4146755728871
1	1	0	0.05	-4523252.660911642015	4218655.1296299407259	8507013.4146755672991
1	1	0	0.06	-4492519.0823862627149	4143973.0739125907421	8507013.4146755728871
1	1	0	0.07	-4502606.7485209479928	4071007.5431488445029	8507013.4146755803376
1	1	0	0.08	-4542602.8921283334494	3999852.4772721007466	8507013.414675578475
1	1	0	0.09	-4605385.7072773724794	3930606.2010849481449	8507013.4146755728871
1	1	0	0.1	-4686052.047325797379	3863371.3542161402293	8507013.4146755747497
1	1	0	0.11	-4781086.4044937416911	3798254.7541800015606	8507013.414675578475
1	1	0	0.12	-4887886.8841604888439	3735367.1813125470653	8507013.4146755747497
1	1	0	0.13	-5004478.241935364902	3674823.0740139619447	8507013.4146755691618
1	1	0	0.14	-5129329.6624538227916	3616740.1228021248244	8507013.4146755728871
1	1	0	0.15	-5261234.4176254868507	3561238.7523122858256	8507013.4146755766124
1	1	0.5	0	-7148500.4792884960771	4937908.6504891496152	9763004.3549192398787
1	1	0.5	0.01	-7059906.80848698318	4852658.2818206679076	9598702.834219340235
1	1	0.5	0.02	-6274398.5214179679751	4768737.361553224735	9434401.3135194387287
1	1	0.5	0.03	-5896010.0942578315735	4686217.3136367090046	9270099.7928195279092
1	1	0.5	0.04	-5691380.6146693006158	4605173.4453315827996	9127840.6398480422795
1	1	0.5	0.05	-5584166.5524154156446	4525685.0615514144301	9127840.6398480515927
1	1	0.5	0.06	-5539370.0758548900485	4447835.5584391802549	9127840.6398480404168
1	1	0.5	0.07	-5537921.6717310473323	4371712.4902360821143	9127840.6398480422795
1	1	0.5	0.08	-5568254.8342141211033	4297407.6026670103893	9127840.639848055318
1	1	0.5	0.09	-5622819.5111956372857	4225016.8252254510298	9127840.6398480515927
1	1	0.5	0.1	-5696416.8058594092727	4154640.2139318687841	9127840.6398480497301
1	1	0.5	0.11	-5785318.5310472846031	4086381.8354144846089	9127840.6398480441421
1	1	0.5	0.12	-5886764.8771032691002	4020349.5825854358263	9127840.6398480534554
1	1	0.5	0.13	-5998660.2662800997496	3956654.9118400760926	9127840.6398480478674
1	1	0.5	0.14	-6119380.2024424374104	3895412.4916862566024	9127840.6398480515927
1	1	0.5	0.15	-6247643.7056564539671	3836739.7531219553202	9127840.6398480534554
1	1	1	0	-7972144.8738426044583	5107578.6148969838396	10096397.526573210955
1	1	1	0.01	-7744390.1461444720626	5020699.3058929909021	9928708.4178192317486
1	1	1	0.02	-6933462.0637095496058	4935159.8088840190321	9761019.3090652599931
1	1	1	0.03	-6540220.3022549003363	4851031.0001526940614	9593330.200311280787
1	1	1	0.04	-6325259.5632411167026	4768387.5467341467738	9455868.1777483467013
1	1	1	0.05	-6210252.691439114511	4687308.0156358946115	9455868.1777483280748
1	1	1	0.06	-6159290.7620050609112	4607874.9632806107402	9455868.1777483243495
1	1	1	0.07	-6152808.4871290847659	4530174.9996220413595	9455868.177748337388
1	1	1	0.08	-6178939.5792983695865	4454298.8206182718277	9455868.1777483336627
1	1	1	0.09	-6229939.0315801203251	4380341.2019739458337	9455868.1777483262122
1	1	1	0.1	-6300474.1920829713345	4308400.9463196797296	9455868.1777483299375
1	1	1	0.11	-6386721.2545872926712	4238580.7753273406997	9455868.1777483206242
1	1	1	0.12	-6485849.7878821268678	4170987.1577228861861	9455868.1777483318001
1	1	1	0.13	-6595710.6558722183108	4105730.0638245157897	9455868.177748337388
1	1	1	0.14	-6714637.8453294485807	4042922.6371876285411	9455868.1777483299375
1	1	1	0.15	-6841317.5964878052473	3982680.7742730723694	9455868.1777483243495
1	1	1.5	0	-8564305.2747588306665	5223895.4738791193813	10324258.034353211522
1	1	1.5	0.01	-8240222.1383414715528	5135917.9058474320918	10154262.516703454778
1	1	1.5	0.02	-7413228.2365468218923	5049287.5242976062	9984266.9990537203848
1	1	1.5	0.03	-7010675.1853452920914	4964074.8608662430197	9814271.481403933838
1	1	1.5	0.04	-6789276.197809971869	4880354.1776570444927	9680948.3037310093641
1	1	1.5	0.05	-6669433.3439736738801	4798203.5730363205075	9680948.3037310056388
1	1	1.5	0.06	-6614656.9573421701789	4717705.0682568121701	9680948.3037310019135
1	1	1.5	0.07	-6605067.2562984451652	4638944.669603979215	9680948.3037310093641
1	1	1.5	0.08	-6628608.5911588743329	4562012.4000348672271	9680948.3037310019135
1	1	1.5	0.09	-6677413.2611945420504	4487002.2935508070514	9680948.3037310075015
1	1	1.5	0.1	-6746064.7065616250038	4414012.3448425158858	9680948.3037310037762
1	1	1.5	0.11	-6830679.3058780953288	4343144.4061126504093	9680948.3037310037762
1	1	1.5	0.12	-6928382.5602377951145	4274504.0224693585187	9680948.3037309963256
1	1	1.5	0.13	-7036991.9872605204582	4208200.1969606177881	9680948.3037310019135
1	1	1.5	0.14	-7154815.7755386829376	4144345.0762606202625	9680948.3037310037762
1	1	1.5	0.15	-7280519.8322476670146	4083053.5483122807927	9680948.3037310019135
1	1	2	0	-9029262.9572786390781	5312050.405290084891	10496571.106464695185
1	1	2	0.01	-8631894.2914187684655	5223248.2130749402568	10324835.071787491441
1	1	2	0.02	-7793431.0172052234411	5135798.915716974996	10153099.037110293284
1	1	2	0.03	-7384268.4763183295727	5049772.7998604075983	9981363.0024331063032
1	1	2	0.04	-7158317.0903585031629	4965243.8387234918773	9851522.7452094834298
1	1	2	0.05	-7035063.9652323201299	4882289.7953720707446	9851522.7452094946057
1	1	2	0.06	-6977602.8582769855857	4800992.3072473471984	9851522.7452095039189
1	1	2	0.07	-6965829.1341877952218	4721436.9468143247068	9851522.745209498331
1	1	2	0.08	-6987552.1309097036719	4643713.2525038281456	9851522.745209492743
1	1	2	0.09	-7034816.8761394843459	4567914.7234221883118	9851522.7452094815671
1	1	2	0.1	-7102147.2486534714699	4494138.7706295792013	9851522.7452094815671
1	1	2	0.11	-7185617.2434099689126	4422486.6171799553558	9851522.7452094852924
