# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_beta/phi.table.Armadillidium_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 745
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-4945.8193796338600805	7478.5428029688837341	14371.399788641594569
1	1	0	0.01	-4743.5912847114668693	7331.6199956492300771	14091.173487033163838
1	1	0	0.02	-4481.4996457637607818	7187.2774586815803559	13810.947185424738564
1	1	0	0.03	-4468.551005259345402	7045.6737774498133149	13530.720883816309652
1	1	0	0.04	-4567.5808061290517799	6906.9774062985206911	13250.494582207877102
1	1	0	0.05	-4732.1803489755984629	6771.3669968991825954	12970.268280599451828
1	1	0	0.06	-4940.1452750364260282	6639.0316556690268044	12726.169416440294299
1	1	0	0.07	-5178.8705412948474986	6510.1711072719272124	12726.169416440294299
1	1	0	0.08	-5440.4290418512682663	6384.9957376370912243	12726.169416440297937
1	1	0	0.09	-5719.4851620449117036	6263.7264863683358271	12726.169416440294299
1	1	0	0.1	-6012.2705302106696763	6146.5945551275326579	12726.169416440296118
1	1	0	0.11	-6316.0270318341790698	6033.8408958902327868	12726.169416440297937
1	1	0	0.12	-6628.6801394891081145	5925.7154413129119348	12726.169416440297937
1	1	0	0.13	-6948.6358535589533858	5822.4760393336036941	12726.169416440297937
1	1	0	0.14	-7274.6485236673470354	5724.3870561411522431	12726.169416440297937
1	1	0	0.15	-7605.7315245786812739	5631.7176164223310479	12726.169416440297937
1	1	0.5	0	-7254.5804361707632779	8817.109479520802779	16974.903606615142053
1	1	0.5	0.01	-6865.8833455903150025	8653.455577968421494	16665.188516506597807
1	1	0.5	0.02	-6483.5145431599084986	8492.394822787724479	16355.473426398053562
1	1	0.5	0.03	-6384.4433645789104048	8334.0775573888495273	16045.758336289507497
1	1	0.5	0.04	-6417.659927806329506	8178.6631034206893673	15736.043246180963251
1	1	0.5	0.05	-6529.7191127351397881	8026.3200849554477827	15426.328156072417187
1	1	0.5	0.06	-6694.4266894866304938	7877.2267057185363228	15116.613065963876579
1	1	0.5	0.07	-6896.7274390341553953	7731.570963305780424	14984.298202375799519
1	1	0.5	0.08	-7127.0950861427045311	7589.5507817131501724	14984.298202375806795
1	1	0.5	0.09	-7379.0988260856756824	7451.3740408057665263	14984.298202375804976
1	1	0.5	0.1	-7648.1904672279051738	7317.2584786931774943	14984.298202375804976
1	1	0.5	0.11	-7931.0385264309879858	7187.4314405246404931	14984.298202375801338
1	1	0.5	0.12	-8225.1354445102842874	7062.1294451956055127	14984.298202375801338
1	1	0.5	0.13	-8528.5526820631639566	6941.5975401471705482	14984.298202375804976
1	1	0.5	0.14	-8839.7810972078586929	6826.0884141854976406	14984.298202375806795
1	1	0.5	0.15	-9157.623061969934497	6715.8612394390274858	14984.298202375806795
1	1	1	0	-8630.6072054955729982	9484.1063579847286746	18266.960162586379738
1	1	1	0.01	-8123.9524752650759183	9312.8678138133127504	17943.004612041426299
1	1	1	0.02	-7674.8258695943441126	9144.2479165983677376	17619.049061496476497
1	1	1	0.03	-7531.1405369738713489	8978.3942070688281092	17295.09351095151942
1	1	1	0.04	-7531.602163823445153	8815.4628153886824293	16971.137960406562343
1	1	1	0.05	-7618.1502680492267245	8655.6187702632814762	16647.182409861601627
1	1	1	0.06	-7762.1854266403170186	8499.0362675674896309	16323.226859316655464
1	1	1	0.07	-7947.2615528726382763	8345.8988846846732486	16144.365270677230001
1	1	1	0.08	-8162.9837560957894311	8196.3997245128430222	16144.365270677228182
1	1	1	0.09	-8402.345702401791641	8050.7414707756888674	16144.365270677230001
1	1	1	0.1	-8660.3995836781978142	7909.1363339621821069	16144.365270677226363
1	1	1	0.11	-8933.525742101148353	7771.8058650350976677	16144.365270677226363
1	1	1	0.12	-9219.0022446675866377	7638.9806121659385099	16144.365270677226363
1	1	1	0.13	-9514.7368978439189959	7510.8995943868294489	16144.365270677224544
1	1	1	0.14	-9819.0928758639201988	7387.8095654621001813	16144.365270677230001
1	1	1	0.15	-10130.771074234406115	7269.9640417794607856	16144.365270677226363
1	1	1.5	0	-9642.1463539796532132	9928.9244912419108005	19126.723997254026472
1	1	1.5	0.01	-9045.9233182858733926	9752.8288946113607381	18793.406791932586202
1	1	1.5	0.02	-8550.3122915012572776	9579.3735526387026766	18460.089586611127743
1	1	1.5	0.03	-8376.7630273926479276	9408.7044906866049132	18126.772381289683835
1	1	1.5	0.04	-8355.7458053183290758	9240.9760871773469262	17793.455175968243566
1	1	1.5	0.05	-8425.7593548647200805	9076.3513711813520786	17460.137970646792382
1	1	1.5	0.06	-8556.4898796834822861	8915.0022827340017102	17126.820765325348475
1	1	1.5	0.07	-8730.5292143348779064	8757.109883277938934	16927.72746236337116
1	1	1.5	0.08	-8936.8940112966665765	8602.8645016122809466	16927.727462363374798
1	1	1.5	0.09	-9168.1937616028444609	8452.4657986319034535	16927.727462363363884
1	1	1.5	0.1	-9419.2167497149202973	8306.1227320349771617	16927.72746236337116
1	1	1.5	0.11	-9686.1545008928806055	8164.0534001719488515	16927.72746236337116
1	1	1.5	0.12	-9966.1454443921538768	8026.4847424470299302	16927.727462363374798
1	1	1.5	0.13	-10256.99125959178491	7893.6520723462062961	16927.727462363363884
1	1	1.5	0.14	-10556.972601662288071	7765.798418477073028	16927.727462363367522
1	1	1.5	0.15	-10864.724957770813489	7643.1736492265590641	16927.72746236337116
1	1	2	0	-10447.741235791458166	10259.812467223109707	19765.227167619104875
1	1	2	0.01	-9778.7107626747019822	10080.191955040894754	19425.009745625655341
1	1	2	0.02	-9247.7482889086386422	9903.2296588005101512	19084.792323632209445
1	1	2	0.03	-9052.1028400443465216	9729.0706306415195286	18744.574901638767187
1	1	2	0.04	-9015.4051972267479869	9557.8681113346101483	18404.357479645310377
1	1	2	0.05	-9073.4348221195250517	9389.7838190191050671	18064.140057651860843
1	1	2	0.06	-9194.562712966275285	9224.9882026347077044	17723.922635658414947
1	1	2	0.07	-9360.6566118114860728	9063.6606482246606902	17514.712135893387313
1	1	2	0.08	-9560.2959179482422769	8905.989624415329672	17514.712135893390951
1	1	2	0.09	-9785.8071670760837151	8752.1727514258454903	17514.712135893390951
1	1	2	0.1	-10031.785468441579724	8602.4167759995871165	17514.712135893390951
1	1	2	0.11	-10294.284746998193441	8456.9374327700588765	17514.712135893390951
1	1	2	0.12	-10570.341997616415028	8315.959170905438441	17514.712135893383675
1	1	2	0.13	-10857.681990788027178	8179.714723579020756	17514.712135893387313
1	1	2	0.14	-11154.525688078967505	8048.4444970873100829	17514.712135893387313
1	1	2	0.15	-11459.461325629628845	7922.3957565148775757	17514.712135893387313
1	1	2.5	0	-11118.85379359536455	10521.3179206089535	20269.173921553505352
1	1	2.5	0.01	-10388.317027455981588	10338.958876655384302	19923.53923775102885
1	1	2.5	0.02	-9829.071592209424125	10159.273209637405671	19577.904553948570538
1	1	2.5	0.03	-9616.1117315328010591	9982.405284859089079	19232.26987014610495
1	1	2.5	0.04	-9567.2451594153098995	9808.5075328793082008	18886.635186343639361
1	1	2.5	0.05	-9616.0211776787618874	9637.7407312169834768	18541.000502541177411
1	1	2.5	0.06	-9729.7552345340227475	9470.2742521010841301	18195.365818738711823
1	1	2.5	0.07	-9889.7417509399965638	9306.2862649984999734	17980.879462860506464
1	1	2.5	0.08	-10084.216967345331796	9145.9638808838481054	17980.879462860506464
1	1	2.5	0.09	-10305.286669798966614	8989.5032233714246104	17980.879462860506464
1	1	2.5	0.1	-10547.395873588713584	8837.1094099722286046	17980.879462860506464
1	1	2.5	0.11	-10806.491894939710619	8688.9964249546883366	17980.879462860506464
1	1	2.5	0.12	-11079.533300005845376	8545.3868636927236366	17980.879462860506464
1	1	2.5	0.13	-11364.185481639768113	8406.5115271264658077	17980.879462860502827
1	1	2.5	0.14	-11658.623365700375871	8272.608844221351319	17980.879462860506464
1	1	2.5	0.15	-11961.398779002585798	8143.9241003038332565	17980.879462860502827
1	1	3	0	-11694.585951868022676	10736.230387728235655	20682.866706288357818
1	1	3	0.01	-10910.754581831832184	10551.649266023356176	20332.802743796117284
1	1	3	0.02	-10328.105596218592837	10369.754543239918348	19982.738781303869473
1	1	3	0.03	-10101.053387000982184	10190.690069862794189	19632.6748188116253
1	1	3	0.04	-10042.355417621220113	10014.607664408873461	19282.61085631937749
1	1	3	0.05	-10083.683314460649854	9841.6673893784536631	18932.546893827133317
1	1	3	0.06	-10191.47852033059462	9672.0377942476679891	18582.482931334896421
1	1	3	0.07	-10346.565566628996748	9505.8961146562469366	18365.337163352378411
1	1	3	0.08	-10536.901276891090674	9343.4284152552827436	18365.337163352374773
1	1	3	0.09	-10754.41246474829677	9184.8296619177690445	18365.337163352382049
1	1	3	0.1	-10993.422809968091315	9030.3037072387942317	18365.337163352378411
1	1	3	0.11	-11249.793618751806207	8880.0631715421059198	18365.337163352378411
1	1	3	0.12	-11520.42027138825506	8734.3292000741421361	18365.337163352382049
1	1	3	0.13	-11802.920371897489531	8593.3310758423976949	18365.337163352382049
1	1	3	0.14	-12095.43182319184416	8457.3056668120480026	18365.337163352378411
1	1	3	0.15	-12396.477187734592007	8326.4966861114644416	18365.337163352378411
1	1	3.5	0	-12198.88832644453214	10917.781383444455059	21032.00151173885024
1	1	3.5	0.01	-11368.029141280305339	10731.341750430416141	20678.211293673379259
1	1	3.5	0.02	-10765.537779967024107	10547.599873555738668	20324.421075607908278
1	1	3.5	0.03	-10526.699104746236117	10366.699200854258379	19970.630857542437298
1	1	3.5	0.04	-10459.826839189729071	10188.79106909201073	19616.840639476973593
1	1	3.5	0.05	-10494.980134587342036	10014.034974898131622	19263.050421411491698
1	1	3.5	0.06	-10597.859853643676615	9842.5988137084259506	18909.260203346024355
