# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_beta/phi.table.Artemia_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 247
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-1119.402464853177662	1789.518942527344052	3342.7632719892249042
1	1	0	0.01	-1138.7486473328171996	1756.5714351023120798	3274.3453208293840362
1	1	0	0.02	-1056.5296068228963122	1724.408019011801116	3205.9273696695445324
1	1	0	0.03	-1051.7961593038726278	1693.0733811352076827	3137.5094185097036643
1	1	0	0.04	-1080.5063607341708121	1662.6143811018228007	3070.6276739771387838
1	1	0	0.05	-1128.1950238280733174	1633.0800148939981682	3071.2720553493572879
1	1	0	0.06	-1188.12717771817006	1604.5213424281268999	3071.9164367215767015
1	1	0	0.07	-1256.5689313803377445	1576.9913728458152491	3072.5608180937979341
1	1	0	0.08	-1331.2192756897347863	1550.5449010636527873	3073.205199466016893
1	1	0	0.09	-1410.5562295450690726	1525.2382892061320945	3073.8495808382376708
1	1	0	0.1	-1493.5210445879838517	1501.1291869682629567	3074.4939622104584487
1	1	0	0.11	-1579.3490974463275052	1478.2761858114126881	3075.1383435826778623
1	1	0	0.12	-1667.4721138472195889	1456.7384032721427047	3075.7827249548981854
1	1	0	0.13	-1757.4581825414988998	1436.5749956268200549	3076.4271063271171442
1	1	0	0.14	-1848.9731740751994948	1417.8445997407891355	3085.8565177344626136
1	1	0	0.15	-1941.7549528897343407	1400.6047081277536108	3095.4188768091971724
1	1	0.5	0	-1562.3977128407404962	2112.4495872252373374	3979.158853098822874
1	1	0.5	0.01	-1546.6016826629038405	2074.9129948331137712	3902.8289496582738138
1	1	0.5	0.02	-1442.2871694596396992	2038.1395567987981394	3826.4990462177256632
1	1	0.5	0.03	-1422.1518788665653119	2002.1713236259561199	3750.1691427771770577
1	1	0.5	0.04	-1439.4148257800770807	1967.052466156827677	3673.8392393366279975
1	1	0.5	0.05	-1478.2232289970706915	1932.8292835578208724	3619.3273621427824764
1	1	0.5	0.06	-1531.0584047079064476	1899.5501871351164027	3619.3273621427824764
1	1	0.5	0.07	-1593.7074037567235791	1867.2656551259394746	3619.3273621427824764
1	1	0.5	0.08	-1663.5581734135630541	1836.0281532379037799	3619.3273621427833859
1	1	0.5	0.09	-1738.8769291396183689	1805.8920154463571635	3619.3273621427824764
1	1	0.5	0.1	-1818.4550337793862127	1776.9132794610593464	3619.3273621427824764
1	1	0.5	0.11	-1901.4183719813045172	1749.1494713999259147	3619.3273621427820217
1	1	0.5	0.12	-1987.1165390698952251	1722.6593346258744077	3619.3273621427833859
1	1	0.5	0.13	-2075.05462362713115	1697.5024984812582716	3619.3273621427824764
1	1	0.5	0.14	-2164.8492415569344303	1673.7390838562630506	3619.3273621427820217
1	1	0.5	0.15	-2256.1991168150725571	1651.429244202524842	3619.3273621427833859
1	1	1	0	-1840.6533831597207609	2275.2985032484621115	4297.5887756526408339
1	1	1	0.01	-1802.3925821158791223	2235.7175873387923275	4217.7492822541762507
1	1	1	0.02	-1685.7137820731659303	2196.896318751574654	4137.9097888557098486
1	1	1	0.03	-1657.551204744806455	2158.8756781967294955	4058.0702954572461749
1	1	1	0.04	-1669.0898155238264735	2121.6987076471268665	3978.2308020587797728
1	1	1	0.05	-1703.5677624458385253	2085.4105283398084794	3905.2282114587628712
1	1	1	0.06	-1752.9950827211196156	2050.058338425149941	3905.2282114587605975
1	1	1	0.07	-1812.8879632369553292	2015.69138603591432	3905.2282114587615069
1	1	1	0.08	-1880.4663491364008223	1982.3609131763114419	3905.2282114587615069
1	1	1	0.09	-1953.8859614790035266	1950.1200655333980194	3905.2282114587619617
1	1	1	0.1	-2031.862036972437636	1919.0237631305360537	3905.2282114587610522
1	1	1	0.11	-2113.4660038779275055	1889.1285267234513867	3905.2282114587619617
1	1	1	0.12	-2198.0072793482031557	1860.4922550384035276	3905.2282114587615069
1	1	1	0.13	-2284.9605349734683841	1833.1739484272586651	3905.2282114587633259
1	1	1	0.14	-2373.9188551234219631	1807.2333753236789562	3905.2282114587610522
1	1	1	0.15	-2464.5624218451357592	1782.7306790797601934	3905.2282114587624164
1	1	1.5	0	-2049.923352171525039	2384.3991367241892476	4509.4792923816048642
1	1	1.5	0.01	-1994.5262258337716048	2343.5194020532298964	4427.3326004385562555
1	1	1.5	0.02	-1869.2147117396598333	2303.3988091168735082	4345.1859084955103754
1	1	1.5	0.03	-1835.673159529475015	2264.0777153919357261	4263.0392165524644952
1	1	1.5	0.04	-1843.4581428896544821	2225.5984970968893322	4180.892524609416796
1	1	1.5	0.05	-1875.1307150223638018	2188.0055714457694194	4098.7458326663709158
1	1	1.5	0.06	-1922.3656072465510078	2151.3454005639728166	4098.2893904585444034
1	1	1.5	0.07	-1980.4921826602021611	2115.666473201770259	4098.2893904585444034
1	1	1.5	0.08	-2046.6170197875126178	2081.0192600224813759	4098.2893904585462224
1	1	1.5	0.09	-2118.8224521324991656	2047.4561379407473396	4098.2893904585453129
1	1	1.5	0.1	-2195.7737438189506065	2015.0312787771306375	4098.2893904585453129
1	1	1.5	0.11	-2276.5068875014494552	1983.8004974193818271	4098.2893904585453129
1	1	1.5	0.12	-2360.3053287967140932	1953.8210547859309827	4098.2893904585453129
1	1	1.5	0.13	-2446.6241770327887934	1925.1514112247023149	4098.2893904585462224
1	1	1.5	0.14	-2535.0414416602288838	1897.8509266031271636	4098.2893904585462224
1	1	1.5	0.15	-2625.2254621968986612	1871.9795043024548704	4098.2893904585453129
1	1	2	0	-2218.9776492784421862	2465.7685138689407722	4666.8396758339258668
1	1	2	0.01	-2149.6111025050522585	2423.9507775556735396	4582.992411690445806
1	1	2	0.02	-2017.7255426846859336	2382.8925931552762449	4499.1451475469675643
1	1	2	0.03	-1980.2039042006417731	2342.6338978790554393	4415.2978834034893225
1	1	2	0.04	-1985.2506707064785587	2303.2166157237520565	4331.4506192600110808
1	1	2	0.05	-2014.8921874910283805	2264.6846819979477914	4247.603355116532839
1	1	2	0.06	-2060.5463281109787204	2227.0840507898506075	4242.9529373200357441
1	1	2	0.07	-2117.4021645989905664	2190.462681755873291	4242.9529373200348346
1	1	2	0.08	-2182.482298082082707	2154.8705022631752399	4242.9529373200348346
1	1	2	0.09	-2253.8152186404495296	2120.3593406210616195	4242.9529373200366535
1	1	2	0.1	-2330.029777935365928	2086.9828259164551127	4242.9529373200348346
1	1	2	0.11	-2410.1362778755210456	2054.7962498646179483	4242.9529373200348346
1	1	2	0.12	-2493.3994044437786215	2023.8563861404250019	4242.9529373200357441
1	1	2	0.13	-2579.2601758574019186	1994.2212629147443295	4242.9529373200357441
1	1	2	0.14	-2667.2857653255468904	1965.9498848336365882	4242.9529373200357441
1	1	2	0.15	-2757.1360130120701797	1939.1019014919552319	4242.9529373200357441
1	1	2.5	0	-2361.2478823801775434	2530.1878126525716652	4791.0383613209924079
1	1	2.5	0.01	-2280.0561639493407711	2487.6438198700052453	4705.8560021692292139
1	1	2.5	0.02	-2142.9068493847826176	2445.8601180209457198	4620.67364301746602
1	1	2.5	0.03	-2102.2672443264582398	2404.8763366251514526	4535.4912838657037355
1	1	2.5	0.04	-2105.1908896720815392	2364.7340668963079224	4450.3089247139405416
1	1	2.5	0.05	-2133.2658771316309867	2325.4768876440102758	4365.1265655621782571
1	1	2.5	0.06	-2177.70418464173963	2287.1503750167298676	4357.8408074656863391
1	1	2.5	0.07	-2233.5840126805942418	2249.8020926423791934	4357.8408074656854296
1	1	2.5	0.08	-2297.8622224876089604	2213.4815583878407779	4357.8408074656854296
1	1	2.5	0.09	-2368.525428816124986	2178.2401836653075407	4357.8408074656854296
1	1	2.5	0.1	-2444.1742944852267101	2144.1311809895528313	4357.8408074656854296
1	1	2.5	0.11	-2523.7992981137067545	2111.2094353699749263	4357.8408074656854296
1	1	2.5	0.12	-2606.650684947393529	2079.5313351437953315	4357.8408074656863391
1	1	2.5	0.13	-2692.1586450749564392	2049.1545580655538288	4357.8408074656854296
1	1	2.5	0.14	-2779.8820354466333811	2020.1378089088152592	4357.8408074656854296
1	1	2.5	0.15	-2869.474179641028968	1992.5405055534386065	4357.8408074656854296
1	1	3	0	-2484.2518326751942368	2583.1960380027912834	4892.9937755754181126
1	1	3	0.01	-2392.7976187961685355	2540.0642612390802242	4806.7198118312426232
1	1	3	0.02	-2251.2903968509926926	2497.6936300828501771	4720.4458480870680432
1	1	3	0.03	-2208.1139551426804246	2456.1235364595468127	4634.1718843428898253
1	1	3	0.04	-2209.3237989301815105	2415.3953136094223737	4547.8979205987143359
1	1	3	0.05	-2236.1392344667037833	2375.5522628904345765	4461.623956854539756
1	1	3	0.06	-2279.6019338741771207	2336.6396650966676134	4452.5911767332463569
1	1	3	0.07	-2334.6993722186343803	2298.7047729849873576	4452.5911767332454474
1	1	3	0.08	-2398.3349953544930031	2261.7967813768245833	4452.5911767332463569
1	1	3	0.09	-2468.4615558627574501	2225.96677091345191	4452.5911767332454474
1	1	3	0.1	-2543.6569973251080228	2191.2676213180470768	4452.5911767332445379
1	1	3	0.11	-2622.8958587031174829	2157.7538898874781808	4452.5911767332454474
1	1	3	0.12	-2705.4167929368995829	2125.4816509379543277	4452.5911767332454474
1	1	3	0.13	-2790.6413082659619249	2094.5082921022344635	4452.5911767332454474
1	1	3	0.14	-2878.1215996085793449	2064.892263765304051	4452.5911767332445379
1	1	3	0.15	-2967.5057735546070035	2036.6927785732154916	4452.5911767332445379
1	1	3.5	0	-2592.6703763936875475	2628.0187045670513726	4979.0387467081836803
1	1	3.5	0.01	-2492.1489110894162877	2584.3963063283094925	4891.8464398248333964
1	1	3.5	0.02	-2346.9455467903553654	2541.5359357159541105	4804.654132941485841
1	1	3.5	0.03	-2301.6481620504018792	2499.4767941852851436	4717.4618260581373761
1	1	3.5	0.04	-2301.4342072164909041	2458.2600075193345219	4630.2695191747889112
1	1	3.5	0.05	-2327.2064398727088701	2417.9286532547230308	4543.0772122914404463
1	1	3.5	0.06	-2369.8623556070106133	2378.5277731518003748	4532.8468050815381503
1	1	3.5	0.07	-2424.3132746966712148	2340.1043675105065631	4532.8468050815381503
1	1	3.5	0.08	-2487.4180527452026581	2302.7073678155597918	4532.8468050815372408
1	1	3.5	0.09	-2557.1012787465315341	2266.3875839108832224	4532.8468050815381503
1	1	3.5	0.1	-2631.9220479210798658	2231.1976216780481082	4532.8468050815372408
1	1	3.5	0.11	-2710.8416984690320533	2197.1917670565708249	4532.8468050815390598
1	1	3.5	0.12	-2793.0892947569409444	2164.4258322297855557	4532.8468050815381503
