# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_beta/phi.table.BASU_SFS.txt
# sampleSize: 37
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 29934
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-57012.489330641750712	38083.406306711083744	73543.615907912302646
1	1	0	0.01	-96722.579508057388011	37148.950136304134503	71942.159841835207772
1	1	0	0.02	-72510.558035733818542	36215.996642788850295	70340.703775758098345
1	1	0	0.03	-58230.552024012373295	35284.665022140841756	68739.247709680959815
1	1	0	0.04	-48311.083326044317801	34355.087176606015419	67137.791643603864941
1	1	0	0.05	-40896.620887690689415	33427.409417916649545	65536.335577526784618
1	1	0	0.06	-35119.999324751726817	32501.794445340376114	63934.879511449667916
1	1	0	0.07	-30500.689517877821345	31578.423650249038474	62333.423445372529386
1	1	0	0.08	-26742.969434433616698	30657.49980992206838	60731.967379295441788
1	1	0	0.09	-23651.322840962791815	29739.250246928691922	59130.511313218346913
1	1	0	0.1	-21089.539689299010206	28823.930547321917402	57529.055247141201107
1	1	0	0.11	-18958.857192693336401	27911.828951853745821	55927.599181064098957
1	1	0	0.12	-17185.369038455246482	27003.27156052682767	54326.143114986996807
1	1	0	0.13	-15712.338206765474752	26098.628523332154145	52724.687048909916484
1	1	0	0.14	-14495.2792501237127	25198.32143059394366	51123.230982832763402
1	1	0	0.15	-13498.689283346233424	24302.832166920110467	49521.774916755668528
1	1	0.5	0	-73637.373020673927385	43085.401154212951951	82404.663177252878086
1	1	0.5	0.01	-108780.56257571821334	42085.881640388259257	80690.985398873701342
1	1	0.5	0.02	-82463.206117790250573	41088.724348625830316	78977.307620494466391
1	1	0.5	0.03	-66934.330349068099167	40094.105527686006099	77271.561826103192288
1	1	0.5	0.04	-56171.4173047724762	39102.218886558861414	75567.063115684737568
1	1	0.5	0.05	-48140.462559199426323	38113.277738325989048	73862.564405266355607
1	1	0.5	0.06	-41888.783029884041753	37127.517455176901422	72158.065694847988198
1	1	0.5	0.07	-36889.412035962333903	36145.198285933220177	70453.566984429562581
1	1	0.5	0.08	-32819.066492871381342	35166.608596702491923	68749.068274011136964
1	1	0.5	0.09	-29464.744937631941866	34192.068606289147283	67044.569563592740451
1	1	0.5	0.1	-26678.55363358440809	33221.934701037120249	65340.070853174343938
1	1	0.5	0.11	-24353.591672708513215	32256.604429202387109	63635.572142755947425
1	1	0.5	0.12	-22410.088387978961691	31296.522293113983324	61931.073432337558188
1	1	0.5	0.13	-20786.959726498811506	30342.186478630625061	60226.574721919139847
1	1	0.5	0.14	-19436.420135366206523	29394.156686047070252	58522.076011500743334
1	1	0.5	0.15	-18320.409842226479668	28453.063254824632168	56817.577301082339545
1	1	1	0	-82702.439165878051426	45578.64670623892016	86555.043384715434513
1	1	1	0.01	-115027.37236854567891	44549.218958058823773	84800.732276425711461
1	1	1	0.02	-87662.615027475345414	43522.60785606848367	83048.80856653531373
1	1	1	0.03	-71563.438951569551136	42499.017518435401144	81301.391384714384913
1	1	1	0.04	-60431.625762479321565	41478.671580591486418	79553.974202893499751
1	1	1	0.05	-52137.540488655562513	40461.815490261658852	77806.557021072629141
1	1	1	0.06	-45686.100224078050815	39448.71911817300861	76059.139839251758531
1	1	1	0.07	-40528.446615725930315	38439.679733059179853	74311.722657430844265
1	1	1	0.08	-36328.746413595217746	37435.025397546261956	72564.305475609959103
1	1	1	0.09	-32866.230819198593963	36435.11885075756436	70816.888293789030286
