# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_beta/phi.table.BurrowingOwl_SFS.txt
# sampleSize: 39
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 383702
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-2198693.7412261031568	3576744.7574277515523	6658431.9718525949866
1	1	0	0.01	-2168645.9501368924975	3510304.2364616501145	6513655.0486937547103
1	1	0	0.02	-2093360.3265399411321	3445682.64038140513	6368878.1255349172279
1	1	0	0.03	-2146518.7420682385564	3382984.2058310597204	6340051.6278211753815
1	1	0	0.04	-2255555.3118527829647	3322317.8157049496658	6340051.6278211744502
1	1	0	0.05	-2396138.3390882834792	3263796.7849071254022	6340051.6278211791068
1	1	0	0.06	-2556865.6795156374574	3207538.5408068154939	6340051.6278211744502
1	1	0	0.07	-2731423.0865484923124	3153664.183346670121	6340051.6278211735189
1	1	0	0.08	-2915939.5120047181845	3102297.9103976450861	6340051.6278211772442
1	1	0	0.09	-3107873.4806170463562	3053566.2955572181381	6340051.6278211763129
1	1	0	0.1	-3305472.6406352855265	3007597.4083709968254	6342800.2472033668309
1	1	0	0.11	-3507483.9513332173228	2964519.7711076759733	6359920.5716333333403
1	1	0	0.12	-3712986.261017177254	2924461.1518548410386	6377040.8960633035749
1	1	0	0.13	-3921287.8285991586745	2887547.2008435558528	6399938.0896477168426
1	1	0	0.14	-4131860.6230996735394	2853899.9454189394601	6428045.1706804605201
1	1	0	0.15	-4344296.5731947869062	2823636.1686301701702	6462754.6618378935382
1	1	0.5	0	-3012823.5171288624406	4155782.722207294777	7828406.5422628615052
1	1	0.5	0.01	-2908470.8102935142815	4081287.0340555412695	7670911.4292840082198
1	1	0.5	0.02	-2797233.4434734806418	4008548.1537039615214	7513416.3163051512092
1	1	0.5	0.03	-2827966.5496316850185	3937663.4407777120359	7408181.7866403218359
1	1	0.5	0.04	-2921246.613438706845	3868734.8153074095026	7408181.7866403246298
1	1	0.5	0.05	-3050004.2506705075502	3801868.6715306597762	7408181.7866403236985
1	1	0.5	0.06	-3201497.2048086188734	3737175.7178411232308	7408181.7866403227672
1	1	0.5	0.07	-3368662.6733049750328	3674770.7306084660813	7408181.7866403218359
1	1	0.5	0.08	-3547170.9398425780237	3614772.2092979010195	7408181.7866403218359
1	1	0.5	0.09	-3734179.6623382754624	3557301.9205218618736	7408181.7866403283551
1	1	0.5	0.1	-3927728.6111972220242	3502484.3195145046338	7408181.7866403218359
1	1	0.5	0.11	-4126415.1657943502069	3450445.839192641899	7408181.7866403236985
1	1	0.5	0.12	-4329207.0040355138481	3401314.039605722297	7408181.7866403218359
1	1	0.5	0.13	-4535327.569803789258	3355216.6143032470718	7408181.7866403218359
1	1	0.5	0.14	-4744182.7234660573304	3312280.255025901366	7415530.6082586171106
1	1	0.5	0.15	-4955311.9473964124918	3272629.3821379649453	7432254.3486444922164
1	1	1	0	-3534478.9360735118389	4448718.9646090390161	8408688.4681345820427
1	1	1	0.01	-3384342.4545069932938	4370620.9642898887396	8245024.9253370715305
1	1	1	0.02	-3254693.893865365535	4294262.4359942795709	8081361.3825395544991
1	1	1	0.03	-3274567.7029208093882	4219737.8109517497942	7951902.65651794523
1	1	1	0.04	-3360373.8780801147223	4147145.9566120021045	7951902.6565179470927
1	1	1	0.05	-3483564.2830898351967	4076590.1248462251388	7951902.6565179442987
1	1	1	0.06	-3630715.9502413459122	4008177.8372257072479	7951902.6565179461613
1	1	1	0.07	-3794398.8306735567749	3942020.6965392753482	7951902.6565179461613
1	1	1	0.08	-3970062.7771549224854	3878234.1132716243155	7951902.6565179433674
1	1	1	0.09	-4154722.6899088136852	3816936.9356889510527	7951902.65651794523
1	1	1	0.1	-4346320.5156806670129	3758250.9725924972445	7951902.65651794523
1	1	1	0.11	-4543383.6377162896097	3702300.3988387323916	7951902.65651794523
1	1	1	0.12	-4744827.9190295860171	3649211.0355217182077	7951902.6565179461613
1	1	1	0.13	-4949837.3901886679232	3599109.4993885136209	7951902.6565179489553
1	1	1	0.14	-5157787.2618736587465	3552122.2197000570595	7951902.6565179470927
1	1	1	0.15	-5368192.7452390082181	3508374.3253917694092	7951902.65651794523
1	1	1.5	0	-3929713.749775942415	4645277.1578293247148	8794696.5635138768703
1	1	1.5	0.01	-3745582.6508099883795	4564884.4019892001525	8626968.2251118533313
1	1	1.5	0.02	-3603746.2789921946824	4486223.2954461425543	8459239.886709831655
1	1	1.5	0.03	-3616614.1526612564921	4409386.5142771173269	8317439.2868253216147
