# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_beta/phi.table.CHTR_SFS.txt
# sampleSize: 58
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 1694
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-10548.311791224790795	5274.3592807939721752	11603.169539988251927
1	1	0	0.01	-12332.437615766917588	5204.9631458824487709	11440.595533420777429
1	1	0	0.02	-11224.202974941210414	5136.3619271222441967	11278.021526853306568
1	1	0	0.03	-10643.099700167862466	5068.5879011897213786	11115.447520285830251
1	1	0	0.04	-10283.783654622275208	5001.6746942481322549	10952.873513718355753
1	1	0	0.05	-10047.642034876487742	4935.6573170528072296	10790.29950715088853
1	1	0	0.06	-9889.8124360371220973	4870.5721968749376174	10714.817231912031275
1	1	0	0.07	-9785.9948776277014986	4806.4572054544305502	10685.895495600521826
1	1	0	0.08	-9721.5220553235776606	4743.3516820975801238	10673.401791338970725
1	1	0	0.09	-9686.8579941652933485	4681.2964509364837795	10666.113182685567153
1	1	0	0.1	-9675.4569330026279204	4620.3338312661480813	10660.089351121347136
1	1	0	0.11	-9682.6356356431060703	4560.5076397736665967	10656.21295938763069
1	1	0	0.12	-9704.9323197986668674	4501.8631833747340352	10654.220869897788361
1	1	0	0.13	-9739.7198444289606414	4444.4472412793084004	10652.228780407966042
1	1	0	0.14	-9784.9608644380714395	4388.3080348244766355	10650.236690918125532
1	1	0	0.15	-9839.046624291135231	4333.4951835434558234	10650.104515339147838
1	1	0.5	0	-12481.93991219518648	5751.1198794675901809	12312.442545932004577
1	1	0.5	0.01	-14129.408288749829808	5676.2499350796106228	12142.748096066421567
1	1	0.5	0.02	-12967.827857465723355	5602.2193342258824487	11973.053646200827643
1	1	0.5	0.03	-12355.4580642111614	5529.0617918283633117	11803.359196335246452
1	1	0.5	0.04	-11974.437614089132694	5456.8124223521981548	11633.66474646964889
1	1	0.5	0.05	-11721.809209685328824	5385.5077767483771822	11463.970296604053146
1	1	0.5	0.06	-11550.759167076903395	5315.1858763260815977	11375.864350475008905
1	1	0.5	0.07	-11435.961099982356245	5245.8862427786452827	11348.779880467023759
1	1	0.5	0.08	-11362.146401438825706	5177.6499234934053675	11321.795964302564244
1	1	0.5	0.09	-11319.398169324435003	5110.5195111776329213	11298.495445433727582
1	1	0.5	0.1	-11300.9145752420809	5044.5391567319911701	11275.19492656489092
1	1	0.5	0.11	-11301.832070944561565	4979.7545742010543108	11264.143862100203478
1	1	0.5	0.12	-11318.557093981398793	4916.2130365301854908	11258.675027083170789
1	1	0.5	0.13	-11348.363222454892821	4853.9633607621499323	11256.133571506910812
1	1	0.5	0.14	-11389.136408300008043	4793.0558812194558413	11253.592115930663567
1	1	0.5	0.15	-11439.207372195276548	4733.5424091437544121	11251.050660354405409
1	1	1	0	-13563.510164003128011	5987.7581437982335046	12638.822624260576049
1	1	1	0.01	-15129.470967872162873	5910.301327355844478	12467.057511382181474
1	1	1	0.02	-13942.598607463027292	5833.7064799057479831	12297.052735634197234
1	1	1	0.03	-13316.087050569120038	5758.0080001049191196	12127.047959886198441
1	1	1	0.04	-12925.353547736798646	5683.2417058293403898	11957.043184138212382
1	1	1	0.05	-12665.347964036620397	5609.4448715101570997	11787.038408390224504
1	1	1	0.06	-12488.363411654630909	5536.6562624180514831	11705.376949691739355
1	1	1	0.07	-12368.615799328421417	5464.9161651266258559	11683.018314602919418
1	1	1	0.08	-12290.571985738097283	5394.2664132928612162	11660.659679514103118
1	1	1	0.09	-12244.148579774897371	5324.7504077960711584	11638.301044425284999
1	1	1	0.1	-12222.432114715265925	5256.4131301770048594	11615.942409336466881
1	1	1	0.11	-12220.480436789519445	5189.3011482181209431	11593.583774247646943
1	1	1	0.12	-12234.642454724329582	5123.4626124064188843	11578.026374220953585
1	1	1	0.13	-12262.148306286595471	5058.9472419252142572	11571.905178541761416
1	1	1	0.14	-12300.850287738998304	4995.8062987336643346	11567.707247495494812
1	1	1	0.15	-12349.052480924299743	4934.092548217856347	11567.707247495494812
1	1	1.5	0	-14333.51054161695356	6145.3823163376118828	12861.330748061714985
1	1	1.5	0.01	-15840.061291225581954	6066.2374838670712052	12688.777529966548173
1	1	1.5	0.02	-14637.099435516312951	5987.9698370769938265	12516.224311871377722
1	1	1.5	0.03	-14001.739283451417577	5910.6142228337657798	12343.671093776212729
1	1	1.5	0.04	-13604.931945508491481	5834.2069191053524264	12171.117875681047735
1	1	1.5	0.05	-13340.301332673690922	5758.7856724364864931	11998.56465758586819
1	1	1.5	0.06	-13159.584920647524996	5684.3897323753008095	11921.755251378650428
1	1	1.5	0.07	-13036.715972700687416	5611.0598820863369838	11902.458346637245995
1	1	1.5	0.08	-12955.998379435288371	5538.8384642932833231	11883.161441895854296
1	1	1.5	0.09	-12907.246178774556029	5467.7694015989545733	11863.86453715445532
1	1	1.5	0.1	-12883.47703738178825	5397.8982101314059037	11844.567632413056344
1	1	1.5	0.11	-12879.700219125545118	5329.2720053651701164	11825.270727671664645
1	1	1.5	0.12	-12892.228998141479678	5261.9394988681651739	11805.973822930265669
1	1	1.5	0.13	-12918.266541627082916	5195.9509846302489677	11793.990640934865951
1	1	1.5	0.14	-12955.644201376635465	5131.3583135425405999	11788.109722432704075
1	1	1.5	0.15	-13002.649443592461466	5068.2148545217851279	11782.228803930549475
