# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_beta/phi.table.CLDI_SFS.txt
# sampleSize: 10
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 49
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-115.24037799381665081	71.406458794901510601	132.27536279732441926
1	1	0	0.01	-185.53356419274234668	69.864370511571479483	129.6749474371063684
1	1	0	0.02	-149.89055253283265756	68.323232018770454488	127.07453207688828911
1	1	0	0.03	-128.94803534956650992	66.783109070825474873	124.47411671667022404
1	1	0	0.04	-114.25988589767121084	65.244073585293818951	121.87370135645217317
1	1	0	0.05	-103.12728520868893156	63.706204376050600047	119.27328599623412231
1	1	0	0.06	-94.319762970633121313	62.169587992566356149	116.67287063601605723
1	1	0	0.07	-87.164300112098771933	60.634319683576904936	114.07245527579796374
1	1	0	0.08	-81.248870521664741773	59.100504506961577533	111.47203991557992708
1	1	0	0.09	-76.301091378977559998	57.568258612077187308	108.87162455536187622
1	1	0	0.1	-72.130595248416227605	56.037710726251496851	106.27120919514382535
1	1	0	0.11	-68.598621773508739352	54.509003883886144592	103.67079383492574607
1	1	0	0.12	-65.60065274736189167	52.982297444999666425	101.07037847470766678
1	1	0	0.13	-63.055865903149879159	51.457769460497914338	98.469963114489615919
1	1	0	0.14	-60.900405880930009062	49.935619454568850983	95.869547754271536633
1	1	0	0.15	-59.082913629425661384	48.416071711113744414	93.269132394053499979
1	1	0.5	0	-138.26393205936415143	80.480719236384899773	141.45536005403019431
1	1	0.5	0.01	-204.7890001285938979	78.756605499511877611	138.59535780856208476
1	1	0.5	0.02	-166.30933519206814708	77.033423726971378187	135.73535556309394678
1	1	0.5	0.03	-143.14702674487779177	75.311237891073915307	132.87535331762580881
1	1	0.5	0.04	-126.6700443052491778	73.590117913794514948	130.01535107215767084
1	1	0.5	0.05	-114.06235223262416412	71.870140369557333315	127.15534882668953287
1	1	0.5	0.06	-104.01576455175398905	70.151389289215160261	124.29534658122145174
1	1	0.5	0.07	-95.80362341983919805	68.433957082486358559	121.43534433575328535
1	1	0.5	0.08	-88.975641766398155141	66.717945599528178491	118.75141074270516128
1	1	0.5	0.09	-83.231382965198633883	65.003467356511507091	116.18563236439456432
1	1	0.5	0.1	-78.359423285455989117	63.290646955217262359	113.61985398608399578
1	1	0.5	0.11	-74.204877141685528841	61.579622733046100791	111.05407560777342724
1	1	0.5	0.12	-70.650659575800432322	59.870548687748517125	108.4882972294628587
1	1	0.5	0.13	-67.606003389621150745	58.163596731059222122	105.92251885115229015
1	1	0.5	0.14	-64.999075664578640499	56.45895933780520437	103.3567404728417074
1	1	0.5	0.15	-62.772040272266281136	54.756852672665914383	100.79096209453113886
1	1	1	0	-151.02873350873517211	85.060959420872180203	145.83787337574119647
1	1	1	0.01	-215.12450432823129631	83.254620912553903622	142.87744113052013972
1	1	1	0.02	-174.96502703730072881	81.449427816449841089	140.06092059489225221
1	1	1	0.03	-150.56671758433429886	79.645458016143706459	137.38886420585913584
1	1	1	0.04	-133.13895680659732079	77.842796559577479343	134.71680781682601946
1	1	1	0.05	-119.77510904641570733	76.041536494671433388	132.04475142779284624
1	1	1	0.06	-109.1114049565469486	74.241779823528943894	129.44817006130955406
1	1	1	0.07	-100.38515536040046072	72.443638595120773971	126.89200157456319573
1	1	1	0.08	-93.12166753287345955	70.647236160205281408	124.33583308781683741
1	1	1	0.09	-87.003369698499795959	68.85270861695552469	121.77966460107046487
1	1	1	0.1	-81.806442408536838684	67.060206481542905976	119.22349611432410654
