# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_beta/phi.table.C_elegans_SFS.txt
# sampleSize: 573
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 5
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-705.55990062802459306	131.89735927701531182	296.68213332017325001
1	1	0	0.01	-704.03950716937117704	130.59691888300568507	296.69569471757597512
1	1	0	0.02	-701.44473407289308398	129.31127308111911134	296.70925611497818863
1	1	0	0.03	-700.7449841300352773	128.04086752527967974	296.72281751237966319
1	1	0	0.04	-700.91091681488671838	126.7861603410791389	296.73637890978233145
1	1	0	0.05	-701.58825577566256015	125.54762219206887153	296.74994030718443128
1	1	0	0.06	-702.6072945533079519	124.32573630898892247	296.76350170458709954
1	1	0	0.07	-703.8719110614491683	123.12099847752656956	296.77706310198851725
1	1	0	0.08	-705.3217567077114154	121.93391697995711809	296.79062449939084445
1	1	0	0.09	-706.91620823394725903	120.76501248576980174	296.80418589679345587
1	1	0	0.1	-708.62651692741735587	119.61481788617273025	296.81774729419549885
1	1	0	0.11	-710.43156156097427356	118.48387806717640558	296.8313086915982808
1	1	0	0.12	-712.31537097507327871	117.37274961580259003	296.8448700890002101
1	1	0	0.13	-714.26559156693849673	116.28200045385919736	296.8584314864025373
1	1	0	0.14	-716.27249364972374224	115.21220939366558866	296.87199288380463713
1	1	0	0.15	-718.32830191867230951	114.16396561012362554	296.88555428120707802
1	1	0.5	0	-749.99309773429115467	136.27721390440999016	299.54199692669345723
1	1	0.5	0.01	-746.50812525422736599	134.93033394038482697	299.55380450650739022
1	1	0.5	0.02	-742.84138923123953191	133.59868758268427769	299.56561208632177795
1	1	0.5	0.03	-741.35203530888713885	132.28273488707446859	299.57741966613582463
1	1	0.5	0.04	-740.88264748939184301	130.98294886522026559	299.58922724594924603
1	1	0.5	0.05	-741.0266892840387527	129.69981556074068862	299.60103482576408851
1	1	0.5	0.06	-741.58657457636479648	128.43383408739265406	299.61284240557779412
1	1	0.5	0.07	-742.4490481723079256	127.18551662481883113	299.62464998539161343
1	1	0.5	0.08	-743.54228502741682405	125.955388367043426	299.63645756520600116
1	1	0.5	0.09	-744.81751620901593469	124.74398741863194573	299.64826514501936572
1	1	0.5	0.1	-746.23996499884367495	123.5518646332113093	299.66007272483392398
1	1	0.5	0.11	-747.78390579895597057	122.37958338882900478	299.6718803046480275
1	1	0.5	0.12	-749.42976168996540309	121.2277192944739852	299.68368788446184681
1	1	0.5	0.13	-751.16229771254108982	120.09685982194838516	299.69549546427600717
1	1	0.5	0.14	-752.96944287103258375	118.98760385721737975	299.70730304408976963
1	1	0.5	0.15	-754.84149242984233297	117.90056116536470654	299.71911062390432789
1	1	1	0	-774.71318793052034835	138.62682801631498819	301.24512744440795586
1	1	1	0.01	-770.12027378940740618	137.25563527729997304	301.25588366157205655
1	1	1	0.02	-765.90883715650863905	135.89990964581389221	301.26663987873502037
1	1	1	0.03	-764.02691177043209336	134.56011862717917893	301.27739609589866632
1	1	1	0.04	-763.24647241806144393	133.23674292414841602	301.28815231306174383
1	1	1	0.05	-763.13262671552399752	131.93027651743065576	301.29890853022527608
1	1	1	0.06	-763.47272246334466672	130.64122670792224312	301.30966474738886518
1	1	1	0.07	-764.14430661696735569	129.37011411601523037	301.32042096455245428
1	1	1	0.08	-765.0694475154708698	128.11747263307108824	301.33117718171564547
1	1	1	0.09	-766.19508436548687769	126.88384931990205473	301.3419333988794051
1	1	1	0.1	-767.48329571170813779	125.66980424684565776	301.3526896160425963
1	1	1	0.11	-768.90597668367183815	124.47591026982027529	301.36344583320664015
1	1	1	0.12	-770.44170364427520781	123.3027527365676832	301.37420205036954712
1	1	1	0.13	-772.07377799876746849	122.15092911715770185	301.38495826753285201
1	1	1	0.14	-773.78894833908009332	121.02104855276060391	301.39571448469621373
