# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_beta/phi.table.Caenorhabditis_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 106
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-325.28103004450258595	395.64238645545503914	735.83466340672794104
1	1	0	0.01	-367.91835795975430301	386.58066697132966283	719.70296258167206815
1	1	0	0.02	-302.86233509664998564	377.65176255171513731	703.57126175661562684
1	1	0	0.03	-271.47436756345723552	368.86531824966186832	687.43956093155975395
1	1	0	0.04	-254.82080832214342081	360.23175848753265882	671.30786010650388107
1	1	0	0.05	-246.66712677148598232	351.76234051587169915	655.17615928144743975
1	1	0	0.06	-244.1001598798015948	343.46920699529476906	639.0444584563913395
1	1	0	0.07	-245.49737005462566231	335.36543600874773574	622.91275763133512555
1	1	0	0.08	-249.85313193637557561	327.46508630888689595	606.78105680627925267
1	1	0	0.09	-256.49767746361521858	319.78323501994975686	590.64935598122315241
1	1	0	0.1	-264.96126913339412567	312.33600435260490258	574.51765515616705216
1	1	0	0.11	-274.901414002454203	305.14057317352086329	560.55161603899625788
1	1	0	0.12	-286.06074622146343245	298.21516853602133779	560.50802642835014922
1	1	0	0.13	-298.24116418700396025	291.57903158467831872	560.46443681770438161
1	1	0	0.14	-311.28717895633462831	285.25235168415065345	560.42084720705815926
1	1	0	0.15	-325.07477086608787431	279.25616231232277187	560.55891568581705542
1	1	0.5	0	-450.88033953451895286	471.23424930737911609	883.47767994073126374
1	1	0.5	0.01	-477.89984162129712786	461.22738703001692784	865.69658378434735369
1	1	0.5	0.02	-402.92062803636554236	451.35505876947757997	847.91548762796378469
1	1	0.5	0.03	-364.53153056326027581	441.6262869339569761	830.13439147157987463
1	1	0.5	0.04	-342.60239419326944699	432.05076929611254855	812.3532953151957372
1	1	0.5	0.05	-330.29179854009726114	422.63892259429343312	794.57219915881205452
1	1	0.5	0.06	-324.34331920994281973	413.40192577923664885	776.79110300242814446
1	1	0.5	0.07	-322.92426029718581049	404.35176182169817594	759.01000684604400703
1	1	0.5	0.08	-324.89231058566747379	395.50125668909703336	741.22891068966021066
1	1	0.5	0.09	-329.48445777412098323	386.86411374152044118	723.44781453327641429
1	1	0.5	0.1	-336.16485181827283668	378.45494139115561438	705.66671837689273161
1	1	0.5	0.11	-344.54260870758207602	370.28927142136797102	688.84574424307334084
1	1	0.5	0.12	-354.32398712068970781	362.383564886938359	688.84574424307379559
1	1	0.5	0.13	-365.28291882513076416	354.75520204019250059	688.84574424307379559
1	1	0.5	0.14	-377.241995068018241	347.42245228684248559	688.84574424307356821
1	1	0.5	0.15	-390.05972842216533536	340.40441982360124484	688.84574424307356821
1	1	1	0	-525.5399409744991317	509.00716369395860283	957.65611875415550003
1	1	1	0.01	-542.64717580532123975	498.57427457494992495	939.05746154111704982
1	1	1	0.02	-462.16611022383085583	488.27804306053616301	920.45880432807848592
1	1	1	0.03	-420.17055280947988649	478.12729779111748485	901.8601471150401494
1	1	1	0.04	-395.64167974838710506	468.13150283009690611	883.26148990200169919
1	1	1	0.05	-381.34027548557696718	458.30079694651846012	864.66283268896324898
1	1	1	0.06	-373.80331199929923969	448.64603253855148068	846.06417547592479877
1	1	1	0.07	-371.07911307694530478	439.17881328027601739	827.46551826288634857
1	1	1	0.08	-371.95141935600213401	429.91152932537227116	808.86686104984789836
1	1	1	0.09	-375.60848401032353649	420.85738861330344207	790.26820383680978921
1	1	1	0.1	-381.48081408668531367	412.03044249770852048	771.66954662377111163
1	1	1	0.11	-389.1534127403833736	403.44560355793441886	755.44651620446791185
1	1	1	0.12	-398.3147142648604131	395.11865307337035347	755.44651620446791185
1	1	1	0.13	-408.72513063298447378	387.06623525402301311	755.44651620446791185
1	1	1	0.14	-420.19677297129328508	379.30583495624063062	755.44651620446791185
1	1	1	0.15	-432.57987820999960604	371.85573530725463343	755.44651620446791185
1	1	1.5	0	-580.3810774482681154	534.23585746492619819	1007.0161399615461733
