# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_beta/phi.table.Ciona_A_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 94
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-503.80146825299379998	573.84154348946970003	1107.809762246049786
1	1	0	0.01	-533.42498652604626841	564.72762139147039306	1089.8953680558438464
1	1	0	0.02	-486.67834096206479444	555.75934455849403548	1071.9809738656383615
1	1	0	0.03	-468.90958792175479175	546.94387750411249272	1054.0665796754326493
1	1	0	0.04	-463.54150146291976853	538.2887279034440553	1036.1521854852269371
1	1	0	0.05	-465.18364987642144115	529.8017529322739847	1020.1801054715292594
1	1	0	0.06	-471.34802138647773972	521.49116349736993925	1020.1801054715292594
1	1	0	0.07	-480.66462171774674061	513.36552589270957014	1020.1801054715296004
1	1	0	0.08	-492.29325676184726035	505.43376036616717784	1020.1801054715293731
1	1	0	0.09	-505.67980431230444083	497.70513603357329657	1020.1801054715293731
1	1	0	0.1	-520.43922231536635081	490.18926153480668972	1020.1801054715296004
1	1	0	0.11	-536.29326517494246218	482.89607079309342907	1020.1801054715296004
1	1	0	0.12	-553.03466638238933228	475.83580321819556502	1020.1801054715294867
1	1	0	0.13	-570.5052721017609656	469.0189776914472759	1020.1801054715294867
1	1	0	0.14	-588.58203915863123257	462.45635969103398111	1020.1801054715292594
1	1	0	0.15	-607.16771240018988465	456.15892096523060673	1020.1801054715294867
1	1	0.5	0	-672.58340600555493438	659.40595215860673761	1274.2473642954671504
1	1	0.5	0.01	-691.42144327912956214	649.21842715403852253	1254.4478016597927308
1	1	0.5	0.02	-637.70201943654228671	639.18057493705509842	1234.648239024117629
1	1	0.5	0.03	-614.92970803010030068	629.29955776537838119	1214.848676388442982
1	1	0.5	0.04	-605.73052044431460672	619.58287923156251509	1195.0491137527678802
1	1	0.5	0.05	-604.30903229385694431	610.03839213313551681	1175.2495511170936879
1	1	0.5	0.06	-607.9475338443835426	600.67430469616840583	1164.5384650234673245
1	1	0.5	0.07	-615.1349282835590202	591.49918476224888764	1164.5384650234673245
1	1	0.5	0.08	-624.93888993109158037	582.52196150267207031	1164.5384650234670971
1	1	0.5	0.09	-636.7421694396480234	573.75192417783841847	1164.5384650234673245
1	1	0.5	0.1	-650.11475019117824559	565.19871741623671824	1164.5384650234670971
1	1	0.5	0.11	-664.74529771655670629	556.87233244836488666	1164.5384650234673245
1	1	0.5	0.12	-680.40153814431687351	548.78309369945156959	1164.5384650234670971
1	1	0.5	0.13	-696.90598392281845008	540.94164012445537537	1164.5384650234670971
1	1	0.5	0.14	-714.12035249939890491	533.35890066358331296	1164.5384650234668698
1	1	0.5	0.15	-731.93517551448803715	526.04606321113396916	1164.5384650234673245
1	1	1	0	-772.32253479930841422	702.07339730844716996	1356.8463577762850036
1	1	1	0.01	-784.33928481262864807	691.39413734394190669	1336.1364265554930171
1	1	1	0.02	-726.74692283426793438	680.86710824242481976	1315.4264953347010305
1	1	1	0.03	-701.37810566205735086	670.49948024342984354	1294.7165641139092713
1	1	1	0.04	-690.26700932908897812	660.29876186049079934	1274.0066328931179669
1	1	1	0.05	-687.35255791261806735	650.2728079888964885	1253.2967016723255256
1	1	1	0.06	-689.77855953489051899	640.42982651693432672	1238.6995934733843114
1	1	1	0.07	-695.95380058434056991	630.77838308136108481	1238.6995934733840841
1	1	1	0.08	-704.89589238332519017	621.32740356469219023	1238.6995934733840841
1	1	1	0.09	-715.95439132648516534	612.08617388863376618	1238.6995934733843114
1	1	1	0.1	-728.67621361849433015	603.06433661616165409	1238.6995934733845388
1	1	1	0.11	-742.7333751791566101	594.27188383637587776	1238.6995934733843114
1	1	1	0.12	-757.88120416678884794	585.71914577385837219	1238.6995934733843114
1	1	1	0.13	-773.93273842604503443	577.41677454085208865	1238.6995934733840841
1	1	1	0.14	-790.7422952392444131	569.37572243971180797	1238.6995934733845388
1	1	1	0.15	-808.19451849122197018	561.6072142287753195	1238.6995934733840841
1	1	1.5	0	-845.35245560967996425	730.53350828145028117	1411.8096076793615339
