# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_beta/phi.table.Ciona_B_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 59
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-410.75076139653810969	623.89079541708917986	1191.655359000579665
1	1	0	0.01	-396.52440412734813435	610.45277725357027521	1165.390526203940226
1	1	0	0.02	-384.94101835591663985	597.30268370974067693	1139.1256934073005596
1	1	0	0.03	-393.18769376114778424	584.45994964321698717	1112.8608606106611205
1	1	0	0.04	-410.3454403892328628	571.94528022082511143	1086.5960278140209994
1	1	0	0.05	-432.70515904222884274	559.78067888829195908	1060.8274383371988279
1	1	0	0.06	-458.48732167839625617	547.98945921087624811	1060.8274383371986005
1	1	0	0.07	-486.68028651256827288	536.59623593131209418	1060.8493299152819418
1	1	0	0.08	-516.6477427523541337	525.62688999413728652	1061.09439214208669
1	1	0	0.09	-547.96181528149645601	515.1085017877280734	1061.3394543688914382
1	1	0	0.1	-580.32092074120919278	505.06924654241157668	1061.5845165956957317
1	1	0	0.11	-613.50499443340049766	495.53824580114240916	1061.8295788225007072
1	1	0	0.12	-647.34917916645645164	486.54536927223972498	1062.0746410493054555
1	1	0	0.13	-681.72744335152947315	478.12098231376455715	1062.319703276110431
1	1	0	0.14	-716.54190345084771252	470.29563591099855557	1062.5647655029142697
1	1	0	0.15	-751.71560104591299023	463.09969838579547741	1062.8098277297185632
1	1	0.5	0	-589.77479096178922191	748.82229328989558326	1435.6745394700812994
1	1	0.5	0.01	-560.32967621628449706	733.7497310631478058	1406.6458044455441723
1	1	0.5	0.02	-539.11806102076570824	718.95752767213105017	1377.6170694210072725
1	1	0.5	0.03	-540.60421752358888625	704.46334412195085406	1348.5883343964696905
1	1	0.5	0.04	-552.69521042277665401	690.2859535586826496	1319.5595993719327907
1	1	0.5	0.05	-571.08717714935301046	676.44527495077898038	1290.5308643473958909
1	1	0.5	0.06	-593.66462607093490078	662.96239725939881282	1272.4755764864514731
1	1	0.5	0.07	-619.21051399022417172	649.85959115065804781	1272.4755764864514731
1	1	0.5	0.08	-646.95513218919677456	637.16030486444333292	1272.4755764864519278
1	1	0.5	0.09	-676.37973730507474102	624.88914043474801474	1272.4755764864517005
1	1	0.5	0.1	-707.11841132421977818	613.07180609247063785	1272.4755764864517005
1	1	0.5	0.11	-738.90406688598704932	601.73504042191837016	1272.4755764864519278
1	1	0.5	0.12	-771.53654975279096107	590.9065037478682143	1272.4755764864517005
1	1	0.5	0.13	-804.86272922607167857	580.61463237277234839	1272.4755764864514731
1	1	0.5	0.14	-838.76351281847018981	570.88845174262144155	1272.4755764864517005
1	1	0.5	0.15	-873.14506691733367916	561.75734547461286184	1272.4755764864517005
1	1	1	0	-699.88779074317972118	811.27142731091350925	1556.7754111998383451
1	1	1	0.01	-660.74865787141061446	795.46771545227761635	1526.4119573778052654
1	1	1	0.02	-634.17160814502858557	779.94376957760277946	1496.0485035557730953
1	1	1	0.03	-632.15083329465323914	764.71662784279135394	1465.6850497337397883
1	1	1	0.04	-641.7216314048255299	749.80437309731371442	1435.3215959117067086
1	1	1	0.05	-658.19049790130793554	735.22616571551384368	1404.9581420896738564
1	1	1	0.06	-679.23991884053612011	721.00226865793763409	1381.2054401963907821
1	1	1	0.07	-703.53671786944141786	707.15406234237514127	1381.2054401963898727
1	1	1	0.08	-730.23913522036036738	693.70404653932257588	1381.2054401963903274
1	1	1	0.09	-758.78102200543253275	680.67582614855143675	1381.2054401963903274
1	1	1	0.1	-788.76378382350321772	668.09407738826007517	1381.2054401963907821
1	1	1	0.11	-819.89694412967946846	655.98449067017099878	1381.2054401963905548
1	1	1	0.12	-851.96307903640081349	644.37368628662318315	1381.2054401963905548
1	1	1	0.13	-884.79597188743264269	633.28909905168552541	1381.2054401963903274
1	1	1	0.14	-918.26639544210138411	622.7588282770901742	1381.2054401963907821
1	1	1	0.15	-952.27251996164341108	612.81144998823981496	1381.2054401963903274
1	1	1.5	0	-781.95630626009460684	852.96428804783363375	1637.3586870470051053
1	1	1.5	0.01	-735.43243842537867749	836.69460878116683489	1606.1177913289295702
1	1	1.5	0.02	-705.11501533050432045	820.70505987146123061	1574.8768956108535804
1	1	1.5	0.03	-700.74827982960596273	805.01233375048059315	1543.6359998927778179
1	1	1.5	0.04	-708.66962913202223717	789.63412726325259428	1512.3951041747016006
1	1	1.5	0.05	-723.89534787976299413	774.58917346153771177	1481.1542084566258382
1	1	1.5	0.06	-743.96418758911386249	759.89726648112491603	1454.6278022864271406
1	1	1.5	0.07	-767.4628701210813233	745.57927735672046765	1454.6278022864266859
1	1	1.5	0.08	-793.50101450723013841	731.65715830481781268	1454.6278022864266859
1	1	1.5	0.09	-821.48098428993216658	718.15393268450429787	1454.6278022864266859
1	1	1.5	0.1	-850.98273268744378584	705.09366754948564449	1454.6278022864266859
1	1	1.5	0.11	-881.70056134399328585	692.50142545931066707	1454.6278022864266859
1	1	1.5	0.12	-913.40588112600471504	680.40319205938214964	1454.6278022864262311
1	1	1.5	0.13	-945.92405750969373912	668.82577591076938006	1454.6278022864266859
