# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_beta/phi.table.Coli_SFS.txt
# sampleSize: 61
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 6903
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-59316.257958953385241	42718.911750680221303	84933.473085321747931
1	1	0	0.01	-61773.066652202338446	42134.657545449532336	83680.624174441647483
1	1	0	0.02	-57534.250016102276277	41557.749770823909785	82427.775263561576139
1	1	0	0.03	-55581.332106605172157	40988.498628136207117	81174.926352681446588
1	1	0	0.04	-54613.352869268215727	40427.227555142060737	79932.168470941396663
1	1	0	0.05	-54200.968810681137256	39874.273536127962871	79829.649796415818855
1	1	0	0.06	-54145.698619270522613	39329.987369752299855	79829.649796415847959
1	1	0	0.07	-54338.65392835799139	38794.733885000416194	79829.649796415818855
1	1	0	0.08	-54713.419017719163094	38268.892094537135563	79829.649796415862511
1	1	0	0.09	-55226.43743870605249	37752.855273619476066	79829.649796415877063
1	1	0	0.1	-55847.596272662456613	37247.030951615364756	79829.649796415862511
1	1	0	0.11	-56555.225970650382806	36751.840802094942774	79829.649796415818855
1	1	0	0.12	-57333.23638921813108	36267.720416462252615	79829.649796415862511
1	1	0	0.13	-58169.376650644815527	35795.118945227979566	79829.649796415862511
1	1	0	0.14	-59054.126489970134571	35334.498590351729945	79829.649796415847959
1	1	0	0.15	-59979.961856076144613	34886.333931674736959	79829.649796415847959
1	1	0.5	0	-73845.749621321097948	46807.690142216262757	92448.336064429589896
1	1	0.5	0.01	-75222.100609395827632	46178.008391217495955	91233.883219208815717
1	1	0.5	0.02	-70519.012438299308997	45556.028882044214697	90019.430373987910571
1	1	0.5	0.03	-68272.362633765093051	44942.071403269852453	88804.977528767107287
1	1	0.5	0.04	-67089.79691461706534	44336.469215807352157	87590.524683546304004
1	1	0.5	0.05	-66509.001745771674905	43739.569374017963128	87395.387606776799657
1	1	0.5	0.06	-66315.933904876117595	43151.733007116810768	87395.387606776814209
1	1	0.5	0.07	-66393.08475276560057	42573.33555176439404	87395.387606776814209
1	1	0.5	0.08	-66668.732408761570696	42004.766925688636547	87395.387606776785105
1	1	0.5	0.09	-67095.803320292150602	41446.431631111445313	87395.387606776814209
1	1	0.5	0.1	-67641.723025209910702	40898.748775678111997	87395.387606776785105
1	1	0.5	0.11	-68283.026375073706731	40362.151997537701391	87395.387606776814209
1	1	0.5	0.12	-69002.270236545125954	39837.089280233674799	87395.387606776799657
1	1	0.5	0.13	-69786.157401786185801	39324.022642183343123	87395.387606776799657
1	1	0.5	0.14	-70624.341065153304953	38823.427684804657474	87395.387606776814209
1	1	0.5	0.15	-71508.632656250789296	38335.792982853941794	87395.387606776785105
1	1	1	0	-82082.661043303261977	48842.636673825203616	96487.221622229379136
1	1	1	0.01	-82817.474433608120307	48191.503280163109594	95230.46833396742295
1	1	1	0.02	-77887.016696382546797	47548.254805145028513	93973.715045705292141
1	1	1	0.03	-75501.322123270889279	46913.215591028936615	92716.961757443248644
1	1	1	0.04	-74218.341380174271762	46286.723524441338668	91460.208469181219698
1	1	1	0.05	-73559.227876918914262	45669.130357694790291	91243.114418254612247
1	1	1	0.06	-73302.357643568655476	45060.801991204214573	91243.114418254685006
1	1	1	0.07	-73326.070576879486907	44462.118708123300166	91243.114418254597695
1	1	1	0.08	-73556.102620941819623	43873.475351313660212	91243.114418254655902
1	1	1	0.09	-73943.700344320212025	43295.281431718940439	91243.114418254655902
1	1	1	0.1	-74455.116476966999471	42727.961156173958443	91243.114418254685006
1	1	1	0.11	-75066.032412568747532	42171.953361655119807	91243.114418254626798
1	1	1	0.12	-75758.363540051796008	41627.711342014234106	91243.114418254612247
1	1	1	0.13	-76518.317853347572964	41095.702552369781188	91243.114418254685006
1	1	1	0.14	-77335.158720420266036	40576.4081756133819	91243.114418254626798
1	1	1	0.15	-78200.384992533712648	40070.322534981671197	91243.114418254699558
1	1	1.5	0	-87987.532842829532456	50199.736942588941019	99178.796388064089115
1	1	1.5	0.01	-88256.039139652682934	49534.606109426851617	97894.076974284849712
1	1	1.5	0.02	-83177.813868966943119	48877.483425354941573	96609.357560505537549
1	1	1.5	0.03	-80702.857685675960965	48228.696227914551855	95324.638146726298146
1	1	1.5	0.04	-79355.674265544512309	47588.585437706700759	94039.918732947029639
1	1	1.5	0.05	-78646.617468166630715	46957.505878700540052	93829.651398201633128
1	1	1.5	0.06	-78349.146671430149581	46335.826560053072171	93829.65139820164768
1	1	1.5	0.07	-78338.914113702892791	45723.930910708855663	93829.65139820164768
1	1	1.5	0.08	-78540.011208061769139	45122.216957060889399	93829.651398201618576
1	1	1.5	0.09	-78902.598705078766216	44531.097432936745463	93829.65139820164768
1	1	1.5	0.1	-79392.172083959681913	43950.999810154193256	93829.651398201589473
1	1	1.5	0.11	-79983.862394834344741	43382.366236887981358	93829.651398201589473
1	1	1.5	0.12	-80659.171968449896667	42825.653370142754284	93829.65139820164768
1	1	1.5	0.13	-81403.990668169455603	42281.332087773662352	93829.651398201662232
1	1	1.5	0.14	-82207.331603079568595	41749.887064786315023	93829.651398201618576
1	1	1.5	0.15	-83060.493256517511327	41231.816198138323671	93829.651398201618576
1	1	2	0	-92612.578756164351944	51209.529256827307108	101180.06098610401386
1	1	2	0.01	-92514.598443285212852	50534.117349416301295	99874.645523451443296
1	1	2	0.02	-87329.130210254748818	49866.805865964081022	98569.23006079888728
1	1	2	0.03	-84789.804113642429002	49207.924358515301719	97263.814598146331264
1	1	2	0.04	-83396.426859887200408	48557.815987577334454	95958.399135493731592
1	1	2	0.05	-82651.496566074900329	47916.837841242457216	95762.575706949748565
