# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_beta/phi.table.CollaredFlycatcher_SFS.txt
# sampleSize: 23
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 269430
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-3609089.2865526005626	5125295.5949081983417	9781180.1648596804589
1	1	0	0.01	-3603090.5185141563416	5045020.3406666619703	9781180.1648596785963
1	1	0	0.02	-3716986.0588623136282	4966768.6384357819334	9791823.892997302115
1	1	0	0.03	-3914523.4869867041707	4890637.6215389268473	9814557.2447138316929
1	1	0	0.04	-4147132.8923394382	4816727.8467989563942	9837290.5964303649962
1	1	0	0.05	-4398816.6564974561334	4745143.1087480299175	9860023.9481468927115
1	1	0	0.06	-4662148.5768813192844	4675990.1905717495829	9884882.4418858624995
1	1	0	0.07	-4933044.500893868506	4609378.5448367493227	9917997.4584560450166
1	1	0	0.08	-5209019.0125224292278	4545419.8974718898535	9951112.4750262238085
1	1	0	0.09	-5488455.8203989416361	4484227.7692507104948	9984227.4915964044631
1	1	0	0.1	-5770254.5560903176665	4425916.9102185955271	10017342.508166585118
1	1	0	0.11	-6053641.4300874248147	4370602.6441730530933	10050457.524736763909
1	1	0	0.12	-6338059.7481419891119	4318400.1224759044126	10083572.541306950152
1	1	0	0.13	-6623102.7947867512703	4269423.489161176607	10120051.678617632017
1	1	0	0.14	-6908470.7313731387258	4223784.9624781245366	10159236.173166457564
1	1	0	0.15	-7193941.8493283763528	4181593.8416069680825	10198420.667715283111
1	1	0.5	0	-4806286.2740744501352	5939474.2242291234434	11350938.39200524427
1	1	0.5	0.01	-4757056.9659676849842	5847853.7939951410517	11209114.890623308718
1	1	0.5	0.02	-4845136.6439298838377	5758231.3230448430404	11209114.890623308718
1	1	0.5	0.03	-5025140.8153158202767	5670701.5422729114071	11209114.890623306856
1	1	0.5	0.04	-5244956.5607078447938	5585362.8379424149171	11209114.890623308718
1	1	0.5	0.05	-5486896.770145252347	5502317.15911488235	11209114.890623308718
1	1	0.5	0.06	-5742615.0364947840571	5421669.8761177090928	11209114.890623310581
1	1	0.5	0.07	-6007476.6259007453918	5343529.5835060654208	11219705.958671437576
1	1	0.5	0.08	-6278642.7605834975839	5268007.8409297196195	11242145.570622909814
1	1	0.5	0.09	-6554257.7175552025437	5195218.8454847270623	11264585.182574382052
1	1	0.5	0.1	-6833051.7623764127493	5125279.0295702442527	11287024.794525844976
1	1	0.5	0.11	-7114127.0701769888401	5058306.5790356677026	11309464.406477311626
1	1	0.5	0.12	-7396833.4963713809848	4994420.867544978857	11331904.018428783864
1	1	0.5	0.13	-7680692.2537347227335	4933741.8046460533515	11354343.630380244926
1	1	0.5	0.14	-7965346.8334522247314	4876389.0970415445045	11376783.242331715301
1	1	0.5	0.15	-8250530.2461332306266	4822481.4250206686556	11406723.163278862834
1	1	1	0	-5563340.7075856328011	6349423.3825681805611	12154022.620814021677
1	1	1	0.01	-5486503.417904868722	6252686.4832424204797	11947463.716176612303
1	1	1	0.02	-5560177.5003681853414	6157945.3058505160734	11940324.77788685821
1	1	1	0.03	-5730941.2527294903994	6065293.3719215411693	11940324.77788685821
1	1	1	0.04	-5944179.0787922888994	5974827.8762328699231	11940324.777886856347
1	1	1	0.05	-6181151.6181077808142	5886649.6225992953405	11940324.77788685821
1	1	1	0.06	-6432983.3431406319141	5800862.9162731040269	11940324.777886852622
1	1	1	0.07	-6694739.3678545132279	5717575.4068522434682	11940324.77788685821
1	1	1	0.08	-6963395.1970698833466	5636897.875444942154	11940324.77788685821
1	1	1	0.09	-7236972.4419982731342	5558943.9598591839895	11946183.620721293613
1	1	1	0.1	-7514116.1485390216112	5483829.8118212120607	11968000.955669112504
1	1	1	0.11	-7793866.875414788723	5411673.6807283852249	11989818.290616929531
1	1	1	0.12	-8075528.4768083170056	5342595.419256689027	12011635.625564750284
1	1	1	0.13	-8358586.9169241935015	5276715.9073179084808	12033452.960512574762
1	1	1	0.14	-8642658.0962706953287	5214156.3924307236448	12055270.295460389927
1	1	1	0.15	-8927453.0473843961954	5155037.7465558415279	12077087.63040821068
1	1	1.5	0	-6133845.4323393926024	6623846.1336623150855	12688206.055915091187
1	1	1.5	0.01	-6036060.1726679429412	6523842.8313451390713	12475893.070346681401
1	1	1.5	0.02	-6099740.1347030997276	6425836.8102113846689	12433283.554989073426
1	1	1.5	0.03	-6264293.9198175817728	6329920.842518963851	12433283.554989079013
1	1	1.5	0.04	-6473164.6286826208234	6236191.3674420230091	12433283.554989075288
1	1	1.5	0.05	-6706851.5599876344204	6144748.4413826810196	12433283.554989077151
1	1	1.5	0.06	-6956111.4026109054685	6055695.6480742571875	12433283.554989073426
1	1	1.5	0.07	-7215805.7110896781087	5969139.9626788906753	12433283.554989073426
1	1	1.5	0.08	-7482785.9857880100608	5885191.5638922844082	12433283.554989079013
1	1	1.5	0.09	-7754992.7508700117469	5803963.5880217021331	12433283.554989077151
1	1	1.5	0.1	-8031015.0850553140044	5725571.8191433651373	12433283.554989077151
1	1	1.5	0.11	-8309853.2534443959594	5650134.3098168596625	12450583.336877739057
1	1	1.5	0.12	-8590781.1118625551462	5577770.9274839097634	12471821.862225055695
1	1	1.5	0.13	-8873261.6796733140945	5508602.8226505704224	12493060.387572381645
1	1	1.5	0.14	-9156892.9177621230483	5442751.816283476539	12514298.912919713184
1	1	1.5	0.15	-9441371.5777842253447	5380339.7055682642385	12535537.438267037272
1	1	2	0	-6595200.4687430337071	6828404.8383056912571	13084815.183595893905
1	1	2	0.01	-6480429.3295494094491	6726035.8627804946154	12868259.879608841613
1	1	2	0.02	-6536542.4129041880369	6625666.6939707268029	12802269.968487149104
1	1	2	0.03	-6696494.4354890137911	6527389.5833133403212	12802269.96848715283
1	1	2	0.04	-6902153.2406486272812	6431300.4381441324949	12802269.968487149104
1	1	2	0.05	-7133428.7517520189285	6337498.7810309799388	12802269.968487145379
1	1	2	0.06	-7380800.1267807260156	6246087.6710174595937	12802269.968487150967
1	1	2	0.07	-7638977.5771876201034	6157173.5812038257718	12802269.968487143517
1	1	2	0.08	-7904721.2252128943801	6070866.226880909875	12802269.968487149104
1	1	2	0.09	-8175912.1655996665359	5987278.3383489884436	12802269.968487145379
1	1	2	0.1	-8451098.5945260226727	5906525.3726377636194	12802269.968487149104
1	1	2	0.11	-8729251.4038894325495	5828725.1586376251653	12802269.968487149104
1	1	2	0.12	-9009622.6087616235018	5753997.4707004865631	12817088.123325232416
1	1	2	0.13	-9291658.5357691273093	5682463.5266133360565	12837813.769474683329
1	1	2	0.14	-9574944.1000491455197	5614245.4070271104574	12858539.415624134243
1	1	2	0.15	-9859165.6703289225698	5549465.394966439344	12879265.061773590744
1	1	2.5	0	-6983720.3771994560957	6990286.3275183923542	13397785.027508450672
1	1	2.5	0.01	-6854640.6797591298819	6886082.1990001657978	13177898.435972159728
1	1	2.5	0.02	-6904725.3481684550643	6783880.6141733881086	13095080.901387585327
1	1	2.5	0.03	-7061068.898106649518	6683773.4363607885316	13095080.901387579739
1	1	2.5	0.04	-7264222.0844062566757	6585856.1732792779803	13095080.901387579739
1	1	2.5	0.05	-7493618.9028023555875	6490227.9426005966961	13095080.901387579739
1	1	2.5	0.06	-7739518.4091480225325	6396991.4009618982673	13095080.901387583464
1	1	2.5	0.07	-7996511.9900934696198	6306252.6310259243473	13095080.901387579739
1	1	2.5	0.08	-8261288.4371799007058	6218120.980966555886	13095080.901387585327
1	1	2.5	0.09	-8531682.6098192632198	6132708.8506487580016	13095080.90138758719
1	1	2.5	0.1	-8806210.960681296885	6050131.4188196640462	13095080.901387581602
1	1	2.5	0.11	-9083821.6009060442448	5970506.3058693893254	13095080.901387583464
1	1	2.5	0.12	-9363749.6179971024394	5893953.1671992018819	13095080.901387581602
1	1	2.5	0.13	-9645428.4058285653591	5820593.2129915244877	13111763.612653968856
1	1	2.5	0.14	-9928432.7742848917842	5750548.6512490753084	13132035.325573168695
1	1	2.5	0.15	-10212441.05008571595	5683942.052389013581	13152307.038492372259
1	1	3	0	-7319784.5087281540036	7123449.7860249271616	13654665.846099626273
1	1	3	0.01	-7178341.7642706185579	7017758.3268615733832	13432055.05077649653
1	1	3	0.02	-7223457.1396794095635	6914072.1117526898161	13336422.159886021167
1	1	3	0.03	-7376862.6833283081651	6812482.7009587846696	13336422.159886019304
1	1	3	0.04	-7577983.5599281862378	6713085.2882466847077	13336422.159886021167
1	1	3	0.05	-7805857.9293582588434	6615978.671047128737	13336422.159886021167
1	1	3	0.06	-8050564.2526341378689	6521265.1852452661842	13336422.159886021167
1	1	3	0.07	-8306597.1303892061114	6429050.5993418991566	13336422.159886019304
1	1	3	0.08	-8570587.4885956197977	6339443.9624914983287	13336422.159886021167
1	1	3	0.09	-8840332.7644452601671	6252557.4008006053045	13336422.159886026755
1	1	3	0.1	-9114323.750708244741	6168505.8562919404358	13336422.15988602303
1	1	3	0.11	-9391490.1568669304252	6087406.7631442630664	13336422.159886021167
1	1	3	0.12	-9671053.4022362008691	6009379.6562462281436	13336422.159886021167
1	1	3	0.13	-9952436.4403450861573	5934545.707794544287	13337769.231201021001
1	1	3	0.14	-10235205.924160778522	5863027.1886598197743	13357636.314627479762
1	1	3	0.15	-10519033.689144775271	5794946.852568265982	13377503.39805392921
1	1	3.5	0	-7616103.2709198370576	7236020.213125183247	13871433.37450244464
1	1	3.5	0.01	-7463780.8428866639733	7129085.9478701232001	13646530.441513122991
1	1	3.5	0.02	-7504697.6269716247916	7024159.5044855354354	13540743.450072009116
1	1	3.5	0.03	-7655645.4831062331796	6921332.1984833152965	13540743.450072010979
1	1	3.5	0.04	-7855071.3009103834629	6820698.9688771227375	13540743.450072009116
1	1	3.5	0.05	-8081676.6879943534732	6722358.351895053871	13540743.450072010979
1	1	3.5	0.06	-8325388.1849659606814	6626412.4202706497163	13540743.450072010979
1	1	3.5	0.07	-8580619.426953651011	6532966.6829636590555	13540743.450072010979
1	1	3.5	0.08	-8843953.0782715380192	6442129.9399252627045	13540743.450072014704
1	1	3.5	0.09	-9113155.4157878831029	6354014.0863883756101	13540743.450072009116
1	1	3.5	0.1	-9386695.8850465714931	6268733.861166421324	13540743.450072010979
1	1	3.5	0.11	-9663488.8940135240555	6186406.5336202485487	13540743.450072010979
1	1	3.5	0.12	-9942744.4994364306331	6107151.5243422789499	13540743.450072009116
1	1	3.5	0.13	-10223876.976799510419	6031089.9552489956841	13540743.450072012842
1	1	3.5	0.14	-10506446.199450969696	5958344.1257036039606	13548740.165842298418
1	1	3.5	0.15	-10790118.607751436532	5889036.9125418225303	13568243.546081759036
1	1	4	0	-7881187.6936429589987	7333139.5308989519253	14058168.470914404839
1	1	4	0.01	-7719156.3561903089285	7225143.0666523361579	13831295.632009360939
1	1	4	0.02	-7756458.3925076127052	7119156.8534095752984	13717223.051324089989
1	1	4	0.03	-7905307.8080920577049	7015272.0039351023734	13717223.051324093714
1	1	4	0.04	-8103289.7538291588426	6913583.2453826367855	13717223.051324089989
1	1	4	0.05	-8328814.7445599809289	6814188.8958531413227	13717223.051324089989
1	1	4	0.06	-8571679.0504678785801	6717190.8073087967932	13717223.051324093714
1	1	4	0.07	-8826227.1852870285511	6622694.2697902182117	13717223.051324089989
1	1	4	0.08	-9089000.7071452140808	6530807.8716437062249	13717223.051324089989
1	1	4	0.09	-9357739.3851374089718	6441643.310322875157	13717223.051324091852
1	1	4	0.1	-9630894.5167545825243	6355315.1483167493716	13717223.051324093714
1	1	4	0.11	-9907367.5060614943504	6271940.5089106196538	13717223.051324093714
1	1	4	0.12	-10186358.755147896707	6191638.706844621338	13717223.051324088126
1	1	4	0.13	-10467275.166550152004	6114530.8095365650952	13717223.051324088126
1	1	4	0.14	-10749670.85385967046	6040739.1254166960716	13717223.051324088126
1	1	4	0.15	-11033207.674003690481	5970386.6171129234135	13733046.50511649996
1	1	4.5	0	-8121038.2166976854205	7418264.0959515953436	14221631.371298898011
1	1	4.5	0.01	-7950246.5820356085896	7309343.8467027656734	13993037.529239987954
1	1	4.5	0.02	-7984389.9505128934979	7202436.1264365725219	13872048.536706728861
1	1	4.5	0.03	-8131418.5771394893527	7097631.8765829056501	13872048.536706730723
1	1	4.5	0.04	-8328150.1365808099508	6995025.6446701372042	13872048.536706728861
1	1	4.5	0.05	-8552739.8835368901491	6894715.5632208669558	13872048.536706725135
1	1	4.5	0.06	-8794870.6696716174483	6796803.2956579830498	13872048.536706734449
1	1	4.5	0.07	-9048827.0447168946266	6701393.9442502846941	13872048.536706734449
1	1	4.5	0.08	-9311114.9723498597741	6608595.9148840103298	13872048.536706730723
1	1	4.5	0.09	-9579451.2902021110058	6518520.7332974607125	13872048.536706732586
1	1	4.5	0.1	-9852271.6039874106646	6431282.8073920141906	13872048.536706728861
1	1	4.5	0.11	-10128466.076822720468	6346999.1303688865155	13872048.536706730723
1	1	4.5	0.12	-10407226.766176342964	6265788.9197746450081	13872048.536706730723
