# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_beta/phi.table.CrestedIbis_SFS.txt
# sampleSize: 15
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 44153
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-828752.85133793903515	619537.83556346094701	1186294.15547927632
1	1	0	0.01	-828704.44877025624737	613075.20733115274925	1175013.4687853571959
1	1	0	0.02	-814680.50638814037666	606695.55634754768107	1175013.4687853567302
1	1	0	0.03	-813861.5425247522071	600401.52767779666465	1175013.4687853571959
1	1	0	0.04	-818563.71462375577539	594195.84219518909231	1175013.4687853569631
1	1	0	0.05	-826315.16820903448388	588081.29661171406042	1175013.4687853571959
1	1	0	0.06	-835985.396488789469	582060.76320709544234	1175013.4687853569631
1	1	0	0.07	-846956.74789128638804	576137.18922161660157	1175013.4687853571959
1	1	0	0.08	-858853.076067622751	570313.59587633004412	1175013.4687853571959
1	1	0	0.09	-871427.96827239589766	564593.07698274299037	1175013.4687853571959
1	1	0	0.1	-884511.36589442798868	558978.79710284189787	1175013.4687853569631
1	1	0	0.11	-897981.26606513047591	553473.98921944433823	1175013.4687853574287
1	1	0	0.12	-911747.50398096907884	548081.95187643030658	1175013.4687853571959
1	1	0	0.13	-925741.87956631369889	542806.04574849421624	1175013.4687853569631
1	1	0	0.14	-939911.84945261431858	537649.68960076768417	1175013.4687853569631
1	1	0	0.15	-954216.33491632621735	532616.35560010175686	1175013.4687853569631
1	1	0.5	0	-1006593.6699382658117	684952.00258994614705	1314855.8909368428867
1	1	0.5	0.01	-1001875.521530399099	677659.02965717029292	1299949.7690453971736
1	1	0.5	0.02	-984499.33930823253468	670455.39486196124926	1285043.6471539509948
1	1	0.5	0.03	-981094.48516813991591	663344.00873363588471	1283793.592729098862
1	1	0.5	0.04	-983705.66206095879897	656327.86985301959794	1283793.5927290990949
1	1	0.5	0.05	-989710.29641429241747	649410.06534275808372	1283793.592729098862
1	1	0.5	0.06	-997886.69244267558679	642593.77104891021736	1283793.5927290986292
1	1	0.5	0.07	-1007558.3168581039645	635882.25137435935903	1283793.5927290986292
1	1	0.5	0.08	-1018309.0056249313056	629278.85872217221186	1283793.5927290986292
1	1	0.5	0.09	-1029864.0004138154909	622787.03250479255803	1283793.5927290990949
1	1	0.5	0.1	-1042032.4687494589016	616410.29767295625061	1283793.592729098862
1	1	0.5	0.11	-1054676.7430103984661	610152.2627165208105	1283793.5927290990949
1	1	0.5	0.12	-1067694.5580842769705	604016.61708814650774	1283793.592729098862
1	1	0.5	0.13	-1081008.1727113812231	598007.12800000794232	1283793.5927290990949
1	1	0.5	0.14	-1094557.3860355182551	592127.63654360710643	1283793.592729098862
