# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_beta/phi.table.Culex_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 106
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-498.0572248298140039	912.44365244964660633	1882.3032542799678595
1	1	0	0.01	-497.84047836848185398	885.02105768045032619	1843.128550936524789
1	1	0	0.02	-535.75260036919462436	859.26746535737765953	1860.5418033759976879
1	1	0	0.03	-607.18707282458126429	835.33725664982841863	1877.9550558154721784
1	1	0	0.04	-692.98161101302139286	813.39138089515597585	1895.3683082549459868
1	1	0	0.05	-786.77376625993383641	793.59447800718373855	1912.7815606944186584
1	1	0	0.06	-885.57919026547824615	776.11101227476433451	1930.1948131338922394
1	1	0	0.07	-987.73821477890123788	761.10042837100229463	1947.6080655733658205
1	1	0	0.08	-1092.229502738944575	748.71147420123418215	1965.2335942651279765
1	1	0	0.09	-1198.3815210464290431	739.07599878249743597	1983.01942041900611
1	1	0	0.1	-1305.7320831479610206	732.30269915780456813	2000.8052465728835614
1	1	0	0.11	-1413.9525840880996839	728.47141690869671038	2018.5910727267614675
1	1	0	0.12	-1522.8039082243067242	727.62862653541981217	2036.3768988806393736
1	1	0	0.13	-1632.109225258234801	729.78468187293253777	2054.1627250345172797
1	1	0	0.14	-1741.7364102855935926	734.91318975824071913	2071.9485511883958679
1	1	0	0.15	-1851.5862482410720986	742.95259734829971876	2089.7343773422735467
1	1	0.5	0	-703.46239418339609983	1209.4862559545024396	2350.9522316647048683
1	1	0.5	0.01	-684.01954138517976389	1176.166404632623653	2287.3295873369675064
1	1	0.5	0.02	-710.14791012081150257	1144.1991388403084784	2232.4974258318061402
1	1	0.5	0.03	-773.61230701730892179	1113.7009370348255288	2241.1411932165724465
1	1	0.5	0.04	-853.68681947931327159	1084.7957111246662407	2249.7849606013382981
1	1	0.5	0.05	-943.21750776382214099	1057.6140801301610281	2258.428727986103695
1	1	0.5	0.06	-1038.7735032049076835	1032.2922066922437807	2268.377357834335271
1	1	0.5	0.07	-1138.4226144559415843	1008.9701221534711522	2285.3887599543700162
1	1	0.5	0.08	-1240.9669099327365984	987.78948399551029524	2302.4001620744056709
1	1	0.5	0.09	-1345.6149010930439545	968.89074300393497197	2319.4115641944408708
1	1	0.5	0.1	-1451.8197651239297556	952.40974845819118855	2336.4229663144765254
1	1	0.5	0.11	-1559.1912920578197372	938.47388665351127202	2353.4343684345112706
1	1	0.5	0.12	-1667.4443508635395119	927.19792536209683931	2370.4457705545464705
1	1	0.5	0.13	-1776.3669881822697789	918.67981340284279668	2387.4571726745816704
1	1	0.5	0.14	-1885.7997770822203165	912.9967449037607139	2404.4685747946168703
1	1	0.5	0.15	-1995.6219515589218645	910.20182528311840997	2421.479976914652525
1	1	1	0	-853.07792911991964502	1361.6601936378260689	2592.4720651222578454
