# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_beta/phi.table.DPGP3_SFS.txt
# sampleSize: 195
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 151138
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-1705426.1049873419106	2152450.2220794782043	4177814.8311773622409
1	1	0	0.01	-1671775.8578737452626	2111952.3958994601853	4106593.7244368749671
1	1	0	0.02	-1684360.4790827855468	2072431.8008031672798	4106593.7244368721731
1	1	0	0.03	-1751016.3425475358963	2033945.4018813713919	4106593.7244368721731
1	1	0	0.04	-1840302.7882509529591	1996553.0068364853505	4109579.0752086644061
1	1	0	0.05	-1941908.7562522701919	1960317.2199418575037	4117508.0296703022905
1	1	0	0.06	-2051119.833707280457	1925303.3472449635155	4128983.1493968269788
1	1	0	0.07	-2165383.6541358046234	1891579.2442940527108	4142976.9416735502891
1	1	0	0.08	-2283167.7310257442296	1859215.0973985760938	4158503.5257242727093
1	1	0	0.09	-2403485.8474813774228	1828283.1295411670581	4174554.7153762457892
1	1	0	0.1	-2525671.5139745734632	1798857.2226706112269	4191458.1092063533142
1	1	0	0.11	-2649258.0653938092291	1771012.4493528888561	4208874.5811480078846
1	1	0	0.12	-2773910.1997368708253	1744824.508766124025	4227013.4176960056648
1	1	0	0.13	-2899382.5105019696057	1720369.0648922645487	4245577.5453480239958
1	1	0	0.14	-3025493.1526077464223	1697720.9885328493547	4264338.469476335682
1	1	0	0.15	-3152106.4587578102946	1676953.5094304049853	4283400.4414777969941
1	1	0.5	0	-2191042.2901366055012	2365526.9694531261921	4600391.0606529507786
1	1	0.5	0.01	-2122678.8278390429914	2322595.3540366166271	4513661.4297485994175
1	1	0.5	0.02	-2126134.7724079601467	2280628.5496122115292	4513661.4297485947609
1	1	0.5	0.03	-2187432.0851141363382	2239680.792289739009	4513661.4297485984862
1	1	0.5	0.04	-2273015.1350823901594	2199808.9891461790539	4513661.4297486022115
1	1	0.5	0.05	-2371879.0927602350712	2161072.6950837490149	4514181.4914068607613
1	1	0.5	0.06	-2478986.6910377368331	2123534.050934007857	4521757.1607249258086
1	1	0.5	0.07	-2591606.6396479867399	2087257.6757188648917	4529332.8300429889932
1	1	0.5	0.08	-2708096.2042768597603	2052310.5056374589913	4539550.1742444103584
1	1	0.5	0.09	-2827396.19338978827	2018761.5722476758529	4550542.8513027960435
1	1	0.5	0.1	-2948789.2492945939302	1986681.7125421448145	4563357.737211342901
1	1	0.5	0.11	-3071771.8338625729084	1956143.2042788497638	4576985.2080722348765
1	1	0.5	0.12	-3195981.0887071639299	1927219.3211139005143	4591254.7463552821428
1	1	0.5	0.13	-3321150.506646964699	1899983.8038874363992	4606299.2322596553713
1	1	0.5	0.14	-3447081.7645799480379	1874510.2468980727717	4621343.7181640258059
1	1	0.5	0.15	-3573626.1196777559817	1850871.4011915130541	4637073.5164594016969
1	1	1	0	-2492093.9507365860045	2475658.9572435100563	4816201.5579132176936
1	1	1	0.01	-2404381.5619366541505	2431558.4369013877586	4724521.8326157191768
1	1	1	0.02	-2403531.5738957114518	2388418.9549535722472	4724521.8326157182455
1	1	1	0.03	-2462301.5673852041364	2346293.5216050040908	4724521.8326157163829
1	1	1	0.04	-2546135.84184563905	2305237.7290636627004	4724521.8326157107949
1	1	1	0.05	-2643700.1073619909585	2265309.7356212600134	4724521.8326157117262
1	1	1	0.06	-2749803.6385239325464	2226570.2149115423672	4727955.5048903590068
1	1	1	0.07	-2861630.3631701953709	2189082.263961520046	4735228.7056589648128
1	1	1	0.08	-2977485.5539673045278	2152911.2633082312532	4742501.9064275771379
1	1	1	0.09	-3096275.7809381149709	2118124.682306707371	4752139.4213134748861
1	1	1	0.1	-3217259.9383771978319	2084791.8228790201247	4762551.6682131737471
1	1	1	0.11	-3339917.3521307632327	2052983.4954325514846	4774064.4984748037532
1	1	1	0.12	-3463872.4090507663786	2022771.6215931496117	4786295.4241934921592
1	1	1	0.13	-3588848.8689990565181	1994228.7598356397357	4799496.4201821275055
1	1	1	0.14	-3714640.8298670463264	1967427.5521140547935	4812938.4701630230993
1	1	1	0.15	-3841093.5482121519744	1942440.0922314953059	4827231.6889494396746
1	1	1.5	0	-2717141.0422100573778	2550511.9393546595238	4962028.0667138518766
1	1	1.5	0.01	-2615841.7332802675664	2505640.1477692942135	4868839.3033161899075
1	1	1.5	0.02	-2612227.3714696392417	2461727.6195711302571	4867739.7936614053324
1	1	1.5	0.03	-2669377.3953943662345	2418826.6000953302719	4867739.7936614062637
1	1	1.5	0.04	-2752091.8350187093019	2376991.8584676482715	4867739.7936614006758
1	1	1.5	0.05	-2848823.408624663949	2336280.6754834945314	4867739.7936614062637
1	1	1.5	0.06	-2954282.3277664706111	2296752.7989701260813	4868171.2256142618135
1	1	1.5	0.07	-3065597.9564257711172	2258470.3606733377092	4875197.8747490001842
1	1	1.5	0.08	-3181042.2146890126169	2221497.7483729696833	4882224.5238837311044
1	1	1.5	0.09	-3299499.7763439752162	2185901.4267655722797	4889317.0181669360027
1	1	1.5	0.1	-3420214.3897202759981	2151749.7007246720605	4899350.7909533483908
1	1	1.5	0.11	-3542654.4776331521571	2119112.4149334407412	4909384.5637397505343
1	1	1.5	0.12	-3666436.3280301764607	2088060.5846585778054	4920427.1497554471716
1	1	1.5	0.13	-3791277.5311635732651	2058665.9536718854215	4932194.5728662880138
1	1	1.5	0.14	-3916967.387365244329	2031000.4770886169281	4944543.2673326805234
1	1	1.5	0.15	-4043347.3588906899095	2005135.729217346292	4957461.1603385759518
1	1	2	0	-2898303.7494880929589	2606911.9618231435306	5071481.7781651550904
1	1	2	0.01	-2786573.7524299062788	2561469.0093657388352	4977181.9801885234192
1	1	2	0.02	-2780965.2642912641168	2516984.3484058212489	4975543.7586668170989
1	1	2	0.03	-2836948.6884764358401	2473509.6824619285762	4975543.7586668143049
1	1	2	0.04	-2918857.5390689857304	2431099.1965117780492	4975543.7586668217555
1	1	2	0.05	-3014990.0688048116863	2389809.5472781425342	4975543.7586668226868
1	1	2	0.06	-3119984.7750311121345	2349699.8225683202036	4975543.7586668226868
1	1	2	0.07	-3230931.6169726476073	2310831.4640033054166	4980585.2897001989186
1	1	2	0.08	-3346078.4843785688281	2273268.1471423492767	4987405.6104531446472
1	1	2	0.09	-3464294.3076567277312	2237075.6128326561302	4994225.931206096895
1	1	2	0.1	-3584811.9647544771433	2202321.4436551877297	5002333.566367443651
1	1	2	0.11	-3707092.0652938149869	2169074.7796631148085	5012053.7883795835078
1	1	2	0.12	-3830745.1010011658072	2137405.9682924011722	5021774.0103917298838
1	1	2	0.13	-3955484.2514175511897	2107386.1444328664802	5032777.0934532796964
1	1	2	0.14	-4081095.3900496214628	2079086.7382429074496	5044162.8347979001701
1	1	2	0.15	-4207417.2707794345915	2052578.9104104372673	5056072.2336484305561
1	1	2.5	0	-3050415.9041694253683	2651912.6748001193628	5158563.8026880482212
1	1	2.5	0.01	-2930261.4720849879086	2606019.2781706484966	5063381.657502155751
1	1	2.5	0.02	-2923117.6093683391809	2561083.6018181275576	5061473.086786981672
1	1	2.5	0.03	-2978204.2366469949484	2517156.937236818485	5061473.086786984466
1	1	2.5	0.04	-3059494.3816262073815	2474293.0246295128018	5061473.0867869798094
