# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_beta/phi.table.Emys_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 14
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-164.97586103429921423	158.51009452982250991	311.36654059047452847
1	1	0	0.01	-167.86802531346552314	155.78511246482975139	312.86884736698635834
1	1	0	0.02	-169.02098135631945297	153.1394258848407901	314.37115414349830189
1	1	0	0.03	-174.36763956512368168	150.5772145838481606	315.87346092001007491
1	1	0	0.04	-181.45022448338613685	148.10281104744245795	317.37576769652201847
1	1	0	0.05	-189.47462308264562125	145.72068839156384001	318.87807447303390518
1	1	0	0.06	-198.07748847130778813	143.43544438980435984	320.38038124954584873
1	1	0	0.07	-207.06097877042338951	141.25178117858430937	321.88268802605773544
1	1	0	0.08	-216.30543950323703939	139.17448028204475463	323.384994802569679
1	1	0	0.09	-225.73328279502356963	137.2083726828085446	324.88730157908145202
1	1	0	0.1	-235.29168071987032818	135.35830378511798244	326.38960835559350926
1	1	0	0.11	-244.94337018912619897	133.62909327589068198	327.89191513210533913
1	1	0	0.12	-254.66137690258688053	132.02549008703476829	329.39422190861728268
1	1	0	0.13	-264.42580231087003995	130.55212289556737915	330.89652868512916939
1	1	0	0.14	-274.22177188024693351	129.21344685902295168	332.39883546164111294
1	1	0	0.15	-284.03807330916447427	128.01368755985569692	333.90114223815288597
1	1	0.5	0	-202.24301729401577177	187.15642802912270781	357.83919710039344864
1	1	0.5	0.01	-203.7869140592858912	184.00131131757427738	353.33741295567062934
1	1	0.5	0.02	-204.11633184040988453	180.92270612066101876	354.25615728319797881
1	1	0.5	0.03	-208.90868624648555851	177.92458408811504	355.17490161072527144
1	1	0.5	0.04	-215.59622814171939353	175.01108155000895295	356.09364593825262091
1	1	0.5	0.05	-223.32924915912099095	172.18649400330005506	357.01239026577997038
1	1	0.5	0.06	-231.71308186135775031	169.45526778020970937	357.93113459330731985
1	1	0.5	0.07	-240.53079521949325681	166.82198850644999766	358.84987892083466932
1	1	0.5	0.08	-249.6503812830710558	164.29136596151116123	359.87595926669615665
1	1	0.5	0.09	-258.98587075015552728	161.86821497508924494	361.30389010147746376
1	1	0.5	0.1	-268.4785280851178868	159.55743203753843318	362.77524259245564053
1	1	0.5	0.11	-278.08679381735441893	157.36396737206135299	364.24659508343398784
1	1	0.5	0.12	-287.78048672273666853	155.29279231569680064	365.71794757441233514
1	1	0.5	0.13	-297.53726185043728947	153.34886198732147022	367.18930006539073929
1	1	0.5	0.14	-307.34034399733309328	151.53707338429262563	368.6606525563690866
1	1	0.5	0.15	-317.17702135612944403	149.86221924292951257	370.13200504734737706
1	1	1	0	-226.15166736179435247	201.60407716876184736	384.5640102933560911
1	1	1	0.01	-226.81786282237294472	198.25801001380568778	378.18192495353662252
1	1	1	0.02	-226.67546430456150119	194.98772981618367339	377.87203648925162724
1	1	1	0.03	-231.17006466363659456	191.79711328321008068	378.64328084675480568
1	1	1	0.04	-237.65226157678898744	188.69020162516272876	379.41452520425781358
1	1	1	0.05	-245.23595074354284407	185.67119689274713323	380.18576956176082149
1	1	1	0.06	-253.50765696704092989	182.74445590084147284	380.95701391926394308
1	1	1	0.07	-262.23967872325715689	179.91448137955023867	381.72825827676695098
1	1	1	0.08	-271.29335382619706252	177.1859099881226598	382.49950263427007258
1	1	1	0.09	-280.57835453458005759	174.56349683491760061	383.27074699177302364
1	1	1	0.1	-290.03295542390401351	172.05209617095079011	384.0702296769077293
1	1	1	0.11	-299.61346781701536202	169.65663796937198526	384.96249165132439884
1	1	1	0.12	-309.28814698965129537	167.38210017200651691	385.85475362574084102
1	1	1	0.13	-319.03347036164268502	165.2334764797416824	387.04463154785997858
1	1	1	0.14	-328.83175676918835961	163.21573968781217445	388.27586756793522227
1	1	1	0.15	-338.66958502284637689	161.33380072001847338	389.54265607815881367
1	1	1.5	0	-244.27702241996644261	211.2801412074926759	402.47810648540439615
1	1	1.5	0.01	-244.26937258152770482	207.81296716397636715	395.8696688709971454
1	1	1.5	0.02	-243.79477363948626589	204.42128131835582394	394.05982088967334676
1	1	1.5	0.03	-248.08763758741997663	201.10890301447449247	394.81142961323899954
1	1	1.5	0.04	-254.43320558672667175	197.87981496109409818	395.56303833680493653
1	1	1.5	0.05	-261.91828146521129383	194.73816048194794348	396.314647060370703
1	1	1.5	0.06	-270.116023532244526	191.68823857569756797	397.06625578393646947
1	1	1.5	0.07	-278.79131340975573039	188.73449644969161909	397.81786450750217909
1	1	1.5	0.08	-287.80100775880100628	185.88151918221569758	398.56947323106811609
1	1	1.5	0.09	-297.05189078396915647	183.13401616947808748	399.32108195463388256
1	1	1.5	0.1	-306.48027920280128455	180.49680402916135336	400.07269067819981956
1	1	1.5	0.11	-316.04110222704048283	177.9747856653430631	400.82429940176547234
1	1	1.5	0.12	-325.70160677198305166	175.57292525333372168	401.57590812533140934
1	1	1.5	0.13	-335.43751435494391444	173.29621898040693395	402.32751684889717581
1	1	1.5	0.14	-345.23056428179052091	171.14966148170478277	403.07912557246299912
1	1	1.5	0.15	-355.0668826740068198	169.13820804065431957	403.83073429602870874
1	1	2	0	-258.98737107125361945	218.49448794735994284	416.18205167962275937
1	1	2	0.01	-258.42847288574466802	214.93994885471838074	409.06530017717415149
1	1	2	0.02	-257.69972501403753995	211.46075664307608122	406.25266054407745742
