# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_beta/phi.table.Gorilla_gorilla_SFS.txt
# sampleSize: 53
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 42
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-4759721.1816633380949	4670401.4909547092393	9064303.1284276694059
1	1	0	0.01	-4917945.1901655457914	4608442.0567372096702	8961806.3164503239095
1	1	0	0.02	-5101625.1454958207905	4547546.6256646951661	8961806.3164503257722
1	1	0	0.03	-5296619.163329590112	4487758.5110589740798	8964475.1356610096991
1	1	0	0.04	-5497633.7705392427742	4429122.5556839099154	8979261.4218875318766
1	1	0	0.05	-5702080.924668405205	4371685.1203685104847	8994047.7081140466034
1	1	0	0.06	-5908512.4734441749752	4315494.0607921974733	9008833.9943405669183
1	1	0	0.07	-6116047.3602964319289	4260598.6908545838669	9023620.2805670797825
1	1	0	0.08	-6324119.5564115904272	4207049.730985917151	9044166.6022048741579
1	1	0	0.09	-6532352.3633755408227	4154899.2397124804556	9065721.985550750047
1	1	0	0.1	-6740489.7635936774313	4104200.5267817759886	9087277.3688966277987
1	1	0	0.11	-6948356.2372063361108	4055008.0461826552637	9108832.7522425092757
1	1	0	0.12	-7155831.9240750186145	4007377.2674748413265	9131516.9970541391522
1	1	0	0.13	-7362836.5823627822101	3961364.5239790771157	9157109.7780790515244
1	1	0	0.14	-7569318.8492914102972	3917026.836582005024	9182702.559103962034
1	1	0	0.15	-7775248.8339725472033	3874421.7121868743561	9208295.3401288688183
1	1	0.5	0	-5886740.6050508357584	5162507.1933223186061	10041139.802865115926
1	1	0.5	0.01	-5998186.5283935628831	5094682.7858891952783	9900060.2699763495475
1	1	0.5	0.02	-6161458.2106302268803	5027950.5117115853354	9866920.3168536424637
1	1	0.5	0.03	-6343945.9432337768376	4962354.4310397617519	9866920.3168536424637
1	1	0.5	0.04	-6536205.5607878081501	4897940.1937909796834	9866920.3168536424637
1	1	0.5	0.05	-6734113.8535082004964	4834755.0378794288263	9866920.3168536350131
1	1	0.5	0.06	-6935493.3261865414679	4772847.7769882753491	9870667.2275248672813
1	1	0.5	0.07	-7139058.7852157838643	4712268.7762857256457	9885032.3982413038611
1	1	0.5	0.08	-7343995.8113302327693	4653069.914504500106	9899397.5689577441663
1	1	0.5	0.09	-7549763.3525631912053	4595304.5307390121743	9913762.7396741844714
1	1	0.5	0.1	-7755990.5444378890097	4539027.3542740596458	9928127.9103906173259
1	1	0.5	0.11	-7962418.2114368416369	4484294.4157492518425	9942493.0811070594937
1	1	0.5	0.12	-8168863.5565292946994	4431162.937993333675	9956858.2518234960735
1	1	0.5	0.13	-8375197.7622237615287	4379691.2049396373332	9977086.4821507483721
1	1	0.5	0.14	-8581331.1990818493068	4329938.4071669615805	9997891.0412522461265
1	1	0.5	0.15	-8787203.3294125683606	4281964.4628076488152	10018695.600353747606
1	1	1	0	-6572673.7687720544636	5409288.5731627112255	10526495.417752191424
1	1	1	0.01	-6655757.0066859684885	5338718.5564201101661	10380311.198682392016
1	1	1	0.02	-6808712.3779893182218	5269255.712997966446	10327162.928525384516
1	1	1	0.03	-6985057.4370846562088	5200944.4046865720302	10327162.928525391966
1	1	1	0.04	-7173021.573352497071	5133830.5990459965542	10327162.928525391966
1	1	1	0.05	-7367698.8888246305287	5067961.871023000218	10327162.928525390103
1	1	1	0.06	-7566553.9140218384564	5003387.3945524636656	10327162.928525391966
1	1	1	0.07	-7768106.1710395626724	4940157.922695546411	10327162.928525390103
1	1	1	0.08	-7971421.9410194121301	4878325.7547808596864	10340864.515092773363
1	1	1	0.09	-8175881.3927368037403	4817944.6889442857355	10354740.182578342035
1	1	1	0.1	-8381058.6333081461489	4759069.958413746208	10368615.85006390512
1	1	1	0.11	-8586654.3969111330807	4701758.1498634712771	10382491.517549466342
1	1	1	0.12	-8792455.7165155895054	4646067.1021758262068	10396367.185035031289
1	1	1	0.13	-8998310.4830009900033	4592055.7840051259845	10410242.852520594373
1	1	1	0.14	-9204110.7145297862589	4539784.148645282723	10424118.520006164908
1	1	1	0.15	-9409781.1723003797233	4489312.9648698531091	10441295.679281510413
1	1	1.5	0	-7080814.0137002430856	5574342.7703305669129	10849695.541022410616
1	1	1.5	0.01	-7143082.3904206342995	5501989.2439619321376	10700140.533054400235
1	1	1.5	0.02	-7289246.1904491893947	5430753.2569789737463	10636484.285244597122
1	1	1.5	0.03	-7461587.639235150069	5360679.3612080011517	10636484.285244593397
1	1	1.5	0.04	-7646749.4826146624982	5291813.7218872224912	10636484.285244598985
1	1	1.5	0.05	-7839312.2860395871103	5224204.1210700338706	10636484.285244595259
1	1	1.5	0.06	-8036508.258919518441	5157899.9513401929289	10636484.285244595259
1	1	1.5	0.07	-8236730.4946347363293	5092952.1984251849353	10636484.285244598985
1	1	1.5	0.08	-8438968.0275436453521	5029413.4112072680146	10638436.041252236813
1	1	1.5	0.09	-8642549.9798459373415	4967337.6575584085658	10651889.019444093108
1	1	1.5	0.1	-8847014.7790695242584	4906780.4643720285967	10665341.997635953128
1	1	1.5	0.11	-9052037.1552740000188	4847798.7401362759992	10678794.975827803835
1	1	1.5	0.12	-9257384.5691291205585	4790450.6783985905349	10692247.954019654542
1	1	1.5	0.13	-9462889.8020048104227	4734795.6405161721632	10705700.932211518288
1	1	1.5	0.14	-9668432.9684530161321	4680894.0161801539361	10719153.910403370857
1	1	1.5	0.15	-9873929.2961648888886	4628807.0603504478931	10732606.888595230877
1	1	2	0	-7487371.5539331175387	5697354.4164336333051	11089872.287840114906
1	1	2	0.01	-7533179.5179631896317	5623694.8172392165288	10937824.858225734904
1	1	2	0.02	-7674376.8698518387973	5551160.6291899885982	10867595.614242319018
1	1	2	0.03	-7843804.4276088364422	5479796.5425126096234	10867595.614242322743
1	1	2	0.04	-8026924.668091904372	5409648.8653364237398	10867595.614242324606
1	1	2	0.05	-8217944.0721071325243	5340765.5282530933619	10867595.614242326468
1	1	2	0.06	-8413926.3208298571408	5273196.0794148184359	10867595.614242324606
1	1	2	0.07	-8613172.7965549193323	5206991.6687827948481	10867595.614242319018
1	1	2	0.08	-8814616.4531026668847	5142205.0200502006337	10867595.614242322743
1	1	2	0.09	-9017549.3260435424745	5078890.3886896269396	10874202.188253115863
1	1	2	0.1	-9221483.9091794975102	5017103.5045189810917	10887292.350423241034
1	1	2	0.11	-9426076.0281945131719	4956901.4971479671076	10900382.512593358755
1	1	2	0.12	-9631078.9156494922936	4898342.8026667619124	10913472.674763480201
1	1	2	0.13	-9836314.3709033541381	4841487.0499759828672	10926562.836933601648
1	1	2	0.14	-10041653.858737785369	4786394.9252408565953	10939652.999103721231
1	1	2	0.15	-10247005.681148272008	4733128.0130898682401	10952743.161273846403
1	1	2.5	0	-7827161.54231576249	5794706.0808613114059	11279538.339625732973
1	1	2.5	0.01	-7859378.6332661248744	5720025.2438371991739	11125529.354516174644
1	1	2.5	0.02	-7996718.2918502800167	5646476.1304916162044	11050772.16829408519
1	1	2.5	0.03	-8163888.2442348785698	5574103.5395659226924	11050772.168294079602
1	1	2.5	0.04	-8345425.3678550682962	5502953.8906758176163	11050772.168294079602
1	1	2.5	0.05	-8535246.5166957341135	5433075.2296944968402	11050772.168294083327
1	1	2.5	0.06	-8730285.1082142032683	5364517.2248440682888	11050772.16829408519
1	1	2.5	0.07	-8928771.593687158078	5297331.1521265571937	11050772.168294075876
1	1	2.5	0.08	-9129595.5179424546659	5231569.8686384065077	11050772.168294090778
1	1	2.5	0.09	-9332020.193619992584	5167287.7722372952849	11050772.168294077739
1	1	2.5	0.1	-9535538.0238870568573	5104540.7459725383669	11063320.025092443451
1	1	2.5	0.11	-9739790.1887869350612	5043386.0856559136882	11076094.863782642409
1	1	2.5	0.12	-9944518.8993460200727	4983882.4089453089982	11088869.702472841367
1	1	2.5	0.13	-10149537.449729438871	4926089.5443459302187	11101644.541163045913
1	1	2.5	0.14	-10354710.607502844185	4870068.3986107548699	11114419.379853246734
1	1	2.5	0.15	-10559941.313769329339	4815880.8011508071795	11127194.218543451279
1	1	3	0	-8119383.8553999848664	5874797.0427100108936	11435308.908845828846
1	1	3	0.01	-8140051.8179191313684	5799283.5001458404586	11279692.958779670298
1	1	3	0.02	-8274273.15449828282	5724906.9266913207248	11201616.811074949801
1	1	3	0.03	-8439620.9183728955686	5651712.2100897636265	11201616.811074955389
1	1	3	0.04	-8619879.38988256827	5579745.8610820434988	11201616.811074951664
1	1	3	0.05	-8808731.914761248976	5509056.0194130921736	11201616.811074949801
1	1	3	0.06	-9003006.944503236562	5439692.4506800994277	11201616.811074959114
1	1	3	0.07	-9200877.7318762950599	5371706.5326696215197	11201616.811074953526
1	1	3	0.08	-9401198.7926376648247	5305151.2297435877845	11201616.811074959114
1	1	3	0.09	-9603210.2518796883523	5240081.0537585485727	11201616.811074957252
1	1	3	0.1	-9806388.2914930619299	5176552.0099438494071	11208333.831596508622
1	1	3	0.11	-10010362.266976650804	5114621.5261281132698	11220830.946774799377
1	1	3	0.12	-10214865.492206867784	5054348.363696099259	11233328.061953088269
1	1	3	0.13	-10419704.397044878453	4995792.5086863646284	11245825.177131380886
1	1	3	0.14	-10624738.345278639346	4939015.0415119361132	11258322.292309673503
1	1	3	0.15	-10829865.953559350222	4884077.9839085787535	11270819.407487962395
1	1	3.5	0	-8375862.1746624149382	5942512.2293605487794	11566823.426936451346
1	1	3.5	0.01	-8386509.9208093546331	5866299.5175327686593	11409853.37856734544
1	1	3.5	0.02	-8518137.6773236952722	5791228.244953000918	11329236.016962237656
1	1	3.5	0.03	-8681971.2915068976581	5717343.3746197540313	11329236.016962237656
1	1	3.5	0.04	-8861166.6955550350249	5644691.4941302193329	11329236.016962230206
1	1	3.5	0.05	-9049213.4206974767148	5573320.8221790380776	11329236.016962241381
1	1	3.5	0.06	-9242852.7979598678648	5503281.2060073344037	11329236.016962233931
1	1	3.5	0.07	-9440210.5714577026665	5434624.1084626410156	11329236.016962237656
1	1	3.5	0.08	-9640112.1456353701651	5367402.5832430236042	11329236.016962239519
1	1	3.5	0.09	-9841778.3696925081313	5301671.2368228891864	11329236.016962237656
1	1	3.5	0.1	-10044671.93975142017	5237486.1754984259605	11331050.109608964995
1	1	3.5	0.11	-10248412.38159012422	5174904.9359529102221	11343299.728003632277
1	1	3.5	0.12	-10452725.614154990762	5113986.397732517682	11355549.346398286521
1	1	3.5	0.13	-10657412.363236751407	5054790.6760485479608	11367798.964792946354
1	1	3.5	0.14	-10862327.503275740892	4997378.9933896539733	11380048.583187606186
1	1	3.5	0.15	-11067366.059088934213	4941813.5285447333008	11392298.20158226788
1	1	4	0	-8604436.3800047971308	6000941.7197758620605	11680167.438409719616
1	1	4	0.01	-8606251.8302705176175	5924129.0719863148406	11522032.19950033538
1	1	4	0.02	-8735675.550185021013	5848461.7456887727603	11439404.985880894586
1	1	4	0.03	-8898223.2156590633094	5773984.7689304761589	11439404.985880890861
1	1	4	0.04	-9076515.3872628770769	5700744.7956141540781	11439404.985880894586
1	1	4	0.05	-9263877.1604207716882	5628790.1123977927491	11439404.985880890861
1	1	4	0.06	-9456975.935100864619	5558170.6366355009377	11439404.985880898312
1	1	4	0.07	-9653897.112510766834	5488937.9040313065052	11439404.985880894586
1	1	4	0.08	-9853441.3654087372124	5421145.0445907367393	11439404.985880892724
1	1	4	0.09	-10054813.163690891117	5354846.74537884444	11439404.985880892724
1	1	4	0.1	-10257463.744005348533	5290099.198533302173	11439404.985880888999
1	1	4	0.11	-10461004.280222062021	5226960.0329422419891	11449030.158614369109
1	1	4	0.12	-10665154.409210655838	5165488.2279851390049	11461057.001917717978
1	1	4	0.13	-10869710.012102227658	5105744.0077578416094	11473083.845221055672
1	1	4	0.14	-11074522.151219908148	5047788.7142670452595	11485110.688524391502
1	1	4	0.15	-11279482.802032131702	4991684.658192364499	11497137.531827732921
1	1	4.5	0	-8810590.1722680218518	6052162.1598016833887	11779423.853022288531
1	1	4.5	0.01	-8804522.5829756297171	5974826.0149798952043	11620269.559085093439
1	1	4.5	0.02	-8932041.4868411310017	5898638.6134844776243	11536012.312325229868
1	1	4.5	0.03	-9093478.2504173628986	5823645.0405363831669	11536012.312325228006
1	1	4.5	0.04	-9270989.8795825280249	5749892.0082295713946	11536012.31232522428
1	1	4.5	0.05	-9457759.5421352051198	5677427.8627654034644	11536012.31232522428
1	1	4.5	0.06	-9650390.8051208369434	5606302.5828055292368	11536012.312325226143
1	1	4.5	0.07	-9846934.2168286554515	5536567.7676249332726	11536012.312325226143
1	1	4.5	0.08	-10046169.076111208647	5468276.6136598344892	11536012.31232522428
1	1	4.5	0.09	-10247285.695359650999	5401483.8779690125957	11536012.312325220555
1	1	4.5	0.1	-10449725.406358558685	5336245.8270664056763	11536012.312325228006
1	1	4.5	0.11	-10653092.164941456169	5272620.1695430772379	11541747.863711792976
1	1	4.5	0.12	-10857100.179702002555	5210665.970883728005	11553572.476703520864
1	1	4.5	0.13	-11061541.14638152346	5150443.5489036506042	11565397.089695248753
1	1	4.5	0.14	-11266262.834616210312	5092014.3482933295891	11577221.702686976641
1	1	4.5	0.15	-11471154.586536291987	5035440.792867237702	11589046.315678711981
1	1	5	0	-8998318.2372287921607	6097634.6296850964427	11867461.212279362604
1	1	5	0.01	-8985143.1500235460699	6019835.5374673018232	11707404.028019847348
1	1	5	0.02	-9110993.3394091539085	5943188.2406096020713	11621797.99860743247
1	1	5	0.03	-9271457.1935601718724	5867737.875249106437	11621797.99860743992
1	1	5	0.04	-9448285.0573130585253	5793531.2052402189001	11621797.998607436195
1	1	5	0.05	-9634535.891323748976	5720616.6296735974029	11621797.99860743247
1	1	5	0.06	-9826757.3780666328967	5649044.1815806953236	11621797.998607438058
1	1	5	0.07	-10022969.537176582962	5578865.5165140815079	11621797.998607425019
1	1	5	0.08	-10221932.940049808472	5510133.8896070234478	11621797.998607434332
1	1	5	0.09	-10422825.493361253291	5442904.1196394739673	11621797.998607434332
1	1	5	0.1	-10625079.849981244653	5377232.5385766550899	11621797.998607434332
1	1	5	0.11	-10828293.641881626099	5313176.9250057321042	11624079.496615856886
1	1	5	0.12	-11032176.322635862976	5250796.4198820209131	11635719.195683185011
1	1	5	0.13	-11236515.922384511679	5190151.4230150319636	11647358.894750518724
1	1	5	0.14	-11441157.327545095235	5131303.468783612363	11658998.593817844987
1	1	5	0.15	-11645987.574796315283	5074315.0796755971387	11670638.29288517125
1	1	5.5	0	-9170625.2695485241711	6138424.8568788282573	11946369.248148042709
1	1	5.5	0.01	-9150987.8044631369412	6060211.8673429554328	11785503.55315338634
1	1	5.5	0.02	-9275359.6726326607168	5983153.4220618996769	11698762.996830558404
1	1	5.5	0.03	-9434961.8237119652331	5907294.7029996551573	11698762.996830560267
1	1	5.5	0.04	-9611183.9542988725007	5832682.5205521583557	11698762.996830558404
1	1	5.5	0.05	-9796975.0802401714027	5759365.3213120345026	11698762.996830558404
1	1	5.5	0.06	-9988833.3969436176121	5687393.1870777839795	11698762.996830554679
1	1	5.5	0.07	-10184751.878307517618	5616817.8238052222878	11698762.996830556542
1	1	5.5	0.08	-10383474.500983987004	5547692.5391124002635	11698762.996830552816
1	1	5.5	0.09	-10584168.178099375218	5480072.2068729046732	11698762.996830560267
1	1	5.5	0.1	-10786257.872002679855	5414013.2173710539937	11698762.996830554679
1	1	5.5	0.11	-10989335.611703846604	5349573.4114512521774	11698762.996830556542
1	1	5.5	0.12	-11193106.638496566564	5286811.9970785789192	11709413.616428542882
1	1	5.5	0.13	-11397355.735886346549	5225789.446745051071	11720883.178055273369
1	1	5.5	0.14	-11601925.23706298694	5166567.3742127846926	11732352.73968199268
1	1	5.5	0.15	-11806700.137455899268	5109208.3891888959333	11743822.301308721304
1	1	6	0	-9329830.7262009643018	6175333.1863081650808	12017715.577671920881
1	1	6	0.01	-9304275.5839810036123	6096746.7711359150708	11856119.440411007032
1	1	6	0.02	-9427325.4509093053639	6019317.396408454515	11768411.429252674803
1	1	6	0.03	-9586157.1631857044995	5943090.2856987360865	11768411.429252680391
1	1	6	0.04	-9761837.628901232034	5868112.2916266657412	11768411.429252682254
1	1	6	0.05	-9947217.609524961561	5794431.9038388244808	11768411.429252684116
1	1	6	0.06	-10138751.058348182589	5722099.2482848865911	11768411.429252680391
1	1	6	0.07	-10334406.760833468288	5651166.0764953363687	11768411.429252684116
1	1	6	0.08	-10532913.849352594465	5581685.7434786632657	11768411.429252685979
1	1	6	0.09	-10733429.402843292803	5513713.1727798646316	11768411.429252678528
1	1	6	0.1	-10935371.504651207477	5447304.8071804670617	11768411.429252684116
1	1	6	0.11	-11138327.172699641436	5382518.5434783836827	11768411.429252689704
1	1	6	0.12	-11341997.881560016423	5319413.6497698584571	11776096.700052911416
1	1	6	0.13	-11546165.512000601739	5258050.6636717682704	11787408.869980903342
1	1	6	0.14	-11750670.114807177335	5198491.2699775071815	11798721.039908893406
1	1	6	0.15	-11955394.860957223922	5140798.1563408598304	11810033.209836889058
1	1	6.5	0	-9477763.9694883711636	6208975.3142975186929	12082704.950657051057
1	1	6.5	0.01	-9446756.8940640129149	6130049.384112928994	11920443.924728386104
1	1	6.5	0.02	-9568615.061229724437	6052282.7769089573994	11831901.308447109535
1	1	6.5	0.03	-9726752.3855247832835	5975720.7543167937547	11831901.308447107673
1	1	6.5	0.04	-9901944.595870193094	5900410.2075511980802	11831901.308447111398
1	1	6.5	0.05	-10086953.929961901158	5826399.6655803192407	11831901.308447116986
1	1	6.5	0.06	-10278194.465996589512	5753739.2946389866993	11831901.308447111398
1	1	6.5	0.07	-10473613.181473214179	5682480.8877962073311	11831901.308447115123
1	1	6.5	0.08	-10671925.823439162225	5612677.8432013951242	11831901.308447116986
1	1	6.5	0.09	-10872280.603136140853	5544385.1295573515818	11831901.308447118849
1	1	6.5	0.1	-11074089.401460517198	5477659.237306364812	11831901.308447116986
1	1	6.5	0.11	-11276934.718666967005	5412558.1139731863514	11831901.308447120711
1	1	6.5	0.12	-11480514.634005341679	5349141.0820920011029	11836878.032709952444
1	1	6.5	0.13	-11684608.412128936499	5287468.7381591200829	11848043.909425282851
