# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_beta/phi.table.GreatTit_SFS.txt
# sampleSize: 53
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 143760
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-4432574.1997432634234	5403851.0650070179254	10574716.58895422332
1	1	0	0.01	-4431578.4463010504842	5314222.2037324737757	10481116.814266860485
1	1	0	0.02	-4604219.9746067151427	5226474.6865646643564	10481116.814266860485
1	1	0	0.03	-4832111.5338177457452	5140704.8533008927479	10482747.224070670083
1	1	0	0.04	-5084194.2688140720129	5057013.3328866874799	10503963.434389039874
1	1	0	0.05	-5349569.8318788483739	4975505.0025126421824	10525179.644707415253
1	1	0	0.06	-5623016.217670828104	4896288.8938312381506	10546395.855025798082
1	1	0	0.07	-5901615.5086885839701	4819478.0375549122691	10569813.084995914251
1	1	0	0.08	-6183579.7500010430813	4745189.23731028568	10600741.983541056514
1	1	0	0.09	-6467745.1739237383008	4673542.7634813413024	10631670.882086195052
1	1	0	0.1	-6753322.5160421729088	4604661.9579600458965	10662599.780631337315
1	1	0	0.11	-7039761.3272107616067	4538672.7413278333843	10693528.679176475853
1	1	0	0.12	-7326670.7459745109081	4475703.0151086216792	10724457.577721619979
1	1	0	0.13	-7613770.5809482485056	4415881.953452183865	10760363.677844604477
1	1	0	0.14	-7900859.7272365614772	4359339.1809985572472	10797085.665809560567
1	1	0	0.15	-8187795.0161593854427	4306203.8367854673415	10833807.653774522245
1	1	0.5	0	-5877445.9425511360168	6112737.5511462865397	11976337.79485242255
1	1	0.5	0.01	-5815004.6698318496346	6014601.8137187259272	11779826.219758048654
1	1	0.5	0.02	-5959585.7959893867373	5918349.3941821111366	11779826.219758044928
1	1	0.5	0.03	-6169577.6890123859048	5824073.6680845106021	11779826.219758048654
1	1	0.5	0.04	-6408663.4553622081876	5731872.1720365928486	11779826.219758044928
1	1	0.5	0.05	-6663981.3742958679795	5641846.6008472833782	11779826.219758044928
1	1	0.5	0.06	-6929366.7938995733857	5554102.7631876859814	11783003.536933913827
1	1	0.5	0.07	-7201373.8932137563825	5468750.4885703641921	11803615.506600281224
1	1	0.5	0.08	-7477886.932028926909	5385903.4779747528955	11824227.476266654208
1	1	0.5	0.09	-7757523.171336568892	5305679.0901368129998	11844839.445933030918
1	1	0.5	0.1	-8039338.9682584628463	5228198.0554108610377	11865451.415599413216
1	1	0.5	0.11	-8322670.4900900050998	5153584.1092701004818	11886063.385265786201
1	1	0.5	0.12	-8607040.9111769869924	5081963.5380109874532	11909497.284580878913
1	1	0.5	0.13	-8892103.2041929736733	5013464.6301392661408	11939348.857498949394
1	1	0.5	0.14	-9177603.2408906891942	4948217.0283117378131	11969200.430417036638
1	1	0.5	0.15	-9463355.0944080874324	4886350.9786468986422	11999052.003335110843
1	1	1	0	-6756314.852685764432	6467650.0644689342007	12672753.828391755
1	1	1	0.01	-6656777.5969811826944	6365580.1895809303969	12463000.338604036719
1	1	1	0.02	-6787118.2255119308829	6265401.0979369385168	12440208.67801146023
1	1	1	0.03	-6988269.6460047140718	6167204.9309681234881	12440208.678011465818
1	1	1	0.04	-7220955.2222181558609	6071087.9072510255501	12440208.678011454642
1	1	1	0.05	-7471303.7315145805478	5977150.330137738958	12440208.678011458367
1	1	1	0.06	-7732682.3373805433512	5885496.5580693203956	12440208.678011462092
1	1	1	0.07	-8001386.4887512922287	5796234.9310142565519	12440208.678011456504
1	1	1	0.08	-8275140.5476606339216	5709477.6460248855874	12457669.534287592396
1	1	1	0.09	-8552455.0994697138667	5625340.5745687866583	12477579.136683469638
1	1	1	0.1	-8832311.3046218007803	5543943.0141196278855	12497488.739079343155
1	1	1	0.11	-9113990.0952505022287	5465407.3665378130972	12517398.341475224122
1	1	1	0.12	-9396972.764802955091	5389858.7360977912322	12537307.943871095777
1	1	1	0.13	-9680879.7256038337946	5317424.4406909616664	12557217.546266976744
1	1	1	0.14	-9965431.021477855742	5248233.4308135956526	12577127.148662846535
1	1	1	0.15	-10250419.900733083487	5182415.6124962903559	12605422.799743359908
1	1	1.5	0	-7407142.6311724558473	6704860.9146443130448	13136499.875585708767
1	1	1.5	0.01	-7280432.0748586505651	6600246.6478215446696	12921909.784834926948
1	1	1.5	0.02	-7401364.1815884336829	6497529.9409577827901	12884040.676092941314
1	1	1.5	0.03	-7596729.8319749757648	6396802.2049626242369	12884040.676092937589
1	1	1.5	0.04	-7825227.4118201285601	6298158.8706061784178	12884040.676092943177
