# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_beta/phi.table.HEPY_SFS.txt
# sampleSize: 69
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 8235
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-20511.012827885628212	13072.665470626250681	25157.720094082760625
1	1	0	0.01	-31823.600162383023417	12849.365625447329876	24785.42918513272889
1	1	0	0.02	-25314.019942200175137	12627.694262584089302	24413.138276182678965
1	1	0	0.03	-21536.25486622499011	12407.738663653362892	24040.84736723262904
1	1	0	0.04	-18936.231270351869171	12189.591709531779998	23668.556458282593667
1	1	0	0.05	-17002.917612649354851	11973.352257743075825	23296.26554933254738
1	1	0	0.06	-15500.827483429267886	11759.125540373515832	22923.974640382512007
1	1	0	0.07	-14301.06053551621153	11547.023582026487929	22551.683731432458444
1	1	0	0.08	-13325.083073457863065	11337.165636826299306	22179.392822482419433
1	1	0	0.09	-12521.389009679900482	11129.67864285138603	21807.101913532373146
1	1	0	0.1	-11854.32493862049887	10924.697691597566518	21434.811004582334135
1	1	0	0.11	-11298.170762391295284	10722.366509115430745	21062.52009563228421
1	1	0	0.12	-10833.757341542484937	10522.837944307195357	20690.229186682248837
1	1	0	0.13	-10446.415996771014761	10326.274458479698296	20317.93827773220255
1	1	0	0.14	-10124.67484023659199	10132.848608604439505	19945.647368782152625
1	1	0	0.15	-9859.3968332091317279	9942.743514809764747	19573.356459832109977
1	1	0.5	0	-26106.386492803605506	14358.180217141531102	27745.210360916866193
1	1	0.5	0.01	-36261.558510910501354	14121.206074458139483	27345.398539871406683
1	1	0.5	0.02	-29315.813223747521988	13886.018332387709961	26945.586718825921707
1	1	0.5	0.03	-25279.243326256677392	13652.709311275808432	26545.774897780414904
1	1	0.5	0.04	-22497.623609259113437	13421.376987093468415	26145.963076734962669
1	1	0.5	0.05	-20425.613765248854179	13192.125348171248334	25746.151255689481332
1	1	0.5	0.06	-18812.128183956432622	12965.064768628737511	25346.339434644010908
1	1	0.5	0.07	-17519.889232161876862	12740.312397594845606	24946.527613598525932
1	1	0.5	0.08	-16465.343999125834671	12517.992562810348318	24546.715792553055508
1	1	0.5	0.09	-15593.738436627929332	12298.237186586402458	24146.90397150757417
1	1	0.5	0.1	-14867.194434579403605	12081.186211345044285	23747.092150462107384
1	1	0.5	0.11	-14258.400287022668635	11866.98803106946616	23347.280329416626046
1	1	0.5	0.12	-13747.008436426825938	11655.799923926006159	22947.468508371151984
1	1	0.5	0.13	-13317.453214243520051	11447.788480066205011	22547.65668732566337
1	1	0.5	0.14	-12957.564227180322632	11243.130017160468924	22147.844866280189308
1	1	0.5	0.15	-12657.650031787823536	11042.010974542112308	21748.03304523470797
1	1	1	0	-29145.15741294810141	14997.537366271673818	29034.495670904238068
1	1	1	0.01	-38618.984455875499407	14754.091258223619661	28621.226382381955773
1	1	1	0.02	-31467.846733060388942	14512.511587738872549	28207.957093859684392
1	1	1	0.03	-27314.248822066991124	14272.893127796751287	27794.687805337423924
1	1	1	0.04	-24451.733718238509027	14035.336327133336454	27381.418516815134353
1	1	1	0.05	-22318.47564797612722	13799.9476563854696	26968.149228292873886
1	1	1	0.06	-20656.119380758202169	13566.839969101027236	26554.879939770602505
1	1	1	0.07	-19323.534353357317741	13336.13287652773397	26141.610651248312934
1	1	1	0.08	-18234.87440892100858	13107.953134589675756	25728.341362726048828
1	1	1	0.09	-17333.9075954760483	12882.435040852453312	25315.072074203781085
1	1	1	0.1	-16581.746707417012658	12659.720838547573294	24901.802785681495152
1	1	1	0.11	-15950.360170723201009	12439.96112385872766	24488.533497159223771
1	1	1	0.12	-15418.868926987386658	12223.315251651905783	24075.264208636966941
1	1	1	0.13	-14971.303867309063207	12009.951733641739338	23661.994920114684646
1	1	1	0.14	-14595.181308941217139	11800.048621617235767	23248.725631592405989
1	1	1	0.15	-14280.561843718096497	11593.793866791222172	22870.062489581141563
1	1	1.5	0	-31279.86231083603343	15424.154756340101812	29894.408645891355263
1	1	1.5	0.01	-40260.744529514835449	15176.480248771731567	29472.231507729149598
1	1	1.5	0.02	-32978.982478491161601	14930.72571420746317	29050.054369566929381
1	1	1.5	0.03	-28752.042455450326088	14686.987532579356412	28627.87723140469825
