# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_beta/phi.table.Halictus_SFS.txt
# sampleSize: 21
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 10
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-242.73046480152379445	247.53864108636182095	480.0714177678893293
1	1	0	0.01	-239.61895514442448984	243.18136122277033451	471.43845748556566377
1	1	0	0.02	-242.4626894360226288	238.90399288945383205	462.80549720324177088
1	1	0	0.03	-249.03537314248387702	234.71090504698892687	454.17253692091799167
1	1	0	0.04	-257.35378177956204127	230.60669512075517673	448.84680730339965748
1	1	0	0.05	-266.7098025503782992	226.59619254997423354	448.84680730339977117
1	1	0	0.06	-276.75091131209001105	222.68446034436450987	448.84680730339960064
1	1	0	0.07	-287.27141628754498015	218.87679419404986447	448.84680730339960064
1	1	0	0.08	-298.13962599610522375	215.17871863071385974	448.84680730339971433
1	1	0	0.09	-309.26596765016847712	211.59597969605928824	448.84680730339977117
1	1	0	0.1	-320.58689227256763843	208.13453354165460496	448.84680730339971433
1	1	0	0.11	-332.05591103348615434	204.80053036737214711	448.84680730339971433
1	1	0	0.12	-343.63823140269005307	201.60029310990472595	449.85203466672817285
1	1	0	0.13	-355.30736639507085783	198.54029032498644369	450.95525736372616166
1	1	0	0.14	-367.04289621005500521	195.62710277399713732	452.05848006072392309
1	1	0	0.15	-378.82893783611325489	192.86738333438859172	453.16170275772191189
1	1	0.5	0	-315.83083784005475536	287.95931676841883018	559.05250447630044164
1	1	0.5	0.01	-308.20691233784555152	283.09188595466969218	549.53116549528795076
1	1	0.5	0.02	-308.26692018953463048	278.30502066906825576	540.0098265142753462
1	1	0.5	0.03	-312.90331499214335054	273.6029495865330432	530.48848753326274164
1	1	0.5	0.04	-319.77379891776490695	268.99011946889964975	520.96714855225013707
1	1	0.5	0.05	-327.99452276660395	264.47119990262956435	517.97111085134133646
1	1	0.5	0.06	-337.11592056452400357	260.05108659757979694	517.97111085134133646
1	1	0.5	0.07	-346.87387095886469979	255.73490289717761925	517.97111085134145014
1	1	0.5	0.08	-357.09912403660018754	251.52799910880187895	517.97111085134133646
1	1	0.5	0.09	-367.67669517814647406	247.43594922348611931	517.97111085134133646
1	1	0.5	0.1	-378.52511866484701386	243.46454455870855327	517.97111085134133646
1	1	0.5	0.11	-389.58483940656697087	239.61978383020209549	517.97111085134133646
1	1	0.5	0.12	-400.8112644092498158	235.90785914226728437	517.97111085134133646
1	1	0.5	0.13	-412.17037991551660525	232.33513738551150141	517.97111085134110908
1	1	0.5	0.14	-423.63586840883408513	228.90813655133104021	517.97111085134145014
1	1	0.5	0.15	-435.1871457618626664	225.63349651916209382	517.97111085134133646
1	1	1	0	-359.61820058884723039	308.09339077073821045	598.23462290859731638
1	1	1	0.01	-349.13592862513041837	302.99351751595298765	588.28413185438012079
1	1	1	0.02	-347.66329716390282556	297.97498167838546124	578.33364080016326625
1	1	1	0.03	-351.30548209313747066	293.04196215771372636	568.38314974594607065
1	1	1	0.04	-357.460493660200882	288.19885026439010289	558.43265869172910243
1	1	1	0.05	-365.13255401462083682	283.45025459797085432	553.42014039548905657
1	1	1	0.06	-373.81528923403357112	278.80100465934009435	553.42014039548905657
1	1	1	0.07	-383.21233271515484375	274.25615288617478882	553.42014039548894289
1	1	1	0.08	-393.13457131149880297	269.8209747633736697	553.42014039548905657
1	1	1	0.09	-403.45399609602372948	265.50096662357753985	553.42014039548905657
1	1	1	0.1	-414.08017127927223555	261.30184071934064605	553.42014039548894289
1	1	1	0.11	-424.94711489993051146	257.22951712049302841	553.42014039548894289
1	1	1	0.12	-436.00547794390286072	253.29011197090389373	553.42014039548894289
1	1	1	0.13	-447.21763150228343875	249.48992163189424787	553.42014039548905657
1	1	1	0.14	-458.55444772320106495	245.83540224916580996	553.42014039548905657
1	1	1	0.15	-469.99311598189660799	242.33314431087273988	553.42014039548894289
1	1	1.5	0	-391.86232064249315954	321.5153071668563598	624.30145762815959642
1	1	1.5	0.01	-379.211538462307999	316.26629144833833607	614.06879349364351128
1	1	1.5	0.02	-376.67870963844006837	311.09924165430362564	603.83612935912742614
1	1	1.5	0.03	-379.65953711522115555	306.01830974108469263	593.60346522461122731
1	1	1.5	0.04	-385.34761730878608432	301.02785639074727442	583.37080109009502848
1	1	1.5	0.05	-392.66517884620543555	296.13245589961343285	577.33650180469794577
1	1	1.5	0.06	-401.06602171695885772	291.3368998918174384	577.33650180469805946
1	1	1.5	0.07	-410.23181338678705288	286.6461995693007907	577.33650180469794577
1	1	1.5	0.08	-419.9601707798942698	282.0655861745317452	577.33650180469805946
1	1	1.5	0.09	-430.11450078653479068	277.60050930780215594	577.33650180469817315
1	1	1.5	0.1	-440.59851156727881971	273.2566327089433571	577.33650180469794577
1	1	1.5	0.11	-451.34205372572705528	269.03982708591638584	577.33650180469794577
1	1	1.5	0.12	-462.29270916184077578	264.95615955270676523	577.3365018046977184
1	1	1.5	0.13	-473.41052420095547859	261.01187922952715326	577.33650180469794577
1	1	1.5	0.14	-484.6645683034553258	257.21339856323453432	577.33650180469805946
1	1	1.5	0.15	-496.03060524064903802	253.56726994917855222	577.33650180469794577
1	1	2	0	-417.56652657230415571	331.49624866143375357	643.65706437781500426
1	1	2	0.01	-403.15517403127569196	326.13887203614530108	633.21639165299711749
1	1	2	0.02	-399.82030957626011514	320.86397687699582093	622.77571892817968546
1	1	2	0.03	-402.31407529706166315	315.67569797109729279	612.33504620336179869
1	1	2	0.04	-407.66243508136312812	310.5783761784834951	601.89437347854413929
1	1	2	0.05	-414.72361576818593676	305.576563299108102	595.24685627386008946
1	1	2	0.06	-422.92120994724473348	300.67502582294741842	595.24685627386054421
1	1	2	0.07	-431.9205217498060847	295.87874728927772594	595.24685627386008946
1	1	2	0.08	-441.50939832593257961	291.19292894783802694	595.24685627386008946
1	1	2	0.09	-451.54497598636817202	286.6229883817329096	595.24685627386020315
1	1	2	0.1	-461.92670778789215547	282.17455572116222129	595.24685627386020315
1	1	2	0.11	-472.58142712945891617	277.85346705035328796	595.24685627386031683
1	1	2	0.12	-483.45449939621767044	273.66575458992696213	595.24685627386020315
1	1	2	0.13	-494.50429479830336277	269.61763322630173434	595.24685627386020315
1	1	2	0.14	-505.6985846008074077	265.71548296201535777	595.24685627385997577
1	1	2	0.15	-517.01210674888488938	261.96582687981953086	595.24685627385997577
1	1	2.5	0	-438.99354077163116017	339.38223168636295668	658.93202033423096964
1	1	2.5	0.01	-423.09673914911309112	333.94060399672127915	648.32802665260408048
1	1	2.5	0.02	-419.12299060055420341	328.58189027407536287	637.72403297097719133
1	1	2.5	0.03	-421.23648682552857281	323.31021332396016987	627.12003928935041586
1	1	2.5	0.04	-426.32188202152156009	318.12989999086136095	616.51604560772375407
1	1	2.5	0.05	-433.18540704642373385	313.04548599511366547	609.46467250578484709
1	1	2.5	0.06	-441.22661633595316744	308.06171969387730769	609.46467250578484709
1	1	2.5	0.07	-450.09795557954430478	303.18356450291258852	609.46467250578484709
1	1	2.5	0.08	-459.57965578916991944	298.41619968383957939	609.46467250578484709
1	1	2.5	0.09	-469.52399015589026021	293.76501916992987162	609.46467250578484709
1	1	2.5	0.1	-479.82712284589842966	289.23562807369353322	609.46467250578496078
1	1	2.5	0.11	-490.41356035778517253	284.83383649343574007	609.46467250578484709
1	1	2.5	0.12	-501.22696118306612334	280.56565021589040043	609.46467250578507446
1	1	2.5	0.13	-512.22440603589120656	276.43725790072511472	609.46467250578496078
1	1	2.5	0.14	-523.37266806530487884	272.45501433335607544	609.46467250578496078
1	1	2.5	0.15	-534.64569683520448962	268.62541934861121717	609.46467250578484709
1	1	3	0	-457.38385164974715735	345.86171181658625073	671.47021648000043115
1	1	3	0.01	-440.20144474253083899	340.35168358115328147	660.73267696618006539
1	1	3	0.02	-435.70097049348123619	334.92493957085895318	649.99513745235947226
1	1	3	0.03	-437.50587624262698228	329.58559372453350989	639.25759793853876545
1	1	3	0.04	-442.37925202454471219	324.3379623928641422	628.52005842471828601
1	1	3	0.05	-449.08388060003244391	319.1865691437351984	621.18648157794461895
1	1	3	0.06	-456.99954563327628421	314.13614852247417275	621.18648157794496001
1	1	3	0.07	-465.76821607930423852	309.19164851190788568	621.18648157794473263
1	1	3	0.08	-475.16395350449147372	304.35823140615116245	621.18648157794496001
1	1	3	0.09	-485.03510616721314364	299.64127278137311805	621.18648157794473263
