# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_beta/phi.table.HoodedCrow_SFS.txt
# sampleSize: 37
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 25949
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-1838902.0191152505577	2554669.3119943155907	4914163.1348505550995
1	1	0	0.01	-1929108.5522523634136	2511940.9416889492422	4936188.8636361798272
1	1	0	0.02	-2080069.820025369525	2470396.6454593669623	4959001.7416641255841
1	1	0	0.03	-2241658.3264582790434	2430097.1519132084213	4982549.8549378383905
1	1	0	0.04	-2407739.1701237559319	2391105.4012846341357	5006318.4665249604732
1	1	0	0.05	-2576030.7279601730406	2353486.3931717304513	5031016.0893923304975
1	1	0	0.06	-2745403.1619430892169	2317306.983572198078	5055713.7122597014531
1	1	0	0.07	-2915218.0392668172717	2282635.6257310430519	5081163.3912510704249
1	1	0	0.08	-3085087.428547680378	2249542.0498574119993	5106755.5370637243614
1	1	0	0.09	-3254765.8634828850627	2218096.877679802943	5132347.6828763782978
1	1	0	0.1	-3424095.1876612119377	2188371.1691450243816	5158149.5966236321256
1	1	0	0.11	-3592973.7421418726444	2160435.9003667514771	5184451.9453096976504
1	1	0	0.12	-3761337.9657516442239	2134361.3742096023634	5210754.2939957622439
1	1	0	0.13	-3929150.8281982839108	2110216.5676343212835	5237056.6426818296313
1	1	0	0.14	-4096394.2559738643467	2088068.4230635075364	5263358.9913678951561
1	1	0	0.15	-4263064.0064124949276	2067981.0944366801996	5289866.0842029741034
1	1	0.5	0	-2384026.948656834662	2948427.4528640271164	5631062.3484176564962
1	1	0.5	0.01	-2455563.3687543720007	2900276.5908028902486	5602805.2673721760511
1	1	0.5	0.02	-2597382.6618308015168	2853280.5373803726397	5602805.2673721779138
1	1	0.5	0.03	-2753365.7647725567222	2807497.2858945829794	5613549.2566233519465
1	1	0.5	0.04	-2915653.1231156662107	2762987.1261181579903	5624792.9082300616428
1	1	0.5	0.05	-3081257.6957398578525	2719812.5618066643365	5640495.5337518751621
1	1	0.5	0.06	-3248697.9105604961514	2678038.1900012940168	5656794.4680420681834
1	1	0.5	0.07	-3417135.7504738494754	2637730.5370956477709	5673221.8228709865361
1	1	0.5	0.08	-3586059.2614919990301	2598957.846719681751	5692492.3880350599065
1	1	0.5	0.09	-3755140.5848020799458	2561789.8147978764027	5711762.9531991351396
1	1	0.5	0.1	-3924163.9858024716377	2526297.2677133386023	5731053.0574159780517
1	1	0.5	0.11	-4092985.960410926491	2492551.7804023749195	5752305.8360706539825
