# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_beta/phi.table.HouseSparrow_SFS.txt
# sampleSize: 15
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 90623
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-5016540.3284786641598	6779102.0883296681568	12975895.425306810066
1	1	0	0.01	-5144772.2114115506411	6682250.8986266572028	12975895.425306810066
1	1	0	0.02	-5436488.1226398348808	6587654.4911976512522	12975895.425306810066
1	1	0	0.03	-5758873.6868471950293	6495411.3798584844917	12975895.425306810066
1	1	0	0.04	-6094442.2840796038508	6405623.2301620971411	12975895.425306811929
1	1	0	0.05	-6437006.7886051312089	6318394.702374028042	12975895.425306815654
1	1	0	0.06	-6783500.80436386168	6233833.2459396719933	12992646.798419225961
1	1	0	0.07	-7132146.922894872725	6152048.8405388984829	13021349.510094806552
1	1	0	0.08	-7481821.6262010857463	6073153.6790672438219	13050052.221770387143
1	1	0	0.09	-7831777.0281185880303	5997261.7883296236396	13078754.933445965871
1	1	0	0.1	-8181499.5471338406205	5924488.5839157439768	13107457.645121546462
1	1	0	0.11	-8530630.4767311960459	5854950.3566756220534	13136160.356797115877
1	1	0	0.12	-8878917.9523115679622	5788763.6894524125382	13164863.068472692743
1	1	0	0.13	-9226186.2594463154674	5726044.8042700588703	13193565.780148271471
1	1	0	0.14	-9572315.3663916885853	5666908.8420136272907	13222268.4918238502
1	1	0	0.15	-9917226.8030761033297	5611469.0787595910951	13250971.203499427065
1	1	0.5	0	-6649161.6804258972406	7837944.3357357233763	14911915.027169717476
1	1	0.5	0.01	-6727465.7599267736077	7726031.6891217967495	14740302.867588546127
1	1	0.5	0.02	-6984802.5125585645437	7616381.0262694489211	14740302.867588544264
1	1	0.5	0.03	-7281800.1945863217115	7509091.4389226119965	14740302.867588544264
1	1	0.5	0.04	-7597751.5582597777247	7404265.56544705946	14740302.867588542402
1	1	0.5	0.05	-7924687.8162353038788	7302009.5120459692553	14740302.867588542402
1	1	0.5	0.06	-8258469.4678994044662	7202432.7340930560604	14740302.867588544264
1	1	0.5	0.07	-8596629.8708702921867	7105647.8725758027285	14740302.867588542402
1	1	0.5	0.08	-8937579.933981128037	7011770.5405787164345	14740302.867588544264
1	1	0.5	0.09	-9280244.2390912771225	6920919.0548072848469	14740302.867588544264
1	1	0.5	0.1	-9623870.9639209359884	6833214.1073906179518	14740302.867588546127
1	1	0.5	0.11	-9967923.2215363457799	6748778.3736369879916	14740302.867588544264
1	1	0.5	0.12	-10312012.72740007937	6667736.0520853726193	14740302.867588542402
1	1	0.5	0.13	-10655857.223881930113	6590212.3341261437163	14764895.077428365126
1	1	0.5	0.14	-10999252.048723317683	6516332.801679039374	14793485.644911395386
1	1	0.5	0.15	-11342050.528603710234	6446222.7529297061265	14822076.212394431233
1	1	1	0	-7660654.1085339412093	8371317.4381715757772	15947850.45715483278
1	1	1	0.01	-7706757.4657688587904	8252584.7898909281939	15694461.6073910743
1	1	1	0.02	-7944087.8460988998413	8136126.2947402251884	15650933.937934074551
1	1	1	0.03	-8227138.63367369771	8022040.9971221294254	15650933.937934076414
1	1	1	0.04	-8532668.3315495848656	7910431.5774155929685	15650933.937934074551
1	1	1	0.05	-8851460.5382160618901	7801404.2984811356291	15650933.937934076414
1	1	1	0.06	-9178684.5161949917674	7695068.915979038924	15650933.937934076414
1	1	1	0.07	-9511456.3527781441808	7591538.5476788766682	15650933.937934078276
1	1	1	0.08	-9847918.0727299749851	7490929.4968009451404	15650933.937934074551
1	1	1	0.09	-10186811.858691014349	7393361.0243996130303	15650933.937934076414
1	1	1	0.1	-10527256.930148646235	7298955.0659050354734	15650933.937934078276
1	1	1	0.11	-10868622.081971585751	7207835.8872140608728	15650933.937934076414
1	1	1	0.12	-11210448.079312033951	7120129.6761956326663	15650933.937934076414
1	1	1	0.13	-11552398.021038576961	7035964.0661812070757	15650933.937934074551
1	1	1	0.14	-11894224.31700450182	6955467.5889738202095	15650933.937934078276
1	1	1	0.15	-12235745.998965337873	6878769.0561508191749	15650933.937934074551
1	1	1.5	0	-8417018.8048351556063	8728481.7839879617095	16637645.436478523538
1	1	1.5	0.01	-8438440.2201485857368	8605391.908100316301	16376624.812535554171
1	1	1.5	0.02	-8661479.7496089115739	8484586.9665958862752	16267346.478659940884
1	1	1.5	0.03	-8934913.8372513204813	8366165.941373671405	16267346.478659940884
1	1	1.5	0.04	-9233392.4514282345772	8250231.4868502002209	16267346.478659944609
1	1	1.5	0.05	-9546730.931441091001	8136889.8897410295904	16267346.478659942746
1	1	1.5	0.06	-9869586.5173649191856	8026250.9948335634544	16267346.478659944609
1	1	1.5	0.07	-10198776.183487422764	7918428.0920840194449	16267346.478659940884
1	1	1.5	0.08	-10532253.73502638936	7813537.7602009214461	16267346.478659942746
1	1	1.5	0.09	-10868635.893688052893	7711699.6618000837043	16267346.478659939021
1	1	1.5	0.1	-11206954.330738514662	7613036.2852590605617	16267346.478659944609
1	1	1.5	0.11	-11546514.43779116869	7517672.6285916604102	16267346.478659939021
1	1	1.5	0.12	-11886809.639812357724	7425735.8210363946855	16267346.478659939021
1	1	1.5	0.13	-12227466.781635247171	7337354.6786366803572	16267346.478659940884
1	1	1.5	0.14	-12568209.913887865841	7252659.1909134760499	16267346.478659940884
1	1	1.5	0.15	-12908835.485441744328	7171779.9368157852441	16267346.478659937158
1	1	2	0	-9025940.909909285605	8994776.6762633025646	17150160.377683639526
1	1	2	0.01	-9027166.1061254292727	8868530.9706875663251	16883515.762569088489
1	1	2	0.02	-9239140.1107999905944	8744579.4418220836669	16729977.243912033737
1	1	2	0.03	-9505315.9407925382257	8623021.0230944529176	16729977.243912035599
1	1	2	0.04	-9798541.3387861251831	8503958.3388689570129	16729977.243912033737
1	1	2	0.05	-10107843.969550170004	8387497.6725962487981	16729977.243912035599
1	1	2	0.06	-10427477.5923595801	8273748.9024319965392	16729977.243912037462
1	1	2	0.07	-10754028.531381316483	8162825.3997791958973	16729977.243912030011
1	1	2	0.08	-11085307.650839485228	8054843.8860206827521	16729977.243912035599
1	1	2	0.09	-11419837.430532097816	7949924.2426043087617	16729977.243912033737
1	1	2	0.1	-11756584.299969680607	7848189.2696487111971	16729977.243912037462
1	1	2	0.11	-12094806.676844201982	7749764.3883804129437	16729977.243912037462
1	1	2	0.12	-12433963.063220120966	7654777.283023188822	16729977.243912035599
1	1	2	0.13	-12773653.643877163529	7563357.4782675113529	16729977.243912033737
1	1	2	0.14	-13113581.66358409822	7475635.8491797149181	16729977.243912041187
1	1	2	0.15	-13453527.031455367804	7391744.0613914169371	16729977.243912037462
1	1	2.5	0	-9537180.7862752005458	9205548.8711689636111	17554812.90102148056
1	1	2.5	0.01	-9521255.582523688674	9076855.501087224111	17283753.691790170968
1	1	2.5	0.02	-9724252.4763256385922	8950464.2843844182789	17097822.87891209498
1	1	2.5	0.03	-9984655.9836414158344	8826474.1190778575838	17097822.87891209498
1	1	2.5	0.04	-10273743.90239584446	8704987.6044568810612	17097822.87891209498
1	1	2.5	0.05	-10579883.299210578203	8586111.0150656178594	17097822.878912098706
1	1	2.5	0.06	-10896997.478429920971	8469954.2432412710041	17097822.878912091255
1	1	2.5	0.07	-11221486.817883193493	8356630.7057603690773	17097822.878912098706
1	1	2.5	0.08	-11551048.191706389189	8246257.2099468121305	17097822.87891209498
1	1	2.5	0.09	-11884129.497993968427	8138953.7744742725044	17097822.87891209498
1	1	2.5	0.1	-12219645.815376661718	8034843.400075991638	17097822.878912098706
1	1	2.5	0.11	-12556818.733335793018	7934051.7854843214154	17097822.87891209498
1	1	2.5	0.12	-12895079.451012469828	7836706.9841889385134	17097822.878912098706
1	1	2.5	0.13	-13234007.352636635303	7742938.9980556415394	17097822.87891209498
1	1	2.5	0.14	-13573289.473787173629	7652879.3045149128884	17097822.878912098706
1	1	2.5	0.15	-13912692.851512275636	7566660.3149355715141	17097822.87891209498
1	1	3	0	-9978411.0600513592362	9378952.4705057032406	17887089.240646827966
1	1	3	0.01	-9947560.667924426496	9248275.8602284602821	17612421.030763655901
1	1	3	0.02	-10143044.531510494649	9119908.3716030512005	17401475.492977257818
1	1	3	0.03	-10398694.733252264559	8993948.8770316001028	17401475.492977250367
1	1	3	0.04	-10684401.46205984056	8870499.9563469961286	17401475.492977257818
1	1	3	0.05	-10987965.466812871397	8749667.8751320429146	17401475.492977257818
1	1	3	0.06	-11303031.990777812898	8631562.5324361082166	17401475.492977254093
1	1	3	0.07	-11625846.841495551169	8516297.3735223393887	17401475.492977254093
1	1	3	0.08	-11954012.916295386851	8403989.2630728501827	17401475.492977254093
1	1	3	0.09	-12285916.97615005821	8294758.3141460781917	17401475.492977257818
1	1	3	0.1	-12620432.173857681453	8188727.668143494986	17401475.492977254093
