# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_beta/phi.table.JapaneseQuail_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 87069
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-185647.61354503594339	675582.3194217478158	1215378.779954825528
1	1	0	0.01	-186966.84651354327798	651412.81171035172883	1213611.7077911200467
1	1	0	0.02	-232864.06052315048873	629321.99313357064966	1229241.143313061446
1	1	0	0.03	-306178.64229186996818	609535.9133463249309	1244870.5788350021467
1	1	0	0.04	-391176.9478110242635	592285.59590148192365	1260500.0143569426145
1	1	0	0.05	-482639.05255115777254	577798.20301028515678	1276129.4498788854107
1	1	0	0.06	-578119.67183351330459	566285.82758847286459	1292211.7584691613447
1	1	0	0.07	-676261.46616474166512	557932.65945749555249	1308408.6558683314361
1	1	0	0.08	-776231.2717224676162	552881.90898886567447	1324605.5532675012946
1	1	0	0.09	-877483.10666095092893	551224.36169053369667	1340802.4506666711532
1	1	0	0.1	-979642.80455750785768	552990.53101405489724	1356999.3480658410117
1	1	0	0.11	-1082445.7877101358026	558147.91650366492104	1373196.2454650108702
1	1	0	0.12	-1185700.8572090063244	566603.9223652301589	1389393.1428641811945
1	1	0	0.13	-1289267.8555604238063	578213.84609679772984	1405590.0402633508202
1	1	0	0.14	-1393043.2347441576421	592792.40686141094193	1421786.9376625211444
1	1	0	0.15	-1496950.3756923843175	610126.84114300657529	1437983.8350616907701
1	1	0.5	0	-338655.82096103206277	951032.70546731050126	1759261.6153065795079
1	1	0.5	0.01	-323652.73149329982698	920558.75546399538871	1692043.1757886274718
1	1	0.5	0.02	-359381.65489114634693	891622.70426877413411	1666907.2788179393392
1	1	0.5	0.03	-425697.21745456941426	864379.01431426208001	1666907.2788179391064
1	1	0.5	0.04	-505578.01016798987985	838992.56440055754501	1666907.278817939572
1	1	0.5	0.05	-593151.1228282302618	815636.79108114331029	1666907.278817939572
1	1	0.5	0.06	-685602.06569053605199	794490.80291974416468	1673045.8139757425524
1	1	0.5	0.07	-781347.55346982739866	775735.33244023763109	1680828.9505122373812
1	1	0.5	0.08	-879407.54913533478975	759547.48711418174207	1691221.4236062273849
1	1	0.5	0.09	-979135.95134415663779	746094.41324805677868	1702464.7135707410052
1	1	0.5	0.1	-1080087.679385619238	735526.18640783266164	1713708.0035352557898
1	1	0.5	0.11	-1181946.3242276087403	727968.4590808384819	1724951.2934997691773
1	1	0.5	0.12	-1284481.8026645127684	723515.57899923913646	1737557.8434539386071
1	1	0.5	0.13	-1387524.1424912773073	722224.97727915190626	1750772.4894441796932
