# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_beta/phi.table.KLPN_SFS.txt
# sampleSize: 155
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 375
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-228109.78668410197133	79122.178585478308378	152619.22851204653853
1	1	0	0.01	-217943.44890937249875	77751.051730462786509	149338.11333391189692
1	1	0	0.02	-211862.22684782458236	76412.866576010856079	148644.43863705548574
1	1	0	0.03	-207513.86632069951156	75109.383858628105372	148311.29224846226862
1	1	0	0.04	-204318.6268679551431	73842.441325917752692	147978.14585986922611
1	1	0	0.05	-201971.98941140953684	72613.951623705390375	147645.03703338620835
1	1	0	0.06	-200282.59881204011617	71425.89888785025687	147314.82834512859699
1	1	0	0.07	-199119.16508101212094	70280.333846349618398	146984.82831566466484
1	1	0	0.08	-198386.6328156432719	69179.367236631034757	146660.85916280894889
1	1	0	0.09	-198013.57725556794321	68125.161350681053591	146342.55966925667599
1	1	0	0.1	-197944.82763981906464	67119.919539145383169	146029.19629389309557
1	1	0	0.11	-198136.84087161935167	66165.873537011037115	145723.3626769244438
1	1	0	0.12	-198554.6493414210272	65265.268519937038945	145421.6765046112705
1	1	0	0.13	-199169.76715147850337	64420.345863186659699	145122.03997355233878
1	1	0	0.14	-199958.70825838897144	63633.323654945619637	144832.5639148534683
1	1	0	0.15	-200901.91041668289108	62906.375111803172331	144550.03404798882548
1	1	0.5	0	-267687.74051506601973	86388.459801664270344	162877.83238051529042
1	1	0.5	0.01	-250881.9954038389842	84920.568618557081209	159489.75572830298916
1	1	0.5	0.02	-240933.29127770155901	83485.459676268248586	158362.76636859291466
1	1	0.5	0.03	-233847.88567351276288	82084.852411879241117	158086.46559718207573
1	1	0.5	0.04	-228586.35081769729732	80720.542793428016012	157810.16482577100396
1	1	0.5	0.05	-224615.6951073257369	79394.402054015910835	157534.57695537150721
1	1	0.5	0.06	-221612.55969801527681	78108.37433609321306	157268.07325979607413
1	1	0.5	0.07	-219362.7236491611111	76864.473071785541833	157011.19964753306704
1	1	0.5	0.08	-217715.95486751006683	75664.775920124651748	156754.83487148128916
1	1	0.5	0.09	-216562.50484991929261	74511.418083039810881	156541.30372302906471
1	1	0.5	0.1	-215819.66635698702885	73406.58383082455839	156355.87650048837531
1	1	0.5	0.11	-215423.55606945877662	72352.496086463012034	156170.86813570564846
1	1	0.5	0.12	-215323.83103627123637	71351.403948589970241	155985.85977092274697
1	1	0.5	0.13	-215480.15287235943833	70405.568076619660133	155800.85140614002012
1	1	0.5	0.14	-215859.74302993243327	69517.243919847955112	155615.84304135723505
1	1	0.5	0.15	-216435.64571592997527	68688.662845444880077	155436.0886340822035
1	1	1	0	-288627.82313041860471	90117.809375476659625	168475.65481609597919
1	1	1	0.01	-267952.19804622343509	88604.476293414627435	165048.71963155499543
1	1	1	0.02	-255995.70993116154568	87123.936337784107309	163853.32086635060841
1	1	1	0.03	-247576.66603820206365	85677.889551007785485	163687.85018148645759
1	1	1	0.04	-241353.31432692735689	84268.111667484146892	163523.60320554158534
1	1	1	0.05	-236652.46173265675316	82896.453128327077138	163361.26006665281602
