# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_beta/phi.table.Lepus_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 31
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-163.68776567831378088	194.89626291339601494	370.24930058163118929
1	1	0	0.01	-161.60459817961645967	189.6260356624322867	361.00975052645475216
1	1	0	0.02	-147.57313898737584168	184.44176020406573002	351.77020047127825819
1	1	0	0.03	-143.96067809022133588	179.35089020124681269	342.53065041610159369
1	1	0	0.04	-145.04751675504462582	174.36160737807765031	333.29110036092521341
1	1	0	0.05	-148.89512994999677176	169.48288362438171362	324.05155030574871944
1	1	0	0.06	-154.5747614408210211	164.72454267195922739	315.5079448001805531
1	1	0	0.07	-161.55861063373549769	160.09731877210828088	307.46149231863535078
1	1	0	0.08	-169.51445777883873234	155.61290884830742698	299.41503983709009162
1	1	0	0.09	-178.21850391849761763	151.28401344863502231	292.81883291611347886
1	1	0	0.1	-187.51254563167731249	147.12436050057618786	294.01193048974471367
1	1	0	0.11	-197.28067040032624391	143.14870444038896835	295.20502806337594848
1	1	0	0.12	-207.43558160604425211	139.37279187812004011	296.39812563700741066
1	1	0	0.13	-217.91009533233159345	135.81328378153315839	297.59122321063853178
1	1	0	0.14	-228.6516044220513777	132.48762353452619323	298.78432078426993712
1	1	0	0.15	-239.61833728506599073	129.41384056897092591	299.97741835790134246
1	1	0.5	0	-227.35263967329501611	238.70979835255360513	456.09136361047228547
1	1	0.5	0.01	-217.94892143450715594	232.91614213855879711	445.8795167514286959
1	1	0.5	0.02	-199.37538055971276663	227.20826991078732249	435.66766989238522001
1	1	0.5	0.03	-192.63174550743588043	221.59281073840890031	425.45582303334180096
1	1	0.5	0.04	-191.41077204714065374	216.07696969828757005	415.24397617429838192
1	1	0.5	0.05	-193.47765546519644886	210.66857170682195033	405.0321293152547355
1	1	0.5	0.06	-197.73724029847994643	205.3761051922578531	394.82028245621154383
1	1	0.5	0.07	-203.56067056879282973	200.2087642208543059	384.60843559716784057
1	1	0.5	0.08	-210.55058381180879223	195.17648722551894025	374.39658873812442152
1	1	0.5	0.09	-218.43916357176385645	190.28998993246077021	364.18474187908100248
1	1	0.5	0.1	-227.03730622938815031	185.56078944445710022	362.99804131659709583
1	1	0.5	0.11	-236.20671203314418563	181.00121573612568682	362.99804131659698214
1	1	0.5	0.12	-245.84342938329677963	176.62440608424475386	364.01673038365640878
1	1	0.5	0.13	-255.86760179034877183	172.44427725853995526	365.19914697891965716
1	1	0.5	0.14	-266.21679163403518942	168.47546973307248663	366.38156357418267817
1	1	0.5	0.15	-276.84147318496297885	164.73325788161290006	367.56398016944569918
1	1	1	0	-265.95691309700418969	260.47326366959231336	498.69272242116915095
1	1	1	0.01	-251.87536369573763295	254.44237878775999206	488.011342737206121
1	1	1	0.02	-230.77947097800438314	248.49816748997957916	477.32996305324292052
1	1	1	0.03	-222.4278980172368847	242.64699968225653492	466.64858336928000426
1	1	1	0.04	-220.07730497722809559	236.89576980170633647	455.96720368531697432
1	1	1	0.05	-221.29917120970230826	231.25193432986486641	445.28582400135394437
1	1	1	0.06	-224.8986833024423504	225.72354905699202732	434.60444431739091442
1	1	1	0.07	-230.1902189226129849	220.31930499319244632	423.92306463342777079
1	1	1	0.08	-236.74155490126918266	215.04856147554559698	413.241684949464684
1	1	1	0.09	-244.2621889626709617	209.92137461187382996	402.56030526550159721
1	1	1	0.1	-252.54755860121076694	204.94851873432713774	401.24747644603121444
1	1	1	0.11	-261.44842769471279098	200.14149802095039377	401.24747644603132812
1	1	1	0.12	-270.85286393056435372	195.51254490432143029	401.24747644603132812
1	1	1	0.13	-280.67503324502126816	191.07460136312610643	401.24747644603132812
1	1	1	0.14	-290.84792064288626534	186.84127874591800378	401.50415338111224628
1	1	1	0.15	-301.31842817392407596	182.82679149118465034	402.65577845085942954
1	1	1.5	0	-294.55005574776032518	274.97085305232934616	527.0406360197379172
1	1	1.5	0.01	-276.89690349438433259	268.78780408196922735	516.05058624517232602
1	1	1.5	0.02	-254.04589354972085857	262.69222432961629465	505.06053647060667799
1	1	1.5	0.03	-244.62501738158266562	256.69034521857042819	494.07048669604114366
1	1	1.5	0.04	-241.541957579775044	250.78889416951722069	483.08043692147566617
1	1	1.5	0.05	-242.22412327309439206	244.99512863373982441	472.0903871469099613
1	1	1.5	0.06	-245.40600271496646201	239.31686980843880974	461.10033737234448381
1	1	1.5	0.07	-250.36299955425351982	233.76253506648299663	450.11028759777883579
1	1	1.5	0.08	-256.63951711711752068	228.34116784246600673	439.12023782321330145
1	1	1.5	0.09	-263.93010944087109237	223.06246337689094617	428.13018804864782396
1	1	1.5	0.1	-272.0201672782670812	217.93678833328104361	427.07629458291944502
1	1	1.5	0.11	-280.75342072778198599	212.97519187792030948	427.07629458291938818
