# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_beta/phi.table.LittleEgret_SFS.txt
# sampleSize: 9
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 361539
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-1057579.3018603920937	2346046.9106830996461	4376232.0569733735174
1	1	0	0.01	-1078739.4269656762481	2294078.8930548601784	4270902.9855672726408
1	1	0	0.02	-982837.24601811915636	2243432.0822397042066	4165573.9141611699015
1	1	0	0.03	-994294.71513240411878	2194197.9690341106616	4060244.8427550680935
1	1	0	0.04	-1050749.9426653347909	2146473.7656521517783	3954915.7713489662856
1	1	0	0.05	-1132262.1621145196259	2100362.3986305114813	3945514.9733365816064
1	1	0	0.06	-1229738.7286568768322	2055972.3889579288661	3945514.9733365806751
1	1	0	0.07	-1338211.9401750788093	2013417.5926424954087	3945514.9733365806751
1	1	0	0.08	-1454649.3938521444798	1972816.7730926522054	3945514.9733365802094
1	1	0	0.09	-1577056.6327402442694	1934292.9761692218017	3945514.9733365811408
1	1	0	0.1	-1704050.2912684828043	1897972.6801900852006	3945514.9733365820721
1	1	0	0.11	-1834632.392408605665	1863984.6972190407105	3945514.9733365811408
1	1	0	0.12	-1968061.1534410230815	1832458.809308971744	3945514.9733365811408
1	1	0	0.13	-2103772.3242637887597	1803524.1345182559453	3945514.9733365811408
1	1	0	0.14	-2241328.8686156980693	1777307.2326961555518	3945514.9733365811408
1	1	0	0.15	-2380387.4511991776526	1753929.9799669259228	3945514.9733365811408
1	1	0.5	0	-1670424.6406453736126	2894491.5294386134483	5419369.6807712186128
1	1	0.5	0.01	-1653903.1659280881286	2834228.9020115905441	5301340.4158728998154
1	1	0.5	0.02	-1528837.3652842380106	2775210.3234739396721	5183311.1509745810181
1	1	0.5	0.03	-1517015.062229540199	2717516.8491745167412	5065281.8860762622207
1	1	0.5	0.04	-1554446.6828192435205	2661234.6621617232449	4947252.6211779443547
1	1	0.5	0.05	-1620128.651876680553	2606455.1874427483417	4829223.3562796255574
1	1	0.5	0.06	-1704243.4279830120504	2553275.147083833348	4761770.8717105910182
1	1	0.5	0.07	-1801311.0597316510975	2501796.5394486594014	4761770.8717105910182
1	1	0.5	0.08	-1907926.3650630526245	2452126.5237322412431	4761770.8717105910182
1	1	0.5	0.09	-2021816.7936904989183	2404377.1891069025733	4761770.8717105910182
