# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_beta/phi.table.Melitaea_SFS.txt
# sampleSize: 17
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 101
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-235.74397895847005202	383.50434572945158607	697.87929458940641325
1	1	0	0.01	-275.61280708840786247	374.62135080141672461	678.29008774592364261
1	1	0	0.02	-237.76094584487782413	366.09065914087261717	658.70088090244121304
1	1	0	0.03	-230.11341231335609336	357.93746087149906998	657.85919024089253071
1	1	0	0.04	-235.11822849581312767	350.18812377219484233	658.48245012091229
1	1	0	0.05	-247.14509010430083435	342.87003240012251126	659.32109313555463359
1	1	0	0.06	-263.62848240373477893	336.01136462335466604	661.85955303530579386
1	1	0	0.07	-283.17226917215702997	329.64079866584125966	665.32949115487258496
1	1	0	0.08	-304.92944123891993513	323.78714626290422984	668.79942927443960343
1	1	0	0.09	-328.34702376383984301	318.47891135224932668	672.26936739400662191
1	1	0	0.1	-353.04450766658965222	313.74377893142229823	676.67952779084089343
1	1	0	0.11	-378.74956570275708145	309.60804513326417009	681.33422671847097263
1	1	0	0.12	-405.26131621356353207	306.09600676149045739	685.9889256461012792
1	1	0	0.13	-432.42802553866795279	303.22933573524244366	690.6436245737313584
1	1	0	0.14	-460.13290642955917065	301.02647009284612523	695.29832350136177865
1	1	0	0.15	-488.28470969871204943	299.50205724451848255	699.95302242899185785
1	1	0.5	0	-324.33100314776174855	477.06769409868513776	878.90095941779270561
1	1	0.5	0.01	-356.72938934499825336	466.56722667810231542	856.56409440307959358
1	1	0.5	0.02	-314.02222897614365138	456.38157681472915783	834.22722938836625417
1	1	0.5	0.03	-302.93382825488015442	446.53228851903389796	811.89036437365314214
1	1	0.5	0.04	-305.36182252829439676	437.04210336366543288	810.11541736426374882
1	1	0.5	0.05	-315.38580675379671447	427.93491318583960492	810.24643120375856142
1	1	0.5	0.06	-330.27183177309098028	419.23567849427041665	810.39655150629255331
1	1	0.5	0.07	-348.51871603879726536	410.97030636053779062	810.54667180882643152
1	1	0.5	0.08	-369.21021633781265336	403.16548176392973346	810.69679211136042341
1	1	0.5	0.09	-391.74567318657182113	395.84844707305956035	810.84691241389452898
1	1	0.5	0.1	-415.7105358218091169	389.04672573189469631	810.99703271642852087
1	1	0.5	0.11	-440.8074421039345907	382.78778839404901646	811.14715301896194433
1	1	0.5	0.12	-466.81663461559901407	377.09866278316428634	812.55081682598461157
1	1	0.5	0.13	-493.57184430076040371	372.00549241971953052	815.31487999173782555
1	1	0.5	0.14	-520.944887809883312	367.53305388273497556	818.0789431574912669
1	1	0.5	0.15	-548.83544276289057962	363.70424714408380851	820.84300632324448088
1	1	1	0	-383.91401773901316119	524.78538535441998647	973.35845420702582942
1	1	1	0.01	-411.50110125753508328	513.60612601544789868	949.97262157384795955
1	1	1	0.02	-366.02424993815611742	502.73059628815747146	926.58678894067008969
1	1	1	0.03	-353.10132695077527387	492.17893084988668306	903.20095630749233351
1	1	1	0.04	-354.20956122527832122	481.97240093751219092	894.1336450962702429
1	1	1	0.05	-363.2324313170051937	472.13339039199826175	894.13364509627001553
1	1	1	0.06	-377.3314785029729137	462.68534572132011817	894.13364509627058396
1	1	1	0.07	-394.94432175481051672	453.65269505659603055	894.13364509627035659
1	1	1	0.08	-415.11625870384477821	445.06073078132754972	894.1336450962702429
