# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_beta/phi.table.Messor_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 50
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-2514.3166876611576299	2830.6606003069582584	6092.8787843889022042
1	1	0	0.01	-2612.1181473898723198	2782.4396478217167896	6124.734859505334498
1	1	0	0.02	-2793.8802879081958963	2735.8807530385292921	6156.5909346217613347
1	1	0	0.03	-2991.8730901138733316	2691.0701843986612403	6188.4470097381909
1	1	0	0.04	-3196.4770062901079655	2648.0966978772821676	6220.3030848546222842
1	1	0	0.05	-3404.3478341745467333	2607.0511400227715058	6252.159159971047302
1	1	0	0.06	-3613.8695212710990745	2568.0259565502519763	6284.0152350874795957
1	1	0	0.07	-3824.1323873306973837	2531.1146006797052905	6315.8713102039064324
1	1	0	0.08	-4034.5796719083737116	2496.4108378767468821	6347.7273853203378167
1	1	0	0.09	-4244.8538139725678775	2464.0079469432143924	6379.5834604367664724
1	1	0	0.1	-4454.7192302418261534	2433.9978215204905609	6411.4395355531951282
1	1	0	0.11	-4664.0194815872200707	2406.4699809409657973	6443.2956106696265124
1	1	0	0.12	-4872.6517374257127813	2381.5105048287896352	6475.1516857860533491
1	1	0	0.13	-5080.5506973778174142	2359.2009116406520661	6507.0077609024829144
1	1	0	0.14	-5287.6780260905470641	2339.6170070758676047	6538.8638360189124796
1	1	0	0.15	-5494.0151698463268986	2322.8277335066259184	6570.7199111353420449
1	1	0.5	0	-3090.9320172133775486	3359.776715834037077	6623.0960354229946461
1	1	0.5	0.01	-3170.1479267165450437	3302.9818362128798981	6646.4714382486999966
1	1	0.5	0.02	-3340.9961650708210072	3247.7670427742391439	6677.2664164426623756
1	1	0.5	0.03	-3532.0249479917692952	3194.2142760928691132	6708.0613946366274831
1	1	0.5	0.04	-3732.0108830182980455	3142.4085098451359954	6738.8563728305898621
1	1	0.5	0.05	-3936.7978254101944913	3092.437544653959776	6769.6513510245531506
1	1	0.5	0.06	-4144.3115924317426106	3044.39173171100947	6800.4463292185191676
1	1	0.5	0.07	-4353.3628476353660517	2998.3636184295501153	6831.2413074124815466
1	1	0.5	0.08	-4563.2135905567047303	2954.4475091326630718	6862.0362856064439256
1	1	0.5	0.09	-4773.3831476024097356	2912.7389350583935084	6892.8312638004081236
1	1	0.5	0.1	-4983.549089061027189	2873.3340298469765912	6923.6262419943723216
1	1	0.5	0.11	-5193.4917957396573911	2836.328809224149154	6954.4212201883337912
1	1	0.5	0.12	-5403.0612928400259989	2801.818356831818619	6985.2161983822988987
1	1	0.5	0.13	-5612.1563549196653184	2769.8959220539823036	7016.0111765762612777
1	1	0.5	0.14	-5820.7107911490893457	2740.6519401466262025	7046.8061547702236567
1	1	0.5	0.15	-6028.6841390372610476	2714.1729898321336805	7077.6011329641878547
1	1	1	0	-3478.4414688848301012	3628.4761935276260374	6994.6825301091466827
1	1	1	0.01	-3545.299077986026532	3567.9208790574389241	6959.4984794235306254
1	1	1	0.02	-3709.7178146057158301	3508.9200893644779171	6988.2560826033932244
1	1	1	0.03	-3896.8691777583189833	3451.5535444190259113	7017.013685783254914
1	1	1	0.04	-4094.3385797509763506	3395.9040664529647984	7045.7712889631147846
1	1	1	0.05	-4297.4378510506976454	3342.0574305697300588	7074.5288921429773836
1	1	1	0.06	-4503.8172550277631672	3290.1021552552506364	7103.2864953228390732
1	1	1	0.07	-4712.1292832181025005	3240.1292253424790033	7132.0440985027007628
1	1	1	0.08	-4921.5379942846630001	3192.2317403246247522	7160.8017016825633618
1	1	1	0.09	-5131.4984405722243537	3146.504481653860239	7189.5593048624223229
1	1	1	0.1	-5341.6440359081607312	3103.0433938818837305	7218.316908042283103
1	1	1	0.11	-5551.7236891574393667	3061.9449762650028788	7247.0745112221429736
1	1	1	0.12	-5761.564313135593693	3023.3055838186955953	7275.8321144020046631
1	1	1	0.13	-5971.0472877186512051	2987.2206397818085861	7304.9626175955045255
1	1	1	0.14	-6180.0930640510632657	2953.783765010886782	7334.6964760961200227
1	1	1	0.15	-6388.6507506867019401	2923.0858338850853215	7364.4303345967337009
1	1	1.5	0	-3777.6076491872881888	3808.8925805020189728	7277.7271261139931084
1	1	1.5	0.01	-3834.9038232289203734	3745.9654739168900051	7200.1905470521169264
1	1	1.5	0.02	-3994.7497774296934949	3684.5802558229229362	7222.0141082589889265
1	1	1.5	0.03	-4179.2411016305450175	3624.8152613990541795	7246.0503757988535654
1	1	1.5	0.04	-4375.0095576351995987	3566.7519376586210456	7270.452832779333221
1	1	1.5	0.05	-4576.9707135410317278	3510.4747226208901338	7296.5964312243886525
1	1	1.5	0.06	-4782.5787847476058232	3456.0708701323778769	7324.4626259137821762
1	1	1.5	0.07	-4990.3771673111259588	3403.6302132346236249	7352.3288206031756999
1	1	1.5	0.08	-5199.4638278252896271	3353.2448591414004113	7380.1950152925701332
1	1	1.5	0.09	-5409.2511242178406974	3305.008809386376015	7408.0612099819645664
1	1	1.5	0.1	-5619.3434764557459857	3259.0174996052901406	7435.9274046713580901
1	1	1.5	0.11	-5829.4693047438704525	3215.367254792856329	7463.7935993607516139
1	1	1.5	0.12	-6039.4405711417784914	3174.1546577795220401	7491.6597940501460471
1	1	1.5	0.13	-6249.1274567310283601	3135.4758311397295074	7519.5259887395404803
1	1	1.5	0.14	-6458.4418428222707007	3099.4256357699523505	7547.3921834289330945
1	1	1.5	0.15	-6667.3261642755060166	3066.0967929149323936	7575.2583781183284373
1	1	2	0	-4023.045694548109168	3943.6028064505399016	7524.7389848812945274
1	1	2	0.01	-4072.4864839594265504	3878.9705800087713214	7410.3172429271826331
1	1	2	0.02	-4228.8143202673345513	3815.8728005694988497	7421.0071103419304563
1	1	2	0.03	-4411.3115827549336245	3754.3868345845980912	7441.2706773239733593
1	1	2	0.04	-4605.8181960976398841	3694.5931550445056928	7461.5342443060162623
1	1	2	0.05	-4806.9368055115592142	3636.5752381773704656	7481.7978112880564368
1	1	2	0.06	-5011.9714538657099183	3580.4194095903640118	7502.0613782701002492
1	1	2	0.07	-5219.3836194985342445	3526.2146330366122129	7523.5430270185797781
1	1	2	0.08	-5428.2223127683246275	3474.0522350614119205	7548.4232132331244429
1	1	2	0.09	-5637.8685670150953229	3424.0255591412219474	7575.5200362596960986
1	1	2	0.1	-5847.9056737876016996	3376.2295436467352374	7602.6168592862677542
1	1	2	0.11	-6058.04719568218934	3330.7602191027272056	7629.7136823128403194
1	1	2	0.12	-6268.0942913144135673	3287.7141218398196543	7656.810505339411975
1	1	2	0.13	-6477.90907010855517	3247.1876232759063896	7683.9073283659872686
1	1	2	0.14	-6687.3972477805436938	3209.2761767400133976	7711.0041513925589243
1	1	2	0.15	-6896.4964638072451635	3174.0734869327275192	7738.1009744191305799
1	1	2.5	0	-4231.8000422883196734	4050.3245213969826182	7725.7712941185445743
1	1	2.5	0.01	-4274.5575408946388052	3984.3763240978501017	7595.1687206568940383
1	1	2.5	0.02	-4428.0495843496428279	3919.957748485310276	7595.1687206568931288
1	1	2.5	0.03	-4608.9713465893364628	3857.1454344197700266	7606.9393468403686711
1	1	2.5	0.04	-4802.4887192886853882	3796.0191186422212013	7624.5737098634172071
1	1	2.5	0.05	-5002.9478809165630082	3736.6615434644313609	7643.840448376789027
1	1	2.5	0.06	-5207.5325041923606477	3679.1583176307390204	7663.1071868901590278
1	1	2.5	0.07	-5414.6393327729092562	3623.5977227685780235	7682.3739254035281192
1	1	2.5	0.08	-5623.2790549985620601	3570.0704588554754082	7701.6406639168990296
1	1	2.5	0.09	-5832.8083428723439283	3518.6693224013229155	7720.907402430266302
1	1	2.5	0.1	-6042.7941305735294009	3469.4888116407805683	7740.6808848325772487
1	1	2.5	0.11	-6252.938514764100546	3422.624654014760381	7765.376036164288962
1	1	2.5	0.12	-6463.0343355708500894	3378.1732526493506157	7790.4672495564000201
1	1	2.5	0.13	-6672.9374971902907419	3336.231050457695801	7816.3529797651281115
1	1	2.5	0.14	-6882.5489806039076939	3296.8938129150224086	7842.780438955777754
1	1	2.5	0.15	-7091.8027454425719043	3260.2558334758600722	7869.2078981464237586
1	1	3	0	-4413.7164594391797436	4138.1820063455370473	7891.4150749580976481
1	1	3	0.01	-4450.6529875606138376	4071.1713347189856904	7748.7150955868701203
1	1	3	0.02	-4601.7860031132076983	4005.6869585205490694	7748.7150955868728488
1	1	3	0.03	-4781.4180436152164475	3941.8049465586273072	7751.7386592155216931
1	1	3	0.04	-4974.130520526185137	3879.6044537806883454	7764.9395074091771676
1	1	3	0.05	-5174.0538059383143263	3819.1676387538009294	7781.0085337893460746
1	1	3	0.06	-5378.2720146615356498	3760.5795353963794696	7799.8765458411344298
1	1	3	0.07	-5585.1289221114602697	3703.9278725709859827	7818.7445578929200565
1	1	3	0.08	-5793.604080908724427	3649.3028351183529594	7837.6125699447065927
1	1	3	0.09	-6003.0344640600815183	3596.7967601222494523	7856.4805819964949478
1	1	3	0.1	-6212.9738219620339805	3546.5037627045294357	7875.348594048281484
1	1	3	0.11	-6423.1150307221978437	3498.5192865206990973	7894.2166061000689297
1	1	3	0.12	-6633.244251425985567	3452.939575414787214	7913.1831185369592276
1	1	3	0.13	-6843.2124113403006049	3409.8610644427189982	7935.617893427580384
1	1	3	0.14	-7052.9166966691045673	3369.3796907097948861	7959.6420570551799756
1	1	3	0.15	-7262.2881190876178152	3331.5901271857064785	7983.6662206827822956
1	1	3.5	0	-4575.0591861176435486	4212.4967337033031072	8031.2766747254436268
1	1	3.5	0.01	-4606.8387410413852194	4144.6009240676166883	7884.8791531994875186
1	1	3.5	0.02	-4755.9636769518110668	4078.2290186078175793	7878.8562800422951113
1	1	3.5	0.03	-4934.5123955262024538	4013.456622010409319	7878.8562800422951113
1	1	3.5	0.04	-5126.5520969577846699	3950.3624144393547795	7887.6924251532063863
1	1	3.5	0.05	-5326.0279210583357781	3889.0280757771124627	7900.6571406566336009
1	1	3.5	0.06	-5529.9397040618023311	3829.5381657664329396	7916.2051910610898631
1	1	3.5	0.07	-5736.5867627980296675	3771.9799538243059942	7934.7159131863045332
1	1	3.5	0.08	-5944.9226598380737414	3716.4431922410294646	7953.2266353115237507
1	1	3.5	0.09	-6154.2679848194420629	3663.0198266414781756	7971.7373574367420588
1	1	3.5	0.1	-6364.1655504379414197	3611.803638031007722	7990.2480795619585479
1	1	3.5	0.11	-6574.3005959880611044	3562.8898115337592571	8008.7588016871741274
1	1	3.5	0.12	-6784.4537570614411379	3516.3744281119593325	8027.269523812391526
1	1	3.5	0.13	-6994.4718467560160207	3472.3538771761063799	8045.7802459376107436
1	1	3.5	0.14	-7204.2489159252800164	3430.9241900851957325	8065.0789648794425375
1	1	3.5	0.15	-7413.7135413230462291	3392.1802970943572291	8086.6879784535467479
1	1	4	0	-4720.0854940612953214	4276.6413153205194249	8151.8234540254807143
1	1	4	0.01	-4747.2364608114912699	4207.9908359540522724	8004.100939328858658
1	1	4	0.02	-4894.6216618618054781	4140.8624889893308136	7991.3716867301327511
1	1	4	0.03	-5072.2423720388505899	4075.3314922400199976	7991.3716867301318416
1	1	4	0.04	-5263.7080914195576042	4011.4761288391555354	7993.9937152018092092
1	1	4	0.05	-5462.8024747430936259	3949.3776768660945891	8006.7440830306713906
1	1	4	0.06	-5666.4527206786842726	3889.1202962223778741	8019.4944508595363004
1	1	4	0.07	-5872.9200938950634736	3830.7908666655494017	8035.2529416451216093
1	1	4	0.08	-6081.1360105905660021	3774.4787708299922997	8053.4407954822645479
1	1	4	0.09	-6290.4071406106631912	3720.2756161933934891	8071.6286493194074865
1	1	4	0.1	-6500.2670217215345474	3668.2748903426972902	8089.8165031565495156
1	1	4	0.11	-6710.3944258409574104	3618.5715446116405474	8108.0043569936933636
1	1	4	0.12	-6920.5653133153718954	3571.2615022574541399	8126.1922108308335737
1	1	4	0.13	-7130.6230181918253948	3526.4410888625384359	8144.3800646679765123
1	1	4	0.14	-7340.4589409897344012	3484.2063846173900856	8162.5679185051167224
1	1	4	0.15	-7549.99960067032589	3444.6525005692396917	8180.7557723422605704
1	1	4.5	0	-4851.8318958855379606	4332.8853176128159248	8257.3949998712978413
1	1	4.5	0.01	-4874.7854029847840138	4263.5798350722006944	8108.5150256225751946
1	1	4.5	0.02	-5020.6421222641693021	4195.7951425852879765	8090.1629707447473265
1	1	4.5	0.03	-5197.4554284342630126	4129.6061290525922232	8090.1629707447445981
1	1	4.5	0.04	-5388.4234768529495341	4065.0907391758892118	8090.162970744746417
1	1	4.5	0.05	-5587.1873569258932548	4002.3299074934921009	8100.010024621436969
1	1	4.5	0.06	-5790.6107575492387696	3941.4074507919854113	8112.5645113490663789
1	1	4.5	0.07	-5996.9218657486344455	3882.4099129224746321	8125.1189980766957888
1	1	4.5	0.08	-6205.0329170892509865	3825.4263559526621066	8141.6200092616854818
1	1	4.5	0.09	-6414.2385544486278377	3770.548091688295699	8159.5139097609126111
1	1	4.5	0.1	-6624.0643145135618397	3717.8683479528499447	8177.4078102601370119
1	1	4.5	0.11	-6834.1833959426621732	3667.4818646781995994	8195.3017107593605033
1	1	4.5	0.12	-7044.3677330149585032	3619.4844158851883549	8213.1956112585849041
1	1	4.5	0.13	-7254.4576651896168187	3573.9722550666829193	8231.089511757811124
1	1	4.5	0.14	-7464.3423123833490536	3531.0414833580666709	8248.9834122570318868
1	1	4.5	0.15	-7673.9464231364145235	3490.7873421999056518	8266.8773127562581067
1	1	5	0	-4972.5460238900850527	4382.827130830317401	8351.0404150866215787
1	1	5	0.01	-4991.6608710089894885	4312.9450391676000436	8201.1359641426624876
1	1	5	0.02	-5136.1593117963493569	4244.5827035565826009	8177.9853534920948732
1	1	5	0.03	-5312.2612308688512712	4177.8147287901856544	8177.9853534920985112
1	1	5	0.04	-5502.792089523984032	4112.7187666036525115	8177.9853534920966922
1	1	5	0.05	-5701.2657986414815241	4049.3754533958353932	8183.010121177891051
1	1	5	0.06	-5904.4898613071745785	3987.8683072875874132	8195.3845254204843513
1	1	5	0.07	-6110.6633459039585432	3928.2835786493301384	8207.7589296630721947
1	1	5	0.08	-6318.6816553283024405	3870.7100481199045134	8220.1509386975194502
1	1	5	0.09	-6527.8288988335953036	3815.2387662189594266	8237.7754485156146984
1	1	5	0.1	-6737.6236146761839336	3761.9627289776185535	8255.3999583337063086
1	1	5	0.11	-6947.734130891818495	3710.9764846313278213	8273.0244681518033758
1	1	5	0.12	-7157.9288652882605675	3662.3756673871966996	8290.648977969896805
1	1	5	0.13	-7368.0455427539927769	3616.2564556411275589	8308.2734877879902342
1	1	5	0.14	-7577.9712924836421735	3572.7149538097246477	8325.8979976060854824
1	1	5	0.15	-7787.6293178377782169	3531.8464991698479025	8343.5225074241807306
1	1	5.5	0	-5083.9413119756281958	4427.6335039627556398	8434.9810709467510605
1	1	5.5	0.01	-5099.5209409597810009	4357.2379237038458086	8284.1600486794013705
1	1	5.5	0.02	-5242.8008473926602164	4288.3612932220912626	8256.8546422336858086
1	1	5.5	0.03	-5418.2693897684075637	4221.0779686877194763	8256.8546422336876276
1	1	5.5	0.04	-5608.4120073720114306	4155.4653449847501179	8256.8546422336876276
1	1	5.5	0.05	-5806.6281608979224984	4091.6037965681080095	8257.6179413742884208
1	1	5.5	0.06	-6009.6751564416081237	4029.5765784887203154	8269.8259028437023517
1	1	5.5	0.07	-6215.7261586047025048	3969.4696818104193881	8282.0338643131181016
1	1	5.5	0.08	-6423.6616358432183915	3911.3716375221038106	8294.2418257825320325
1	1	5.5	0.09	-6632.7563675913988845	3855.3732631102698178	8308.1623939002092811
1	1	5.5	0.1	-6842.5227003574509581	3801.5673462522909176	8325.538597334509177
1	1	5.5	0.11	-7052.6246561223051685	3750.0482606722271157	8342.9148007688090729
1	1	5.5	0.12	-7262.8275453223868681	3700.9115101205638894	8360.2910042031089688
1	1	5.5	0.13	-7472.9667831719452806	3654.2531977420380827	8377.6672076374070457
1	1	5.5	0.14	-7682.9277406338696892	3610.1694198147984025	8395.0434110717069416
1	1	5.5	0.15	-7892.6322564968904771	3568.7555849927412055	8412.4196145060050185
1	1	6	0	-5187.3556959874476888	4468.1811478029894715	8510.8833761138394038
1	1	6	0.01	-5199.6601787106228585	4397.3238843746730709	8359.2349365709524136
1	1	6	0.02	-5341.8381051119940821	4327.9849365499776468	8328.2885583973820758
1	1	6	0.03	-5516.737730775577802	4260.2384405472739672	8328.2885583973820758
1	1	6	0.04	-5706.5324169578962028	4194.1615636538645049	8328.2885583973802568
1	1	6	0.05	-5904.5178554115882434	4129.834447789380647	8328.2885583973838948
1	1	6	0.06	-6107.4061304635943088	4067.3401139646302909	8337.3001776646233338
1	1	6	0.07	-6313.3471577024138242	4006.7643219417604996	8349.3535729822378926
