# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_beta/phi.table.Ostrea_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 28
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-256.76899702963419259	300.23515021180548956	580.52807964389046447
1	1	0	0.01	-255.96066436124829124	294.68432918704615986	569.24597626052138821
1	1	0	0.02	-251.63250679510611008	289.25188233022623763	557.96387287715242564
1	1	0	0.03	-256.13840492104827717	283.94460394975709505	554.84582095088273945
1	1	0	0.04	-264.45612567771831891	278.76964309306623591	554.84582095088262577
1	1	0	0.05	-274.92763098009481837	273.73450426596264151	554.84582095088273945
1	1	0	0.06	-286.77768619188555022	268.84704361155786501	554.84582095088296683
1	1	0	0.07	-299.57524394667234446	264.11545961768905499	554.84582095088285314
1	1	0	0.08	-313.05425850043002356	259.54827735297538993	554.84582095088273945
1	1	0	0.09	-327.03872041868862652	255.15432518806483131	554.84582095088262577
1	1	0	0.1	-341.40632854803152441	250.94270295209247479	554.84582095088285314
1	1	0	0.11	-356.06897440061038651	246.92274051831103066	554.84582095088273945
1	1	0	0.12	-370.96142516171403258	243.103945921677564	554.84582095088273945
1	1	0	0.13	-386.03436199667430628	239.49594229913884647	554.84582095088262577
1	1	0	0.14	-401.24989172126925041	236.10839322281753994	554.84582095088273945
1	1	0	0.15	-416.57854040468419043	232.95091637556294017	554.84582095088262577
1	1	0.5	0	-343.29684794085187605	353.92470980096618405	685.34693163879512667
1	1	0.5	0.01	-337.74812240968094557	347.67116869960676695	672.87758937528144543
1	1	0.5	0.02	-330.37223797614296927	341.534755249124089	660.40824711176821893
1	1	0.5	0.03	-332.70596848936474998	335.52189600990885765	647.93890484825465137
1	1	0.5	0.04	-339.37379642593396056	329.63935220474752441	645.75963692624804935
1	1	0.5	0.05	-348.53803268539286364	323.89422425033041009	645.75963692624804935
1	1	0.5	0.06	-359.32150316960405689	318.29395320105834344	645.75963692624782198
1	1	0.5	0.07	-371.23051048520710538	312.84631841667572871	645.75963692624782198
1	1	0.5	0.08	-383.95808498749102	307.55943069633713094	645.75963692624770829
1	1	0.5	0.09	-397.30016741232884669	302.4417200627556781	645.75963692624782198
1	1	0.5	0.1	-411.11446842466875751	297.50191733778456182	645.7596369262475946
1	1	0.5	0.11	-425.29817298456646313	292.74902863318612845	645.75963692624793566
1	1	0.5	0.12	-439.77493521753331152	288.19230189678296483	645.75963692624793566
1	1	0.5	0.13	-454.48684781530937471	283.84118471486004864	645.75963692624816304
1	1	0.5	0.14	-469.38925234406542586	279.70527268712771729	645.75963692624793566
1	1	0.5	0.15	-484.44725829723802235	275.79424787058570701	645.75963692624793566
1	1	1	0	-395.8777768034874498	380.70844971454920369	737.36601606434044243
1	1	1	0.01	-387.31754977059154044	374.13775553795244377	724.32334308223221342
1	1	1	0.02	-378.23851402080390471	367.68447440295113893	711.28067010012398441
1	1	1	0.03	-379.4363960680634591	361.35489685079505762	698.23799711801541434
1	1	1	0.04	-385.27323273530964798	355.15563687234310919	692.46473391784570595
1	1	1	0.05	-393.79346122478727921	349.09363713683904962	692.46473391784581963
1	1	1	0.06	-404.05841822858064916	343.17617157916305359	692.46473391784570595
1	1	1	0.07	-415.53880741951570599	337.41084474733708021	692.46473391784570595
1	1	1	0.08	-427.90539938290339705	331.80558724887191602	692.46473391784593332
1	1	1	0.09	-440.93936702334667643	326.36864657791875288	692.46473391784570595
1	1	1	0.1	-454.48815413113698014	321.10857256029891005	692.46473391784559226
1	1	1	0.11	-468.44153322085185209	316.03419662656693845	692.46473391784581963
1	1	1	0.12	-482.71763852527283234	311.15460412175008287	692.46473391784559226
1	1	1	0.13	-497.25434519564441871	306.47909889257221039	692.46473391784570595
1	1	1	0.14	-512.00370219118531168	302.01715946766927345	692.46473391784570595
1	1	1	0.15	-526.92820132616088813	297.77838627226230983	692.46473391784547857
1	1	1.5	0	-434.8488037008946776	398.57312507357136155	771.98069859887380062
1	1	1.5	0.01	-423.99889960707560022	391.79972292514594301	758.56111896517143123
1	1	1.5	0.02	-413.73082391895695764	385.14415442759002417	745.14153933146894815
1	1	1.5	0.03	-414.1653979015245568	378.61263376633274902	731.72195969776669244
1	1	1.5	0.04	-419.454488740528177	372.2116913228663293	724.00343382751805166
1	1	1.5	0.05	-427.55463962584190085	365.94817914506944589	724.00343382751805166
1	1	1.5	0.06	-437.48334101583895972	359.82927400917333216	724.00343382751827903
1	1	1.5	0.07	-448.68665641280767886	353.86247752560490198	724.00343382751805166
1	1	1.5	0.08	-460.82026244329426845	348.05561268188665736	724.00343382751816534
1	1	1.5	0.09	-473.65546259720531452	342.41681616179624825	724.00343382751827903
1	1	1.5	0.1	-487.03291054942792471	336.9545257354661203	724.00343382751805166
1	1	1.5	0.11	-500.83751369715446344	331.67746198537236069	724.00343382751827903
1	1	1.5	0.12	-514.98380362383295505	326.59460362461118166	724.00343382751816534
1	1	1.5	0.13	-529.40691434822156225	321.71515568370330129	724.00343382751793797
1	1	1.5	0.14	-544.05676159148879378	317.04850989821056828	724.00343382751805166
1	1	1.5	0.15	-558.89414526756172563	312.60419672962734694	724.00343382751827903
1	1	2	0	-466.04271280118246068	411.86198002347964575	797.68727481003043067
1	1	2	0.01	-453.33047240984751625	404.94163904999231818	783.98988771352264848
1	1	2	0.02	-442.15675988559132747	398.13954181461042481	770.29250061701543473
1	1	2	0.03	-442.02520690840265161	391.46185222626979794	756.59511352050753885
1	1	2	0.04	-446.91312669343778907	384.91504518882646835	747.6358399692957164
1	1	2	0.05	-454.70758812169833618	378.5059121720969415	747.63583996929605746
1	1	2	0.06	-464.39243366508435429	372.24156452224184477	747.63583996929594377
1	1	2	0.07	-475.39517253890107895	366.12943399694324853	747.63583996929594377
1	1	2	0.08	-487.36025803175516558	360.17726995480722962	747.63583996929605746
1	1	2	0.09	-500.05171810213641947	354.39313257665497758	747.63583996929605746
1	1	2	0.1	-513.30523084571359504	348.78538145270852056	747.63583996929605746
1	1	2	0.11	-527.00215374887056896	343.36265883894350281	747.6358399692957164
1	1	2	0.12	-541.05439764518632728	338.13386687376703321	747.63583996929605746
1	1	2	0.13	-555.39510691465875425	333.10813805922629172	747.63583996929605746
1	1	2	0.14	-569.97265139216051466	328.29479835626852946	747.63583996929594377
1	1	2	0.15	-584.74660641043465148	323.70332232848954845	747.63583996929605746
