# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_beta/phi.table.PSAE_SFS.txt
# sampleSize: 85
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 17208
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-75833.410099849686958	35767.464126540224242	59292.948515204101568
1	1	0	0.01	-80569.386905573599506	34885.869105096746353	57836.025421791462577
1	1	0	0.02	-60848.599925387534313	34004.536005798938277	56381.096595935530786
1	1	0	0.03	-49054.020932576677296	33123.485735932736134	54934.762421748775523
1	1	0	0.04	-40889.171210775355576	32242.741480905970093	53488.428247561998433
1	1	0	0.05	-34835.620881076902151	31362.329022055415408	52042.094073375235894
1	1	0	0.06	-30166.791309846565127	30482.277108968031825	50595.759899188487907
1	1	0	0.07	-26476.018017448164755	29602.617897498545062	49149.425725001696264
1	1	0	0.08	-23512.063751957262866	28723.387467355219997	47710.791604313213611
1	1	0	0.09	-21108.677439843595494	27844.626436558039131	46281.556847837695386
1	1	0	0.1	-19150.116007481876295	26966.380694491537724	44854.913503265794134
1	1	0	0.11	-17552.584177329554223	26088.702280990433792	43445.901955674533383
1	1	0	0.12	-16253.499933558428893	25211.650446355070017	42055.864018465334084
1	1	0	0.13	-15204.926579311751993	24335.292936995174387	40775.213440649946278
1	1	0	0.14	-14369.367252531345002	23459.707564389394975	39552.950701995105192
1	1	0	0.15	-13716.969144559669076	22584.984132407571451	38343.668414501305961
1	1	0.5	0	-91950.520490068593062	39052.046510031439539	66067.365705311429338
1	1	0.5	0.01	-88342.503159351879731	38117.035931276994233	64553.936725652121822
1	1	0.5	0.02	-66389.063887296710163	37182.602894892588665	63040.507745992763375
1	1	0.5	0.03	-53524.068994390720036	36248.792065125468071	61527.078766333434032
1	1	0.5	0.04	-44719.380569258442847	35315.65279887295037	60013.649786674119241
1	1	0.5	0.05	-38235.323642763018142	34383.239773598936154	58500.220807014782622
1	1	0.5	0.06	-33254.680781263014069	33451.613717957792687	56986.791827355460555
1	1	0.5	0.07	-29326.472533968742937	32520.842265085026156	55473.362847696131212
1	1	0.5	0.08	-26175.09632637174218	31591.000953025104536	53959.933868036809145
1	1	0.5	0.09	-23619.729537234758027	30662.17440244473255	52446.504888377457974
1	1	0.5	0.1	-21535.345086395682301	29734.457708965437632	50933.075908718150458
1	1	0.5	0.11	-19831.932777560199611	28807.958096591708454	49419.646929058821115
1	1	0.5	0.12	-18442.581807696638862	27882.796890414825612	47906.217949399499048
1	1	0.5	0.13	-17316.240713468112517	26959.11188184214916	46392.788969740155153
1	1	0.5	0.14	-16413.109756623773137	26037.060179130265169	44879.359990080840362
1	1	0.5	0.15	-15701.593976698786719	25116.821661468871753	43384.00093633675715
1	1	1	0	-100490.30843362648739	40725.508522430522135	69232.423672630509827
1	1	1	0.01	-92046.562895227456465	39765.856381589197554	67684.201834098610561
1	1	1	0.02	-69149.088309958344325	38807.001540831544844	66135.979995566711295
1	1	1	0.03	-55863.49219442892354	37849.004595858670655	64587.758157034855685
1	1	1	0.04	-46814.771395313873654	36891.932379354526347	63039.536318502927315
1	1	1	0.05	-40168.891415918187704	35935.8587756951747	61491.314479971057153
1	1	1	0.06	-35071.94313096156111	34980.865665229830483	59943.092641439165163
1	1	1	0.07	-31055.546952322678408	34027.04402250226849	58394.870802907251345
1	1	1	0.08	-27834.718186332611367	33074.49519808376499	56846.648964375417563
1	1	1	0.09	-25223.096804588363739	32123.332420300503145	55298.427125843481917
1	1	1	0.1	-23092.160175052122213	31173.682561425088352	53750.205287311604479
1	1	1	0.11	-21349.573661299393279	30225.688223333712813	52201.983448779690661
1	1	1	0.12	-19926.815362681285478	29279.510210830976575	50653.761610247813223
1	1	1	0.13	-18771.678770043712575	28335.330477628838707	49105.539771715921233
1	1	1	0.14	-17843.512500201584771	27393.355651417259651	47557.317933184007416
1	1	1	0.15	-17110.078635910060257	26453.821272019136813	46009.096094652137253
1	1	1.5	0	-106420.14365708606783	41857.011409448627091	71250.698028272861848
1	1	1.5	0.01	-94508.380158110056072	40881.503965138312196	69680.570404741141829
1	1	1.5	0.02	-71048.698694287857506	39906.958518617677328	68110.442781209465466
1	1	1.5	0.03	-57520.082245418278035	38933.447309426235734	66540.315157677745447
1	1	1.5	0.04	-48331.797202551359078	37961.049906703206943	64970.187534146010876
1	1	1.5	0.05	-41593.747269853978651	36989.85415051945165	63400.059910614305409
1	1	1.5	0.06	-36430.660959304688731	36019.957239957082493	61829.932287082614494
1	1	1.5	0.07	-32364.138390407519182	35051.466994893613446	60259.804663550909027
1	1	1.5	0.08	-29103.826991171255941	34084.503324150748085	58689.677040019159904
1	1	1.5	0.09	-26460.211462159088114	33119.199939734593499	57119.549416487454437
1	1	1.5	0.1	-24302.78260318224784	32155.706365687779908	55549.421792955719866
1	1	1.5	0.11	-22537.887029387493385	31194.190301059235935	53979.294169424007123
1	1	1.5	0.12	-21096.089810531208059	30234.840410281765799	52409.16654589229438
1	1	1.5	0.13	-19924.530311021808302	29277.869631615329126	50929.336155400262214
1	1	1.5	0.14	-18982.075037176400656	28323.51911628680682	49477.346004836916109
1	1	1.5	0.15	-18236.122169245354598	27372.062938872772065	48025.355854273635487
1	1	2	0	-110968.07500612922013	42707.079543937004928	72705.324184146651533
1	1	2	0.01	-96354.434215781278908	41720.039279920543777	71119.531220813398249
1	1	2	0.02	-72511.504190208157524	40734.091613555807271	69533.738257480115863
1	1	2	0.03	-58820.038339684309904	39749.317847763006284	67947.945294146833476
1	1	2	0.04	-49538.700998071377398	38765.807444975493127	66362.152330813580193
1	1	2	0.05	-42739.29734879831085	37783.659061515383655	64776.359367480341461
1	1	2	0.06	-37532.199663409148343	36802.981740753595659	63190.56640414710273
1	1	2	0.07	-33432.312465441704262	35823.896293691199389	61604.773440813805792
1	1	2	0.08	-30145.70783488365123	34846.536901527724694	60018.980477480581612
1	1	2	0.09	-27480.772796186123742	33871.052982088069257	58433.187514147299225
1	1	2	0.1	-25305.67889603623189	32897.611371021914238	56915.039352401043288
1	1	2	0.11	-23525.897528965811944	31926.398879918411694	55444.062426008924376
1	1	2	0.12	-22071.387997973652091	30957.625307474932924	53973.085499616747256
1	1	2	0.13	-20888.855720820109127	29991.526997368124285	52502.108573224555585
1	1	2	0.14	-19936.847361726890085	29028.371058452445141	51031.131646832385741
1	1	2	0.15	-19182.519649509398732	28068.460390588410519	49560.154720440215897
1	1	2.5	0	-114652.63534016825724	43384.040715959963563	73827.240279379693675
1	1	2.5	0.01	-97831.670748239732347	42388.028964898148843	72229.430633136769757
1	1	2.5	0.02	-73706.5658216989832	41393.217376134212827	70631.620986893874942
1	1	2.5	0.03	-59896.517178522597533	40399.694609002144716	69033.811340650951024
1	1	2.5	0.04	-50547.614836127875606	39407.558142915375356	67436.001694408027106
1	1	2.5	0.05	-43703.692156905221054	38416.915383822226431	65838.192048165074084
1	1	2.5	0.06	-38464.655606021406129	37427.884938400406099	64240.382401922164718
1	1	2.5	0.07	-34340.545462385023711	36440.598085794430517	62655.837710467210854
1	1	2.5	0.08	-31034.841146881342866	35455.200482757834834	61169.977369189160527
1	1	2.5	0.09	-28354.410066647600615	34471.854145499331935	59684.117027911037439
1	1	2.5	0.1	-26166.468551286205184	33490.739760693417338	58198.256686632943456
1	1	2.5	0.11	-24375.854422938544303	32512.059389437064965	56712.396345354834921
1	1	2.5	0.12	-22912.088485631305957	31536.03964197087771	55226.536004076784593
1	1	2.5	0.13	-21721.562008330773097	30562.935418436412874	53740.675662798661506
1	1	2.5	0.14	-20762.590073525963817	29593.034332710001763	52254.815321520582074
1	1	2.5	0.15	-20002.1545501567889	28626.661963565962651	50813.698703168731299
1	1	3	0	-117744.89732115401421	43943.804085448020487	74731.194614588195691
1	1	3	0.01	-99063.06224445044063	42940.506967450353841	73123.742275300755864
1	1	3	0.02	-74719.426237192121334	41938.501029856561217	71516.289936013316037
1	1	3	0.03	-60818.24635198735632	40937.881082551451982	69908.83759672587621
1	1	3	0.04	-51417.510817542817676	39938.751298897448578	68301.385257438436383
1	1	3	0.05	-44539.442909377656179	38941.226380141844857	66739.859676109772408
1	1	3	0.06	-39275.903061614255421	37945.432894512428902	65241.843178804483614
1	1	3	0.07	-35133.200529777415795	36951.5108216518056	63743.826681499194819
1	1	3	0.08	-31812.828371744719334	35959.615339176998532	62245.810184193891473
1	1	3	0.09	-29120.490398869413184	34969.918895655275264	60747.793686888544471
1	1	3	0.1	-26922.671689233888173	33982.61362349960109	59249.777189583255677
1	1	3	0.11	-25123.725064745784039	32997.914156619473943	57751.760692277981434
1	1	3	0.12	-23652.835632726579206	32016.06093165445418	56281.147644782911811
1	1	3	0.13	-22456.154126631503459	31037.324068924004678	54830.003780506012845
1	1	3	0.14	-21491.818277837563073	30062.007950694562169	53378.859916229135706
1	1	3	0.15	-20726.676012810872635	29090.456641036973451	51927.716051952229463
1	1	3.5	0	-120405.19600064773113	44419.077133246966696	75482.253045790406759
1	1	3.5	0.01	-100118.77028007735498	43409.683540141995763	73866.814644936952391
1	1	3.5	0.02	-75599.695515274186619	42401.659717416252533	72251.376244083454367
1	1	3.5	0.03	-61625.768316054949537	41395.105732178024482	70693.605299870847375
1	1	3.5	0.04	-52183.702379614056554	40390.131473110996012	69185.370046542375349
1	1	3.5	0.05	-45278.408474640978966	39386.857862776261754	67677.134793213830562
1	1	3.5	0.06	-39995.324120773206232	38385.418250166825601	66168.899539885343984
1	1	3.5	0.07	-35837.784996556176338	37385.960014800963108	64660.664286556806474
1	1	3.5	0.08	-32505.702257172000827	36388.646419820390292	63152.429033228356275
1	1	3.5	0.09	-29803.853355731174815	35393.658759097954317	61644.604109395731939
1	1	3.5	0.1	-27598.141265092592221	34401.198852577639627	60182.109184336295584
1	1	3.5	0.11	-25792.532712325279135	33411.491955374600366	58719.614259276866505
1	1	3.5	0.12	-24315.94553352924413	32424.790160059452319	57257.119334217422875
1	1	3.5	0.13	-23114.33892229871708	31441.376388670840242	55794.624409157957416
1	1	3.5	0.14	-22145.709355642145965	30461.569092129899218	54332.129484098550165
1	1	3.5	0.15	-21376.798055723775178	29485.727800844473677	52869.634559039091982
1	1	4	0	-122736.47492036689073	44830.65707953934907	76120.70667916565435
1	1	4	0.01	-101042.61894243751885	43816.047135993678239	74551.665204653676483
1	1	4	0.02	-76378.849543390562758	42802.875896940553503	73034.654077946775942
1	1	4	0.03	-62345.1829330950859	41791.248000736712129	71517.642951239889953
1	1	4	0.04	-52869.202155352220871	40781.278300884230703	70000.63182453304762
1	1	4	0.05	-45941.565075134276412	39773.093118767777923	68483.620697826147079
1	1	4	0.06	-40642.435772331082262	38766.831681207630027	66966.609571119290194
1	1	4	0.07	-36472.711391533986898	37762.647774605276936	65460.605589863960631
1	1	4	0.08	-33131.006498863222077	36760.71165366126661	63988.330071212338225
1	1	4	0.09	-30421.339417608367512	35761.212250191696512	62516.05455256064306
1	1	4	0.1	-28209.136108100210549	34764.35973677358561	61043.779033909013378
1	1	4	0.11	-26398.046882212540368	33770.388511198027118	59571.503515257383697
1	1	4	0.12	-24916.770509356982075	32779.560681491981086	58099.227996605717635
1	1	4	0.13	-23711.109161552041769	31792.170148180855904	56626.952477954087954
1	1	4	0.14	-22738.943494934617775	30808.547401249841641	55154.676959302436444
1	1	4	0.15	-21966.927221944235498	29829.065174828097952	53682.401440650763107
1	1	4.5	0	-124808.84276209038217	45192.584671383476234	76812.283211505811778
1	1	4.5	0.01	-101863.82024062995333	44173.434112713381182	75287.609535737748956
1	1	4.5	0.02	-77078.177778945420869	43155.783489157081931	73762.935859969715239
1	1	4.5	0.03	-62994.365646933438256	42139.741468576728948	72238.262184201666969
1	1	4.5	0.04	-53489.930988046573475	41125.427277253620559	70713.588508433618699
1	1	4.5	0.05	-46543.545560893922811	40112.971987345619709	69203.277384334753151
1	1	4.5	0.06	-41230.948163535504136	39102.519992977184302	67722.438135505915852
1	1	4.5	0.07	-37050.991437592281727	38094.230707122769672	66241.598886677034898
1	1	4.5	0.08	-33701.203272427315824	37088.280517658371537	64760.759637848168495
1	1	4.5	0.09	-30984.965834097383777	36084.865048497122189	63279.920389019345748
1	1	4.5	0.1	-28767.305333275871817	35084.20178089691035	61799.081140190501173
1	1	4.5	0.11	-26951.606890714348992	34086.533101209301094	60318.241891361612943
1	1	4.5	0.12	-25466.385647134186001	33092.129854992614128	58837.402642532739264
1	1	4.5	0.13	-24257.312131771934219	32101.295504111010814	57356.563393703872862
1	1	4.5	0.14	-23282.169881799462019	31114.371003887099505	55875.724144874955527
1	1	4.5	0.15	-22507.539216446428327	30131.740542416595417	54394.884896046161884
1	1	5	0	-126672.22466603759676	45514.779205714978161	77471.028955040354049
1	1	5	0.01	-102602.82580791844521	44491.621772691200022	75939.575803086045198
1	1	5	0.02	-77712.787220643716864	43470.01922691949585	74408.122651131707244
1	1	5	0.03	-63586.138982013391796	42450.083828169365006	72888.611508494795999
1	1	5	0.04	-54057.406433185737114	41431.938697745921672	71400.177200319216354
1	1	5	0.05	-47095.008144893363351	40415.719136176012398	69911.742892143636709
1	1	5	0.06	-41770.903936686285306	39401.574132768691925	68423.308583968071616
1	1	5	0.07	-37582.201756341877626	38389.668099518436065	66934.874275792506523
1	1	5	0.08	-34225.502417773823254	37380.182868033414707	65446.439967616985086
1	1	5	0.09	-31503.645396598614752	36373.319995696947444	63958.005659441405442
1	1	5	0.1	-29281.315870658116182	35369.30343640416686	62469.571351265782141
1	1	5	0.11	-27461.672697636415251	34368.38264231840003	60981.137043090246152
1	1	5	0.12	-25973.074322744214442	33370.836176615484874	59492.702734914717439
1	1	5	0.13	-24761.078922776679974	32376.975933671146777	58004.26842673918145
1	1	5	0.14	-23783.387133264361182	31387.152083262470114	56515.834118563601805
1	1	5	0.15	-23006.516613456245977	30401.758879898556188	55027.399810387993057
1	1	5.5	0	-128363.44051107688574	45804.502632295858348	78060.831625039762002
1	1	5.5	0.01	-103274.51494656567229	44777.76960641862388	76528.145819494093303
1	1	5.5	0.02	-78293.805514900654089	43752.641212151836953	75032.904446522850776
1	1	5.5	0.03	-64130.037537915923167	42729.232941083042533	73537.66307355160825
1	1	5.5	0.04	-54580.254647548310459	41707.671416750832577	72042.421700580365723
1	1	5.5	0.05	-47603.981019252823899	40688.095738953430555	70547.180327609123196
1	1	5.5	0.06	-42269.902935064688791	39670.659022722313239	69051.938954637851566
1	1	5.5	0.07	-38073.617839604179608	38655.530164676594723	67556.69758166660904
1	1	5.5	0.08	-34710.924072604771936	37642.895875684407656	66061.456208695410169
