# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_beta/phi.table.Pan_paniscus_SFS.txt
# sampleSize: 25
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 63
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-1062438.9601675421	1737878.4375059918966	3239907.8135866941884
1	1	0	0.01	-1191455.4354681298137	1706962.1442568032071	3261905.2013315581717
1	1	0	0.02	-1326791.2135853599757	1677307.1482215367723	3283902.5890764235519
1	1	0	0.03	-1465302.7673025522381	1648981.4996524706949	3305981.1835341653787
1	1	0	0.04	-1605585.0487781539559	1622054.84250345896	3328183.719887951389
1	1	0	0.05	-1746827.2467565070838	1596597.9604000169784	3350386.2562417369336
1	1	0	0.06	-1888528.7024088371545	1572682.228356966516	3372588.7925955234095
1	1	0	0.07	-2030366.6937204170972	1550378.9681229346897	3394791.3289493080229
1	1	0	0.08	-2172127.7036522738636	1529758.708874640055	3416993.8653030940332
1	1	0	0.09	-2313668.7479938659817	1510890.3597314525396	3439196.4016568809748
1	1	0	0.1	-2454894.2529180534184	1493840.3060745266266	3461398.9380106660537
1	1	0	0.11	-2595741.5455627981573	1478671.4476678031497	3483601.474364452064
1	1	0	0.12	-2736171.384692305699	1465442.2026865896769	3505804.0107182376087
1	1	0	0.13	-2876161.5770283211023	1454205.5074347693007	3528006.5470720226876
1	1	0	0.14	-3015702.5556710865349	1445007.8461600379087	3550209.0834258091636
1	1	0	0.15	-3154794.2470236141235	1437888.3483241286594	3572411.6197795942426
1	1	0.5	0	-1367714.0395632665604	2067638.5256517515518	3754798.225043409504
1	1	0.5	0.01	-1477911.5734213311225	2030960.9870350838173	3678676.184482879471
1	1	0.5	0.02	-1602780.6750290319324	1995459.4549672424328	3678904.190549063962
1	1	0.5	0.03	-1734587.7739668302238	1961197.7945730688516	3682496.2133166599087
1	1	0.5	0.04	-1870241.5436281803995	1928242.0983680549543	3692503.7150953202508
1	1	0.5	0.05	-2008154.5217442046851	1896660.4434795042034	3703021.7143144435249
1	1	0.5	0.06	-2147413.7083608154207	1866522.5777529098559	3718167.7742699780501
1	1	0.5	0.07	-2287454.6933057047427	1837899.5282994464505	3734701.0977725628763
1	1	0.5	0.08	-2427911.5571911558509	1810863.1274742318783	3752737.6122558778152
1	1	0.5	0.09	-2568539.6697348430753	1785485.4533791772556	3772951.9637484680861
1	1	0.5	0.1	-2709172.5989715903997	1761838.1848149392754	3794242.7117963340133
1	1	0.5	0.11	-2849696.4919823259115	1739991.8741694793571	3815533.4598441976123
1	1	0.5	0.12	-2990034.0589378252625	1720015.1459624127019	3836824.2078920649365
1	1	0.5	0.13	-3130134.1440408546478	1701973.8335135604721	3858114.9559399299324
1	1	0.5	0.14	-3269964.7021883446723	1685930.071221833583	3879405.7039877958596
1	1	0.5	0.15	-3409507.9345594290644	1671941.3648796821944	3900786.8703592941165
1	1	1	0	-1583429.8417904619128	2236988.4652821198106	4096175.763432642445
1	1	1	0.01	-1681538.5073654893786	2197826.7825950509869	4007262.8854037788697
1	1	1	0.02	-1800605.635380435735	2159811.8423960059881	3991185.7239788100123
1	1	1	0.03	-1928913.9428958687931	2123005.246953245718	3991185.7239788095467
1	1	1	0.04	-2062209.411645187065	2087470.9143849303946	3991185.7239788109437
1	1	1	0.05	-2198433.5100113339722	2053274.8997613945976	3994531.2940631024539
1	1	1	0.06	-2336442.4875955339521	2020485.1559346672148	4003832.414206773974
1	1	1	0.07	-2475543.7471397295594	1989171.2275441663805	4013133.5343504459597
1	1	1	0.08	-2615293.4703571069986	1959403.8724576062523	4022434.6544941193424
1	1	1	0.09	-2755396.4049560632557	1931254.6062311979476	4034463.2073956239037
1	1	1	0.1	-2895651.4782252535224	1904795.1670853323303	4047886.6108135869727
1	1	1	0.11	-3035920.1477581895888	1880096.9014359666035	4061310.0142315509729
1	1	1	0.12	-3176106.9441428780556	1857230.0732008588966	4074733.4176495131105
1	1	1	0.13	-3316146.9679469820112	1836263.1038577435538	4089754.4692194489762
1	1	1	0.14	-3455997.5586091969162	1817261.7544404396322	4107110.0184208136052
1	1	1	0.15	-3595632.5732976589352	1800288.2651091397274	4124465.5676221773028
1	1	1.5	0	-1753093.6421988382936	2351202.4542688908987	4323222.7457173056901
1	1	1.5	0.01	-1842014.9529972095042	2310485.6308832382783	4231874.4696763250977
1	1	1.5	0.02	-1957082.7729359958321	2270899.9454228272662	4201739.8873367924243
1	1	1.5	0.03	-2083059.1877655573189	2232505.5690345992334	4201739.887336794287
1	1	1.5	0.04	-2214801.7475207820535	2195365.0064317816868	4201739.8873367924243
1	1	1.5	0.05	-2349916.30495002307	2159542.9491458497941	4201739.8873367924243
1	1	1.5	0.06	-2487101.1487632300705	2125106.0747622717172	4202599.7545319870114
1	1	1.5	0.07	-2625578.0583399552852	2092122.7857903288677	4211649.9423432257026
1	1	1.5	0.08	-2764851.9914324097335	2060662.8823512783274	4220700.1301544653252
1	1	1.5	0.09	-2904594.7472144830972	2030797.1638307685498	4229750.3179657068104
1	1	1.5	0.1	-3044582.8584697730839	2002596.9561026317533	4238800.5057769455016
1	1	1.5	0.11	-3184661.8934399988502	1976133.5629469926935	4249281.2981802839786
1	1	1.5	0.12	-3324724.7179602589458	1951477.6428812213708	4262309.1175986891612
1	1	1.5	0.13	-3464697.6313815955073	1928698.5157796267886	4275336.9370170952752
1	1	1.5	0.14	-3604531.1834419388324	1907863.4073018550407	4288364.7564354995266
1	1	1.5	0.15	-3744193.8979957830161	1889036.6431379702408	4301392.5758539056405
1	1	2	0	-1893794.6256504841149	2436705.5183257167228	4491784.1222945377231
1	1	2	0.01	-1975261.8409803770483	2394875.6051624440588	4398640.0207153474912
1	1	2	0.02	-2087317.7141497842968	2354166.9687655088492	4359280.0866698557511
1	1	2	0.03	-2211577.2860589493066	2314638.7711503035389	4359280.0866698557511
1	1	2	0.04	-2342184.9943017624319	2276352.5070733232424	4359280.0866698557511
1	1	2	0.05	-2476489.6720504574478	2239371.8769929730333	4359280.0866698557511
1	1	2	0.06	-2613071.6582121066749	2203762.6101593310013	4359280.0866698576137
1	1	2	0.07	-2751089.7330852840096	2169592.2317031621933	4360668.4513314366341
1	1	2	0.08	-2890011.5015129055828	2136929.7679751589894	4369497.1503851898015
1	1	2	0.09	-3029484.8695847969502	2105845.3851390015334	4378325.8494389392436
1	1	2	0.1	-3169270.1870192531496	2076409.957215893548	4387154.5484926914796
1	1	2	0.11	-3309201.5650793164968	2048694.5614709362853	4395983.2475464427844
1	1	2	0.12	-3449163.4702961277217	2022769.9012584418524	4404811.9466001950204
1	1	2	0.13	-3589075.8698765467852	1998705.6592041745316	4415996.2937947679311
1	1	2	0.14	-3728884.4308451283723	1976569.7868513797875	4428680.4119261354208
1	1	2	0.15	-3868553.8423823732883	1956427.740529619623	4441364.5300575010478
1	1	2.5	0	-2014346.4737385902554	2504565.0198366222903	4624791.9094935758039
1	1	2.5	0.01	-2089533.1716022565961	2461878.596480274573	4530237.4632752407342
1	1	2.5	0.02	-2199200.0255906861275	2420306.6005203104578	4484261.1971535580233
1	1	2.5	0.03	-2322120.2990820407867	2379907.4328075670637	4484261.197153557092
1	1	2.5	0.04	-2451847.1987083144486	2340741.8201158479787	4484261.197153557092
1	1	2.5	0.05	-2585523.7033909261227	2302872.701571197249	4484261.1971535580233
1	1	2.5	0.06	-2721637.3466911558062	2266365.0681963013485	4484261.197153557092
1	1	2.5	0.07	-2859297.8316948451102	2231285.7496374263428	4484261.197153557092
1	1	2.5	0.08	-2997943.8337084297091	2197703.1424252251163	4487781.9242017073557
1	1	2.5	0.09	-3137204.8179135452956	2165686.8747379858978	4496415.0215099072084
1	1	2.5	0.1	-3276828.6698238365352	2135307.4036529483274	4505048.1188181089237
1	1	2.5	0.11	-3416640.6875858623534	2106635.5423456197605	4513681.2161263097078
1	1	2.5	0.12	-3556518.8814629483968	2079741.9166686488315	4522314.3134345123544
1	1	2.5	0.13	-3696378.3533604759723	2054696.3530213828199	4530947.4107427131385
1	1	2.5	0.14	-3836161.019402584061	2031567.2023800201714	4540289.7382893012837
1	1	2.5	0.15	-3975828.6230860818177	2010420.6087157537695	4552673.351572509855
1	1	3	0	-2119972.8603718392551	2560503.4343036208302	4733958.7075014542788
1	1	3	0.01	-2189732.7588399592787	2517126.9785944446921	4638250.8212501034141
1	1	3	0.02	-2297437.6162222456187	2474859.89371543983	4587250.7898680428043
1	1	3	0.03	-2419272.0757720973343	2433759.9796488205902	4587250.7898680437356
1	1	3	0.04	-2548287.5152169819921	2393887.3535371497273	4587250.7898680428043
1	1	3	0.05	-2681456.813741793856	2355304.3459765054286	4587250.7898680455983
1	1	3	0.06	-2817191.8332645706832	2318075.352699381765	4587250.7898680437356
1	1	3	0.07	-2954562.5487993713468	2282266.6358851986006	4587250.789868041873
1	1	3	0.08	-3092984.312758943066	2247946.0695539312437	4587250.7898680437356
1	1	3	0.09	-3232071.7583184856921	2215182.8240208583884	4593855.6746494397521
1	1	3	0.1	-3371562.7597293630242	2184046.9852814353071	4602314.6675496082753
1	1	3	0.11	-3511275.5420073848218	2154609.1065115872771	4610773.6604497758672
1	1	3	0.12	-3651082.936107898131	2126939.6906528011896	4619232.6533499443904
1	1	3	0.13	-3790896.1418166551739	2101108.6053204503842	4627691.6462501129135
1	1	3	0.14	-3930654.067192254588	2077184.4340103489812	4636150.6391502814367
1	1	3	0.15	-4070316.0933942850679	2055233.7707190343644	4644609.6320504499599
1	1	3.5	0	-2214053.8090082313865	2607867.7635409682989	4826075.8707138551399
1	1	3.5	0.01	-2279038.2215135525912	2563917.3929401924834	4729397.4047806747258
1	1	3.5	0.02	-2385090.6357540804893	2521072.4967343737371	4674427.1481099035591
1	1	3.5	0.03	-2506020.0395084358752	2479390.3847566884942	4674427.1481099016964
1	1	3.5	0.04	-2634444.1379818003625	2438930.6748084374703	4674427.1481099026278
1	1	3.5	0.05	-2767191.959778284654	2399755.1965322103351	4674427.1481099044904
1	1	3.5	0.06	-2902612.0361767373979	2361927.8524775765836	4674427.1481099044904
1	1	3.5	0.07	-3039741.2760701011866	2325514.4307441981509	4674427.1481099035591
1	1	3.5	0.08	-3177975.6787704396993	2290582.3637568405829	4674427.1481099016964
1	1	3.5	0.09	-3316917.5908879246563	2257200.4281792128459	4676418.6066342033446
1	1	3.5	0.1	-3456296.6014404129237	2225438.3817700166255	4684721.2672550370917
1	1	3.5	0.11	-3595925.0848950166255	2195366.5341810407117	4693023.9278758717701
1	1	3.5	0.12	-3735671.5893621239811	2167055.2503370032646	4701326.5884967045859
1	1	3.5	0.13	-3875444.0883550848812	2140574.3871420258656	4709629.2491175392643
1	1	3.5	0.14	-4015179.002973837778	2115992.6668180907145	4717931.909738374874
1	1	3.5	0.15	-4154833.7612387929112	2093376.9931456667837	4726234.5703592076898
1	1	4	0	-2298914.5219999067485	2648783.855795649346	4905428.5763941798359
1	1	4	0.01	-2359637.681978603825	2604344.8027477390133	4807915.9193222709
1	1	4	0.02	-2464271.3562352973968	2561008.1244541630149	4749713.4455974139273
1	1	4	0.03	-2584430.3558494057506	2518830.7208875454962	4749713.4455974120647
1	1	4	0.04	-2712352.2256843689829	2477871.7909728693776	4749713.4455974148586
1	1	4	0.05	-2844742.1357317082584	2438192.7424953277223	4749713.4455974111333
1	1	4	0.06	-2979894.545682227239	2399857.0606726254337	4749713.445597410202
1	1	4	0.07	-3116818.2553842850029	2362930.1299042245373	4749713.4455974120647
1	1	4	0.08	-3254892.8508530631661	2327479.0033432561904	4749713.4455974120647
1	1	4	0.09	-3393710.2718413118273	2293572.1153353350237	4749713.445597412996
1	1	4	0.1	-3532993.0946069750935	2261278.9324914067984	4755938.5231410386041
1	1	4	0.11	-3672548.7435000929981	2230669.5402638008818	4764099.6589398570359
1	1	4	0.12	-3812242.1436585057527	2201814.1634201402776	4772260.7947386708111
1	1	4	0.13	-3951978.5396556016058	2174782.6207830337808	4780421.9305374845862
1	1	4	0.14	-4091692.2490499634296	2149643.7170210070908	4788583.0663363002241
1	1	4	0.15	-4231339.0478008706123	2126464.5770953791216	4796744.2021351158619
1	1	4.5	0	-2376228.9374182634056	2684684.7488440684974	4974890.3450936712325
1	1	4.5	0.01	-2433107.5709582138807	2639822.0033409302123	4876648.8566441042349
