# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_beta/phi.table.Pan_troglodytes_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 44
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-1616920.293546102941	2891874.1860223202966	5437104.5447186697274
1	1	0	0.01	-1800791.3520194552839	2838319.7752105165273	5386165.7088427748531
1	1	0	0.02	-1993363.2043207548559	2786388.9023892893456	5386165.7088427729905
1	1	0	0.03	-2190930.0567365512252	2736174.0103296763264	5387728.0291515504941
1	1	0	0.04	-2391548.4056034348905	2687771.2783433180302	5403257.2102998178452
1	1	0	0.05	-2594009.1600821651518	2641280.3344229175709	5418786.3914480786771
1	1	0	0.06	-2797521.1594162657857	2596803.8616286567412	5434315.5725963441655
1	1	0	0.07	-3001548.5912387482822	2554447.0863511832431	5455121.0711948219687
1	1	0	0.08	-3205720.1346713267267	2514317.1376349646598	5477689.5475723035634
1	1	0	0.09	-3409774.9046084955335	2476522.2693688827567	5500258.023949785158
1	1	0	0.1	-3613528.6588802039623	2441170.941002168227	5522826.5003272667527
1	1	0	0.11	-3816851.8051909990609	2408370.7576170875691	5545394.9767047511414
1	1	0	0.12	-4019654.6025318540633	2378227.2766779647209	5567963.4530822299421
1	1	0	0.13	-4221876.9211222976446	2350842.6964310808107	5590531.9294597152621
1	1	0	0.14	-4423480.9866788946092	2326314.4494306677952	5613100.4058371968567
1	1	0	0.15	-4624446.1341633759439	2304733.733500413131	5635668.8822146756575
1	1	0.5	0	-2299451.8866363316774	3454025.2358361477964	6554412.1114906389266
1	1	0.5	0.01	-2449138.0869840271771	3392069.9565151389688	6421496.2266231942922
1	1	0.5	0.02	-2620162.0793593041599	3331660.6559525206685	6355253.7362362425774
1	1	0.5	0.03	-2802714.9782005511224	3272882.9400669159368	6355253.7362362416461
1	1	0.5	0.04	-2992216.7697145417333	3215826.2746563064866	6355253.7362362444401
1	1	0.5	0.05	-3186119.1628442965448	3160583.8692539655603	6355253.7362362416461
1	1	0.5	0.06	-3382872.1583438813686	3107252.4900362668559	6355253.7362362425774
1	1	0.5	0.07	-3581474.3539410941303	3055932.1909221922979	6355253.7362362416461
1	1	0.5	0.08	-3781250.8855323269963	3006725.9520319029689	6355253.7362362416461
1	1	0.5	0.09	-3981733.2720603644848	2959739.2152281766757	6361433.9174322020262
1	1	0.5	0.1	-4182589.7062194496393	2915079.3076907135546	6376824.0765494219959
1	1	0.5	0.11	-4383582.3260812908411	2872854.7465062257834	6392214.2356666419655
1	1	0.5	0.12	-4584539.83415075019	2833174.4202131009661	6407604.3947838637978
1	1	0.5	0.13	-4785339.2967288978398	2796146.6471925321966	6422994.5539010828361
1	1	0.5	0.14	-4985893.6695211417973	2761878.1157560078427	6438384.7130183018744
1	1	0.5	0.15	-5186143.0238496251404	2730472.7166568757966	6453774.8721355227754
