# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_beta/phi.table.Parus_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 51
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-65.639611414185992544	68.0993714476204417	145.97510877660621986
1	1	0	0.01	-88.027412491840550501	63.219468533586415049	136.77443627827724981
1	1	0	0.02	-70.526248286366353568	58.877215635233099533	134.4496522141151047
1	1	0	0.03	-68.263561673427602727	55.199640845089056995	136.9975789960820407
1	1	0	0.04	-72.366601010899785251	52.327074130667774909	139.54550577804934619
1	1	0	0.05	-79.99000682372547999	50.397356417836348896	142.09343256001631062
1	1	0	0.06	-89.83891571886829297	49.520832887956714785	144.64135934198333189
1	1	0	0.07	-101.21006800844202189	49.753198440983716466	147.18928612395035316
1	1	0	0.08	-113.67786076276070162	51.079321936370227775	149.73721290591731758
1	1	0	0.09	-126.96521803968903441	53.417806142065337838	152.28513968788448096
1	1	0	0.1	-140.88207039747180715	56.64340566883017658	154.83306646985141697
1	1	0	0.11	-155.29284388994551591	60.614662480925524335	157.38099325181843824
1	1	0	0.12	-170.09789728415466925	65.19545780780937605	161.41592896707760474
1	1	0	0.13	-185.22226708671541928	70.266682282883238031	174.3688627032486238
1	1	0	0.14	-200.60850772864182545	75.729875666727039629	187.32179643941969971
1	1	0	0.15	-216.21195446090155201	81.506257472249842522	200.27473017559071877
1	1	0.5	0	-87.535343901078249473	116.21705576041659924	227.00988986443931594
1	1	0.5	0.01	-106.43228625436177026	110.33180712713129878	216.10191688178261415
1	1	0.5	0.02	-86.773583410366200042	104.7586511956220221	205.19394389912594079
