# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_beta/phi.table.Physa_SFS.txt
# sampleSize: 17
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 176
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-490.25199806441924011	1003.2753873945066516	1885.8634427496015178
1	1	0	0.01	-508.43111520391903468	978.83689396176941955	1834.8764483688892142
1	1	0	0.02	-459.31575329179395339	955.16458692200581027	1783.8894539881773653
1	1	0	0.03	-464.24654007293065661	932.31683044932822213	1747.0274474279763126
1	1	0	0.04	-492.2166762767083128	910.35570941709977433	1747.02744742797654
1	1	0	0.05	-533.14006498441813164	889.34690874684861228	1747.0274474279767674
1	1	0	0.06	-582.35793035267124651	869.35947204069350391	1747.0274474279763126
1	1	0	0.07	-637.30385852111612621	850.46541390946924821	1747.0274474279760852
1	1	0	0.08	-696.40444978628329409	832.73916083343385708	1747.0274474279758579
1	1	0	0.09	-758.62349752899899613	816.25679832695630012	1747.0274474279767674
1	1	0	0.1	-823.24292589814285748	801.09510842621443771	1747.0274474279758579
1	1	0	0.11	-889.74598270196656813	787.33039175042495117	1747.0274474279758579
1	1	0	0.12	-957.74994789136144391	775.03708292144403913	1747.0274474279763126
1	1	0	0.13	-1026.9649762192857452	764.2861866689196404	1747.0274474279763126
1	1	0	0.14	-1097.1676945281269582	755.14358334193013889	1747.0274474279763126
1	1	0	0.15	-1168.1835927531155903	747.66827463260540299	1747.02744742797654
1	1	0.5	0	-761.0845394342813961	1247.8147358286576036	2366.9177062328376451
1	1	0.5	0.01	-757.71388029642184847	1219.7664364734191622	2310.4364062605300205
1	1	0.5	0.02	-694.37868840825285588	1192.4199578972948075	2253.955106288222396
1	1	0.5	0.03	-689.06913550286117243	1165.8246884867858171	2197.4738063159152262
1	1	0.5	0.04	-709.2400634943987825	1140.0332032128003448	2159.705415234946031
1	1	0.5	0.05	-743.99275417596800253	1115.1012763057740358	2159.7054152349455762
1	1	0.5	0.06	-788.19535489938425599	1091.0878334298749905	2159.7054152349464857
1	1	0.5	0.07	-838.98549381262819225	1068.054828156041367	2159.705415234946031
1	1	0.5	0.08	-894.59402536042762222	1046.0670262870187344	2159.705415234946031
1	1	0.5	0.09	-953.84940678349812515	1025.1916810388697741	2159.7054152349464857
1	1	0.5	0.1	-1015.9365493103905465	1005.4980825970993692	2159.7054152349464857
1	1	0.5	0.11	-1080.2670450718305801	987.05696755070039217	2159.7054152349464857
1	1	0.5	0.12	-1146.4039008065938106	969.93977757545724216	2159.7054152349455762
1	1	0.5	0.13	-1214.0152792220396805	954.21776283229644378	2159.7054152349464857
1	1	0.5	0.14	-1282.8447216938002384	939.96093404727230336	2159.7054152349455762
1	1	0.5	0.15	-1352.691241132457435	927.23687804906137444	2159.7054152349455762
1	1	1	0	-935.03151871859154198	1370.8633300366861931	2605.7642092810106078
1	1	1	0.01	-917.87809250401915051	1341.2587499269898217	2546.6304755548744652
1	1	1	0.02	-846.47861640080554935	1312.3391292286853513	2487.4967418287378678
1	1	1	0.03	-835.73660142411245033	1284.1507455070268406	2428.3630081026026346
1	1	1	0.04	-851.93173577632114757	1256.7428040376264562	2372.1550459484460589
1	1	1	0.05	-883.61558064483688213	1230.1674703254905126	2372.1550459484460589
1	1	1	0.06	-925.36231886146379111	1204.4798569615977613	2372.1550459484442399
1	1	1	0.07	-974.13673256754009344	1179.7379530378768777	2372.1550459484442399
1	1	1	0.08	-1028.0605589187634905	1156.0024831644288952	2372.1550459484451494
1	1	1	0.09	-1085.8894566460676288	1133.3366823496037341	2372.1550459484456042
1	1	1	0.1	-1146.7575792561565322	1111.8059728516666382	2372.1550459484446947
1	1	1	0.11	-1210.0398355018824077	1091.4775298697782091	2372.1550459484446947
1	1	1	0.12	-1275.2719225617711345	1072.4197249142600867	2372.1550459484442399
1	1	1	0.13	-1342.101161940372549	1054.7014391723748759	2372.1550459484451494
1	1	1	0.14	-1410.2548543066204729	1038.3912443929482379	2372.1550459484446947
1	1	1	0.15	-1479.5191304556465184	1023.5564558460599756	2372.1550459484451494
1	1	1.5	0	-1067.058906274214678	1453.2055880414106923	2764.744797263914279
1	1	1.5	0.01	-1039.3784628006687853	1422.6227663397792185	2703.8676265742956275
1	1	1.5	0.02	-962.2972814661461598	1392.7171930096524193	2642.9904558846774307
1	1	1.5	0.03	-947.87574510348713375	1363.5334298447178298	2582.1132851950587792
1	1	1.5	0.04	-961.43512431719864253	1335.1188108578530773	2521.2361145054405824
1	1	1.5	0.05	-991.10945228891068837	1307.5234812850790149	2515.7725255659970571
1	1	1.5	0.06	-1031.2597487226030353	1280.8003979231862104	2515.7725255659979666
1	1	1.5	0.07	-1078.7294025341234374	1255.005280758413619	2515.7725255659970571
1	1	1.5	0.08	-1131.565246023099462	1230.1965047689716357	2515.7725255659979666
1	1	1.5	0.09	-1188.4737924181299604	1206.4349199865926039	2515.7725255659975119
1	1	1.5	0.1	-1248.5553524219376413	1183.7835875629023121	2515.7725255659975119
1	1	1.5	0.11	-1311.1606040749284148	1162.3074199223319738	2515.7725255659975119
1	1	1.5	0.12	-1375.8073338021658856	1142.0727143368308134	2515.7725255659979666
1	1	1.5	0.13	-1442.1292692736460594	1123.1465716734655871	2515.7725255659970571
1	1	1.5	0.14	-1509.8431628527032444	1105.5961958572386266	2515.7725255659979666
1	1	1.5	0.15	-1578.7268059668240312	1089.4880748907298766	2515.7725255659970571
1	1	2	0	-1174.2972889795546507	1514.5743589937435445	2882.8355851177188924
1	1	2	0.01	-1138.0236836723161105	1483.2889845873410195	2820.6735201161709483
1	1	2	0.02	-1056.5855427718943247	1452.6765547863410575	2758.5114551146225494
1	1	2	0.03	-1039.4202510725190223	1422.780507318192349	2696.3493901130736958
1	1	2	0.04	-1051.0421813618995657	1393.6469457270168277	2634.1873251115262065
1	1	2	0.05	-1079.2509886183179333	1365.3246810977984751	2623.4646700805947148
1	1	2	0.06	-1118.2422216773338732	1337.8652392697479172	2623.4646700805960791
1	1	2	0.07	-1164.766976008315396	1311.3228245663694906	2623.4646700805951696
1	1	2	0.08	-1216.815950539205005	1285.7542300774589421	2623.4646700805951696
1	1	2	0.09	-1273.059205115558143	1261.2186837524909606	2623.4646700805942601
1	1	2	0.1	-1332.5721336723217973	1237.7776191552281944	2623.4646700805947148
1	1	2	0.11	-1394.6876715634116408	1215.4943598666907292	2623.4646700805942601
1	1	2	0.12	-1458.9105434035136568	1194.4337074131899499	2623.4646700805947148
