# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_beta/phi.table.RE_pho_SFS.txt
# sampleSize: 49
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 0
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-136.64854670417162197	66.045621103193937529	189.0123988274667397
1	1	0	0.01	-136.24654934790794414	64.002072214494901914	183.95417305485142379
1	1	0	0.02	-139.45196692970012009	62.138104466146742766	178.8959472822362784
1	1	0	0.03	-144.4454513858959217	60.470326637084568233	173.83772150962101932
1	1	0	0.04	-150.49983174357669213	59.015374086751400284	168.77949573700578867
1	1	0	0.05	-157.24931677118900097	57.789323855330820834	163.72126996439055802
1	1	0	0.06	-164.48376831386178765	56.806998888930806402	158.66304419177535578
1	1	0	0.07	-172.07154140295529032	56.081208010627292992	156.65880150203605581
1	1	0	0.08	-179.92501573698018547	55.621994383059409017	157.08670844097915165
1	1	0	0.09	-187.98323760382595538	55.435983119455201518	157.51461537992227591
1	1	0	0.1	-196.20237524254616801	55.525919963072489338	157.94252231886537174
1	1	0	0.11	-204.550104420472735	55.890472793886118552	158.37042925780846758
1	1	0	0.12	-213.00212466434368253	56.524328466212672595	158.79833619675162026
1	1	0	0.13	-221.53990181507799662	57.41856900029868882	159.22624313569474452
1	1	0	0.14	-230.14915185693371313	58.561267247058459873	159.65415007463786878
1	1	0	0.15	-238.81879152163037361	59.938214647871582486	165.10972242915420338
1	1	0.5	0	-146.79170446099544733	81.709242302453191087	205.18288930048376528
1	1	0.5	0.01	-140.35994626749675263	79.082093549267042931	199.6569292455783966
1	1	0.5	0.02	-141.08527934188464315	76.598354531690745262	194.13096919067319845
1	1	0.5	0.03	-144.66209664101302224	74.272413910708920071	188.60500913576788662
1	1	0.5	0.04	-149.78114178386533695	72.119540858343469836	183.07904908086266005
1	1	0.5	0.05	-155.86177976409669554	70.155670002120402273	177.5530890259572061
1	1	0.5	0.06	-162.59382840116052193	68.39708361917260504	172.0271289710520648
1	1	0.5	0.07	-169.79183431915885194	66.859982172472072648	169.50091243032204602
1	1	0.5	0.08	-177.3362477316195509	65.559946148025574075	169.9121245084477323
1	1	0.5	0.09	-185.14577166778917672	64.511309210821835336	170.32333658657333331
1	1	0.5	0.1	-193.1628984643326703	63.726483094472158086	170.73454866469882063
1	1	0.5	0.11	-201.34571778132612963	63.21529429987145221	171.14576074282442164
1	1	0.5	0.12	-209.66298185652442498	62.984405796849429748	171.55697282094999423
1	1	0.5	0.13	-218.09098312753803839	63.036897671749102301	171.96818489907562366
1	1	0.5	0.14	-226.61149777433763575	63.372065745945711512	172.37939697720122467
1	1	0.5	0.15	-235.210385439025913	63.985468038234216692	172.79060905532668357
1	1	1	0	-154.80374683732804897	90.5898908360966999	214.25649887798758186
1	1	1	0.01	-144.71400278399130457	87.752642206189079843	208.49139089134493474
1	1	1	0.02	-144.23854135079579919	85.04641433911359627	202.72628290470240131
1	1	1	0.03	-147.17587274378217899	82.484104256603018257	196.96117491805972577
1	1	1	0.04	-151.88633755372654832	80.07952799179921044	191.19606693141707865
1	1	1	0.05	-157.68032413294292837	77.847303338431586894	185.43095894477454522
1	1	1	0.06	-164.19973961766640969	75.802657974792893469	179.66585095813195494
1	1	1	0.07	-171.23422430226059987	73.961150344774210907	177.30429411778354165
1	1	1	0.08	-178.64977801997576989	72.338295873640774403	177.69569695579647828
1	1	1	0.09	-186.35604576545154032	70.949100239423160019	178.08709979380950017
1	1	1	0.1	-194.28950722651939031	69.807514530788608909	178.47850263182237995
1	1	1	0.11	-202.40408113028263415	68.925842979611331884	178.86990546983525974
