# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_beta/phi.table.STAU_SFS.txt
# sampleSize: 151
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 8694
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-32148.087631958216662	15899.780988347654784	31076.10440487320011
1	1	0	0.01	-42588.87815399855026	15650.56964807658369	30633.002814924835548
1	1	0	0.02	-35294.730664896342205	15403.52106229502715	30189.901224976485537
1	1	0	0.03	-31062.15765650884714	15158.740973419700822	29746.79963502811006
1	1	0	0.04	-28148.633912998862797	14916.341061309118231	29303.698045079738222
1	1	0	0.05	-25981.318362146179425	14676.439261304363754	28862.283174261570821
1	1	0	0.06	-24296.617405349214096	14439.160089825591058	28421.181781548999425
1	1	0	0.07	-22950.363161590299569	14204.634975382668927	27980.080388836420752
1	1	0	0.08	-21854.744828872266226	13973.002592267455839	27538.978996123816614
1	1	0	0.09	-20952.169366762667778	13744.409193506944575	27097.877603411219752
1	1	0	0.1	-20202.761156756809214	13519.008938860853959	26656.776210698611976
1	1	0	0.11	-19577.745706179237459	13296.964212738070273	26215.67481798602239
1	1	0	0.12	-19055.670643573786947	13078.445925876332694	25780.033391028868209
1	1	0	0.13	-18620.115095426604967	12863.633793477709332	25613.649186311649828
1	1	0	0.14	-18258.233299194005667	12652.716581221939123	25612.165566591160314
1	1	0	0.15	-17959.791537274752045	12445.892309197906798	25610.68194687065261
1	1	0.5	0	-39105.711166267981753	17069.691357016006805	33325.756629966097535
1	1	0.5	0.01	-47894.969718754990026	16808.436289103538002	32865.822933181087137
1	1	0.5	0.02	-40121.407873149932129	16549.477381174252514	32405.889236396029446
1	1	0.5	0.03	-35604.66886188799981	16292.924118746199383	31945.955539610971755
1	1	0.5	0.04	-32490.932369203685084	16038.891942167439993	31486.021842825932254
1	1	0.5	0.05	-30170.775011982914293	15787.502550115525082	31026.088146040892752
1	1	0.5	0.06	-28363.745389518706361	15538.884208699259034	30566.154449255813233
1	1	0.5	0.07	-26916.444614573090803	15293.172063927764611	30106.22075247077737
1	1	0.5	0.08	-25735.443542933295248	15050.508454750504825	29646.983402466084954
1	1	0.5	0.09	-24759.474252120271558	14811.043223224047324	29187.758850677393639
1	1	0.5	0.1	-23946.127700457116589	14574.934017620244049	28728.53429888867322
1	1	0.5	0.11	-23264.811136103322497	14342.346583451228071	28269.309747099992819
1	1	0.5	0.12	-22692.724867167387856	14113.455036445358928	27840.745213059974049
1	1	0.5	0.13	-22212.423361603490775	13888.442110466286977	27840.148254759460542
1	1	0.5	0.14	-21810.264559981442289	13667.49937222826884	27839.551296458961588
1	1	0.5	0.15	-21475.384509968964267	13450.827393436629791	27839.017140600419225
1	1	1	0	-42843.497722277534194	17662.51225923990205	34504.993871594895609
1	1	1	0.01	-50705.773324044595938	17395.415255496689497	34033.647875653201481
