# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_beta/phi.table.STPN_SFS.txt
# sampleSize: 31
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 2468
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-21181.001397576357704	18740.081501440854481	34983.952600299853657
1	1	0	0.01	-19482.104527635441627	18340.396701382858737	34356.318648678105092
1	1	0	0.02	-16972.985386508778902	17943.007554435094789	33728.684697056327423
1	1	0	0.03	-15532.695577866834356	17548.070021626434027	33101.050745434564305
1	1	0	0.04	-14618.447114432085073	17155.753417447558604	32473.416793812801188
1	1	0	0.05	-14029.044793047272833	16766.241725789142947	31845.782842191034433
1	1	0	0.06	-13662.641240038094111	16379.735051150613799	31218.148890569260402
1	1	0	0.07	-13459.289894370624097	15996.45121691561144	30590.514938947500923
1	1	0	0.08	-13380.344814633659553	15616.627522464636058	29962.880987325737806
1	1	0	0.09	-13399.307479725161102	15240.522670387943435	29335.247035703974689
1	1	0	0.1	-13497.175220380653627	14868.418873867776711	28707.613084082207934
1	1	0	0.11	-13659.846717570151668	14500.624152150696318	28079.97913246043754
1	1	0	0.12	-13876.571725506160874	14137.474818582515582	27452.345180838674423
1	1	0	0.13	-14138.974053644720698	13779.338160490262453	26824.711229216911306
1	1	0	0.14	-14440.409020602615783	13426.615302718755629	26197.077277595151827
1	1	0	0.15	-14775.525841746624792	13079.74423619321351	25569.443325973377796
1	1	0.5	0	-28622.407032468181569	21385.294206441783899	40323.559441952078487
1	1	0.5	0.01	-25580.107618836540496	20956.074504889464151	39637.233102372250869
1	1	0.5	0.02	-22381.311512136308011	20529.537165463163547	38950.906762792459631
1	1	0.5	0.03	-20507.072739832627121	20105.852904491206573	38264.580423212632013
1	1	0.5	0.04	-19287.939099137176527	19685.205943072862283	37578.254083632826223
1	1	0.5	0.05	-18469.087364829902072	19267.795209639160021	36891.927744053027709
1	1	0.5	0.06	-17921.797932048619259	18853.835648887099524	36205.601404473207367
1	1	0.5	0.07	-17571.044278368965024	18443.559643548938766	35519.275064893401577
1	1	0.5	0.08	-17368.995784499769798	18037.218554707862495	34832.948725313581235
1	1	0.5	0.09	-17283.20139315261622	17635.084385131172894	34146.622385733789997
1	1	0.5	0.1	-17290.608011566684581	17237.45156820887496	33460.296046153969655
1	1	0.5	0.11	-17374.24800325371325	16844.638882363869925	32773.969706574156589
1	1	0.5	0.12	-17521.276427709555719	16456.991487006132957	32087.643366994354437
1	1	0.5	0.13	-17721.744675219641067	16074.883070952308117	31401.317027414526819
1	1	0.5	0.14	-17967.800642852642341	15698.718097393655626	30714.990687834735581
1	1	0.5	0.15	-18253.148276867839741	15328.934120588111909	30028.664348254922515
1	1	1	0	-32773.556663933413802	22693.57521063414606	42970.778802282300603
1	1	1	0.01	-28895.033260200347286	22250.596209676423314	42256.041726999130333
1	1	1	0.02	-25341.208858317462727	21810.492762785583182	41541.304651715967339
1	1	1	0.03	-23261.009315565956058	21373.442503468537325	40826.567576432789792
1	1	1	0.04	-21903.133798279654002	20939.636610188030318	40111.830501149619522
1	1	1	0.05	-20982.369374956819229	20509.280955422989791	39397.093425866463804
1	1	1	0.06	-20355.936161841789726	20082.597348807321396	38682.356350583293533
1	1	1	0.07	-19941.321541459066793	19659.824878779254504	37967.619275300123263
1	1	1	0.08	-19686.298436072247569	19241.221356200596347	37252.882200016967545
1	1	1	0.09	-19555.639913437888026	18827.064861960025155	36538.145124733789999
1	1	1	0.1	-19524.44000967030297	18417.655398521492316	35823.408049450619728
1	1	1	0.11	-19574.438741653168108	18013.316642557056184	35108.670974167456734
1	1	1	0.12	-19691.85716862604022	17614.397792018226028	34393.93389888429374
1	1	1	0.13	-19866.051618448080262	17221.275496024903987	33679.196823601123469
1	1	1	0.14	-20088.639930458011804	16834.355849530347768	32964.459748317953199
1	1	1	0.15	-20352.913371743983589	16454.076426568077295	32249.722673034790205
1	1	1.5	0	-35730.618977190926671	23564.006371052975737	44731.258260065194918
1	1	1.5	0.01	-31225.396624779270496	23112.115223108878126	43997.819791405723663
1	1	1.5	0.02	-27435.713475873431889	22663.227649595952244	43264.381322746237856
1	1	1.5	0.03	-25224.29088877455797	22217.525705813281093	42530.94285408675205
1	1	1.5	0.04	-23779.681970656878548	21775.205006140611658	41797.504385427251691
1	1	1.5	0.05	-22795.834566697390983	21336.475838580809068	41064.065916767780436
1	1	1.5	0.06	-22120.68818407796789	20901.564365882935817	40330.627448108294629
1	1	1.5	0.07	-21666.902962986932835	20470.713916516582685	39597.188979448794271
1	1	1.5	0.08	-21379.45953353936784	20044.186367685229925	38863.750510789323016
1	1	1.5	0.09	-21221.385949660820188	19622.263621026115288	38130.312042129829933
1	1	1.5	0.1	-21166.619798690779135	19205.249169524075114	37396.873573470344127
1	1	1.5	0.11	-21196.09864363190718	18793.469751322645607	36663.435104810865596
1	1	1.5	0.12	-21295.46579460267094	18387.277082378652267	35929.996636151379789
1	1	1.5	0.13	-21453.648857606109232	17987.049655081529636	35196.558167491901258
1	1	1.5	0.14	-21661.939442997594597	17593.194583829401381	34463.119698832408176
1	1	1.5	0.15	-21913.375266019051196	17206.149470887241478	33729.681230172915093
1	1	2	0	-38037.731143112876453	24210.75744477875196	46038.206047783431131
