# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_beta/phi.table.Sepia_SFS.txt
# sampleSize: 17
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 52
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-576.10300438056583516	644.08656088358225134	1236.5325222548540296
1	1	0	0.01	-570.13012043140315654	633.91245240417799778	1215.8331824922697706
1	1	0	0.02	-559.10197496430737374	623.92347291507724094	1195.1338427296846021
1	1	0	0.03	-564.33819340359332273	614.12865601178100405	1193.1310682512080348
1	1	0	0.04	-576.58911799865381909	604.53743933221778661	1193.1310682512080348
1	1	0	0.05	-592.81602896270851488	595.15966623500889909	1193.1310682512082622
1	1	0	0.06	-611.60155408880655159	586.00558394154620601	1193.1310682512080348
1	1	0	0.07	-632.15785599264563643	577.08583750380762467	1193.1310682512084895
1	1	0	0.08	-653.99806097191139997	568.41145891278722502	1193.1310682512082622
1	1	0	0.09	-676.79927203657916834	559.9938506254765116	1193.1310682512080348
1	1	0	0.1	-700.33635794922429341	551.8447627661490742	1193.1310682512082622
1	1	0	0.11	-724.44644726157821424	543.97626325566773176	1193.1310682512082622
1	1	0	0.12	-749.00835994929002482	536.40070014669527154	1193.1310682512078074
1	1	0	0.13	-773.92995996661193203	529.130655499399154	1193.1310682512080348
1	1	0	0.14	-799.14000040166138206	522.17889022793326603	1193.1310682512080348
1	1	0	0.15	-824.58265828448838874	515.55827948857677256	1193.1310682512080348
1	1	0.5	0	-766.06271952402403258	744.08394638144545752	1431.8275335616276607
1	1	0.5	0.01	-750.97604269004477828	732.61573135299886417	1408.8976544314796229
1	1	0.5	0.02	-733.63997928742355725	721.33611731642088216	1385.9677753013311303
1	1	0.5	0.03	-734.12183537175496895	710.25408990044309121	1363.037896171184002
1	1	0.5	0.04	-742.5925273921156986	699.37904175877395119	1360.6671541084476758
1	1	0.5	0.05	-755.70421742978760449	688.72077770201713065	1360.6671541084474484
1	1	0.5	0.06	-771.8574270222998166	678.28951708061879344	1360.6671541084474484
1	1	0.5	0.07	-790.14884059428368346	668.09589287794824486	1360.6671541084474484
1	1	0.5	0.08	-810.014065933083657	658.15094692269826737	1360.6671541084479031
1	1	0.5	0.09	-831.07575749231000373	648.46612058460107164	1360.6671541084474484
1	1	0.5	0.1	-853.06910655299634527	639.05324028032021033	1360.667154108447221
1	1	0.5	0.11	-875.8014375844377355	629.92449709107870603	1360.6671541084474484
1	1	0.5	0.12	-899.12860906611786049	621.09241978473460222	1360.6671541084476758
1	1	0.5	0.13	-922.94041386822846107	612.56984054767360703	1360.6671541084474484
1	1	0.5	0.14	-947.15112313473764516	604.36985277153280549	1360.667154108447221
1	1	0.5	0.15	-971.69312755570990703	596.50576031208868244	1360.6671541084474484
1	1	1	0	-878.63333493802201701	793.94112844207086255	1528.7927494514601676
1	1	1	0.01	-857.81950241318645567	781.88333042919327909	1504.7860540050123745
1	1	1	0.02	-836.93570777118293336	770.01668207738225647	1480.7793585585638994
1	1	1	0.03	-834.89680095771018387	758.35015675814861424	1456.7726631121161063
1	1	1	0.04	-841.43087269371335424	746.89313233955533633	1446.9159542581182905
1	1	1	0.05	-852.98031401208118041	735.65539712565907848	1446.9159542581180631
1	1	1	0.06	-867.83172136130360741	724.64715331495301598	1446.9159542581180631
1	1	1	0.07	-885.01359551916993951	713.87901747989076284	1446.9159542581180631
1	1	1	0.08	-903.91766180505874217	703.3620175214741721	1446.9159542581185178
1	1	1	0.09	-924.13669991647111601	693.10758550815046419	1446.9159542581178357
1	1	1	0.1	-945.38463701811633655	683.12754576962606734	1446.9159542581185178
1	1	1	0.11	-967.45310916801554413	673.43409758695929668	1446.9159542581185178
1	1	1	0.12	-990.18605523181031458	664.03979180432213525	1446.9159542581185178
1	1	1	0.13	-1013.4639891337264999	654.95750068956942869	1446.9159542581180631
1	1	1	0.14	-1037.1938105376193562	646.20038039509279315	1446.9159542581185178
1	1	1	0.15	-1061.3019529343837348	637.78182542248191567	1446.9159542581182905
1	1	1.5	0	-961.16606469451653538	827.19289070973457001	1593.3345653847904941
1	1	1.5	0.01	-936.01671635067395982	814.75716239973576194	1568.620081717049743
1	1	1.5	0.02	-912.63983937250486633	802.51450309058270705	1543.9055980493092193
1	1	1.5	0.03	-908.88935206963651581	790.47388344454077469	1519.1911143815686955
1	1	1.5	0.04	-914.13200606607824739	778.64467627613942113	1505.220763995528614
1	1	1.5	0.05	-924.6504811790318854	767.03666283077234311	1505.2207639955283867
1	1	1.5	0.06	-938.64835696365207696	755.66003672820647807	1505.2207639955290688
1	1	1.5	0.07	-955.10587677723833622	744.52540509890809517	1505.220763995528614
1	1	1.5	0.08	-973.3843224024567462	733.6437863946134712	1505.220763995528614
1	1	1.5	0.09	-993.05603623175920802	723.02660431084416359	1505.2207639955288414
1	1	1.5	0.1	-1013.8205437391115993	712.68567722048919677	1505.2207639955281593
1	1	1.5	0.11	-1035.4589331096594833	702.63320248711397653	1505.220763995528614
1	1	1.5	0.12	-1057.8071729761850293	692.8817350078443269	1505.220763995528614
1	1	1.5	0.13	-1080.7395987229765524	683.44415933255038453	1505.2207639955290688
1	1	1.5	0.14	-1104.1582177606160258	674.33365472307912114	1505.220763995528614
1	1	1.5	0.15	-1127.9855204661625976	665.56365255827063265	1505.2207639955290688
1	1	2	0	-1026.7867661882519315	851.92701303005640057	1641.2762291425178773
1	1	2	0.01	-998.11957356868242641	839.21694954435520231	1616.0401131596213418
1	1	2	0.02	-972.83319953607860953	826.70147755251059607	1590.8039971767248062
1	1	2	0.03	-967.8031432269999641	814.38956850221802597	1565.5678811938287254
1	1	2	0.04	-972.09180343683510728	802.29059404663723853	1548.9408599953885641
1	1	2	0.05	-981.85370469532244897	790.41433249842850728	1548.9408599953881094
1	1	2	0.06	-995.22773178974875918	778.77097304337121386	1548.9408599953881094
1	1	2	0.07	-1011.1572166405649114	767.37111725921465677	1548.9408599953885641
1	1	2	0.08	-1028.9804403884318162	756.22577744027194058	1548.9408599953881094
1	1	2	0.09	-1048.2544330452683425	745.34637118549494517	1548.9408599953885641
1	1	2	0.1	-1068.6679921865315919	734.74471166955640911	1548.9408599953883368
1	1	2	0.11	-1089.9943812718038316	724.43299298563624689	1548.9408599953885641
1	1	2	0.12	-1112.0636743613795261	714.42376992834340399	1548.9408599953881094
1	1	2	0.13	-1134.74564794950129	704.7299315793814003	1548.9408599953887915
1	1	2	0.14	-1157.938706265980727	695.36466807128272194	1548.9408599953885641
1	1	2	0.15	-1181.5624399045673272	686.34142994040769281	1548.9408599953885641
1	1	2.5	0	-1081.3890531989491137	871.47345698872356934	1679.1205804622113646
1	1	2.5	0.01	-1049.7536253146190575	858.55026895020591837	1653.4749744879295577
1	1	2.5	0.02	-1022.9307301749631733	845.82292576186000588	1627.8293685136482054
1	1	2.5	0.03	-1016.889910787750523	833.30040113126256074	1602.1837625393668532
1	1	2.5	0.04	-1020.4315254155062576	820.99206735386997025	1583.680563496267041
1	1	2.5	0.05	-1029.603746745542594	808.90770186822203414	1583.6805634962672684
1	1	2.5	0.06	-1042.4929085008425318	797.05749163831546866	1583.680563496267041
1	1	2.5	0.07	-1058.0127545550276409	785.45203492198436379	1583.6805634962668137
1	1	2.5	0.08	-1075.4832851458750156	774.10233994007376168	1583.6805634962668137
1	1	2.5	0.09	-1094.4494283036610796	763.01981991924492377	1583.6805634962674958
1	1	2.5	0.1	-1114.5915353253476496	752.21628394351114366	1583.680563496267041
1	1	2.5	0.11	-1135.6767256945686313	741.70392301865342688	1583.6805634962668137
1	1	2.5	0.12	-1157.5304541707100725	731.49529073263670398	1583.680563496267041
1	1	2.5	0.13	-1180.0189300376805477	721.60327788756421796	1583.6805634962668137
1	1	2.5	0.14	-1203.0377415205657599	712.04108048863145086	1583.680563496267041
1	1	2.5	0.15	-1226.5042152005116805	702.822160507226954	1583.6805634962665863
1	1	3	0	-1128.189394835369967	887.53612919181261987	1710.1910182389310648
1	1	3	0.01	-1093.9842300224436258	874.44003329699114602	1684.2106275778817235
1	1	3	0.02	-1065.8837598472127866	861.54084218971888731	1658.2302369168326095
1	1	3	0.03	-1059.0148945359833306	848.84753248529091252	1632.2498462557834955
1	1	3	0.04	-1061.9486211504381572	836.36947802310089628	1612.3429703729477751
1	1	3	0.05	-1070.6427102666875726	824.11645648401611197	1612.3429703729486846
1	1	3	0.06	-1083.1395601479307516	812.09865388620050908	1612.3429703729484572
1	1	3	0.07	-1098.3284242433492182	800.32666652852185507	1612.3429703729482299
1	1	3	0.08	-1115.5142664931026957	788.81149990755295676	1612.3429703729484572
1	1	3	0.09	-1134.2321014864355675	777.56456409292513854	1612.3429703729480025
