# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_beta/phi.table.Tuberculosis_SFS.txt
# sampleSize: 32
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 13
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-960.40987737198793184	779.23696253876028095	2130.0240127819306508
1	1	0	0.01	-1102.2812670124303622	825.86825474046770523	2221.7005236157538093
1	1	0	0.02	-1278.88986186803686	874.7465242450060714	2313.6919791345449084
1	1	0	0.03	-1459.6404968770539199	925.51583792963208452	2405.867744034115276
1	1	0	0.04	-1641.6959918746988478	977.88170446515732692	2498.0435089336879173
1	1	0	0.05	-1824.0451210864730456	1031.6010210764588919	2590.2192738332591944
1	1	0	0.06	-2006.2109183966504133	1086.4730473111251285	2682.3950387328309262
1	1	0	0.07	-2187.9419021582516507	1142.3316836498383964	2774.570803632404477
1	1	0	0.08	-2369.1007421592958053	1199.0390508637497078	2866.7465685319748445
1	1	0	0.09	-2549.6146230597323665	1256.4802396422433048	2958.9223334315456668
1	1	0	0.1	-2729.4499813252941749	1314.5590579414224521	3051.0980983311192176
1	1	0	0.11	-2908.5984209450189155	1373.1946031460608992	3143.2738632306909494
1	1	0	0.12	-3087.0683212191188431	1432.3185038574054033	3235.4496281302626812
1	1	0	0.13	-3264.8795774361979056	1491.8726996511413745	3327.625393029836232
1	1	0	0.14	-3442.0601733326557223	1551.8076506209363288	3430.1542900587774056
1	1	0	0.15	-3618.6438777411867704	1612.0808894643523672	3533.2687829591486661
1	1	0.5	0	-792.11130198923001444	435.21690616389378192	1527.0508752809116686
1	1	0.5	0.01	-925.0627468104221407	480.36995819185364098	1627.4400817161995292
1	1	0.5	0.02	-1096.7812746268491537	530.97803998212975785	1727.8292881514871624
1	1	0.5	0.03	-1274.3340771128523556	585.62863833741630515	1828.2184945867761598
1	1	0.5	0.04	-1454.1311233799397087	643.29228662114087456	1928.6077010220642478
1	1	0.5	0.05	-1634.8311282056192795	703.22817840244772469	2028.9969074573514263
1	1	0.5	0.06	-1815.7834356931480215	764.90235759856420827	2129.3861138926372405
1	1	0.5	0.07	-1996.6333472014257495	827.92644800616858447	2229.775320327926238
1	1	0.5	0.08	-2177.1767033119367625	892.01436694933738636	2337.1987882069452098
1	1	0.5	0.09	-2357.2946254047337789	956.95240177743130516	2448.3137215221872793
1	1	0.5	0.1	-2536.9202813908823373	1022.5786075303990401	2559.4286548374288941
1	1	0.5	0.11	-2716.0203797149961247	1088.768551519410039	2670.5435881526691446
1	1	0.5	0.12	-2894.5841547549871393	1155.425354518495169	2781.6585214679107594
1	1	0.5	0.13	-3072.6164650115324548	1222.4726507527086596	2892.7734547831523741
1	1	0.5	0.14	-3250.1332893186909132	1289.8495473116877292	3003.8883880983930794
1	1	0.5	0.15	-3427.158691167386678	1357.5069681035265603	3115.0033214136351489
1	1	1	0	-748.32354805520390073	308.03264014601455756	1233.228371829863363
1	1	1	0.01	-875.59674780471414124	343.03451799016960422	1337.5482526316120584
1	1	1	0.02	-1044.5736721248858885	388.72108425982179369	1441.8681334333593895
1	1	1	0.03	-1220.3816925024939337	441.78989332201274465	1547.5876201195833346
1	1	1	0.04	-1398.9423813584953677	499.89535506221579908	1662.3065255961575986
1	1	1	0.05	-1578.7227377423796497	561.47595661973252845	1777.0254310727318625
1	1	1	0.06	-1758.9766051915312346	625.50616414969636025	1891.7443365493061265
1	1	1	0.07	-1939.2940852048604938	691.30564918453501377	2006.4632420258822094
1	1	1	0.08	-2119.435776662340686	758.41404752126948097	2121.1821475024557913
1	1	1	0.09	-2299.2586848167002245	826.51259036913495493	2235.9010529790293731
1	1	1	0.1	-2478.6786287857330535	895.37538735312750759	2350.6199584556056834
1	1	1	0.11	-2657.6493662199563914	964.83881254579898723	2465.33886393217972
1	1	1	0.12	-2836.1501894642797197	1034.7819150863483628	2580.0577694087542113
1	1	1	0.13	-3014.1781586891165716	1105.1136217885991755	2694.7766748853282479
1	1	1	0.14	-3191.7430326504845652	1175.7641983040723517	2809.4955803619027392
1	1	1	0.15	-3368.8638484555331161	1246.6794337930191432	2924.2144858384781401
1	1	1.5	0	-734.682284400604658	271.58133238953570299	1048.5715504294648781
1	1	1.5	0.01	-857.68679474916916661	288.94016044379196728	1165.891724678635228
1	1	1.5	0.02	-1024.768272566620908	323.11479600587375671	1283.2118989278046683
1	1	1.5	0.03	-1199.3881742257262886	369.46811140391417894	1400.532073176975473
1	1	1.5	0.04	-1377.1075170226313276	424.0247140871114766	1517.8522474261444586
1	1	1.5	0.05	-1556.2591871704307778	484.01858418325559796	1635.1724216753148085
1	1	1.5	0.06	-1736.0316496793411716	547.66575607636195855	1752.4925959244833393
1	1	1.5	0.07	-1915.9775374120463312	613.83086415432853755	1869.8127701736543713
1	1	1.5	0.08	-2095.8336060555420772	681.78122448775980047	1987.1329444228242664
1	1	1.5	0.09	-2275.4405681805192216	751.03242620104811067	2104.4531186719932521
1	1	1.5	0.1	-2454.7025339430956592	821.25546038529444104	2221.7732929211638293
1	1	1.5	0.11	-2633.5645297892851886	892.22088973847428406	2339.0934671703344065
1	1	1.5	0.12	-2811.9991539069169448	963.76473261091723543	2456.4136414195040743
1	1	1.5	0.13	-2989.9982232180345818	1035.7671371641861242	2573.7338156686732873
1	1	1.5	0.14	-3167.567320528251912	1108.1387205128337428	2691.0539899178434098
1	1	1.5	0.15	-3344.7221130690058999	1180.8116040402767339	2808.3741641670130775
1	1	2	0	-733.04298458970970387	282.53403281431161531	1077.5461985841113801
1	1	2	0.01	-852.61681719190437434	281.93046964726136139	1087.5647861201387059
1	1	2	0.02	-1018.2682992030231617	301.23153757210013737	1179.0969174722472417
1	1	2	0.03	-1192.0005655547547576	337.03475820143097508	1298.0401598984235534
1	1	2	0.04	-1369.0918904612435654	384.76064863634610447	1416.9834023245989556
1	1	2	0.05	-1547.7734242355336391	440.55127367600005073	1535.9266447507752673
1	1	2	0.06	-1727.1845938671203839	501.72346191039218866	1654.8698871769499874
1	1	2	0.07	-1906.850027996463723	566.5366530247378023	1773.8131296031267539
1	1	2	0.08	-2086.4886802445698777	633.8749606230817335	1892.756372029301474
1	1	2	0.09	-2265.9291046939133594	703.01315185754140202	2011.6996144554777857
1	1	2	0.1	-2445.0666792840975177	773.46871763488604756	2130.6428568816536426
1	1	2	0.11	-2623.8399251037672002	844.91216237556602664	2249.5860993078294996
1	1	2	0.12	-2802.21645869916847	917.11264662301641692	2368.5293417340049018
1	1	2	0.13	-2980.1842003753017707	989.9045360826024762	2487.4725841601812135
1	1	2	0.14	-3157.7456338728925402	1063.1663623409417596	2606.4158265863570705
1	1	2	0.15	-3334.9139289684599134	1136.8072734482950636	2725.3590690125329274
1	1	2.5	0	-737.13510481043613254	312.72279320026166261	1146.6444060666055975
1	1	2.5	0.01	-853.84198854496480635	298.79733823114787583	1151.7445534986463826
