# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_beta/phi.table.WillowWarbler_SFS.txt
# sampleSize: 23
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 8605
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-3980125.9488252326846	4857913.8902009343728	11798200.530386837199
1	1	0	0.01	-4841513.3399998173118	4797721.79822580982	11902513.948876300827
1	1	0	0.02	-5738351.7770029306412	4754713.7087969873101	12006827.367365762591
1	1	0	0.03	-6631700.901192933321	4729358.4515196047723	12111140.785855222493
1	1	0	0.04	-7519568.0248116850853	4721940.4045566720888	12216768.15455146879
1	1	0	0.05	-8401338.206278771162	4732543.9159395806491	12325517.96146783419
1	1	0	0.06	-9276844.5395510643721	4761048.5777080282569	12434267.768384203315
1	1	0	0.07	-10146122.769882693887	4807135.9574263691902	12543017.575300564989
1	1	0	0.08	-11009314.396240323782	4870306.9285163572058	12651767.38221693784
1	1	0	0.09	-11866620.207798831165	4949907.4691972117871	12760517.18913330324
1	1	0	0.1	-12718275.342271156609	5045159.9816221138462	12869266.99604967609
1	1	0	0.11	-13564534.894278489053	5155196.9348993003368	12978016.802966039628
1	1	0	0.12	-14405665.200909428298	5279093.9133449811488	13086766.609882403165
1	1	0	0.13	-15241938.394470989704	5415899.7927513318136	13195516.416798768565
1	1	0	0.14	-16073628.933206111193	5564662.567956732586	13349065.197008308023
1	1	0	0.15	-16901011.377697110176	5724450.1339605273679	13866211.743688588962
1	1	0.5	0	-4042140.6014237031341	6220568.4185045789927	13064962.46245499514
1	1	0.5	0.01	-4895150.4700889438391	6092003.9541978845373	13173634.605040038005
1	1	0.5	0.02	-5789761.2190124765038	5977882.5758388927206	13282306.747625075281
1	1	0.5	0.03	-6683882.5168338790536	5879045.4316124590114	13390978.890210110694
1	1	0.5	0.04	-7574300.1658605337143	5796274.4472029525787	13499651.032795149833
1	1	0.5	0.05	-8459817.6220896989107	5730265.8691828604788	13608323.175380190834
1	1	0.5	0.06	-9339952.2181310281157	5681603.9618786843494	13716995.317965226248
1	1	0.5	0.07	-10214551.853698529303	5650736.891029224731	13825667.460550261661
1	1	0.5	0.08	-11083638.578198626637	5637956.937360484153	13934339.603135302663
1	1	0.5	0.09	-11947333.359510153532	5643386.9818853698671	14043011.745720341802
1	1	0.5	0.1	-12805815.984109990299	5666974.6788727426901	14151683.888305375353
1	1	0.5	0.11	-13659302.113777458668	5708494.9486310230568	14260356.030890414491
1	1	0.5	0.12	-14508029.471395507455	5767560.5181043790653	14369028.173475451767
1	1	0.5	0.13	-15352249.209472164512	5843639.3852920560166	14477700.316060489044
1	1	0.5	0.14	-16192220.374458059669	5936077.4409171976149	14586372.45864552632
1	1	0.5	0.15	-17028206.297611162066	6044124.1456215241924	14695044.601230567321
