# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_beta/phi.table.YRI_SFS.txt
# sampleSize: 215
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 105146
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-14075894.562184587121	10332696.781777944416	20474275.484203703701
1	1	0	0.01	-14180470.306168600917	10191857.136154979467	20406663.368594840169
1	1	0	0.02	-14524513.481914907694	10053220.864190099761	20418997.974624224007
1	1	0	0.03	-14916717.251719355583	9916880.374661507085	20447002.120376970619
1	1	0	0.04	-15328745.538431763649	9782931.6540222819895	20485212.712364576757
1	1	0	0.05	-15750864.186566397548	9651474.2858260180801	20527978.629112489522
1	1	0	0.06	-16178512.620097473264	9522611.4482013788074	20573123.744484730065
1	1	0	0.07	-16609198.221249818802	9396449.8858683891594	20620688.101581800729
1	1	0	0.08	-17041430.515900194645	9273099.8529413901269	20670510.502433735877
1	1	0	0.09	-17474267.690698161721	9152675.022547904402	20722433.984638679773
1	1	0	0.1	-17907094.803840771317	9035292.3591264225543	20775671.467414744198
1	1	0	0.11	-18339504.080419778824	8921071.9491644874215	20830600.970709085464
1	1	0	0.12	-18771225.374546051025	8810136.7861240319908	20886466.311159536242
1	1	0	0.13	-19202083.407097443938	8702612.5053932722658	20943164.518069531769
1	1	0	0.14	-19631970.251793622971	8598627.0653287582099	21001128.896461021155
1	1	0	0.15	-20060826.971364945173	8498310.3708293903619	21059859.197375182062
1	1	0.5	0	-16746787.383462429047	11030292.922811830416	21856343.159411009401
1	1	0.5	0.01	-16780349.830252736807	10882012.574111362919	21740541.795496851206
1	1	0.5	0.02	-17101398.23322853446	10735984.005374293774	21740541.795496862382
1	1	0.5	0.03	-17478825.019092991948	10592300.348113136366	21748952.690982032567
1	1	0.5	0.04	-17880134.36142142117	10451058.317992132157	21774205.862694557756
1	1	0.5	0.05	-18294090.551383584738	10312358.239896312356	21801779.522357065231
1	1	0.5	0.06	-18715382.361283287406	10176304.052567046136	21838036.844670876861
1	1	0.5	0.07	-19141077.460814937949	10043003.289508435875	21874294.166984632611
1	1	0.5	0.08	-19569402.052581161261	9912567.0326264109462	21916852.399212215096
1	1	0.5	0.09	-19999219.680928051472	9785109.8348458521068	21959522.289253100753
1	1	0.5	0.1	-20429775.363584756851	9660749.6077753566206	22002412.611417483538
1	1	0.5	0.11	-20860557.000554770231	9539607.470368815586	22049370.874192394316
