# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_beta/phi.table.Zea_homozygote_SFS.txt
# sampleSize: 66
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 214398
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-259743.80956697929651	231324.5436000363843	456554.89128614671063
1	1	0	0.01	-675026.12876598280855	228048.55095220496878	449901.96124191244598
1	1	0	0.02	-538698.42846101266332	224824.88407012468087	449466.77814886788838
1	1	0	0.03	-464709.65831371792592	221655.82597576576518	449466.778148868063
1	1	0	0.04	-416288.95082196523435	218543.75229450521874	449466.778148868063
1	1	0	0.05	-381860.30786680825986	215491.13190810073866	449466.77814886788838
1	1	0	0.06	-356251.91326561290771	212500.52701397277997	449625.85258422832703
1	1	0	0.07	-336699.68853915832005	209574.59249037600239	450355.28662467631511
1	1	0	0.08	-321552.08462763554417	206716.07445940782782	451084.72066512459423
1	1	0	0.09	-309743.6378386663273	203927.80793314322364	451814.15470557275694
1	1	0	0.1	-300547.29864863795228	201212.71342297372757	452581.73935213621007
1	1	0	0.11	-293445.19672781601548	198573.79238903560326	453644.03945109067718
1	1	0	0.12	-288055.75790780666284	196014.1214060895727	454706.33955004560994
1	1	0	0.13	-284090.03137582703494	193536.84492506290553	455768.63964900030987
1	1	0	0.14	-281324.21268641832285	191145.16651645617094	456830.9397479549516
1	1	0	0.15	-279581.6492359933909	188842.33849369941163	457977.00556711835088
1	1	0.5	0	-326172.71798979863524	254988.50620659952983	503389.1764514936367
1	1	0.5	0.01	-738573.27641773899086	251444.08286361969658	496237.38657815568149
1	1	0.5	0.02	-601042.67628368153237	247953.49398323439527	493249.36556916497648
1	1	0.5	0.03	-526299.66389970458113	244519.04508969010203	493249.36556916445261
1	1	0.5	0.04	-477333.95920721278526	241143.13489371229662	493249.36556916451082
1	1	0.5	0.05	-442484.18605899973772	237828.25623309236835	493249.36556916451082
1	1	0.5	0.06	-416538.22493459819816	234576.99648749217158	493249.36556916462723
1	1	0.5	0.07	-396709.5687552173622	231392.0373760201328	493249.36556916468544
1	1	0.5	0.08	-381332.77522824751213	228276.15403863636311	493249.36556916468544
1	1	0.5	0.09	-369333.10949856322259	225232.21329558975413	493661.15473439276684
