# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_beta/phi.table.ZebraFinch_SFS.txt
# sampleSize: 37
# noDataSets: 1
# minAlpha: 1
# maxAlpha: 2
# noStepsAlpha: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 118506
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	1	0	0	-4581455.8447231501341	8847303.3464585542679	18723299.218814253807
1	1	0	0.01	-5553491.3804806321859	8623376.5272314082831	18920863.439492609352
1	1	0	0.02	-6839199.8480080813169	8421587.8994187600911	19118427.660170964897
1	1	0	0.03	-8162739.2701968550682	8243563.3409314770252	19315991.880849327892
1	1	0	0.04	-9498332.833792373538	8090871.6560914609581	19513556.101527690887
1	1	0	0.05	-10836908.324407115579	7964969.9023801069707	19712396.818632364273
1	1	0	0.06	-12174228.795440152287	7867144.3820092547685	19911244.730604786426
1	1	0	0.07	-13508069.937445566058	7798451.7501886533573	20110092.642577216029
1	1	0	0.08	-14837212.229654982686	7759665.744330951944	20308940.554549653083
1	1	0	0.09	-16160996.56868724525	7751235.3220985336229	20507788.466522082686
1	1	0	0.1	-17479100.594264671206	7773259.2497892808169	20707468.667001355439
1	1	0	0.11	-18791415.295890137553	7825480.4006784930825	20907989.829699493945
1	1	0	0.12	-20097972.205482974648	7907300.5146796982735	21108510.9923976399
1	1	0	0.13	-21398898.180504158139	8017813.4892616709694	21309032.155095782131
1	1	0	0.14	-22694386.179037183523	8155853.0307259084657	21509553.317793928087
1	1	0	0.15	-23984675.767656072974	8320049.1561106480658	21710074.480492077768
1	1	0.5	0	-5661596.2494256794453	11394047.289620516822	21533824.21106062457
1	1	0.5	0.01	-6571889.0585477054119	11103451.836635002866	21725830.620260633528
1	1	0.5	0.02	-7829428.2255016714334	10830858.187295081094	21917837.029460642487
1	1	0.5	0.03	-9137343.0632190853357	10577658.190383158624	22109843.438660655171
1	1	0.5	0.04	-10463798.508868455887	10345275.919293900952	22301849.847860660404
1	1	0.5	0.05	-11797242.111260429025	10135143.42446735315	22493856.257060684264
1	1	0.5	0.06	-13132199.375528603792	9948670.6628164425492	22685862.666260689497
1	1	0.5	0.07	-14465743.65517988801	9787210.0730649791658	22877869.075460709631
1	1	0.5	0.08	-15796219.276136830449	9652016.960505399853	23069875.484660737216
1	1	0.5	0.09	-17122677.883415028453	9544207.6220041681081	23261881.893860723823
1	1	0.5	0.1	-18444595.601246863604	9464717.8612159453332	23453888.303060751408
1	1	0.5	0.11	-19761717.657731682062	9414265.0582707338035	23646038.308214310557
1	1	0.5	0.12	-21073967.071295365691	9393317.109349258244	23838688.3987827003
1	1	0.5	0.13	-22381388.117564812303	9402071.2282278034836	24032146.9563572146
1	1	0.5	0.14	-23684109.86233894527	9440444.7871381510049	24225605.513931728899
1	1	0.5	0.15	-24982321.854892089963	9508079.1704632919282	24419064.071506224573
1	1	1	0	-6668142.1617740392685	12734620.513475073501	23409117.140366233885
1	1	1	0.01	-7538497.5321228206158	12418781.168813740835	23589357.553592041135
1	1	1	0.02	-8780160.5123127698898	12119576.584747236222	23770188.347870428115
1	1	1	0.03	-10079291.525479137897	11838268.126978365704	23951019.142148829997
1	1	1	0.04	-11400306.115396901965	11576160.532616933808	24131849.936427213252
1	1	1	0.05	-12730283.672268018126	11334585.915930587798	24312680.730705596507
1	1	1	0.06	-14063105.964143738151	11114883.169530566782	24493511.524983994663
1	1	1	0.07	-15395492.352231562138	10918372.710116805509	24674342.319262377918
1	1	1	0.08	-16725571.06996229291	10746326.915729904547	24855173.113540783525
1	1	1	0.09	-18052251.75630389154	10599937.098891958594	25037081.925777427852
1	1	1	0.1	-19374912.046119719744	10480278.412294162437	25219346.005313195288
1	1	1	0.11	-20693226.043398782611	10388274.614965656772	25401610.084848940372
1	1	1	0.12	-22007063.800845965743	10324665.037214938551	25583874.164384715259
1	1	1	0.13	-23316429.211614176631	10289976.266417959705	25766138.243920456618
1	1	1	0.14	-24621419.996648132801	10284500.949205519632	25948402.32345623523
1	1	1	0.15	-25922201.050103917718	10308285.636466484517	26130666.402991972864
1	1	1.5	0	-7526969.0393881946802	13644975.833270575851	24836990.656161405146
1	1	1.5	0.01	-8367178.7367115169764	13314116.529122928157	24993080.55598115176
1	1	1.5	0.02	-9597930.0638169795275	12999163.8559987396	25155004.165042459965
1	1	1.5	0.03	-10891059.098868608475	12701301.173606464639	25319265.230620030314
1	1	1.5	0.04	-12208288.86168384552	12421757.95101980865	25484876.775314547122
1	1	1.5	0.05	-13535769.259862855077	12161797.491666426882	25652437.352396592498
1	1	1.5	0.06	-14866954.960264518857	11922700.801680693403	25819997.92947864905
1	1	1.5	0.07	-16198332.926124796271	11705746.414817141369	25989883.28889291361
1	1	1.5	0.08	-17527890.176865831017	11512186.256012577564	26160103.342836156487
1	1	1.5	0.09	-18854443.719907298684	11343217.98264314048	26331195.801093257964
1	1	1.5	0.1	-20177306.973972707987	11199954.667493352666	26503560.773267194629
1	1	1.5	0.11	-21496107.657662928104	11083393.137914346531	26675925.745441116393
1	1	1.5	0.12	-22810681.256864026189	10994382.69702947326	26848290.717615038157
1	1	1.5	0.13	-24121005.282252117991	10933596.246040407568	27020655.689788989723
1	1	1.5	0.14	-25427156.947052001953	10901505.92338646017	27193132.321334093809
1	1	1.5	0.15	-26729284.983304649591	10898365.219946734607	27367216.101633407176
1	1	2	0	-8270540.1641862392426	14328838.181933609769	26076261.822412133217
1	1	2	0.01	-9086483.0890042632818	13987531.71117691882	26149370.795017477125
1	1	2	0.02	-10309052.841145530343	13661666.650598479435	26278808.102861359715
