# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_psi/phi.table.Aptenodytes_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minPsi: 0
# maxPsi: 1
# noStepsPsi: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 12
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-467.1483557879903401	471.70198185312654005	927.39302786818041113
1	0	0	0.01	-478.98769981130612905	474.80727157711345399	933.33934554373649917
1	0	0	0.02	-501.63869484284418832	477.95965989208514202	943.36678280804426322
1	0	0	0.03	-527.79636163368400048	481.15822107611586489	953.3942200723517999
1	0	0	0.04	-555.35396863074061002	484.40204047611797478	963.4216573366600187
1	0	0	0.05	-583.62912076196948874	487.69021500235220401	973.44909460096766907
1	0	0	0.06	-612.3092114541157116	491.0218535706673606	983.47653186527543312
1	0	0	0.07	-641.22460187264300657	494.39607749478250298	993.50396912958331086
1	0	0	0.08	-670.27378869250401294	497.81202083095530497	1003.531406393891416
1	0	0	0.09	-699.39229742697602887	501.26883067740385513	1013.5588436581992937
1	0	0	0.1	-728.53767369749334648	504.76566743084225664	1023.5862809225069441
1	0	0	0.11	-757.68144128885592181	508.3017050024867558	1033.6137181868148218
1	0	0	0.12	-786.80444483509268139	511.87613099585536247	1043.6411554511225859
1	0	0	0.13	-815.89398659686435167	515.48814684865135405	1053.6685927154305773
1	0	0	0.14	-844.9419812730054673	519.13696794097313614	1063.6960299797385687
1	0	0	0.15	-873.94372094669211037	522.82182367203915874	1073.7234672440461054
1	0	0.5	0	-305.54898135423695749	373.47280052767968073	728.78268005157076459
1	0	0.5	0.01	-312.7720585580034367	377.17192556641839474	727.29863679536379095
1	0	0.5	0.02	-332.32285453245526696	380.97223662789735954	726.68659590429422224
1	0	0.5	0.03	-356.23292750943733154	384.8707363145921363	733.48230201619549007
1	0	0.5	0.04	-382.08604305108679	388.86447151379206844	742.43679129142833517
1	0	0.5	0.05	-409.03235047308521644	392.95053847062746399	751.39128056666152133
