# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_psi/phi.table.Arabidopsis_SFS.txt
# sampleSize: 344
# noDataSets: 1
# minPsi: 0
# maxPsi: 1
# noStepsPsi: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 1023148
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-3678815.4276755899191	1806264.8083975028712	5958102.9344731951132
1	0	0	0.01	-3693244.7600070089102	1818069.6400622208603	5875864.6908629145473
1	0	0	0.02	-2866690.86799364537	1830251.8528852059972	5793858.2083552768454
1	0	0	0.03	-2456112.814963541925	1842803.9626277536154	5713130.9094572449103
1	0	0	0.04	-2226510.2161737903953	1855718.4633387702052	5634565.3133984412998
1	0	0	0.05	-2099324.86801777035	1868987.842787993839	5557429.3740049479529
1	0	0	0.06	-2038130.6603840887547	1882604.596991967177	5481734.8121061511338
1	0	0	0.07	-2022940.4259982258081	1896561.2438184788916	5409007.4773724377155
1	0	0	0.08	-2041574.2433871030807	1910850.3356637745164	5345489.330537121743
1	0	0	0.09	-2086055.2605158910155	1925464.471204668982	5287889.2943903012201
1	0	0	0.1	-2150877.131502263248	1940396.3062347953673	5235574.3007430192083
1	0	0	0.11	-2232083.617751352489	1955638.5636003543623	5184448.1674640979618
1	0	0	0.12	-2326741.5323321670294	1971184.0422561082523	5139730.66394915618
1	0	0	0.13	-2432620.7078607082367	1987025.6254669826012	5106437.0127629190683
1	0	0	0.14	-2547990.2924714609981	2003156.2881844297517	5111639.1885753134266
1	0	0	0.15	-2671483.9661186560988	2019569.1036298414692	5135040.2525805458426
1	0	0.5	0	-3755006.2911778911948	1414274.2205838134978	5098414.4643445434049
1	0	0.5	0.01	-3192107.4495043903589	1425005.3674930983689	4980000.6778714731336
1	0	0.5	0.02	-2239531.9697080552578	1436537.3169383739587	4862130.3207853063941
1	0	0.5	0.03	-1759825.1978363618255	1448850.9473803862929	4744656.6192684406415
1	0	0.5	0.04	-1483940.126072011888	1461926.5069386216346	4627857.9109838167205
1	0	0.5	0.05	-1322700.8301074802876	1475743.7429481630679	4511616.9364426443353
1	0	0.5	0.06	-1235019.1420574635267	1490282.0260634303559	4396107.3744871448725
1	0	0.5	0.07	-1198459.4831589832902	1505520.4677323286887	4281685.1453242581338
1	0	0.5	0.08	-1199402.8733268529177	1521438.030124920886	4167989.0463616196066
1	0	0.5	0.09	-1228958.0875765755773	1538013.6278511970304	4054783.4717577346601
1	0	0.5	0.1	-1281003.4814949408174	1555226.2210359573364	3942270.6550110233948
1	0	0.5	0.11	-1351150.1149913072586	1573054.8995301260147	3831934.7489297273569
1	0	0.5	0.12	-1436149.691288381815	1591478.9582240376621	3734801.8968475935981
1	0	0.5	0.13	-1533535.9663748070598	1610477.9635872645304	3692980.5431631072424
1	0	0.5	0.14	-1641397.0234452337027	1630031.8116916215513	3701770.9840910467319
1	0	0.5	0.15	-1758224.9067301601171	1650120.7780793877319	3731271.1832532826811
1	0	1	0	-3936872.6152291372418	1227289.3756908378564	4780238.1250776266679
1	0	1	0.01	-3063792.9685585722327	1235936.4476670897566	4637322.6591946706176
1	0	1	0.02	-2062550.8475950062275	1245741.0487661007792	4494447.0054994067177
1	0	1	0.03	-1557278.8742348700762	1256676.0861138277687	4351640.4056675666943
1	0	1	0.04	-1264698.3120952546597	1268712.3303414585534	4208841.3187325187027
1	0	1	0.05	-1091384.2712182700634	1281818.7609140092973	4083346.0921792876907
1	0	1	0.06	-994430.14550321549177	1295962.9089686081279	3962393.6811840943992
1	0	1	0.07	-950463.20803041756153	1311111.1905304647516	3841546.3329225121997
1	0	1	0.08	-945321.94917252659798	1327229.2241231836379	3720735.5504157906398
1	0	1	0.09	-969774.77427338063717	1344282.1280221024062	3599987.7498841960914
1	0	1	0.1	-1017473.4898111596704	1362234.7936362570617	3479239.9493526048027
1	0	1	0.11	-1083871.3576440215111	1381052.132682682015	3358492.148821013514
1	0	1	0.12	-1165606.1394412517548	1400699.2968878552783	3277594.5819514342584
