# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_psi/phi.table.Armadillidium_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minPsi: 0
# maxPsi: 1
# noStepsPsi: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 745
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-2134.047142727591563	1904.4320645442257955	6616.5496783455546392
1	0	0	0.01	-1967.5832973278520512	1875.3697817206659693	6525.751436975148863
1	0	0	0.02	-1720.3951935249715461	1851.6422731982454479	6434.9531956047467247
1	0	0	0.03	-1710.8936578319408	1833.4566691294958218	6344.1549542343454959
1	0	0	0.04	-1806.7593710807122989	1820.9790133971876003	6253.3567128639388102
1	0	0	0.05	-1964.2909921968021081	1814.3270754931368174	6162.5584714935375814
1	0	0	0.06	-2162.8870982582811848	1813.564960644881694	6071.7602301231318052
1	0	0	0.07	-2390.9328470221662428	1818.7000731476264264	5987.7652010051624529
1	0	0	0.08	-2641.1323146126305801	1829.6827609267129446	5909.4889500280823995
1	0	0	0.09	-2908.5615004277569824	1846.408680431970879	5831.2126990510005271
1	0	0	0.1	-3189.724691280091065	1868.7236244810451353	5752.9364480739204737
1	0	0	0.11	-3482.0460332082948298	1896.4303082870010257	5674.6601970968386013
1	0	0	0.12	-3783.5731256989456597	1929.2964530269566694	5605.292712260139524
1	0	0	0.13	-4092.7933727469426231	1967.0634593505562862	5544.5472478337114808
1	0	0	0.14	-4408.5145585796417436	2009.4550163014018835	5506.6947631850071048
1	0	0	0.15	-4729.7840789108595345	2056.1851161659733407	5470.6019673454338772
1	0	0.5	0	-3374.292266894801287	2115.8454879793061991	7037.5756084978902436
1	0	0.5	0.01	-2845.3939849166417844	1994.0156648864403905	6686.2421617013133073
1	0	0.5	0.02	-2343.1672387919970788	1873.548330812901213	6334.908714904736371
1	0	0.5	0.03	-2140.1641059595203842	1754.7241256790982789	5983.5752681081594346
1	0	0.5	0.04	-2082.195147816928511	1637.900699022354047	5632.2418213115824983
1	0	0.5	0.05	-2113.4867238007063861	1523.5383735714458453	5280.908374515003743
1	0	0.5	0.06	-2206.0974839414848248	1412.2351733690500168	4929.5749277184295352
1	0	0.5	0.07	-2343.6311006163959973	1304.7742054952898343	4581.0264869371412715
1	0	0.5	0.08	-2515.5110012413133518	1202.1862597036251827	4300.4603340659887181
1	0	0.5	0.09	-2714.4694051251499332	1105.8283826994543233	4019.8941811948343457
1	0	0.5	0.1	-2935.2810039350006264	1017.4721392826248803	3739.3280283236808827
1	0	0.5	0.11	-3174.0592834770213813	939.37810796196617957	3458.7618754525265103
1	0	0.5	0.12	-3427.8364681050807121	874.30054242761241312	3178.1957225813730474
1	0	0.5	0.13	-3694.2985434437578078	825.32428810098815575	3032.1892438779277654
1	0	0.5	0.14	-3971.6106012478994671	795.42910170470906905	2915.0390169584625255
1	0	0.5	0.15	-4258.2975216250488302	786.79302514529820201	2903.3824473496315477
1	0	1	0	-4308.5861120616973494	2699.3479495142223641	8118.8324399119710506
1	0	1	0.01	-3542.9915640355393407	2561.3118770919550116	7746.1265281499236153
1	0	1	0.02	-2901.0404877960099839	2424.0397611074354245	7373.4206163878770894
1	0	1	0.03	-2601.9583625244849827	2287.6691298435362114	7000.7147046258323826
1	0	1	0.04	-2472.2783908868223079	2152.3713397925021127	6628.0087928637840378
1	0	1	0.05	-2447.2557337155449204	2018.3621512486440679	6255.3028811017366024
1	0	1	0.06	-2494.0950017585637397	1885.9162800447302288	5882.5969693396928051
1	0	1	0.07	-2593.4955745440165629	1755.3876237441813828	5509.8910575776444603
1	0	1	0.08	-2733.0135297946981154	1627.2376152125243607	5137.1851458155979344
1	0	1	0.09	-2904.1138253771714517	1502.0751830859364873	4764.4792340535532276
1	0	1	0.1	-3100.6742351391803822	1380.7130431174134628	4391.7733222915039732
1	0	1	0.11	-3318.1517542732399306	1264.2461041024630504	4040.6160318300917424
1	0	1	0.12	-3553.0847211287837126	1154.1572546900897578	3742.6938169929890137
1	0	1	0.13	-3802.7789848323518527	1052.4498932875985702	3444.7716021558862849
1	0	1	0.14	-4065.101363252804731	961.7866913823414734	3260.5610230143101944
1	0	1	0.15	-4338.3388189511388191	885.56623358792887757	3145.8697981118398275
1	0	1.5	0	-5046.3426011911069509	3179.6661427888657272	8801.39185835808712
1	0	1.5	0.01	-4097.8260325378869311	3035.9394537627704267	8421.4222272335882735
1	0	1.5	0.02	-3359.7085013415562571	2893.1637496140169787	8041.452596109089427
1	0	1.5	0.03	-2997.9057001204782864	2751.4870752194310626	7661.4829649845914901
1	0	1.5	0.04	-2822.8170350937652984	2611.0883355356245374	7281.5133338600890056
1	0	1.5	0.05	-2762.8399767030277872	2472.1852670648536332	6902.9110738409808619
1	0	1.5	0.06	-2781.6682416276089498	2335.0448006979490856	6525.3030891183680069
1	0	1.5	0.07	-2857.9778599318233319	2199.9965853819435324	6147.6951043957506045
1	0	1.5	0.08	-2978.059010754666815	2067.4506663931779258	5770.0871196731395685
1	0	1.5	0.09	-3132.5353418892627815	1937.9205525765648872	5399.7723044995482269
1	0	1.5	0.1	-3314.6990038600415573	1812.0530914074813609	5030.1700269872253557
1	0	1.5	0.11	-3519.5841446959384484	1690.6665170611997837	4660.567749474903394
1	0	1.5	0.12	-3743.4145899286013446	1574.7973411191578634	4290.9654719625796133
1	0	1.5	0.13	-3983.2564458243214176	1465.7546135461359427	4015.4782710135127672
1	0	1.5	0.14	-4236.7899804380358546	1365.17509372215045	3917.356230142318509
1	0	1.5	0.15	-4502.1544342921042698	1275.0631410869307274	3819.2341892711247056
1	0	2	0	-5657.1696148960836581	3572.3453838942332368	9396.2323654233205161
1	0	2	0.01	-4558.8667214991219225	3425.4236957261800853	9017.7298890963666054
1	0	2	0.02	-3748.6768397030391498	3279.6577077673300664	8639.2274127694108756
1	0	2	0.03	-3341.5034537683022791	3135.2086208825458016	8260.7249364424569649
1	0	2	0.04	-3134.1975664727433468	2992.2671579018638113	7882.2224601155021446
1	0	2	0.05	-3049.7265059455312439	2851.0600876732264624	7503.7199837885445959
1	0	2	0.06	-3049.0965802732098382	2711.8583543857407676	7125.2175074615934136
1	0	2	0.07	-3109.4693012468633242	2574.9871992776024854	6746.7150311346395029
1	0	2	0.08	-3216.2024032156332396	2440.8387185757651423	6368.2125548076837731
1	0	2	0.09	-3359.3073717196239159	2309.8873252210719329	5989.7100784807298623
1	0	2	0.1	-3531.6543559390847804	2182.7085219512537151	5611.2076021537741326
1	0	2	0.11	-3727.9752074058633298	2060.0011553015215213	5232.7051258268184029
1	0	2	0.12	-3944.2703912510551163	1942.6127404482572274	4854.2026494998663111
1	0	2	0.13	-4177.4367123411866487	1831.5662669757432468	4619.7572411151595588
1	0	2	0.14	-4425.0233416814589873	1728.0847643441395576	4500.5032977606324494
1	0	2	0.15	-4685.066149221122032	1633.6064846395890982	4404.2843660143662419
1	0	2.5	0	-6179.1493401295010699	3901.5679173997828002	9896.9066407887512469
1	0	2.5	0.01	-4954.0092822235019412	3752.3967572948736233	9511.8165952931267384
1	0	2.5	0.02	-4087.0180385534040397	3604.5442324553978324	9126.7265497975040489
1	0	2.5	0.03	-3645.0051104727390339	3458.1794795519886065	8741.6365043018813594
1	0	2.5	0.04	-3413.2991270138154505	3313.4996591757799251	8356.546458806255032
1	0	2.5	0.05	-3310.4389178957280819	3170.7354287953703533	7971.4564133106305235
1	0	2.5	0.06	-3295.2897095986045315	3030.1575564605400359	7586.366367815009653
1	0	2.5	0.07	-3343.8246087123116013	2892.0848818850768112	7201.276322319384235
1	0	2.5	0.08	-3440.6776080172639922	2756.8938319380631583	6816.186276823762455
1	0	2.5	0.09	-3575.3889679470958072	2625.0296620466274362	6431.0962313281370371
1	0	2.5	0.1	-3740.5061226909601828	2497.0194917476537739	6046.0061858325125286
1	0	2.5	0.11	-3930.5309913566088653	2373.4869806273168251	5660.9161403368889296
1	0	2.5	0.12	-4141.294911273100297	2255.1680739456269293	5299.8908687348130115
1	0	2.5	0.13	-4369.5669845652228105	2142.9265329862491853	5143.4193909081068341
1	0	2.5	0.14	-4612.7978246052589384	2037.7668412519358299	5005.6922347977833851
1	0	2.5	0.15	-4868.9458133377193008	1940.8404783319801936	4936.5736772604896032
1	0	3	0	-6635.2687589492852567	4183.9711677020595744	10290.05811188259031
1	0	3	0.01	-5300.2531421390376636	4033.0268803541921443	9899.8322207996134239
1	0	3	0.02	-4386.938433462404646	3883.5281561337678795	9509.6063297166310804
1	0	3	0.03	-3917.0807071469025686	3735.648551140080599	9119.3804386336541938
1	0	3	0.04	-3666.0775595760642318	3589.5881786234454012	8729.1545475506791263
1	0	3	0.05	-3548.7703065265086479	3445.5784017953105831	8338.9286564677004208
1	0	3	0.06	-3522.2671801527612843	3303.8873755094041371	7948.7027653847217152
1	0	3	0.07	-3561.5769344481523149	3164.8265503040533986	7558.4768743017384622
1	0	3	0.08	-3650.7509557884186506	3028.7582328894231978	7180.0760148383551495
1	0	3	0.09	-3778.9524800949802739	2896.1042469856633943	6806.5917273568584278
1	0	3	0.1	-3938.4719891874556197	2767.3556370384162619	6443.113949083526677
1	0	3	0.11	-4123.6290523085917812	2643.0831751224086474	6079.6361708101912882
1	0	3	0.12	-4330.121325576932577	2523.9481285693973405	5789.9959740315734962
1	0	3	0.13	-4554.6172601721991668	2410.7122758906143645	5645.1546956547208538
1	0	3	0.14	-4794.4899810458373395	2304.2454806025798462	5501.2877926787823526
1	0	3	0.15	-5047.6370784577811719	2205.5282426103899525	5435.5140819771195311
1	0	3.5	0	-7040.5013816801802022	4430.6913214047726797	10609.678057034492667
1	0	3.5	0.01	-5608.6975048561725998	4278.2613585038625388	10215.300440360591892
1	0	3.5	0.02	-4656.6451870306773344	4127.3775273212613683	9820.9228236866892985
1	0	3.5	0.03	-4163.8791617967872298	3978.2157545411373576	9426.5452070127921615
1	0	3.5	0.04	-3897.1327079327602405	3830.9771940844975688	9038.2365606135263079
1	0	3.5	0.05	-3768.1012455561431125	3685.8923300586579899	8668.3397012094046659
1	0	3.5	0.06	-3732.4181286096209078	3543.2257352938236181	8299.9591021988981083
1	0	3.5	0.07	-3764.2896099103381857	3403.2815471225917463	7931.5785031883942793
1	0	3.5	0.08	-3847.2852586351655191	3266.4096959804874132	7563.1979041778922692
1	0	3.5	0.09	-3970.2579877642710926	3133.0128710682029123	7194.8173051673866212
1	0	3.5	0.1	-4125.287584524419799	3003.5541170147384946	6826.4367061568800636
1	0	3.5	0.11	-4306.5445599070080789	2878.5648077934342837	6458.0561071463762346
1	0	3.5	0.12	-4509.6175801145509467	2758.6525164962322378	6218.0941222674700839
1	0	3.5	0.13	-4731.0932189956729417	2644.5079686302005939	6073.9623653947946877
1	0	3.5	0.14	-4968.2816882855113363	2536.909817238238702	5929.8306085221220201
1	0	3.5	0.15	-5219.0313048061434529	2436.7254216928895403	5859.9681890822721471
1	0	4	0	-7405.1702898205767269	4649.4040887125356676	10878.869218297568295
1	0	4	0.01	-5886.9956720087429858	4495.6835509926295344	10502.843384865847838
1	0	4	0.02	-4901.9181642662297236	4343.5906241747743479	10130.339571693781181
1	0	4	0.03	-4389.8849519266441348	4193.3024144934643118	9757.8357585217127053
1	0	4	0.04	-4109.9888497263964382	4045.0200837077277356	9385.3319453496460483
1	0	4	0.05	-3971.2073432893157587	3898.9724960591170202	9012.8281321775775723
1	0	4	0.06	-3927.9133130949412589	3755.4203868111071642	8640.3243190055145533
1	0	4	0.07	-3953.6319604331220035	3614.6610833592553718	8267.8205058334460773
1	0	4	0.08	-4031.526004294231825	3477.0337822131955363	7895.3166926613794203
1	0	4	0.09	-4150.1873235995299183	3342.9253367336959855	7522.8128794893127633
1	0	4	0.1	-4301.5190187333937502	3212.7764317681385364	7150.3090663172424684
1	0	4	0.11	-4479.5669168472741148	3087.0879001573598543	6777.8052531451776304
1	0	4	0.12	-4679.828710131761909	2966.4267587950939742	6582.3391177072626306
1	0	4	0.13	-4898.8227536121557932	2851.4312961243836071	6438.9998134449970166
1	0	4	0.14	-5133.8069235201692209	2742.8142239247695215	6295.6605091827350407
1	0	4	0.15	-5382.5886044218495954	2641.3625284377208118	6228.5506314103222394
1	0	4.5	0	-7736.7083632797803148	4845.5855385793711321	11189.352805115855517
1	0	4.5	0.01	-6140.6555948022578377	4690.7176572877006038	10813.3149045498958
1	0	4.5	0.02	-5126.9868429781708983	4537.544796927241805	10437.277003983934264
1	0	4.5	0.03	-4598.464288021910761	4386.244537515225602	10061.239103417972728
1	0	4.5	0.04	-4307.3800928408527398	4237.0174907206428543	9685.2012028520148306
1	0	4.5	0.05	-4160.3335594549862435	4090.0905864654073412	9309.1633022860532947
1	0	4.5	0.06	-4110.6045426106938976	3945.720784513653598	8933.1254017200972157
1	0	4.5	0.07	-4131.1310882123216288	3804.1992229933111958	8557.0875011541302229
1	0	4.5	0.08	-4204.7266186797132832	3665.8557885073191756	8181.0496005881732344
1	0	4.5	0.09	-4319.7596212255084538	3531.0640479991438951	7805.0117000222116985
1	0	4.5	0.1	-4467.9823751246512984	3400.246413870824199	7428.9737994562501626
1	0	4.5	0.11	-4643.3345009826516616	3273.8793126870914421	7052.9358988902904457
1	0	4.5	0.12	-4841.2363365020501078	3152.4979854187699857	6897.7240600587128938
1	0	4.5	0.13	-5058.1483192441010033	3036.7003568228651602	6755.2186893748348666
1	0	4.5	0.14	-5291.2839517380125471	2927.1491730379279943	6616.7893160048452046
1	0	4.5	0.15	-5538.4159537224331871	2824.5713339080189144	6553.7157007038158554
1	0	5	0	-8040.6537991733566741	5023.2665524135745727	11463.384324457885668
1	0	5	0.01	-6373.7788810721613117	4867.3623073608541745	11084.271071859231597
1	0	5	0.02	-5335.0446142498913105	4713.2098837303738037	10705.157819260572069
1	0	5	0.03	-4792.2094076739231241	4560.9869093789820909	10326.044566661914359
1	0	5	0.04	-4491.4629306589558837	4410.8931487189165637	9946.9313140632602881
1	0	5	0.05	-4337.3012766032697982	4263.1534987331606317	9567.8180614646007598
1	0	5	0.06	-4282.0449956283700885	4118.0213380411687467	9188.7048088659412315
1	0	5	0.07	-4298.1193436612156802	3975.7822286715122573	8809.5915562672798842
1	0	5	0.08	-4368.0337666940977215	3836.7579440895619882	8430.4783036686276319
1	0	5	0.09	-4479.9628737718885532	3701.3107564354509122	8051.3650510699681035
1	0	5	0.1	-4625.5283345498392009	3569.8478556279433178	7672.2517984713113037
1	0	5	0.11	-4798.5779616002328112	3442.8256870504437757	7316.301362094639444
1	0	5	0.12	-4994.4653269520131289	3320.7538772022203375	7174.6467814986863232
1	0	5	0.13	-5209.6009442057547858	3204.1982643009246203	7032.9922009027332024
1	0	5	0.14	-5441.1601099670879194	3093.7823652288170706	6906.4613355382525697
1	0	5	0.15	-5686.8857272945460863	2990.186404274630604	6844.2025849911697151
1	0	5.5	0	-8321.2487711879148264	5185.4952993761562539	11705.40677133340796
1	0	5.5	0.01	-6589.5058467788185226	5028.6440375481070078	11323.584051014031502
1	0	5.5	0.02	-5528.5655650427506771	4873.5932154100837579	10941.761330694655044
