# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_psi/phi.table.Artemia_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minPsi: 0
# maxPsi: 1
# noStepsPsi: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 247
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-462.67361087249628326	492.46601841154705426	1583.7402420078331033
1	0	0	0.01	-492.22677247243154852	498.21131868688735267	1568.7694007985926419
1	0	0	0.02	-415.8636744857631129	505.18025769214636966	1558.8737379534077263
1	0	0	0.03	-414.53580057710496476	513.32300101656403513	1558.8737379534074989
1	0	0	0.04	-445.18941082506898965	522.58468203724703471	1558.8737379534074989
1	0	0	0.05	-493.91791156590807077	532.90696406020151699	1558.8737379534074989
1	0	0	0.06	-554.32183619734860258	544.22950186876369116	1561.2346704774813588
1	0	0	0.07	-622.87823019589814066	556.49124429891605814	1567.3103699602766028
1	0	0	0.08	-697.4234650989601505	569.63154334618877783	1576.6200591255665131
1	0	0	0.09	-776.52753968400429585	583.59105654999291346	1597.0974166416535809
1	0	0	0.1	-859.19464158919799956	598.31244622846031689	1622.4018389252648831
1	0	0	0.11	-944.70395005251702969	613.74089097533897075	1651.774338167796941
1	0	0	0.12	-1032.518078837707435	629.82443197695465642	1681.1468374103301358
1	0	0	0.13	-1122.2271097548855323	646.51417996170448532	1734.1428109696660158
1	0	0	0.14	-1213.5126761385363352	663.76440894687038963	1794.2135812831641033
1	0	0	0.15	-1306.123980430964366	681.5325613601984287	1854.2843515966621908
1	0	0.5	0	-472.35405127635931422	344.3094726130918275	1137.2151578754094317
1	0	0.5	0.01	-436.58251128051415435	321.38455698666729177	1072.2718517746939142
1	0	0.5	0.02	-315.34940826486308652	300.23334326953835216	1007.3285456739787378
1	0	0.5	0.03	-280.71011710124730598	281.25627771655098286	945.43615500437113042
1	0	0.5	0.04	-285.41428490043836064	264.92099483055670817	887.16755988697025259
1	0	0.5	0.05	-313.26322674084804021	251.74228816774345319	828.89896476956971583
1	0	0.5	0.06	-356.47785657391796121	242.23590197311301608	770.63036965216952012
1	0	0.5	0.07	-410.64493618138294551	236.84444506975697209	712.36177453476852861
1	0	0.5	0.08	-472.9953569838689873	235.85028411887000743	691.94729652775492923
1	0	0.5	0.09	-541.67008336028993654	239.3082286098399436	677.86052132019165128
1	0	0.5	0.1	-615.35911591620788386	247.03138756984751012	676.84542416698025136
1	0	0.5	0.11	-693.10525818452697422	258.63795354097993595	683.12551402638132458
1	0	0.5	0.12	-774.18924928889282455	273.63421200925341736	736.50002504957319616
1	0	0.5	0.13	-858.05855660969427845	291.4974774416772334	796.48830996534979931
1	0	0.5	0.14	-944.28116811012478138	311.73527732785436228	865.56643964000022606
1	0	0.5	0.15	-1032.5144663752835186	333.91614712284359712	943.35082171331350764
1	0	1	0	-573.72055942173574294	471.19104447524154011	1240.7006246150297102
1	0	1	0.01	-494.73164366424862237	440.57039288072411409	1180.9740182333605389
1	0	1	0.02	-348.75346998465465731	410.75915824371872986	1121.2474118516915951
1	0	1	0.03	-297.50809812782608788	381.9469143581429762	1061.5208054700226512
1	0	1	0.04	-290.07082086732771131	354.37741040158107353	1001.794199088353821
1	0	1	0.05	-308.55952274920491618	328.36381793181863031	942.06759270668430872
1	0	1	0.06	-344.29705110135000723	304.30542085082299764	882.34098632501559223
1	0	1	0.07	-392.33952105172829761	282.70183179498189929	822.61437994334687573
1	0	1	0.08	-449.58037745022011222	264.15602690433877342	762.88777356167815924
1	0	1	0.09	-513.93378849207874737	249.35122158942587589	703.16116718000910168
1	0	1	0.1	-583.93060666895689792	238.98368390958825103	643.4345607983402715
1	0	1	0.11	-658.49803441850235686	233.64484790053234065	607.92353964826509127
1	0	1	0.12	-736.83043897072275286	233.67963761212408258	613.48165044042866612
1	0	1	0.13	-818.30922526563881547	239.08570728341368294	628.57733308798344751
1	0	1	0.14	-902.4508474847443722	249.51417219968200811	654.91178402652235491
1	0	1	0.15	-988.87180946817352378	264.37135461010279869	683.72987935541209481
1	0	1.5	0	-673.05062178812477214	594.73965216788417365	1343.8087351842357293
1	0	1.5	0.01	-560.52050366974435747	562.36014991664342233	1279.8909877057476479
1	0	1.5	0.02	-397.52531846168312768	530.68464494719285085	1216.5424758380956973
1	0	1.5	0.03	-335.46737698589458887	499.84699295499439131	1153.8420414099343816
1	0	1.5	0.04	-320.36295001813778072	470.01213831616814787	1091.1416069817735206
1	0	1.5	0.05	-333.05395124379720073	441.38347701050895466	1028.4411725536119775
1	0	1.5	0.06	-364.22051124596328009	414.211186722668117	965.74073812545134388
1	0	1.5	0.07	-408.55341810151912796	388.80073360203334687	903.04030369728991445
1	0	1.5	0.08	-462.72020399610846653	365.51974434730851726	844.02517811125028402
1	0	1.5	0.09	-524.48637842377684137	344.7998352391256276	785.66199913508785357
1	0	1.5	0.1	-592.28019043257154408	327.12801633167822501	727.29882015892530944
1	0	1.5	0.11	-664.9553016713962279	313.02096027619796814	715.8240190957080813
1	0	1.5	0.12	-741.6517329778180283	302.97701874949456169	715.73839531635280764
1	0	1.5	0.13	-821.70970213171494834	297.40813039221706049	739.61816839588868788
1	0	1.5	0.14	-904.61378366914505023	296.56649839693710646	768.93478833186577504
