# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_psi/phi.table.CLDI_SFS.txt
# sampleSize: 10
# noDataSets: 1
# minPsi: 0
# maxPsi: 1
# noStepsPsi: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 49
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-138.53157061271878092	61.064568564350039992	137.21826310798019222
1	0	0	0.01	-211.01806772900158649	60.459407701296093762	136.70841349410673615
1	0	0	0.02	-177.13794404616089651	59.862733550204382027	136.19856388023328009
1	0	0	0.03	-157.63899612565791131	59.27480239936594586	135.68871426635982402
1	0	0	0.04	-144.15113083006173156	58.695876973897249229	135.17886465248636796
1	0	0	0.05	-134.02934451670444105	58.126226360015593286	134.66901503861288347
1	0	0	0.06	-126.08233225848442771	57.566125897497684605	134.15916542473945583
1	0	0	0.07	-119.6662546890872818	57.015857037382360772	133.64931581086597134
1	0	0	0.08	-114.39126536604823059	56.475707161909731724	133.1394661969925437
1	0	0	0.09	-110.0021346837580154	55.945969363647918726	132.62961658311908764
1	0	0	0.1	-106.32196309495128617	55.426942180753293599	132.11976696924563157
1	0	0	0.11	-103.2227063056610632	54.918929285345647884	131.60991735537214709
1	0	0	0.12	-100.60847395759662959	54.422239122062158856	131.10006774149871944
1	0	0	0.13	-98.405464057209997009	53.937184493991878753	130.59021812762523496
1	0	0	0.14	-96.555587899773513527	53.464082093390636885	130.08036851375177889
1	0	0	0.15	-95.012264059263600302	53.003251974842051197	129.57051889987832283
1	0	0.5	0	-163.46762838289737374	63.7054479583964266	141.1106849117750528
1	0	0.5	0.01	-230.30205436278879461	62.714112427706098174	138.65114868756521105
1	0	0.5	0.02	-191.92206376064211781	61.730143732247675814	136.19161246335528404
1	0	0.5	0.03	-168.7409913121037448	60.75389981233261949	133.73207623914538544
1	0	0.5	0.04	-152.17591317064722034	59.785759083614017584	131.27254001493551527
1	0	0.5	0.05	-139.43905463813530332	58.826121626322745328	128.81300379072561668
1	0	0.5	0.06	-129.23930213938172074	57.875410422561074597	126.35346756651574651
1	0	0.5	0.07	-120.86068322557827059	56.934072638086078655	123.89393134230584792
1	0	0.5	0.08	-113.85977148015962257	56.002580943487117793	121.43439511809599196
1	0	0.5	0.09	-107.94061224985591707	55.081434867828050983	118.97485889388605074
1	0	0.5	0.1	-102.89473901815739509	54.171162175642287195	116.79022107979413647
1	0	0.5	0.11	-98.569222041384591648	53.272320255595062122	114.63815211560643093
1	0	0.5	0.12	-94.84826172239297648	52.385497506119250488	112.48608315141871117
1	0	0.5	0.13	-91.641920453145758074	51.511314699845925702	110.33401418723103404
1	0	0.5	0.14	-88.878881553311885	50.650426304657038656	108.18194522304330008
1	0	0.5	0.15	-86.501608024353458859	49.80352173465665544	106.5478411843041755
1	0	1	0	-176.64961431047976248	65.830611489903120059	146.33178284061040131
1	0	1	0.01	-239.73175998524459374	64.666851449801782792	143.67899982135941173
1	0	1	0.02	-198.6956949941259154	63.508909428108431428	141.0262168021083653
1	0	1	0.03	-173.52358221958712647	62.357109539213048777	138.3734337828573473
1	0	1	0.04	-155.40384865536810821	61.211798506855956248	135.72065076360635771
1	0	1	0.05	-141.41556024508093969	60.073347466436693765	133.06786774435533971
1	0	1	0.06	-130.18448755611888146	58.942153915710647993	130.41508472510435013
1	0	1	0.07	-120.93992599434261592	57.818643823979428475	127.76230170585331791
1	0	1	0.08	-113.20083851138906539	56.703273909765130156	125.10951868660231412
1	0	1	0.09	-106.6445114619477863	55.596534096544985459	122.45673566735129612
1	0	1	0.1	-101.04288237946622075	54.498950155315050381	119.80395264810027811
1	0	1	0.11	-96.228317364141389589	53.411086541424360519	117.15116962884928853
1	0	1	0.12	-92.073751275618064938	52.333549431127970308	114.49838660959825631
1	0	1	0.13	-88.48045888715091678	51.266989960459859788	111.84560359034726673
1	0	1	0.14	-85.370160521508068996	50.212107665106557874	109.19282057109626294
1	0	1	0.15	-82.679725450361956973	49.169654114701657477	106.54003755184524493
1	0	1.5	0	-185.89180365140975937	67.571628841198332793	149.28853105722777173
1	0	1.5	0.01	-246.01046123501839702	66.298768731597192527	146.51895306817715436
1	0	1.5	0.02	-203.03979092318729727	65.030566369894458489	143.749375079126537
1	0	1.5	0.03	-176.49376664917934932	63.767299656195099544	140.97979709007591964
1	0	1.5	0.04	-157.34178633678283177	62.509267828754843777	138.21021910102530228
1	0	1.5	0.05	-142.54615534078010342	61.256793415272113634	135.44064111197471334
1	0	1.5	0.06	-130.66440471066505324	60.010224383399368264	132.67106312292409598
1	0	1.5	0.07	-120.88312013921813559	58.7699365114583685	129.9014851338734502
1	0	1.5	0.08	-112.6930768880943674	57.536336002269479195	127.13190714482286126
1	0	1.5	0.09	-105.75215394173352479	56.309862364967173676	124.36232915577224389
1	0	1.5	0.1	-99.818457527616658354	55.090991591614475453	121.59275116672165495
1	0	1.5	0.11	-94.714209646568406242	53.880239657256737473	118.82317317767103759
1	0	1.5	0.12	-90.30472316887278339	52.678166373648586784	116.05359518862040602
1	0	1.5	0.13	-86.485426362372209041	51.485379628069878777	113.28401719956978866
1	0	1.5	0.14	-83.173474219791160067	50.302540039181316445	110.51443921051918551
1	0	1.5	0.15	-80.30211525461123756	49.130366061435985614	107.74486122146856815
1	0	2	0	-193.02861668622534808	69.045213201183258889	151.26063658208204288
1	0	2	0.01	-250.67157833542546541	67.694325725752364065	148.4095743442625519
1	0	2	0.02	-206.18490520239129182	66.347233953156290909	145.55851210644317462
1	0	2	0.03	-178.60407138096690005	65.004173860673233776	142.70744986862371206
1	0	2	0.04	-158.69518152490451257	63.665400600998324876	139.85638763080424951
1	0	2	0.05	-143.31886150387953194	62.33119039747072776	137.00532539298481538
1	0	2	0.06	-130.97584994412846982	61.001842655358224476	134.15426315516543809
1	0	2	0.07	-120.81836949091763245	59.677682316219339498	131.30320091734597554
1	0	2	0.08	-112.31510200605993077	58.359062485832495781	128.45213867952651299
1	0	2	0.09	-105.10902829733191766	57.046367370045480527	125.60107644170710728
1	0	2	0.1	-98.947815125574550166	55.740015557176349148	122.75001420388764473
1	0	2	0.11	-93.646134697898446575	54.440463690287565157	119.8989519660682106
1	0	2	0.12	-89.063693818934325463	53.148210577741558325	117.04788972824876225
1	0	2	0.13	-85.091663740553826756	51.863801795872873868	114.19682749042932812
1	0	2	0.14	-81.64390414023074527	50.587834843274301022	111.3457652526099082
1	0	2	0.15	-78.651069817388076899	49.320964911915432083	108.49470301479045986
1	0	2.5	0	-198.83996037228541809	70.322497722577367085	152.69686981434313111
