# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_psi/phi.table.C_elegans_SFS.txt
# sampleSize: 573
# noDataSets: 1
# minPsi: 0
# maxPsi: 1
# noStepsPsi: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 5
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-433.63731192201362319	34.138823246106483111	248.06490189093665322
1	0	0	0.01	-426.58773435193984369	33.946271213071341322	247.87372133725293111
1	0	0	0.02	-420.9904268531577145	33.758395101612535427	247.68254078356952164
1	0	0	0.03	-418.09046640036444842	33.575273406547786692	247.49136022988591321
1	0	0	0.04	-416.50340735341183063	33.396984335939272626	247.30017967620247532
1	0	0	0.05	-415.72337397197918563	33.223605690355050513	247.10899912251881005
1	0	0	0.06	-415.49818488585071918	33.055214737225504962	246.91781856883565638
1	0	0	0.07	-415.68082184245270128	32.891888080538457473	246.72663801515207638
1	0	0	0.08	-416.17695166997089018	32.733701526162995776	246.53545746146849638
1	0	0	0.09	-416.92198229369387263	32.580729943140660509	246.34427690778511533
1	0	0	0.1	-417.86955982162339751	32.433047121331036067	246.15309635410167743
1	0	0	0.11	-418.98521829093226643	32.290725625847699121	246.12177869297016741
1	0	0	0.12	-420.24261285039608538	32.15383664876954839	246.19650216066042958
1	0	0	0.13	-421.62115722047030886	32.02244985866032323	246.27122562835120334
1	0	0	0.14	-423.10447430947488101	31.896633248475467326	246.34594909604211921
1	0	0	0.15	-424.67934230761920844	31.776452982480090981	246.4206725637328077
1	0	0.5	0	-467.88979460417169776	38.776125816998792573	247.91170002156252394
1	0	0.5	0.01	-452.6121537369424459	38.498279163371456946	247.67034474794576226
1	0	0.5	0.02	-443.50473997203414456	38.226060648575931111	247.42898947432868795
