# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_psi/phi.table.Caenorhabditis_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minPsi: 0
# maxPsi: 1
# noStepsPsi: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 106
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-310.79359187211002791	176.02385712324104361	594.48437439952829209
1	0	0	0.01	-357.69560948622620344	175.09566987173394637	590.99690808443210699
1	0	0	0.02	-295.01278313613738646	174.36507698636222585	587.50944176933592189
1	0	0	0.03	-264.9303168063765952	173.83456983704226673	584.0219754542396231
1	0	0	0.04	-248.9418126351824867	173.50598376349944374	580.53450913914332432
1	0	0	0.05	-241.05358333454705644	173.38046679597638899	577.04704282404725291
1	0	0	0.06	-238.49669486567972854	173.45845976596899618	573.55957650895106781
1	0	0	0.07	-239.73900637235192335	173.73968860256036351	570.07211019385476902
1	0	0	0.08	-243.83357541317491268	174.22316912623219309	566.58464387875847024
1	0	0	0.09	-250.14978989190194625	174.90722414583544264	563.09717756366239882
1	0	0	0.1	-258.24460772277643628	175.78951217224539505	560.73375066044252435
1	0	0	0.11	-267.79404323777453101	176.86706661911713923	559.31841287208794711
1	0	0	0.12	-278.55372451519087917	178.13634399663411045	557.90307508373314249
1	0	0	0.13	-290.33475519611465643	179.59327933935557553	556.48773729537845156
1	0	0	0.14	-302.98820328160491044	181.23334695519244519	556.06505482247951022
1	0	0	0.15	-316.39472833081072167	183.05162453974358527	556.06505482247951022
1	0	0.5	0	-365.93353580916073042	149.81182401311889407	428.85436517738293105
1	0	0.5	0.01	-384.05906869096952505	144.36178590595801552	414.6289698158834085
1	0	0.5	0.02	-301.59361751011192609	139.1105035751413368	401.11030892932086545
1	0	0.5	0.03	-256.80621327397329878	134.08133180667968531	392.6249008565006875
1	0	0.5	0.04	-229.33769839690694425	129.30019038009280052	388.54423358168583036
1	0	0.5	0.05	-212.18042208352926536	124.79559000523752843	384.46356630687091638
1	0	0.5	0.06	-201.95444676940132922	120.59852277840812462	380.3828990320560024
1	0	0.5	0.07	-196.73319829318688789	116.74216233677051946	376.39108856393283986
1	0	0.5	0.08	-195.30155353803684193	113.26131553600872337	372.4633327010199082
1	0	0.5	0.09	-196.8390193802883914	110.19157447818577111	368.53557683810697654
1	0	0.5	0.1	-200.76366226232266854	107.56814088831121978	364.60782097519398803
1	0	0.5	0.11	-206.64714998998169904	105.42433846842661183	360.6800651122812269
1	0	0.5	0.12	-214.16494720150603825	103.78989212825570121	356.75230924936829524
1	0	0.5	0.13	-223.06539696014579022	102.68912617038047586	352.82455338645530674
1	0	0.5	0.14	-233.14962912918736038	102.13929664154470345	348.89679752354237507
1	0	0.5	0.15	-244.25800749664904288	102.14930035185948043	344.96904166062938657
1	0	1	0	-410.54495005402350216	161.65382352962760137	468.70946787954699175
1	0	1	0.01	-409.74734029463343177	154.24260226473518287	447.61188650561177838
1	0	1	0.02	-316.49991510575227949	146.92655614572561262	426.51430513167673553
1	0	1	0.03	-264.51871921773545182	139.72063664357264656	409.50996401249255996
1	0	1	0.04	-231.81828718404449319	132.64279310661353861	392.70579987401157496
1	0	1	0.05	-210.64397379650063158	125.71465975755955924	375.90163573553058995
1	0	1	0.06	-197.21708762417256366	118.96239594338406675	359.09747159704960495
1	0	1	0.07	-189.37566556389674588	112.4176964495289468	343.32194768366730386
1	0	1	0.08	-185.75522528683541168	106.11897171214404523	327.56227505489590612
1	0	1	0.09	-185.43520229968589774	100.11266001492344913	311.8026024261243947
1	0	1	0.1	-187.76370438788808315	94.454560975534263889	296.04292979735288327
1	0	1	0.11	-192.26179536722384	89.210954140703066173	280.75515660411622321
1	0	1	0.12	-198.56729751572947862	84.459075557957490332	266.30237756295679219
1	0	1	0.13	-206.39989177005008969	80.286284042240708914	261.97563495308440906
1	0	1	0.14	-215.53844811599537934	76.787044625472972825	257.86691642422601944
1	0	1	0.15	-225.80574761338493772	74.056896337301623134	253.75819789536768667
1	0	1.5	0	-446.29988731836874649	177.88017807320110819	496.78582983445318177
1	0	1.5	0.01	-430.81877807214550558	169.56613836407794338	474.97134044304971212
1	0	1.5	0.02	-330.1777881393431926	161.30189678152950705	453.15685105164595825
1	0	1.5	0.03	-273.54291668334053611	153.09551798858950633	431.34236166024254544
1	0	1.5	0.04	-237.57219326125186853	144.95682960223561508	409.63136598230539676
1	0	1.5	0.05	-213.94367254285953095	136.89790489898066994	392.22666486650797424
1	0	1.5	0.06	-198.59294896080655235	128.93370149185528817	374.82196375071043803
1	0	1.5	0.07	-189.1960203941821419	121.0829116445134872	357.41726263491267446
1	0	1.5	0.08	-184.28857788716140931	113.36909941204002905	340.01256151911508141
1	0	1.5	0.09	-182.88468178140055898	105.82222360139050465	322.60786040331760205
1	0	1.5	0.1	-184.28756444668215408	98.480670243708630096	305.50402869285164797
1	0	1.5	0.11	-187.98631342188036797	91.393932580993563874	289.10969380012744523
1	0	1.5	0.12	-193.59526296405783796	84.626051017698102896	272.71535890740335617
1	0	1.5	0.13	-200.81640061606640302	78.259793037948952588	256.32102401467903974
1	0	1.5	0.14	-209.41498207971426382	72.401180923358552377	239.92668912195500752
1	0	1.5	0.15	-219.20312145819025318	67.183151824790982687	223.53235422923086162
1	0	2	0	-476.12312242874440926	193.64876882231638433	516.72865454903853788
1	0	2	0.01	-448.58324191165456796	184.85036540695151075	494.16139860169982967
1	0	2	0.02	-342.41709039636089074	176.08732932615785671	471.59414265436112146
1	0	2	0.03	-282.43794437902852223	167.36521604205836411	449.02688670702269746
1	0	2	0.04	-244.16787839820699446	158.69077341119017888	426.45963075968427347
1	0	2	0.05	-218.83806123003660105	150.07226800554875012	404.02752077851641843
1	0	2	0.06	-202.16696695773407555	141.51991985677352659	386.20610794425181211
1	0	2	0.07	-191.71038792247372839	133.04648752092890618	368.38469510998703527
1	0	2	0.08	-185.93124566572396361	124.66806327402598242	350.56328227572220158
1	0	2	0.09	-183.79658000542804075	116.40516394381802456	332.74186944145748157
1	0	2	0.1	-184.57769017412510948	108.2842390125567249	314.92045660719264788
1	0	2	0.11	-187.74110783249670931	100.33976618330657971	297.09904377292792788
1	0	2	0.12	-192.88471980545000406	92.617163476126265209	279.27763093866315103
1	0	2	0.13	-199.6982008173149552	85.176800224340013301	262.03299950454209011
1	0	2	0.14	-207.93738314304937376	78.099383198598431477	245.1892818513496195
1	0	2	0.15	-217.407031988414019	71.49278319520553282	228.34556419815714889
1	0	2.5	0	-501.73100613848464491	208.07704381326985299	534.48015361632724307
1	0	2.5	0.01	-463.95635198078389294	198.98130270179402146	511.57046835663658158
1	0	2.5	0.02	-353.44580334973170466	189.91860248641572184	488.66078309694597692
1	0	2.5	0.03	-290.91152100329327368	180.89390923560708302	465.75109783725525858
1	0	2.5	0.04	-250.91175531012322608	171.91320865292331632	442.8414125775644834
1	0	2.5	0.05	-224.31476292616662249	162.98377312727706112	419.93172731787376506
1	0	2.5	0.06	-206.66703626727849041	154.11451384902247241	399.1751470210019761
1	0	2.5	0.07	-195.43070820918956088	145.31644964591575331	380.78127115402668323
1	0	2.5	0.08	-189.01267155816231025	136.60333736451707409	362.38739528705133353
1	0	2.5	0.09	-186.34409041475691993	127.99252752880084927	343.99351942007621119
1	0	2.5	0.1	-186.67207510902153444	119.50613586738641914	325.59964355310080464
1	0	2.5	0.11	-189.4461722406890658	111.17265850628142232	307.20576768612551177
1	0	2.5	0.12	-194.25194440969380594	103.02920737058478551	288.81189181915021891
1	0	2.5	0.13	-200.76987889615156746	95.124598428189457877	270.4180159521748692
1	0	2.5	0.14	-208.74880191065085455	87.523568045951464001	252.13115760052431824
1	0	2.5	0.15	-217.98803215255929899	80.312357601560506737	234.39439992432085091
1	0	3	0	-524.18733666466459908	221.12006579923576055	548.7550924217954389
1	0	3	0.01	-477.52953997473377967	211.8220843301188836	525.58143774421387207
1	0	3	0.02	-363.48265473398987524	202.55938061279408657	502.40778306663230524
