# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_psi/phi.table.Ciona_A_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minPsi: 0
# maxPsi: 1
# noStepsPsi: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 94
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-151.98800320752434345	99.43128071450919947	348.70211632252323852
1	0	0	0.01	-183.54530994419974377	94.135348262907413641	334.58435022097796718
1	0	0	0.02	-137.54271278978330884	89.016152764126601937	320.46658411943280953
1	0	0	0.03	-119.8688679564161248	84.105972234853226155	306.34881801788765188
1	0	0	0.04	-114.22485693633507253	79.443571989869624872	292.23105191634243738
1	0	0	0.05	-115.37557779027019933	75.07513002150189152	278.11328581479722288
1	0	0	0.06	-120.92483580298130619	71.054884542002838543	263.99551971325212207
1	0	0	0.07	-129.55923161023474677	67.44512983978464149	249.87775361170679389
1	0	0	0.08	-140.47454094894737864	64.3150208989283243	235.75998751016169308
1	0	0	0.09	-153.14000831880821352	61.737555342351242871	221.64222140861647858
1	0	0	0.1	-167.18599148663270171	59.784253933341823029	207.52445530707126409
1	0	0	0.11	-182.34446963403388509	58.517653314011418786	194.82764867872165837
1	0	0	0.12	-198.41496532329892943	57.982772723348496413	191.23905154833107645
1	0	0	0.13	-215.24379301742192183	58.199790105225090997	187.78096737683958395
1	0	0	0.14	-232.71078916813712567	59.160431507834282172	184.32288320534803461
1	0	0	0.15	-250.7204802263804595	60.829476377741158899	186.54796614241118391
1	0	0.5	0	-265.26934037051250925	189.61871062498192941	495.63465535418617947
1	0	0.5	0.01	-275.61425681253695075	182.03216713323317322	473.69839956799381753
1	0	0.5	0.02	-214.60863346698988607	174.52317642263662378	451.76214378180122822
1	0	0.5	0.03	-185.49991463186734109	167.10219367607643903	429.82588799560903681
1	0	0.5	0.04	-170.72831941442018433	159.78148184114405694	407.88963220941633381
1	0	0.5	0.05	-164.36185583969654544	152.57547487270528563	386.80891807303208907
1	0	0.5	0.06	-163.57998568954326402	145.50121618459397155	369.96297698114517516
1	0	0.5	0.07	-166.79241895184986788	138.57888394356862705	353.11703588925797703
1	0	0.5	0.08	-173.00461711722164182	131.83241264643146451	336.27109479737100628
1	0	0.5	0.09	-181.54961010710485425	125.29021413740819924	319.42515370548403553
1	0	0.5	0.1	-191.95704823550522633	118.98598773931739458	302.57921261359706477
1	0	0.5	0.11	-203.88245281684612564	112.95958384877795311	285.73327152171003718
1	0	0.5	0.12	-217.06600340847171537	107.25784201428800202	268.88733042982318011
1	0	0.5	0.13	-231.30708964415589435	101.93525665401331537	255.43875467953924385
1	0	0.5	0.14	-246.44784885422768639	97.054228192088118021	249.03971774209082923
1	0	0.5	0.15	-262.36210370615117426	92.684543782062220885	242.64068080464230093
1	0	1	0	-342.26135309206165402	242.51491734553914625	586.46066736751799908
1	0	1	0.01	-338.77441592597187991	234.46440723390773542	563.12826660571181492
1	0	1	0.02	-269.538900410030692	226.50498008716795084	539.79586584390540338
1	0	1	0.03	-234.73135355294652982	218.6465832555716986	516.61716701570423993
1	0	1	0.04	-215.68025334202411614	210.90051056052365652	493.82330042791437563
1	0	1	0.05	-205.93518057347000649	203.2796029127125621	471.02943384012462502
1	0	1	0.06	-202.39441434395666874	195.79847595504247693	448.23556725233487441
1	0	1	0.07	-203.29898073502090483	188.47377545056809822	425.44170066454506696
1	0	1	0.08	-207.5455840946947319	181.32445918621041869	402.64783407675543003
1	0	1	0.09	-214.39324027903876413	174.37210093951048862	381.14891282743280954
1	0	1	0.1	-223.31906917191372486	167.64120702635324278	363.34176279131872889
1	0	1	0.11	-233.94003744626161279	161.1595284826590273	346.12846352964504604
1	0	1	0.12	-245.96724195386286738	154.95834139716407662	330.46122777320044861
1	0	1	0.13	-259.17762980415272978	149.07265388619649116	324.88316432359198416
1	0	1	0.14	-273.39568478828869047	143.54128090934005968	319.30510087398329233
1	0	1	0.15	-288.48111442423942208	138.40670913586907886	313.72703742437482788
1	0	1.5	0	-401.52750407831808843	279.73750345787783544	646.96074552787717948
1	0	1.5	0.01	-387.36240140048903413	271.40545880372479814	623.91998656151326941
1	0	1.5	0.02	-312.45875495514792419	263.17314915842979417	601.05764732606792222
1	0	1.5	0.03	-273.92337115999544039	255.0502322080114368	578.19530809062223398
1	0	1.5	0.04	-252.15399527509225663	247.04749867717066536	555.33296885517688679
