# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_psi/phi.table.Culex_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minPsi: 0
# maxPsi: 1
# noStepsPsi: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 106
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-781.8196524598315591	1107.7287446120922141	2433.9430500644871245
1	0	0	0.01	-788.44573783391751931	1120.413294569888194	2447.5780227536274651
1	0	0	0.02	-830.66851297420726041	1133.4703127393308932	2461.2129954427664416
1	0	0	0.03	-904.97141346254284144	1146.8870778229293137	2474.8479681319076917
1	0	0	0.04	-992.76025961943560105	1160.6511142011693209	2488.4829408210471229
1	0	0	0.05	-1087.9948364928150113	1174.7502154581584364	2502.1179135101874635
1	0	0	0.06	-1187.8852218107313092	1189.1724638356458854	2539.6037924370939436
1	0	0	0.07	-1290.8947071500679158	1203.9062459237713938	2582.3027858583486704
1	0	0	0.08	-1396.0826354349901521	1218.9402649051230583	2625.001779279603852
1	0	0	0.09	-1502.8319933809561917	1234.2635496696204882	2667.7007727008572147
1	0	0	0.1	-1610.718327275955744	1249.8654611127180942	2710.3997661221119415
1	0	0	0.11	-1719.4396636780584231	1265.735695919705222	2753.0987595433666684
1	0	0	0.12	-1828.7759899908360239	1281.8642881255213979	2795.7977529646213952
1	0	0	0.13	-1938.5643639338504727	1298.2416087235592386	2838.4967463858756673
1	0	0	0.14	-2048.6828705152347538	1314.858363579171737	2881.1957398071303942
1	0	0	0.15	-2159.039870476217402	1331.7055898848045672	2923.8947332283846663
1	0	0.5	0	-457.34676238203246612	698.59714344975202494	1721.3123740516300586
1	0	0.5	0.01	-429.25068504854789353	710.63403947460631116	1705.4215733041830845
1	0	0.5	0.02	-448.29009427214077732	723.78002628433750942	1689.5307725567379293
1	0	0.5	0.03	-505.88820394465983554	737.97583564818296509	1673.6399718092925468
1	0	0.5	0.04	-581.07177505221625324	753.16210786086980988	1657.7491710618451179
1	0	0.5	0.05	-666.50652906563300348	769.2801873170400313	1657.1856440594274318
1	0	0.5	0.06	-758.62731288170834887	786.27277178086796994	1671.0611368658896936
1	0	0.5	0.07	-855.39977182690199697	804.08442085002218391	1726.3250201690980248
1	0	0.5	0.08	-955.54672422312069102	822.66193495735456054	1781.5889034723054465
1	0	0.5	0.09	-1058.2141513308270078	841.95461977838158418	1836.8527867755135503
1	0	0.5	0.1	-1162.8051592193205579	861.91445252348410122	1892.1166700787216541
1	0	0.5	0.11	-1268.8889281416904851	882.49616675420895717	1947.3805533819290758
1	0	0.5	0.12	-1376.1470251560567704	903.65727151791622873	2002.644436685137407
1	0	0.5	0.13	-1484.3399263410683488	925.35801912711315254	2057.9083199883452835
1	0	0.5	0.14	-1593.2851915489336534	947.56133412187170961	2113.1722032915522504
1	0	0.5	0.15	-1702.8427111251476163	970.23271406766411928	2168.4360865947605816
1	0	1	0	-396.31702046446844179	513.60968423480301226	1438.8616874023362016
1	0	1	0.01	-344.77158803993006586	522.55617384786000912	1421.4122650010353937
1	0	1	0.02	-350.78887591111015354	533.48978767414052982	1403.9628425997348131
1	0	1	0.03	-399.91288752630498493	546.29122628688321583	1386.5134201984340052
1	0	1	0.04	-469.08999920421956631	560.83260062410533919	1369.0639977971331973
1	0	1	0.05	-550.03874266310958774	576.98237370556830683	1351.6145753958326168
1	0	1	0.06	-638.69232749682487338	594.60950618903564191	1365.4141920952117744
1	0	1	0.07	-732.72234797382225224	613.58668643735268233	1407.8816322623863471
1	0	1	0.08	-830.66620249159132072	633.7926556337756665	1450.3490724295611471
1	0	1	0.09	-931.54633757226110902	655.11372336167778485	1492.8165125967357199
1	0	1	0.1	-1034.6799443654253992	677.44461203675666638	1541.805871833177207
1	0	1	0.11	-1139.5743619978475181	700.68877960033432828	1601.7227344016530424
1	0	1	0.12	-1245.8653774392969353	724.7583604052613282	1661.6395969701279682
1	0	1	0.13	-1353.2787787604647747	749.57384408487973815	1721.5564595386038036
1	0	1	0.14	-1461.6053250064687745	775.06358844573992428	1781.4733221070791842
1	0	1	0.15	-1570.6838560504947964	801.16323940376537394	1841.3901846755547922
1	0	1.5	0	-384.46075090204249136	400.58094919034851955	1239.9159368497555533
1	0	1.5	0.01	-314.60040104395920935	404.58850017208106919	1221.9935561209676962
1	0	1.5	0.02	-311.63488253778632497	411.66428156168592523	1204.0711753921796117
1	0	1.5	0.03	-355.23643884508419433	421.65385754295687093	1186.148794663390845
1	0	1.5	0.04	-420.62150317908890429	434.35623521824260251	1168.2264139346029879
1	0	1.5	0.05	-498.79273675266631471	449.54151219884715829	1150.3040332058149033
1	0	1.5	0.06	-585.32604506011557532	466.96752770619798412	1161.4189879698021741
1	0	1.5	0.07	-677.69191846934518253	486.39350458142831712	1206.8416077898721142
1	0	1.5	0.08	-774.30465987979732745	507.58987311698780331	1252.2642276099420542
1	0	1.5	0.09	-874.10654962976150273	530.34440310781894823	1297.686847430012449
1	0	1.5	0.1	-976.36002017713872192	554.46529300724398581	1343.1094672500826164
1	0	1.5	0.11	-1080.5335663871192082	579.78203233317026388	1388.5320870701525564
1	0	1.5	0.12	-1186.234563396901649	606.14479912650028837	1445.4944792244000382
1	0	1.5	0.13	-1293.1674868987392983	633.42300133858532263	1508.8394797732591996
1	0	1.5	0.14	-1401.1067687035883864	661.50340011704349763	1572.1844803221174516
1	0	1.5	0.15	-1509.878516681439578	690.28810415143993851	1635.5294808709752488
1	0	2	0	-390.24958948311359563	330.28438097890432346	1086.5765697719309628
1	0	2	0.01	-305.30118980057523004	327.5293934250712482	1062.5782316411266493
1	0	2	0.02	-295.60896493876316526	328.97769460713038825	1044.3859411065486711
1	0	2	0.03	-335.2308096772612771	334.57470360668185094	1026.193650571969556
1	0	2	0.04	-397.9380953914624115	344.11804630217483236	1008.0013600373911231
1	0	2	0.05	-474.17167829692698433	357.2916400379423294	989.80906950281280388
1	0	2	0.06	-559.2371407153805194	373.71177536174684519	1001.1009418738113936
1	0	2	0.07	-650.45648786200581526	392.97169719956298195	1048.7744083005209177
1	0	2	0.08	-746.15471337081726233	414.67590635173337432	1096.4478747272312376
1	0	2	0.09	-845.21670102449388651	438.46157023188158064	1144.1213411539404206
1	0	2	0.1	-946.86608373469607614	464.00870528971012163	1191.7948075806502857
1	0	2	0.11	-1050.5440629698368866	491.04245982593931785	1239.4682740073601508
1	0	2	0.12	-1155.8381877511110361	519.33072783346347023	1287.1417404340695612
1	0	2	0.13	-1262.4381468595947808	548.67950676602663407	1348.3837643717270112
1	0	2	0.14	-1370.1070985564929288	578.92753101820585471	1414.2495213330150818
1	0	2	0.15	-1478.6623954534297809	609.94102989511270607	1480.1152782943036073
1	0	2.5	0	-403.74795346739301749	291.62132897272533683	968.04885691629567646
1	0	2.5	0.01	-305.96957668727191049	280.86059375997189136	933.07585006270664962
1	0	2.5	0.02	-290.98401726456540928	275.0686694754838868	911.30704936560482565
1	0	2.5	0.03	-327.56140803286507435	274.56019178177558615	892.74359116607161013
1	0	2.5	0.04	-388.24958461252936104	279.36401178373233734	874.39031654683572015
1	0	2.5	0.05	-463.03454722537753696	289.21554147898189058	856.81470513731187566
1	0	2.5	0.06	-547.00849461417965358	303.62383630157142989	874.0230432685453934
1	0	2.5	0.07	-637.37815235804009717	321.97773943614470227	920.98316660948887602
1	0	2.5	0.08	-732.3999926015312667	343.6456337548315787	971.52226839814738923
1	0	2.5	0.09	-830.9152531557065231	368.0426669416648906	1022.061370186805334
1	0	2.5	0.1	-932.1182677619963215	394.66303850845963552	1072.6004719754635062
1	0	2.5	0.11	-1035.4297427633500774	423.08728345856758324	1123.1395737641219057
1	0	2.5	0.12	-1140.4224076901045919	452.97594976819010526	1173.6786755527796231
1	0	2.5	0.13	-1246.7749407168994367	484.05784664320987076	1229.1815116310276608
1	0	2.5	0.14	-1354.2421325717787113	516.1174410051958148	1298.0738880389217229
1	0	2.5	0.15	-1462.6348551408009371	548.98347252632845539	1366.9662644468160124
1	0	3	0	-420.87872412057731708	277.52307522983608123	876.73481185787659342
1	0	3	0.01	-311.95029360508306127	258.88476358654241949	842.93872057773103279
1	0	3	0.02	-292.6549007992434781	245.18496329449556015	813.67380945208901721
1	0	3	0.03	-326.80729640320896578	237.28062186030845737	794.21702524435283976
1	0	3	0.04	-385.90473376711634046	235.75538736439236231	775.76803912385457807
1	0	3	0.05	-459.55572815299274225	240.73054170271618091	757.31905300335608899
1	0	3	0.06	-542.67869217108091107	251.82110043016632517	778.73891410981354966
1	0	3	0.07	-632.38760259906302963	268.26968038051796839	822.6641818041064198
1	0	3	0.08	-726.88427769947156776	289.16337609956542565	873.67905263704642493
1	0	3	0.09	-824.97536845542708761	313.61501338322591437	924.69392346998643006
1	0	3	0.1	-925.83210859828795947	340.85976154080032074	976.44849238319807228
1	0	3	0.11	-1028.8591116453917493	370.28159464408986423	1028.4695325552224858
1	0	3	0.12	-1133.617509745674397	401.40207212085687161	1080.4905727272471267
1	0	3	0.13	-1239.7773884185462521	433.85581654495922521	1133.2333402775411741
1	0	3	0.14	-1347.0870236707069125	467.36516501885063235	1203.7033665700641905
1	0	3	0.15	-1455.3522516806460771	501.71865350266767791	1274.1733928625872068
1	0	3.5	0	-439.712091515026259	281.12554010683572869	914.05305307055277808
1	0	3.5	0.01	-320.93586643472735886	256.10962528696853724	828.09810645926086181
1	0	3.5	0.02	-298.04203583948037704	235.32410463626987962	742.96675695832186648
1	0	3.5	0.03	-330.20523189084997284	219.97147877634537849	708.8169531433774182
1	0	3.5	0.04	-388.0091125171566091	211.23965518150609455	690.3142058034090951
1	0	3.5	0.05	-460.74266569430983509	209.95631822193490734	671.81145846344111305
1	0	3.5	0.06	-543.17933904560595693	216.25411532587892793	698.05582361413405579
1	0	3.5	0.07	-632.3564691403607867	229.50980899169871918	740.39042653864623844
1	0	3.5	0.08	-726.431013618621364	248.61292332739463973	792.71483587338400412
1	0	3.5	0.09	-824.1813763707959879	272.33571572847210973	845.03924520812074661
1	0	3.5	0.1	-924.75999921141010418	299.58274595050500011	897.36365454285828491
1	0	3.5	0.11	-1027.5584453071551252	329.48084083161779745	949.68806387759582321
1	0	3.5	0.12	-1132.128466279415079	361.37259231011705651	1002.0124732123325657
1	0	3.5	0.13	-1238.1332124265154562	394.77512543816362722	1054.3368825470702177
1	0	3.5	0.14	-1345.3157111665404955	429.33596640680013934	1124.4313110945729477
1	0	3.5	0.15	-1453.4777478765336127	464.79680251714677297	1195.2584677692786954
1	0	4	0	-459.25148146046012698	295.99123473312670285	956.83480500965947613
1	0	4	0.01	-331.66776028337881144	266.54630328208457968	868.8078983247613678
1	0	4	0.02	-305.71051289123897732	240.46979295358792683	781.89087430201948337
1	0	4	0.03	-336.20494360206430429	218.96844436637533704	702.10395386862387568
1	0	4	0.04	-392.93136571418472158	203.49768231754313774	627.26521081647786104
1	0	4	0.05	-464.90392098345546401	195.49450775989961926	595.10217743554358094
1	0	4	0.06	-546.77282621068843582	195.87640795984489728	625.78355379849358542
1	0	4	0.07	-635.51076012869089027	204.59643350144236251	666.79517166339394407
1	0	4	0.08	-729.23703599326472613	220.66830942176795816	720.26656288609945022
1	0	4	0.09	-826.70644970543617092	242.63547502355129382	773.73795410880416057
1	0	4	0.1	-927.05578678624988243	269.05782551719300955	827.20934533150966672
1	0	4	0.11	-1029.6657651188925229	298.75562250687175947	880.68073655421540025
1	0	4	0.12	-1134.0803569618383335	330.84800023906598199	934.15212777692033796
1	0	4	0.13	-1239.9569711110671051	364.70336620355197965	987.62351899962573043
1	0	4	0.14	-1347.0342961345031654	399.87418040367094818	1061.5019906846432605
1	0	4	0.15	-1455.1107728739334561	436.04224997367555261	1139.0514119278234375
1	0	4.5	0	-478.9535500831061654	317.19228769319090588	995.41798961244489874
1	0	4.5	0.01	-343.4128367794364749	284.92724731878922739	905.38556539054150107
1	0	4.5	0.02	-314.80686779107600159	255.35272479164183324	815.64360401128953981
1	0	4.5	0.03	-343.87627661348960828	229.51117784020993895	732.34592785184747754
1	0	4.5	0.04	-399.68812734025414102	208.79328617059493922	653.87108923830021467
1	0	4.5	0.05	-471.01699108066532062	194.84039839689936002	580.54811741996104502
1	0	4.5	0.06	-552.40671406676665356	189.15552925103722259	560.83519977802416179
1	0	4.5	0.07	-640.77451180369098438	192.47269039073697172	600.23080643662490274
1	0	4.5	0.08	-734.2075490392435313	204.35397658838937218	654.7213963100662113
1	0	4.5	0.09	-831.44052730293151399	223.43734658726719999	709.21198618350808829
1	0	4.5	0.1	-931.59694061184745806	248.06619449989554482	763.70257605694905578
1	0	4.5	0.11	-1034.0483189397964452	276.76400553285918704	818.19316593039036434
1	0	4.5	0.12	-1138.3320553500525421	308.39695453223293953	875.15815031830891257
1	0	4.5	0.13	-1244.1007098748214048	342.15192133341986391	936.45948431389035704
1	0	4.5	0.14	-1351.0893113078873284	377.46004011123625332	1014.9343229274370515
1	0	4.5	0.15	-1459.0934823131010489	413.92404543663877803	1093.409161540984087
1	0	5	0	-498.51284891253635578	341.52583356677530446	1030.9953173071537549
1	0	5	0.01	-355.72346639325769502	307.51891300224377801	938.00937442093527352
1	0	5	0.02	-324.79805817256419687	275.75603201384359409	847.31514710046803884
1	0	5	0.03	-352.63292083966734936	247.104061090254703	758.74431817308436621
1	0	5	0.04	-407.65652008678262064	222.76661621506528377	679.14610562898872104
1	0	5	0.05	-478.43226698246508022	204.29154184611175538	604.01392988891336699
1	0	5	0.06	-559.41102229544230795	193.36655170207410492	585.4883496837110215
1	0	5	0.07	-647.46177296351197583	191.28965743546550016	568.96972736386737779
1	0	5	0.08	-740.64383304078728543	198.33901089735795154	594.894283295085188
1	0	5	0.09	-837.67454491034186503	213.61300036056900353	650.30096738541305967
1	0	5	0.1	-937.66594556052768894	235.51684670036726743	707.83884221858841101
1	0	5	0.11	-1039.9816591897852049	262.39545863764828937	768.98111499640356215
1	0	5	0.12	-1144.1534260166135937	292.88238053009786199	831.20321122021687188
1	0	5	0.13	-1249.8296450893849396	325.96674893864548039	897.37193314242813358
1	0	5	0.14	-1356.7422077866049221	360.93500035272313653	978.11960957144401618
1	0	5	0.15	-1464.6843229504465853	397.29000493713476772	1058.8672860004603535
1	0	5.5	0	-517.75604096967435908	367.0978714363857307	1062.2201991453284791
1	0	5.5	0.01	-368.31692650564400537	332.01040971411066494	967.61213553547634092
1	0	5.5	0.02	-335.33876940467234817	298.88983390299165421	875.25097103648431585
1	0	5.5	0.03	-362.09124475701719348	268.46509860539379133	784.0653602278366634
1	0	5.5	0.04	-416.42684376405122748	241.75616069599809066	701.86500840814005642
1	0	5.5	0.05	-486.72108872696117032	220.11980602924899131	625.69582162051312935
1	0	5.5	0.06	-567.34268747221358353	205.16718179294394986	607.18891478875468692
1	0	5.5	0.07	-655.11820980640186463	198.41514979956303932	589.47561069141261214
1	0	5.5	0.08	-748.08255365884360799	200.69311538198539324	592.17929961279708095
1	0	5.5	0.09	-844.93787979393709975	211.70979467207070002	606.04011765146879043
1	0	5.5	0.1	-944.78622432600786851	230.21403837531997283	668.97125257901620898
1	0	5.5	0.11	-1046.9843210283579538	254.57832876479477591	731.90238750656453703
1	0	5.5	0.12	-1151.0589894829208788	283.29472849825157255	794.83352243411229665
1	0	5.5	0.13	-1256.6550105407950468	315.1758820400761465	864.93754630179080323
1	0	5.5	0.14	-1363.5015498653610848	349.35644512617972168	946.37558806109814213
1	0	5.5	0.15	-1471.3897208223806956	385.22483122104466702	1027.81362982040514
1	0	6	0	-536.58625845036476676	392.84221879503837727	1089.8058518992779682
1	0	6	0.01	-381.01033957675826969	357.06926095939553534	994.74439911363424471
1	0	6	0.02	-346.19903807298214815	323.09119479899095495	899.93948583340579717
1	0	6	0.03	-371.99292087969661225	291.53627213686513642	808.46795915108623376
1	0	6	0.04	-425.72162137748637178	263.27721239513175533	725.3377678734248093
1	0	6	0.05	-495.59211248809333483	239.48360683335388899	650.81469729209857178
1	0	6	0.06	-575.8998594116892491	221.59855617206548573	630.98796702489835297
1	0	6	0.07	-663.43376470689690905	211.12900566583843442	619.08733491400005278
1	0	6	0.08	-756.20710503578629869	209.19132092325824601	624.35875084361532572
1	0	6	0.09	-852.90862573879894626	216.01521994077114641	630.93875503860817844
1	0	6	0.1	-952.63154018440218351	230.82494779111749494	637.51875923360125853
1	0	6	0.11	-1054.7265115702793992	252.2176690475010048	697.38827039732041158
1	0	6	0.12	-1158.7160291083237098	278.68147304226658889	760.96608409044893051
1	0	6	0.13	-1264.2416924311619368	308.91582839752749123	836.87139951847245811
1	0	6	0.14	-1371.0302725613037182	341.9219639513146376	921.06757095011312231
1	0	6	0.15	-1478.8710431481940759	376.97252500731082137	1005.2637423817532181
1	0	6.5	0	-554.95224232863802172	418.17781120486228019	1115.6135156123477827
1	0	6.5	0.01	-393.68357235328039678	381.95608499986860807	1021.5072007790237194
1	0	6.5	0.02	-357.22252306869268068	347.41945051221517815	927.40088594570090663
1	0	6.5	0.03	-382.16010269517937559	315.12244122156113235	834.99387042163164097
1	0	6.5	0.04	-435.34858406462990388	285.82527174850730489	749.67078804518519064
1	0	6.5	0.05	-504.84266507659958734	260.54188457947429924	680.42618645062100313
1	0	6.5	0.06	-584.8720001727451745	240.54129772615991101	662.50631589088072815
1	0	6.5	0.07	-672.19176466333192366	227.22282641669261238	649.80872180469918931
1	0	6.5	0.08	-764.79592343741751392	221.79351753205185105	653.51555644131724421
