# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_psi/phi.table.DPGP3_SFS.txt
# sampleSize: 195
# noDataSets: 1
# minPsi: 0
# maxPsi: 1
# noStepsPsi: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 151138
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-1310601.532149951905	1247767.0712113461923	3402773.0530248568393
1	0	0	0.01	-1259892.5683531351388	1257806.8094894597307	3388544.5134690334089
1	0	0	0.02	-1259214.490382719785	1268010.3477308624424	3379692.3172730482183
1	0	0	0.03	-1316275.2662860229611	1278373.7637572225649	3378606.0519264200702
1	0	0	0.04	-1398287.7148594707251	1288893.2010561798234	3386944.7817915314808
1	0	0	0.05	-1494196.0812498964369	1299564.8708512641024	3409709.8518051323481
1	0	0	0.06	-1598849.4216541871428	1310385.0538403785322	3451487.910201407969
1	0	0	0.07	-1709420.1162760294974	1321350.1016239484306	3496094.8188919462264
1	0	0	0.08	-1824191.6183407977223	1332456.4378435651306	3540701.727582486812
1	0	0	0.09	-1942048.8336199820042	1343700.5590516363736	3585308.6362730232067
1	0	0	0.1	-2062231.6824792511761	1355079.0353320261929	3629915.5449635600671
1	0	0	0.11	-2184203.5110384784639	1366588.5106910732575	3674522.4536540973932
1	0	0	0.12	-2307575.4095751419663	1378225.7032377128489	3719129.3623446347192
1	0	0	0.13	-2432060.091709844768	1389987.4051706755999	3763736.2710351683199
1	0	0	0.14	-2557442.4532689116895	1401870.4825899237767	3808343.179725704249
1	0	0	0.15	-2683560.0504615344107	1413871.875148691237	3853267.5774629786611
1	0	0.5	0	-819760.66840061917901	964476.90429094608407	2552232.8374669686891
1	0	0.5	0.01	-686704.01511856168509	976195.49838635127526	2510405.2199223181233
1	0	0.5	0.02	-661914.60391416028142	988259.0428108451888	2472686.3502889014781
1	0	0.5	0.03	-705152.72286025062203	1000655.0618437605444	2444169.9055157438852
1	0	0.5	0.04	-777744.26923248171806	1013371.3546169416513	2448991.8901583068073
1	0	0.5	0.05	-866680.11022861301899	1026396.0173302080948	2492358.5803211624734
1	0	0.5	0.06	-965921.89278972893953	1039717.4610888051102	2537441.3932516779751
1	0	0.5	0.07	-1072164.6378877274692	1053324.4257412287407	2582524.2061821962707
1	0	0.5	0.08	-1183405.8843728043139	1067205.9900983185507	2627607.0191127103753
1	0	0.5	0.09	-1298345.9907950311899	1081351.5789089493919	2672758.7140593510121
1	0	0.5	0.1	-1416099.0075159780681	1095750.9669557786547	2723636.4253137609921
1	0	0.5	0.11	-1536038.72262872383	1110394.2806177765597	2774514.1365681695752
1	0	0.5	0.12	-1657710.3407380357385	1125271.997226145817	2825391.8478225790896
1	0	0.5	0.13	-1780776.7812037728727	1140374.9425177986268	2876269.5590769900009
1	0	0.5	0.14	-1904984.4665961079299	1155694.2864668515977	2927147.2703314004466
1	0	0.5	0.15	-2030140.6778409592807	1171221.5377503444906	2978024.98158580577
1	0	1	0	-681620.67180290818214	820721.661190370447	2172301.3018106208183
1	0	1	0.01	-502323.98323626071215	833027.35717259685043	2114038.5908863744698
1	0	1	0.02	-467582.0443110242486	845834.55259085516445	2062300.8512155837379
1	0	1	0.03	-505354.06763608381152	859120.81968889327254	2015461.7233252711594
1	0	1	0.04	-574290.51899626478553	872864.28223234799225	2015478.0476885952521
1	0	1	0.05	-660547.55762130022049	887043.68972379271872	2065102.6037789506372
1	0	1	0.06	-757719.55742713063955	901638.47503771795891	2114727.1598693090491
1	0	1	0.07	-862308.11208172142506	916628.79715052293614	2164351.7159596672282
1	0	1	0.08	-972196.71198464557528	931995.57068186777178	2213976.2720500235446
1	0	1	0.09	-1086013.0101219750941	947720.48394205223303	2263600.8281403821893
1	0	1	0.1	-1202821.9720268920064	963786.0071114487946	2313225.384230740834
1	0	1	0.11	-1321962.7604439929128	980175.39207635284401	2362849.9403210962191
1	0	1	0.12	-1442955.2933128066361	996872.66532289201859	2412474.4964114557952
1	0	1	0.13	-1565443.499233212322	1013862.6151563308667	2462099.0525018125772
1	0	1	0.14	-1689159.2066874913871	1031130.7743749261135	2511723.6085921688937
1	0	1	0.15	-1813898.2647084034979	1048663.3993909414858	2565769.470085373614
1	0	1.5	0	-618935.35901607200503	719073.46610039449297	1946624.0744668683037
1	0	1.5	0.01	-406670.76974382251501	731603.85486447426956	1885388.2260867534205
1	0	1.5	0.02	-365939.56204018741846	744795.2271808614023	1824414.298851365922
1	0	1.5	0.03	-400484.09304868429899	758613.10269868827891	1763872.2170664705336
1	0	1.5	0.04	-467282.19235057756305	773023.88573496043682	1746907.1609714683145
1	0	1.5	0.05	-551980.41729339212179	787995.0478418833809	1775352.1066282803658
1	0	1.5	0.06	-647951.79405476897955	803495.26576439500786	1819306.9875944703817
1	0	1.5	0.07	-751582.37339901924133	819494.51978897780646	1872060.1036888933741
1	0	1.5	0.08	-860687.9794802442193	835964.15772355173249	1924850.3655171995051
1	0	1.5	0.09	-973853.36327735707164	852876.92969656176865	1977640.6273455042392
1	0	1.5	0.1	-1090114.6581027396023	870206.99870475044008	2030430.8891738126986
1	0	1.5	0.11	-1208790.7667339928448	887929.93144545564428	2083221.1510021188296
1	0	1.5	0.12	-1329386.860881999135	906022.67349920270499	2136011.4128304226324
1	0	1.5	0.13	-1451535.8266339749098	924463.51242678123526	2188801.6746587287635
1	0	1.5	0.14	-1574961.0279211439192	943232.03184486320242	2241591.9364870339632
