# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_psi/phi.table.Emys_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minPsi: 0
# maxPsi: 1
# noStepsPsi: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 14
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-63.797305106432077082	37.903196250034213222	113.12397604730614376
1	0	0	0.01	-67.155980346831711358	38.940630370499796697	113.98498317186454187
1	0	0	0.02	-68.599173970716265103	40.081611453151872126	114.84599029642296841
1	0	0	0.03	-74.137109133863532406	41.317562065751602063	117.23865943519180632
1	0	0	0.04	-81.352383380117771594	42.640224774024083843	120.85012056141117398
1	0	0	0.05	-89.473819975826017981	44.041787859345802758	124.46158168763054164
1	0	0	0.06	-98.151926065829684376	45.514963059000727696	128.07304281384989508
1	0	0	0.07	-107.19762480524173043	47.053024578905038311	131.68450394006927695
1	0	0	0.08	-116.49701018349492188	48.649818675203114537	135.29596506628865882
1	0	0	0.09	-125.97637316293980803	50.299752162247308718	138.96298420703479337
1	0	0	0.1	-135.58556338523681006	51.997766811499921857	142.76586887183128738
1	0	0	0.11	-145.2892003811084578	53.739305117660386202	147.59960434642638916
1	0	0	0.12	-155.06165342534063711	55.520271532307383211	153.48126218809468924
1	0	0	0.13	-164.88399456060710691	57.336992098117079308	159.371455808400043
1	0	0	0.14	-174.74205741506489176	59.186174483946842884	165.26164942870542518
1	0	0	0.15	-184.62515066109767758	61.064869708983394503	171.15184304901080736
1	0	0.5	0	-62.327058047738091773	32.288181349648773732	101.85035467333402437
1	0	0.5	0.01	-63.148597129121981197	31.034225479623206212	97.917987127081005383
1	0	0.5	0.02	-62.866276781585611388	30.011361693179779309	94.426860038137533593
1	0	0.5	0.03	-67.137640768379924339	29.243848815504779992	91.691797709851300624
1	0	0.5	0.04	-73.379809893919855313	28.752143219520494455	90.228527732405567008
1	0	0.5	0.05	-80.731612630964491473	28.550498580480397237	91.101886356188956029
1	0	0.5	0.06	-88.78955810872685106	28.645041141158870346	91.975244979972401893
1	0	0.5	0.07	-97.329799109693567516	29.032877536851795952	94.427346518717399704
1	0	0.5	0.08	-106.21481432604696238	29.702521062486589187	98.909126094570424925
1	0	0.5	0.09	-115.35417378183706205	30.635497713788854668	103.39090567042349278
1	0	0.5	0.1	-124.68548646347699105	31.808644519723586086	107.872685246276518
1	0	0.5	0.11	-134.16416419743427468	33.196508784798403724	112.35446482212955743
1	0	0.5	0.12	-143.75749273121687111	34.773390805653839664	116.83624439798262529
1	0	0.5	0.13	-153.44099172549385912	36.514810749239018151	121.31802397383570735
1	0	0.5	0.14	-163.19607374460474603	38.398389071538240103	125.79980354968871836
1	0	0.5	0.15	-173.00848049722844735	40.404249106154559001	130.37543586310928845
1	0	1	0	-71.191201865071207067	46.267636015213732037	135.23485819800200147
1	0	1	0.01	-70.303027722021397494	44.314820835212628936	130.03527805196520717
1	0	1	0.02	-69.040955731858275612	42.512336681830973362	125.5066047973317751
1	0	1	0.03	-72.653405029766418011	40.880073580087504581	121.42235281245939404
1	0	1	0.04	-78.413218434972350224	39.439171935387392409	118.29521092784545999
1	0	1	0.05	-85.393494647075385728	38.211285914718850165	119.04891612850502725
1	0	1	0.06	-93.155783634121462455	37.217505032382256047	119.91422444201369046
1	0	1	0.07	-101.45559843119895049	36.476968235943978414	120.77953275552232526
1	0	1	0.08	-110.14228074452171313	36.005304662068837729	121.64484106903093164
1	0	1	0.09	-119.1165523045210648	35.813139169896700764	122.51014938253956643
1	0	1	0.1	-128.30979446956507672	35.90495971127171515	123.37545769604822965
1	0	1	0.11	-137.67287969631911437	36.278610058895068846	124.2407660095568076
1	0	1	0.12	-147.16968959123437344	36.925535676741951363	125.10607432306542819
1	0	1	0.13	-156.77313062073562833	37.831720070530586497	125.97138263657410562
1	0	1	0.14	-166.46256996558167884	38.979085715897596742	126.83669095008269778
1	0	1	0.15	-176.22212213980947126	40.347062151676666986	128.42830063567262755
1	0	1.5	0	-80.264774711206428037	57.965437606584004016	158.66292640090506438
1	0	1.5	0.01	-78.046526850045893298	55.760799569791764441	152.06578371848283382
1	0	1.5	0.02	-76.106316182073214804	53.67837898016249909	147.10062879438135042
1	0	1.5	0.03	-79.284385264419370287	51.73293690434724823	142.13547387027989544
1	0	1.5	0.04	-84.733844919990133349	49.940483989406381227	138.22996474556316571
1	0	1.5	0.05	-91.478160712535554921	48.318049536160842194	138.14632820884031617
1	0	1.5	0.06	-99.053940109081850096	46.883287751579352687	138.6280733127338749
1	0	1.5	0.07	-107.20250909113019588	45.653895993131214937	139.47502742199432646
1	0	1.5	0.08	-115.76441170825319205	44.646842641352122882	140.32198153125483486
1	0	1.5	0.09	-124.63455598606174135	43.877439372272256435	141.16893564051528642
1	0	1.5	0.1	-133.74029012753953793	43.358339491140064581	142.0158897497757664
1	0	1.5	0.11	-143.02957964988354433	43.098588266046974127	142.86284385903621796
1	0	1.5	0.12	-152.46414558854689858	43.102874697162441464	143.7097979682966411
1	0	1.5	0.13	-162.01524774796916972	43.371120498876770455	144.61352811229721738
1	0	1.5	0.14	-171.66097197327894719	43.898487092753534	146.39107286754094162
1	0	1.5	0.15	-181.38441827682663643	44.675799201278636019	148.16861762278469428
1	0	2	0	-88.689696450926476246	67.40359704239408245	176.07364603718707485
