# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_psi/phi.table.GreatTit_SFS.txt
# sampleSize: 53
# noDataSets: 1
# minPsi: 0
# maxPsi: 1
# noStepsPsi: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 143760
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-509654.83387273550034	1157196.9135512867942	3056321.9766585687175
1	0	0	0.01	-494004.66151375323534	1182916.9219287005253	3008716.7825439842418
1	0	0	0.02	-648134.56249418109655	1210421.7206006308552	2966663.238249455113
1	0	0	0.03	-858455.57716868817806	1239592.5093683742452	2946431.1779868360609
1	0	0	0.04	-1094740.2297281846404	1270314.5228353668936	2974397.5477431216277
1	0	0	0.05	-1346132.3548841997981	1302477.99775450374	3093048.9051435030997
1	0	0	0.06	-1607268.0497994571924	1335978.8293257448822	3217819.2176150940359
1	0	0	0.07	-1875055.4802910462022	1370718.9647197811864	3351833.8690399178304
1	0	0	0.08	-2147542.6595641002059	1406606.5825746080372	3487776.6138037671335
1	0	0	0.09	-2423421.9928743466735	1443556.1042459835298	3623719.3585676182993
1	0	0	0.1	-2701781.2334215715528	1481488.0776210578624	3759662.1033314689994
1	0	0	0.11	-2981965.6042527034879	1520328.968422526028	3903828.699378718622
1	0	0	0.12	-3263495.8114680796862	1560010.8879042938352	4048843.7554026162252
1	0	0	0.13	-3546016.5317174121737	1600471.2801543974783	4193858.8114265194163
1	0	0	0.14	-3829262.599168330431	1641652.5871456603054	4339087.2527751456946
1	0	0	0.15	-4113036.0070930942893	1683501.9053238090128	4491665.8509698258713
1	0	0.5	0	-490628.41652972996235	431278.58719449961791	2012349.9362381256651
1	0	0.5	0.01	-324784.93907221406698	414380.59239398036152	1860115.081209209282
1	0	0.5	0.02	-398924.77782315015793	407958.30258994078031	1707880.2261802942958
1	0	0.5	0.03	-555168.65864815562963	412501.30141651903978	1555645.3711513786111
1	0	0.5	0.04	-751140.08248837292194	427660.2815407984308	1415935.2759721814655
1	0	0.5	0.05	-970839.0912784487009	452369.26825743279187	1364449.7649966091849
1	0	0.5	0.06	-1206225.180059030652	485171.35018357337685	1343206.9830293345731
1	0	0.5	0.07	-1452629.9422152638435	524550.44460291473661	1340359.6741443553474
1	0	0.5	0.08	-1707092.0699905082583	569142.99130030162632	1351733.3643007099163
1	0	0.5	0.09	-1967617.868221193552	617821.1439230395481	1377007.984308087267
1	0	0.5	0.1	-2232807.1321538165212	669694.58182776649483	1413518.0012938438449
1	0	0.5	0.11	-2501645.5922131463885	724076.89211819064803	1474558.4403181662783
1	0	0.5	0.12	-2773381.5315739959478	780443.78669356217142	1574470.5469936728477
1	0	0.5	0.13	-3047448.3851177990437	838395.07894346048124	1725779.2272772486322
1	0	0.5	0.14	-3323414.0428934767842	897623.95150954637211	1898723.3769700517878
1	0	0.5	0.15	-3600946.4500477612019	957893.4460416729562	2076667.7820775047876
1	0	1	0	-757084.46916105598211	553790.24357727973256	2361461.4752388154157
1	0	1	0.01	-497934.067493095994	493756.1380198210245	2127087.4085154924542
1	0	1	0.02	-533037.17097473144531	437925.22186011617305	1894223.8558994880877
1	0	1	0.03	-664794.47871946543455	388115.65571145399008	1662786.1161716203205
1	0	1	0.04	-843197.52115369588137	346930.70004476234317	1466501.7799788648263
1	0	1	0.05	-1049400.9121983796358	317741.9475248476956	1345397.0534381386824
1	0	1	0.06	-1273984.019270658493	304024.44960616942262	1283265.590624534525
1	0	1	0.07	-1511502.3879183083773	307853.33010689093499	1299232.6534791770391
1	0	1	0.08	-1758514.429854169488	328615.83333063492319	1332445.2151518675964
1	0	1	0.09	-2012708.4479294195771	363421.16769856680185	1380656.5882825923618
1	0	1	0.1	-2272462.8378279060125	408697.21127664798405	1453413.723758478649
1	0	1	0.11	-2536603.0854560360312	461371.60948344564531	1549882.2092750295997
1	0	1	0.12	-2804257.8554307371378	519197.45735846814932	1661115.0280791902915
1	0	1	0.13	-3074769.021241851151	580637.6870095229242	1782541.5644168725703
1	0	1	0.14	-3347632.9191779568791	644659.70370588230435	1920660.0667475229129
1	0	1	0.15	-3622460.5974009186029	710565.99253458529711	2069142.5432872697711
1	0	1.5	0	-1027080.0529338717461	814242.32126865012106	2971940.1230418276973
1	0	1.5	0.01	-698467.91308476030827	749475.80436222197022	2746065.298522955738
1	0	1.5	0.02	-708377.96405003219843	687520.03529853117652	2520539.9711053930223
1	0	1.5	0.03	-824861.19672979414463	629205.85707893536892	2299349.4462603069842
1	0	1.5	0.04	-992493.18997985869646	575641.04810292669572	2133722.7853064169176
1	0	1.5	0.05	-1190510.9329021349549	528272.29339866561349	2034312.4832634481136
1	0	1.5	0.06	-1408588.8605284616351	488903.88597084052162	1966232.4676361582242
1	0	1.5	0.07	-1640782.8692761659622	459596.34190792130539	1926829.699294251157
1	0	1.5	0.08	-1883346.2964434474707	442353.90730268176412	1899486.7808805711102
1	0	1.5	0.09	-2133767.5889141336083	438601.81845246459125	1886898.9416341744363
1	0	1.5	0.1	-2390287.2075263634324	448678.64338156359736	1880989.5588393562939
1	0	1.5	0.11	-2651631.5340971648693	471698.93887593608815	1892717.801922473358
1	0	1.5	0.12	-2916855.718245588243	505898.85044314933475	1914265.8657075206283
1	0	1.5	0.13	-3185245.6676636114717	549193.771683336352	2024182.1199554526247
1	0	1.5	0.14	-3456254.189953930676	599616.83170578978024	2159314.659894536715
1	0	1.5	0.15	-3729457.8649625331163	655525.19776669330895	2304069.3916300092824
1	0	2	0	-1277628.4652670398355	1045678.8971828160575	3490946.4632317917421
1	0	2	0.01	-893745.50903127342463	979712.23104516544845	3269216.0998122873716
1	0	2	0.02	-885583.32741943746805	916287.83724939648528	3056350.0201050657779
1	0	2	0.03	-991343.07486061751842	855971.02235327777453	2848272.7122606672347
1	0	2	0.04	-1151495.9409737512469	799465.46323872648645	2708365.7785023059696
1	0	2	0.05	-1343869.1762223616242	747635.81247835210524	2624540.2787407068536
1	0	2	0.06	-1557482.7135482504964	701519.23328906460665	2569699.0402898336761
1	0	2	0.07	-1786035.0243703573942	662310.20423548179679	2536859.6576986932196
1	0	2	0.08	-2025563.0000235140324	631297.09644514531828	2507336.5628910888918
1	0	2	0.09	-2273414.2166885361075	609731.81540030648466	2500271.0251161223277
