# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_psi/phi.table.JapaneseQuail_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minPsi: 0
# maxPsi: 1
# noStepsPsi: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 87069
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-732840.25695284828544	1187903.1533492365852	2448783.115506212227
1	0	0	0.01	-738536.55069836787879	1199819.0904020790476	2461465.654535271693
1	0	0	0.02	-786808.22371756844223	1212034.079127546167	2474148.1935643306933
1	0	0	0.03	-861381.72012792341411	1224539.1702828137204	2486830.7325933901593
1	0	0	0.04	-946983.09278851561248	1237325.5680961087346	2501536.5665827663615
1	0	0	0.05	-1038651.183935103938	1250384.6426955466159	2541252.9388053463772
1	0	0	0.06	-1134095.3253172673285	1263707.940637573367	2580969.3110279282555
1	0	0	0.07	-1232054.7700944542885	1277287.193660500925	2620685.6832505082712
1	0	0	0.08	-1331758.7784352973104	1291114.3257918152958	2660402.0554730892181
1	0	0	0.09	-1432702.7711800578982	1305181.4589388198219	2700118.4276956706308
1	0	0	0.1	-1534540.5880983117968	1319480.9170910925604	2739834.7999182515778
1	0	0	0.11	-1637026.8715350646526	1334005.2292605570983	2779551.1721408315934
1	0	0	0.12	-1739983.7425705268979	1348747.131280933274	2819267.5443634130061
1	0	0	0.13	-1843280.3239684998989	1363699.5665833649691	2858983.916585993953
1	0	0	0.14	-1946819.5376080013812	1378855.6860592199955	2898700.2888085749
1	0	0	0.15	-2050529.2539298720658	1394208.8471147725359	2938416.6610311539844
1	0	0.5	0	-371130.71272684633732	799763.22894249716774	1734883.6607388427947
1	0	0.5	0.01	-345783.88170783221722	812220.76751361822244	1710554.5468679023907
1	0	0.5	0.02	-372790.68660302087665	825483.2437292720424	1689318.7879607696086
1	0	0.5	0.03	-431665.46477475389838	839512.50965110608377	1673959.9397208979353
1	0	0.5	0.04	-505139.42696569114923	854270.78829204000067	1662423.6925590722822
1	0	0.5	0.05	-587157.65244788303971	869720.96863477758598	1670325.6032975611743
1	0	0.5	0.06	-674768.71040297485888	885826.84793498762883	1705792.2753638271242
1	0	0.5	0.07	-766284.01061251387	902553.32443427608814	1741258.9474300935399
1	0	0.5	0.08	-860640.95267808251083	919866.54469971824437	1776725.6194963594899
1	0	0.5	0.09	-957127.6024617832154	937734.01044952031225	1817309.893615775276
1	0	0.5	0.1	-1055245.6168838646263	956124.64999872888438	1868135.4139219128992
1	0	0.5	0.11	-1154634.9487822446972	975008.85944803082384	1918960.9342280505225
1	0	0.5	0.12	-1255029.3701006341726	994358.51852066686843	1969786.4545341876801
1	0	0.5	0.13	-1356228.6861438881606	1014146.9855955733219	2020611.9748403253034
1	0	0.5	0.14	-1458080.5871286727488	1034349.0760454465635	2071437.4951464622281
1	0	0.5	0.15	-1560468.3573316317052	1054941.0275105698965	2122263.0154526000842
1	0	1	0	-283814.55498031340539	616009.35263147787191	1429028.3554431740195
1	0	1	0.01	-237680.10058509930968	627381.21658492600545	1396500.658797591459
1	0	1	0.02	-252715.60697480663657	640090.85404547071084	1365281.4198627991136
1	0	1	0.03	-303540.74539148621261	654060.28319772495888	1335280.9385121033993
1	0	1	0.04	-371135.60305341891944	669210.6161707729334	1310360.2594060590491
1	0	1	0.05	-448638.1350094601512	685463.55530370259658	1306295.3224997879006
1	0	1	0.06	-532663.90842197276652	702742.60196637315676	1345796.3159864428453
1	0	1	0.07	-621267.17685634084046	720973.98406759055797	1385297.3094730975572
1	0	1	0.08	-713221.06768103130162	740087.32518606819212	1424798.3029597525019
1	0	1	0.09	-807702.80127599835396	760016.08812892483547	1464299.296446406981
1	0	1	0.1	-904135.98592422343791	780697.82992107025348	1503800.2899330621585
1	0	1	0.11	-1002103.7195225469768	802074.30527794070076	1543301.2834197171032
1	0	1	0.12	-1101297.1964032575488	824091.45296239061281	1582802.2769063718151
1	0	1	0.13	-1201483.5990931782871	846699.29527500283439	1633236.5839853545185
1	0	1	0.14	-1302485.1401251554489	869851.77617089322302	1688968.1182794212364
1	0	1	0.15	-1404164.883170787245	893506.55873982189223	1744699.6525734893512
1	0	1.5	0	-251342.99217535741627	494228.59494143020129	1227285.0311617914122
1	0	1.5	0.01	-189042.23053365759552	503658.8448329794337	1189318.8342827495653
1	0	1.5	0.02	-195795.43591511249542	515060.94478958379477	1152249.3660435602069
1	0	1.5	0.03	-241332.38898411951959	528307.23889127513394	1116882.7135191552807
1	0	1.5	0.04	-305172.45356402732432	543262.84377881360706	1082178.9419082680251
1	0	1.5	0.05	-379839.78563413955271	559790.77622331399471	1062948.9026930641849
1	0	1.5	0.06	-461638.71393096074462	577756.11273883876856	1097683.4086683304049
1	0	1.5	0.07	-548445.5411087796092	597029.10768054192886	1139933.1558298338205
1	0	1.5	0.08	-638922.78997922316194	617487.32940594875254	1182182.9029913363047
1	0	1.5	0.09	-732174.57867985963821	639016.95242324646097	1224432.6501528394874
1	0	1.5	0.1	-827573.87145673669875	661513.37548082403373	1266682.397314342903
1	0	1.5	0.11	-924667.35307550616562	684881.33522830775473	1308932.1444758460857
1	0	1.5	0.12	-1023119.2396120615304	709034.6660753072938	1351181.8916373483371
1	0	1.5	0.13	-1122676.2267903033644	733895.82979961903766	1393431.6387988515198
1	0	1.5	0.14	-1223144.6471830680966	759395.31026097154245	1435931.3458569487557
1	0	1.5	0.15	-1324375.041066929698	785470.94309323735069	1494851.5549451967236
1	0	2	0	-240088.6306367199868	405711.66552858531941	1078038.5909973338712
1	0	2	0.01	-164509.33053546212614	412357.78731657628668	1038575.893496199511
1	0	2	0.02	-165044.48025795631111	421742.20654771960108	999113.19599506515078
1	0	2	0.03	-206747.17352388612926	433687.2001977089094	959650.49849393113982
1	0	2	0.04	-267913.42046156339347	447987.99231161118951	921043.16231872467324
1	0	2	0.05	-340583.28163733892143	464427.0122461883002	899430.18046167399734
1	0	2	0.06	-420823.9405663292855	482785.88728433847427	912814.15361215837765
1	0	2	0.07	-506379.13335762172937	502854.38352111773565	951820.4667503599776
1	0	2	0.08	-595830.29227301105857	524436.27248727960978	996163.8337956686737
1	0	2	0.09	-688228.57772666029632	547352.56606941518839	1040507.2008409774862
1	0	2	0.1	-782910.60669455491006	571442.74785289482679	1084850.5678862861823
1	0	2	0.11	-879397.12547907419503	596564.62464097922202	1129193.9349315948784
1	0	2	0.12	-977333.25046055577695	622593.32110204198398	1173537.3019769038074
1	0	2	0.13	-1076451.2476638518274	649419.81059802975506	1217880.6690222127363
1	0	2	0.14	-1176546.3130517601967	676949.25372731080279	1262224.0360675216652
1	0	2	0.15	-1277460.2364394944161	705099.31829155585729	1309206.5449477517977
1	0	2.5	0	-239029.9380660969764	339395.67591899994295	961174.36729852075223
1	0	2.5	0.01	-152185.25147798471153	342315.73993932449957	921066.59702881565318
1	0	2.5	0.02	-147816.82501929812133	348876.32404110324569	880958.82675911090337
1	0	2.5	0.03	-186572.25439430214465	358877.82855895650573	840851.0564894056879
1	0	2.5	0.04	-245709.46097736246884	372042.85354577610269	800743.28621970117092
1	0	2.5	0.05	-316874.96176505275071	388049.55431788496207	780610.33319130423479
1	0	2.5	0.06	-395947.67444067262113	406562.43189289857401	788343.42534568032715
1	0	2.5	0.07	-480567.68536012433469	427255.83452488924377	814552.41216382780112
1	0	2.5	0.08	-569253.7014953494072	449828.93185408238787	848641.15659402729943
1	0	2.5	0.09	-661016.24682145565748	474013.25975012866547	891298.96964193379972
1	0	2.5	0.1	-755164.2217997405678	499574.87486205133609	937333.32095724460669
1	0	2.5	0.11	-851198.69279520399868	526313.14201381977182	983367.67227255599573
1	0	2.5	0.12	-948750.34484421648085	554057.73526593530551	1029402.0235878670355
1	0	2.5	0.13	-1047540.5788763221353	582664.91849785204977	1075436.3749031783082
1	0	2.5	0.14	-1147356.2298662830144	612013.74427110131364	1121470.7262184896972
1	0	2.5	0.15	-1248032.5344373174012	642002.5091803696705	1167505.0775338006206
1	0	3	0	-243444.87394842319191	290118.75065252440982	868638.35247141413856
1	0	3	0.01	-146828.34213870204985	288281.20961926673772	828485.62042239366565
1	0	3	0.02	-138460.27841261401772	291064.27732200571336	788332.88837337424047
1	0	3	0.03	-174859.09866962395608	298338.67101078742417	748180.15632435400039
1	0	3	0.04	-232389.70135410875082	309788.15839546255302	708027.42427533469163
1	0	3	0.05	-302370.87940562516451	324971.74479897308629	691413.3383795148693
1	0	3	0.06	-380527.49627202749252	343394.46432258246932	698711.97313202172518
1	0	3	0.07	-464415.76564572192729	364565.59452472446719	721501.33257729723118
1	0	3	0.08	-552504.0341527685523	388035.53789441165281	752329.21603892045096
1	0	3	0.09	-643770.390809815377	413412.96061071049189	786787.23420047364198
1	0	3	0.1	-737501.71468171291053	440368.21491439180681	825660.48848711280152
1	0	3	0.11	-833183.49367797933519	468629.11218460521195	867876.4247661777772
1	0	3	0.12	-930435.02389447763562	497973.40917065221583	912103.26310328883119
1	0	3	0.13	-1028969.1536263916641	528220.57804407831281	957707.08060624077916
1	0	3	0.14	-1128566.1506158653647	559224.13509385159705	1005158.4474077671766
1	0	3	0.15	-1229056.1137315239757	590865.02591351629235	1052609.8142092940398
