# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_psi/phi.table.Melitaea_SFS.txt
# sampleSize: 17
# noDataSets: 1
# minPsi: 0
# maxPsi: 1
# noStepsPsi: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 101
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-216.33414721763892885	248.55406651148831543	661.23650140620190996
1	0	0	0.01	-258.53675385910855766	252.08317301180403547	661.23650140620190996
1	0	0	0.02	-222.11410465425706207	255.79257780951346035	661.23650140620202365
1	0	0	0.03	-215.3584365918968615	259.67455443228908507	663.77199644878658091
1	0	0	0.04	-220.91949448634750297	263.72148222549998309	668.08396723637417836
1	0	0	0.05	-233.28605315008644538	267.92588670238012583	672.39593802396166211
1	0	0	0.06	-249.96676010371493248	272.28047295708438469	677.6673603336009819
1	0	0	0.07	-269.61361134129629136	276.77815259273182846	683.73931919775509414
1	0	0	0.08	-291.41186698452884229	281.41206470581977328	691.99673548308066984
1	0	0	0.09	-314.83075574041549771	286.17559151991719091	707.3448667978427693
1	0	0	0.1	-339.50536994467211116	291.06236928189730406	722.69299811260520983
1	0	0	0.11	-365.17453271087924804	296.06629502975107471	738.04112942736765035
1	0	0	0.12	-391.64544183859425175	301.18152981836499293	753.38926074213009088
1	0	0	0.13	-418.77228268522958388	306.40249895399477964	768.73739205689230403
1	0	0	0.14	-446.44264172234943544	311.72388974412911011	784.08552337165474455
1	0	0	0.15	-474.56852252290127581	317.14064722075931968	799.43365468641729876
1	0	0.5	0	-160.84934834619298272	131.27877071182646773	432.61387935973141339
1	0	0.5	0.01	-189.26166538022471286	132.31306667299750757	429.61660435033070371
1	0	0.5	0.02	-143.05553325314440372	134.0521165741233176	426.6193293409298235
1	0	0.5	0.03	-128.89896968984339765	136.46898063800469458	423.62205433152900014
1	0	0.5	0.04	-128.62830665452020185	139.52844071204393117	420.62477932212823362
1	0	0.5	0.05	-136.27041245849341067	143.18931256025044263	417.6275043127274671
1	0	0.5	0.06	-149.0480851925863135	147.40679451166531067	415.07301157098254407
1	0	0.5	0.07	-165.42494613411463433	152.1346024996157098	416.47475929283336882
1	0	0.5	0.08	-184.45600515447586076	157.32673599872430259	422.97054622941055868
1	0	0.5	0.09	-205.51694914188510666	162.9388131020137962	440.34505010566851979
1	0	0.5	0.1	-228.17360033591603496	168.92898550266099278	457.71955398192670827
1	0	0.5	0.11	-252.11217484514418175	175.25848864921755421	475.09405785818449885
1	0	0.5	0.12	-277.09906781805011633	181.8919017357347343	492.46856173444274418
1	0	0.5	0.13	-302.95625016416261133	188.79719373778007707	509.84306561070081898
1	0	0.5	0.14	-329.54548722351319157	195.94562302400140652	527.21756948695872325
