# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_psi/phi.table.Ostrea_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minPsi: 0
# maxPsi: 1
# noStepsPsi: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 28
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-80.193519440871114057	52.112255030173223247	169.71535225642867317
1	0	0	0.01	-80.260916772271684749	51.661288763461477913	164.99400549879081268
1	0	0	0.02	-76.285909134153371269	51.544210442235666392	161.18821305369792185
1	0	0	0.03	-80.861281211444747896	51.763285681697240648	157.38242060860508786
1	0	0	0.04	-89.087642030158349371	52.314291546921673159	153.57662816351222546
1	0	0	0.05	-99.375416244651205488	53.18691283189344432	150.17474130072000094
1	0	0	0.06	-110.98977074755157446	54.365665030038357486	147.8220696073898921
1	0	0	0.07	-123.52451312132370731	55.831161664155253277	145.46939791405978326
1	0	0	0.08	-136.72935926600985113	57.561505647607333458	143.11672622072967442
1	0	0	0.09	-150.43851202989026206	59.533608097526091285	143.75878943361584561
1	0	0	0.1	-164.53637975183664821	61.724300683279558655	147.70422677172805948
1	0	0	0.11	-178.93929193516942178	64.111179505682002855	153.424933731299177
1	0	0	0.12	-193.58494859262009413	66.673177676029922623	159.14564069087029452
1	0	0	0.13	-208.42594924604873086	69.390901033701283041	164.86634765044146889
1	0	0	0.14	-223.42562641278755109	72.24677786696221915	170.8488928169951464
1	0	0	0.15	-238.55525460396893322	75.225075068671316103	178.92227146989642961
1	0	0.5	0	-118.42862485044815912	72.588044712798023284	230.69625908875602249
1	0	0.5	0.01	-109.10590536755216817	67.963524401339114434	217.63267972872037603
1	0	0.5	0.02	-98.510546047468324105	63.446407253498783518	204.56910036868455904
1	0	0.5	0.03	-98.060436269809997611	59.061341571313732857	191.76019515423573125
1	0	0.5	0.04	-102.29460204112319843	54.840013434818942528	179.22077030129091213
1	0	0.5	0.05	-109.31277087902117273	50.823238871209390766	166.68134544834597932
1	0	0.5	0.06	-118.19078764852565655	47.063421844252495418	154.14192059540113178
1	0	0.5	0.07	-128.39886512309203681	43.627047488012124177	141.60249574245617055
1	0	0.5	0.08	-139.60174585629738431	40.596334808128105465	129.06307088951123774
1	0	0.5	0.09	-151.57280858258127409	38.06829465168044635	122.05586122443185104
1	0	0.5	0.1	-164.15149586684037786	36.148544175690517477	116.59618930086938349
1	0	0.5	0.11	-177.22000687528043272	34.937500838750530363	111.51678814688463603
1	0	0.5	0.12	-190.68956186336345127	34.509856768678446315	107.24276433744195458
1	0	0.5	0.13	-204.49183386421464093	34.894426403551442206	110.42209101544231942
1	0	0.5	0.14	-218.57335618075148886	36.065236785195160962	117.52548294776298121
1	0	0.5	0.15	-232.89173493925545699	37.94958689119921047	124.6288748800836288
1	0	1	0	-152.13448671018431924	102.24864091818734835	297.30537995697943643
1	0	1	0.01	-136.65173138509862838	97.218597624601784446	284.18643834895954114
1	0	1	0.02	-122.39389443904565269	92.281630736476003563	271.06749674093964586
1	0	1	0.03	-119.41240722399334118	87.453504855344021962	257.94855513291975058
1	0	1	0.04	-121.75064300966369046	82.753272711085728019	244.82961352489974161
1	0	1	0.05	-127.27688511592896248	78.203997788592985785	231.71067191687984632
1	0	1	0.06	-134.94134238880678822	73.833589162741347423	218.59173030886006472
1	0	1	0.07	-144.13882124577685317	69.675713128736262547	205.47278870084008418
1	0	1	0.08	-154.48543555169408137	65.770689552069626416	193.52206166109249352
1	0	1	0.09	-165.72146796936976898	62.166186155520030354	187.73074341157627032
1	0	1	0.1	-177.66287290044829206	58.917385302659944557	181.93942516206007554
1	0	1	0.11	-190.17461297476938853	56.086133522401929952	176.14810691254382391
1	0	1	0.12	-203.15490957906604308	53.73846805496577872	170.43710241849061049
1	0	1	0.13	-216.52540809835591062	51.94000401528420241	165.92681186553929251
1	0	1	0.14	-230.22475745409474257	50.749163324454748647	164.29528887165383821
1	0	1	0.15	-244.20426333421801246	50.209198678806878036	163.71540764089809272
1	0	1.5	0	-179.8030709544173078	124.31707746783322932	345.98402209172036237
1	0	1.5	0.01	-159.55851560372639142	119.11349485543014737	332.29434756980583643
1	0	1.5	0.02	-142.77244822218335685	114.0052610437760876	318.6046730478911968
1	0	1.5	0.03	-138.13005348897922886	109.00578157647457544	304.91499852597655718
1	0	1.5	0.04	-139.25946824536094937	104.13072203240622571	291.22532400406197439
1	0	1.5	0.05	-143.85176133265576937	99.398390868947245735	277.53564948214739161
1	0	1.5	0.06	-150.76606665899589643	94.830158315461034135	263.84597496023280883
1	0	1.5	0.07	-159.34451339590032148	90.45089124706498751	250.15630043831805551
1	0	1.5	0.08	-169.17014421971271076	86.289364994157764954	239.80897351413102569
1	0	1.5	0.09	-179.96119001526085412	82.378585064658508941	233.95682931398150117
1	0	1.5	0.1	-191.51820649230376148	78.755914227878690781	228.10468511383206192
1	0	1.5	0.11	-203.69500393523776438	75.462856803439422038	222.25254091368259424
1	0	1.5	0.12	-216.38148471295517083	72.544313839593442594	216.40039671353315498
