# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_psi/phi.table.Pan_paniscus_SFS.txt
# sampleSize: 25
# noDataSets: 1
# minPsi: 0
# maxPsi: 1
# noStepsPsi: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 63
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-800524.58143531344831	967815.15476077178027	2775549.8078198293224
1	0	0	0.01	-933865.0616343896836	984097.5871918243356	2806976.672842818778
1	0	0	0.02	-1071162.6414037104696	1000828.5107194578741	2838403.5378658105619
1	0	0	0.03	-1210558.4797607567161	1017985.8122985258233	2869830.4028888018802
1	0	0	0.04	-1351214.0585720576346	1035548.2990345042199	2927571.3919307538308
1	0	0	0.05	-1492598.449514888227	1053495.7069895558525	2990664.8027519849129
1	0	0	0.06	-1634359.853338887915	1071808.6998516088352	3053758.2135732155293
1	0	0	0.07	-1776258.6551299579442	1090468.8592205527239	3116851.6243944470771
1	0	0	0.08	-1918129.1458460502326	1109458.6680908640847	3179945.0352156795561
1	0	0	0.09	-2059856.2306362949312	1128761.4889311818406	3243038.4460369097069
1	0	0	0.1	-2201360.5630476828665	1148361.5375857581384	3306131.856858140789
1	0	0	0.11	-2342588.6863219849765	1168243.8540555296931	3369225.2676793714054
1	0	0	0.12	-2483506.2863255850971	1188394.2710610455833	3432318.6785006029531
1	0	0	0.13	-2624093.4514342565089	1208799.381147638429	3495412.0893218340352
1	0	0	0.14	-2764341.2682440411299	1229446.5029659150168	3558505.5001430651173
1	0	0	0.15	-2904249.3307257890701	1250323.6472479132935	3621598.910964296665
1	0	0.5	0	-346084.85584484413266	488726.8932169295731	1598652.8010298102163
1	0	0.5	0.01	-441480.64706533402205	505267.30225148366299	1603522.3805551128462
1	0	0.5	0.02	-555018.46128509007394	523493.14726855757181	1613065.4230217204895
1	0	0.5	0.03	-677811.4544120375067	543234.81266521825455	1637230.3026160201989
1	0	0.5	0.04	-806154.84125910513103	564333.24028212041594	1682277.2831061279867
1	0	0.5	0.05	-938078.63437479175627	586642.06158853590023	1760818.5247889277525
1	0	0.5	0.06	-1072410.8355695027858	610028.49827201117296	1839359.7664717263542
1	0	0.5	0.07	-1208402.2115528695285	634373.38131796685047	1917901.0081545265857
1	0	0.5	0.08	-1345549.916246695444	659570.58991983777378	1996442.2498373254202
1	0	0.5	0.09	-1483504.9479925222695	685526.14624917355832	2074983.4915201249532
1	0	0.5	0.1	-1622019.5100769773126	712157.13802286016289	2153524.7332029244862
1	0	0.5	0.11	-1760915.1557031609118	739390.58637786738109	2232065.9748857244849
1	0	0.5	0.12	-1900062.5428709685802	767162.33428990084212	2310607.2165685230866
1	0	0.5	0.13	-2039368.0473460722715	795415.99997968343087	2389148.458251322154
1	0	0.5	0.14	-2178764.6165733113885	824102.01846364734229	2467689.6999341221526
1	0	0.5	0.15	-2318205.3482483737171	853176.7803859077394	2548291.8499680487439
1	0	1	0	-249177.42249395512044	300652.30725082149729	1114688.5624421450775
1	0	1	0.01	-319328.70577992685139	310332.00592150870943	1113741.8176983688027
1	0	1	0.02	-419950.16713179647923	324035.3227058161865	1113741.8176983685698
1	0	1	0.03	-534515.3627405334264	341277.92082205991028	1114325.1199891464785
1	0	1	0.04	-657051.87746199220419	361553.78650757379364	1149696.6798329211306
1	0	1	0.05	-784633.19447382725775	384383.21276178362314	1234544.989159361925
1	0	1	0.06	-915599.60969715565443	409339.17523973551579	1319393.2984858010896
1	0	1	0.07	-1048921.5193382035941	436056.71527519705705	1404241.6078122425824
1	0	1	0.08	-1183920.9502362571657	464231.78467766701942	1489089.9171386833768
1	0	1	0.09	-1320132.6519330255687	493614.86332078743726	1573938.2264651237056
1	0	1	0.1	-1457227.9960016645491	524002.77584680559812	1662324.8150490880944
1	0	1	0.11	-1594970.2415533196181	555230.5623044235399	1752491.7962142645847
1	0	1	0.12	-1733186.7543583344668	587164.23422785662115	1842658.777379441075
1	0	1	0.13	-1871750.9786821547896	619694.67563765170053	1932825.7585446177982
1	0	1	0.14	-2010570.3097273241729	652732.66847055742983	2022992.7397097945213
1	0	1	0.15	-2149577.6881269942969	686204.90699316945393	2113159.7208749717101
1	0	1.5	0	-222337.77839420735836	247805.56613944773562	905719.280903424602
1	0	1.5	0.01	-273021.1894643008709	242842.40892150090076	847148.58604932157323
1	0	1.5	0.02	-364916.67102873884141	244242.49671043801936	801855.24294175696559
1	0	1.5	0.03	-474185.54307824000716	251899.74889893177897	800207.51719872525427
1	0	1.5	0.04	-593072.72325651720166	265272.86792807705933	818384.28435869782697
1	0	1.5	0.05	-717961.26576516218483	283554.28067598410416	903114.02909165131859
1	0	1.5	0.06	-846856.10397839546204	305865.15065958065679	997054.35034446232021
1	0	1.5	0.07	-978540.84303610958159	331392.63020439550746	1090994.6715972742531
1	0	1.5	0.08	-1112223.4252165518701	359452.06215434602927	1184934.9928500861861
1	0	1.5	0.09	-1247364.1389170885086	389496.62294772476889	1278875.3141028969549
1	0	1.5	0.1	-1383583.2603659555316	421101.62461785634514	1372815.635355708655
1	0	1.5	0.11	-1520607.590413549915	453941.25378881290089	1466755.9566085203551
1	0	1.5	0.12	-1658237.6553955581039	487766.20444057707209	1560696.2778613320552
1	0	1.5	0.13	-1796326.6321814227849	522385.1100144602824	1654636.5991141439881
1	0	1.5	0.14	-1934766.2865337431431	557650.12400493398309	1748576.9203669554554
1	0	1.5	0.15	-2073477.2934850119054	593446.07430503948126	1842517.2416197671555
1	0	2	0	-221868.31680373102427	282215.40100574120879	940943.37571963737719
1	0	2	0.01	-256678.15991914831102	264945.69665167975472	881848.01644077908713
1	0	2	0.02	-342135.09761375375092	253243.14152416502475	826052.57420669845305
1	0	2	0.03	-447616.82747366838157	247897.42279657622566	770257.13197261781897
1	0	2	0.04	-563933.53687092475593	249317.77448612128501	736642.4466850804165
1	0	2	0.05	-686941.29425454325974	257392.21057680080412	763797.64745984389447
1	0	2	0.06	-814396.27943238988519	271527.75991025980329	805445.83077385951765
1	0	2	0.07	-944946.05708272941411	290842.01155185094103	877787.67695062817074
1	0	2	0.08	-1077716.5463322531432	314381.93954256013967	974367.75072959600948
1	0	2	0.09	-1212115.0169406179339	341274.24321640341077	1070947.824508564081
1	0	2	0.1	-1347725.6394659299403	370790.22533056011889	1167527.8982875321526
1	0	2	0.11	-1484249.6102529857308	402352.89269970211899	1264107.972066500457
1	0	2	0.12	-1621468.7020499929786	435517.49249865970341	1360688.0458454680629
1	0	2	0.13	-1759221.9905048813671	469944.99595824425342	1460609.627121980302
1	0	2	0.14	-1897390.4061994906515	505377.37298521777848	1560810.4091883329675
1	0	2	0.15	-2035886.1469472069293	541617.44429999426939	1661011.1912546844687
1	0	2.5	0	-233592.45234221965075	346903.10470265499316	998378.0860832799226
1	0	2.5	0.01	-255019.28447730652988	323734.02501257194672	938083.35606041445863
1	0	2.5	0.02	-335466.36898403055966	304752.63527642801637	877788.62603754817974
1	0	2.5	0.03	-438067.09009262174368	290780.18041744671063	818702.6876446447568
1	0	2.5	0.04	-552449.06474285200238	282560.7063939817599	783778.5474431978073
1	0	2.5	0.05	-674049.67364839278162	280600.22653361730045	797537.34021117270458
1	0	2.5	0.06	-800431.24050347507	285027.92200441792374	831941.96066264680121
1	0	2.5	0.07	-930136.60374453105032	295556.83103623898933	875207.6236559310928
1	0	2.5	0.08	-1062229.0835446044803	311569.02811543899588	921568.2403333891416
1	0	2.5	0.09	-1196075.7496251743287	332272.73894799500704	969401.59257722180337
1	0	2.5	0.1	-1331233.5366973709315	356852.32474203343736	1020186.3817226111423
1	0	2.5	0.11	-1467384.407178895548	384565.31975487997988	1122256.4786682506092
1	0	2.5	0.12	-1604296.095003362745	414784.14085056376643	1224326.5756138893776
1	0	2.5	0.13	-1741797.1504999678582	447000.86879411747213	1326396.6725595290773
1	0	2.5	0.14	-1879760.4367655199021	480814.06464748829603	1428466.7695051680785
1	0	2.5	0.15	-2018091.8531009852886	515909.92206156556495	1530536.866450808011
1	0	3	0	-251517.36635324917734	415464.21692382101901	1056953.6929371410515
1	0	3	0.01	-261397.79569094069302	389451.06192506838124	993311.42831995012239
