# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_psi/phi.table.Physa_SFS.txt
# sampleSize: 17
# noDataSets: 1
# minPsi: 0
# maxPsi: 1
# noStepsPsi: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 176
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-356.23489719515055185	539.20357277624987091	1413.21674388178144
1	0	0	0.01	-379.8801406882575975	546.20215577951796604	1406.570918148288456
1	0	0	0.02	-333.78950755561891128	553.7886912876082306	1399.9250924147959267
1	0	0	0.03	-340.31461090152879478	561.93936661727070714	1393.279266681302488
1	0	0	0.04	-369.00092231667804299	570.63000836507524127	1386.633440947809504
1	0	0	0.05	-410.08613785729539813	579.8363378364286973	1379.9876152143162926
1	0	0	0.06	-459.11149806829780573	589.53419615890391015	1373.3417894808237634
1	0	0	0.07	-513.63915578649721283	599.69973798745104432	1369.36238721910604
1	0	0	0.08	-572.18093739086725691	610.30959404226882725	1369.3623872191067221
1	0	0	0.09	-633.7585083399371797	621.34100376056710502	1369.3623872191062674
1	0	0	0.1	-697.69383357998776773	632.77192009812495144	1395.3146586500656667
1	0	0	0.11	-763.49826393017428927	644.58108901167372551	1429.6738220240529245
1	0	0	0.12	-830.80901089932376635	656.74810642636168723	1464.0329853980397274
1	0	0	0.13	-899.35046277683431981	669.25345558620529118	1498.3921487720272125
1	0	0	0.14	-968.90944468965790293	682.07852764170115734	1532.7513121460144703
1	0	0	0.15	-1039.3187502201617463	695.20562818636165048	1567.1104755200015006
1	0	0.5	0	-319.81308750559583132	274.81499335144991392	872.56950331110374464
1	0	0.5	0.01	-302.51218061775034585	269.53243065120472011	841.54540118741965671
1	0	0.5	0.02	-226.99135407422545541	266.44097845887540643	810.52129906373477297
1	0	0.5	0.03	-210.99338919344882015	265.61715317141516834	781.48000568019131151
1	0	0.5	0.04	-221.73824539921770338	267.08193938010606416	752.61239646427918615
1	0	0.5	0.05	-248.13344967067132529	270.79820135033753559	736.8955051939584564
1	0	0.5	0.06	-284.89146706661267672	276.67522945414646074	724.44714966464812278
1	0	0.5	0.07	-329.02486377713466936	284.57918504314210395	712.73620287466803802
1	0	0.5	0.08	-378.66328643637461937	294.34682901896655949	705.15725261490888442
1	0	0.5	0.09	-432.5525057473751076	305.79962749259556176	698.32946208729720183
1	0	0.5	0.1	-489.80921621838024294	318.7559910387364539	721.52024532295411063
1	0	0.5	0.11	-549.78820578521299467	333.04048507494047726	744.71102855861192893
1	0	0.5	0.12	-612.00477288423826394	348.48982883608499606	767.90181179426929248
1	0	0.5	0.13	-676.08669769675907446	364.95612083213973165	797.67928692922896516
1	0	0.5	0.14	-741.74309891299708397	382.30798146372836754	834.03374293120566563
1	0	0.5	0.15	-808.74346175320715702	400.43030414328700317	876.3779635419140277
1	0	1	0	-370.62223207306851691	240.00659351330000391	732.03141092405121526
1	0	1	0.01	-326.22061871738515038	219.82465597702878313	665.55447224589136113
1	0	1	0.02	-234.11182882064349542	201.26209595170536204	612.24962476390953725
1	0	1	0.03	-206.55238283510334441	184.80752312668866466	580.01395952838333869
1	0	1	0.04	-208.630157184030395	171.07029954806137084	547.7782942928574812
1	0	1	0.05	-228.22179313453307259	160.74859755717650955	515.54262905733173739
1	0	1	0.06	-259.4687958641534351	154.52835756465034933	483.8975807873241024
1	0	1	0.07	-299.03673059195170936	152.91092967002597902	452.25987919846960494
1	0	1	0.08	-344.82963764219130098	156.03951095593845366	424.41083972288868154
1	0	1	0.09	-395.43890954907146806	163.64211863722329099	420.00215665840528345
1	0	1	0.1	-449.87128517610835843	175.137073318824946	436.48017462714801695
1	0	1	0.11	-507.40067643569273059	189.81855376959737214	452.95819259589035255
1	0	1	0.12	-567.4813063481469726	207.00968505259211838	473.66772752909935207
1	0	1	0.13	-629.69380980845380691	226.13883678364288699	498.73352368450645145
1	0	1	0.14	-693.71023408999462845	246.75569850367864433	533.80386075949445512
1	0	1	0.15	-759.27045186759460194	268.5178084077694507	574.36916579183161957
1	0	1.5	0	-426.29248906798056851	278.08503045229991812	851.4230616582165112
1	0	1.5	0.01	-360.82438552645908203	251.41525334635906574	781.96608794826374833
1	0	1.5	0.02	-257.14167710493165941	225.22401988421626129	712.50911423831109914
1	0	1.5	0.03	-221.92587355548675987	199.69970634538347554	643.05214052835833627
1	0	1.5	0.04	-218.43682434358197497	175.13414961135808312	573.59516681840557339
1	0	1.5	0.05	-233.74505231233342784	151.9929342758712778	505.21749900452653037
1	0	1.5	0.06	-261.57064369547879323	131.03288840409413751	436.9577761490196508
1	0	1.5	0.07	-298.33300610202422831	113.46923671764427866	368.69805329351169121
1	0	1.5	0.08	-341.78071823903883342	101.08808823538235799	312.41751903070633034
1	0	1.5	0.09	-390.40113728431424533	95.917774937280086078	305.2996473668790145
1	0	1.5	0.1	-443.12820442508018459	99.093499175211377406	321.24521065499254746
1	0	1.5	0.11	-499.18305628666894336	109.89407478427175135	340.39909431507550153
1	0	1.5	0.12	-557.98054032656000345	126.37949924979614025	359.55297797515862612
1	0	1.5	0.13	-619.07120696746642352	146.64491826381842543	379.45298567465658834
1	0	1.5	0.14	-682.10365510589872429	169.33862624519343854	403.96181048513943779
1	0	1.5	0.15	-746.79916974768457294	193.60860695912083429	441.54850410457834187
1	0	2	0	-479.07394102432044747	331.38242375115089544	950.66106115407251309
1	0	2	0.01	-396.28433077614317881	302.89974376282685853	880.7835136707866468
1	0	2	0.02	-283.84623752761581272	274.6933699399585862	810.90596618750089419
1	0	2	0.03	-243.04110509253223427	246.85803394530546484	741.0284187042150279
1	0	2	0.04	-235.56758192920824513	219.53491538864207655	671.1508712209292753
1	0	2	0.05	-247.84833498051193601	192.94174753806041167	601.27332373764329532
1	0	2	0.06	-273.27672485977200267	167.42671688941743469	531.39577625435788377
1	0	2	0.07	-308.08582350069082167	143.56581010353170313	461.51822877107173326
1	0	2	0.08	-349.90853698497448931	122.33080907924849612	391.64068128778626487
1	0	2	0.09	-397.1558210319999489	105.32217518770488596	355.95695347365784755
1	0	2	0.1	-448.70870728743648215	94.841673538279351874	325.30129768276310642
1	0	2	0.11	-503.7502984875227412	93.120213755120971655	308.2193344482076327
1	0	2	0.12	-561.66726491800909571	100.60841961308793202	299.13760376533889485
1	0	2	0.13	-621.98875740866060369	115.52914221646780391	322.33815396438689049
1	0	2	0.14	-684.34678160313160333	135.44799748423153574	345.91894050719918141
1	0	2	0.15	-748.44952789200397092	158.49159618317256104	384.54723716016485469
1	0	2.5	0	-527.84752488630510925	383.54976153297513974	1035.6035431737998351
1	0	2.5	0.01	-430.342629802718875	354.53594198360440259	964.531919387907692
1	0	2.5	0.02	-310.95546040359658946	325.83413271994180604	893.46029560201532149
1	0	2.5	0.03	-265.82979755899577867	297.53464207293041	822.38867181612295099
1	0	2.5	0.04	-255.31964809630517266	269.76411496441136251	751.31704803023001205
1	0	2.5	0.05	-265.3136557080251805	242.70419343833546577	681.34469429465445955
1	0	2.5	0.06	-288.94251034706758219	216.62134383187856201	612.10098106998168532
1	0	2.5	0.07	-322.29190882380316907	191.91435849216748011	542.85726784530857003
1	0	2.5	0.08	-362.90433331832900876	169.18708191923721529	476.37167038720104983
1	0	2.5	0.09	-409.13154241847223602	149.34607354125003553	446.95217781876351637
1	0	2.5	0.1	-459.81385977887475747	133.68269886932077384	417.53268525032581238
1	0	2.5	0.11	-514.10529296514505404	123.79301907917830761	398.76765553046402601
1	0	2.5	0.12	-571.37106062817474594	121.09992761948849704	383.86721868576643146
1	0	2.5	0.13	-631.12408831641732831	126.06548562992261964	368.96678184106923482
1	0	2.5	0.14	-692.98384487715884461	137.8646226039382725	354.06634499637158342
1	0	2.5	0.15	-756.64865758885025571	154.94397363337404272	357.33010872014358483
1	0	3	0	-572.7581736453303165	431.27571289626331463	1105.8340358539153385
1	0	3	0.01	-462.47149309607812029	402.07587547685557183	1035.5993752447584484
1	0	3	0.02	-337.38509386147052282	373.24814252190793695	965.36471463560098982
1	0	3	0.03	-288.78850046692241449	344.88583516999437961	895.13005402644364494
1	0	3	0.04	-275.86519446932288702	317.11385944961466521	824.89539341728664112
1	0	3	0.05	-284.05428980345459422	290.10180550701585389	754.66073280812940993
1	0	3	0.06	-306.26944140415071161	264.08296501498614361	684.42607219897274717
1	0	3	0.07	-338.47603476710719406	239.381420358926988	614.19141158981506123
1	0	3	0.08	-378.14336548621213296	216.44863955285936186	552.89596847751647601
1	0	3	0.09	-423.57559157725154364	195.90676319306865594	523.68998964740058
1	0	3	0.1	-473.58047254317352781	178.58276320676040427	494.48401081728502504
1	0	3	0.11	-527.28884001534061099	165.49031365495017099	474.49728760272785166
1	0	3	0.12	-584.04888590157861472	157.68697365965573454	459.8687397790444038
1	0	3	0.13	-643.36069631439750083	155.96863966690031589	445.24019195536072857
1	0	3	0.14	-704.83384541071063722	160.53083381836975718	437.26893502981391748
1	0	3	0.15	-768.15889376260020072	170.87123164118045793	438.13774043517122436
1	0	3.5	0	-614.21081086753656564	474.3491939689918695	1169.7410871299075552
1	0	3.5	0.01	-492.63886251319672738	445.06305024192749897	1098.7020309415099746
1	0	3.5	0.02	-362.76422879203346383	416.19927165421273685	1027.6629747531128487
1	0	3.5	0.03	-311.30006880425207783	387.852166325749522	956.62391856471549545
1	0	3.5	0.04	-296.4003337464928336	360.14375780358710699	885.58486237631859694
1	0	3.5	0.05	-303.11917188130246359	333.23340740302785434	814.54580618792124369
1	0	3.5	0.06	-324.18705392150877742	307.33082418984236028	743.50674999952434518
1	0	3.5	0.07	-355.46876481119761593	282.71314321802339009	672.46769381112630981
1	0	3.5	0.08	-394.3728108197756228	259.7459554304040239	615.91351070719269956
1	0	3.5	0.09	-439.16401282440347131	238.90574614254038011	586.93666184908101968
1	0	3.5	0.1	-488.62332775672803109	220.79561562817826825	557.95981299096956718
1	0	3.5	0.11	-541.86257495176141674	206.13637812031180374	538.74107085566674868
1	0	3.5	0.12	-598.21601730610018421	195.70504094612874724	527.24185901532064236
1	0	3.5	0.13	-657.17326235595101025	190.19851177683656829	521.38395048323150149
