# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_psi/phi.table.RE_pho_SFS.txt
# sampleSize: 49
# noDataSets: 1
# minPsi: 0
# maxPsi: 1
# noStepsPsi: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 0
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-345.1087644348365302	156.97617181861954805	424.19474210090072575
1	0	0	0.01	-345.70579723115486104	157.72731620488841031	423.86293721365768761
1	0	0	0.02	-349.06661926882156877	158.49078711151983612	423.53113232641493369
1	0	0	0.03	-353.98592079871366423	159.26640727072847881	423.19932743917212292
1	0	0	0.04	-359.89882877330421707	160.05400005712490952	422.86752255192908478
1	0	0	0.05	-366.49355522086500514	160.85338960466742719	422.53571766468638771
1	0	0	0.06	-373.57973146579047352	161.6644009174557084	422.34230319143711085
1	0	0	0.07	-381.03288788026088696	162.48685997443911333	422.34230319143699717
1	0	0	0.08	-388.76753618493455633	163.32059382812167314	422.34230319143705401
1	0	0	0.09	-396.72276429838848344	164.16543069736619032	422.3423031914371677
1	0	0	0.1	-404.85393564075263839	165.02120005440929162	422.34230319143699717
1	0	0	0.11	-413.12762244465432104	165.88773270621061329	422.53554502856093222
1	0	0	0.12	-421.51836691384994538	166.76486087027191729	423.11796850084920152
1	0	0	0.13	-430.00653092156471757	167.65241824506827584	423.70039197313712975
1	0	0	0.14	-438.5768225740056323	168.55024007524181684	424.28281544542517167
1	0	0	0.15	-447.21725921676750204	169.45816321171466257	424.86523891771315675
1	0	0.5	0	-288.14646229630113794	129.47842367435058009	357.22667546851567977
1	0	0.5	0.01	-277.44559603641573631	130.35322581622847338	356.85636332713420416
1	0	0.5	0.02	-275.8472827945621475	131.2528801814531505	356.4860511857526717
1	0	0.5	0.03	-277.89779623714196077	132.17687930529078244	356.11573904437085503
1	0	0.5	0.04	-281.92752687856796001	133.12471626851313999	355.74542690298932257
1	0	0.5	0.05	-287.19151076524974542	134.09588558933165814	355.3751147616079038
1	0	0.5	0.06	-293.29106075749041338	135.08988405550701373	355.00480262022620082
1	0	0.5	0.07	-299.98799309094670207	136.10621149676384789	354.63449047884466836
1	0	0.5	0.08	-307.12907282216178828	137.1443714980732409	354.2641783374631359
1	0	0.5	0.09	-314.61034165699754794	138.20387205476356485	353.89386619608148976
1	0	0.5	0.1	-322.35842200180786676	139.28422617075364087	353.52355405469984362
1	0	0.5	0.11	-330.31992632749006589	140.38495240149526921	353.50474524755401262
1	0	0.5	0.12	-338.45508487320978475	141.50557534345691124	353.50474524755389893
1	0	0.5	0.13	-346.73372189954216083	142.645626072178203	353.50474524755406946
1	0	0.5	0.14	-355.13261251259757501	143.8046425310839993	353.50474524755395578
1	0	0.5	0.15	-363.63368823402981889	144.98216987336851957	353.50474524755406946
1	0	1	0	-266.85847566777010798	115.62210520578214812	324.02812770264728215
1	0	1	0.01	-249.13685118223463633	116.54079783784109736	323.65474536728356725
1	0	1	0.02	-245.37674255622232522	117.49366695548266648	323.28136303191973866
1	0	1	0.03	-246.33813639803804563	118.47988797307748143	322.90798069655596692
1	0	1	0.04	-249.70655449761306954	119.49863513480750044	322.53459836119219517
1	0	1	0.05	-254.52634607833351765	120.54908381880166246	322.16121602582842343
1	0	1	0.06	-260.30810721014051978	121.6304126669182466	321.78783369046459484
1	0	1	0.07	-266.76777098589491288	122.74180553910299807	321.41445135510070941
1	0	1	0.08	-273.72626942075567058	123.88245329333311417	321.04106901973688082
1	0	1	0.09	-281.06393524009104112	125.05155539397544828	320.66768668437333645
1	0	1	0.1	-288.69726600428168695	126.2483213529269932	320.29430434900910996
1	0	1	0.11	-296.56604434611608667	127.47197200919536897	319.9209220136454519
1	0	1	0.12	-304.62572149657717091	128.7217406536129829	319.75189029727488332
1	0	1	0.13	-312.84267569146607002	129.99687400618790889	319.75189029727482648
1	0	1	0.14	-321.19113413496677367	131.29663305419191488	319.75189029727471279
1	0	1	0.15	-329.65110422650218425	132.62029375949714449	319.75189029727459911
1	0	1.5	0	-254.21681351208917476	105.92016133956458646	300.96104410018745057
1	0	1.5	0.01	-231.25650297070876604	106.85902159972945924	300.5907473729796493
1	0	1.5	0.02	-226.1938302590422154	107.84045241098017698	300.22045064577173434
1	0	1.5	0.03	-226.53846428605208985	108.86330242583920835	299.85015391856393308
1	0	1.5	0.04	-229.54413849163847772	109.92641545059112218	299.47985719135607496
1	0	1.5	0.05	-234.12505945394275386	111.02863492123820777	299.10956046414816001
1	0	1.5	0.06	-239.73823043209506523	112.16880801289013903	298.7392637369403019
1	0	1.5	0.07	-246.07325780177870911	113.34578937699023982	298.36896700973215957
1	0	1.5	0.08	-252.93655783298197548	114.55844450696264403	297.99867028252430146
1	0	1.5	0.09	-260.19977531003053173	115.8056527381891101	297.62837355531655703
1	0	1.5	0.1	-267.77387810071843433	117.08630989267123823	297.25807682810864208
1	0	1.5	0.11	-275.59495675593905162	118.39933058235016006	296.88778010090055659
1	0	1.5	0.12	-283.61590108226130269	119.74365018787437975	296.51748337369292585
1	0	1.5	0.13	-291.80125572493659547	121.11822653170254682	296.39314784765895183
1	0	1.5	0.14	-300.12390065384840909	122.52204126586772759	296.39314784765883815
1	0	1.5	0.15	-308.5628314088676234	123.95410099559661887	296.60492314371333578
1	0	2	0	-245.52945015669115492	98.392457171516312542	283.21495673623672928
1	0	2	0.01	-218.388419654908148	99.338845122155746026	282.84961538658416202
1	0	2	0.02	-212.43652311214611927	100.33576768895105147	282.48427403693170845
1	0	2	0.03	-212.37578978296676269	101.38173410842421163	282.11893268727914119
1	0	2	0.04	-215.14748050547518687	102.47524261744312923	281.75359133762657393
1	0	2	0.05	-219.5760787824582394	103.61478800706484549	281.38824998797389298
1	0	2	0.06	-225.08258086272360288	104.79886852235904371	281.02290863832132572
1	0	2	0.07	-231.33919583645626972	106.02599209135919978	280.65756728866881531
1	0	2	0.08	-238.14285974335916762	107.29468188088240765	280.29222593901630489
1	0	2	0.09	-245.35959348589256024	108.60348118939418782	279.92688458936373763
1	0	2	0.1	-252.89681050451451938	109.95095769734341218	279.56154323971111353
1	0	2	0.11	-260.68824168339915559	111.33570710353185973	279.19620189005854627
1	0	2	0.12	-268.68514760572998057	112.75635618224113443	278.8308605404060927
1	0	2	0.13	-276.8509113843912246	114.21156530020054731	278.46551919075369597
1	0	2	0.14	-285.15756254705854644	115.70003043525987607	278.46191354797338136
1	0	2	0.15	-293.58345985263201783	117.22048474004314755	280.82032646640249141
1	0	2.5	0	-239.08405543423293693	92.230318481132073316	268.79920484258741453
1	0	2.5	0.01	-208.47177723956167483	93.176015641819077473	268.43939973277718991
1	0	2.5	0.02	-201.86695893349053677	94.179993465951127973	268.07959462296707898
1	0	2.5	0.03	-201.5162731611350182	95.240408872585518907	267.71978951315696804
1	0	2.5	0.04	-204.12270417018294211	96.355398550348880349	267.35998440334685711
1	0	2.5	0.05	-208.44454217537634122	97.52309066054291975	267.00017929353657564
1	0	2.5	0.06	-213.87667156729241924	98.741615485979309597	266.64037418372646471
1	0	2.5	0.07	-220.07882215270717552	100.00911498551579371	266.28056907391641062
1	0	2.5	0.08	-226.8411819825787461	101.32375124421642454	265.92076396410624284
1	0	2.5	0.09	-234.025792191296091	102.68371383438662292	265.56095885429630243
1	0	2.5	0.1	-241.53756249205139284	104.08722612334885582	265.20115374448607781
1	0	2.5	0.11	-249.3085678824019169	105.5325505798695076	264.84134863467585319
1	0	2.5	0.12	-257.28892924563592715	107.01799314293319298	264.4815435248657991
1	0	2.5	0.13	-265.44121934176484956	108.54190672453511013	264.12173841505557448
1	0	2.5	0.14	-273.73687575535814176	110.10269392282405931	264.91744378114236724
1	0	2.5	0.15	-282.15381491574044048	111.69880902380782572	268.06260383955287807
1	0	3	0	-234.06741132499757896	87.015106503588526721	256.67769419169729872
1	0	3	0.01	-200.4944035228490975	87.954146811900713487	256.32351817995873944
1	0	3	0.02	-193.38625186495391972	88.959108586165527299	255.96934216822040753
1	0	3	0.03	-192.81633630645046651	90.027784249853979759	255.61516615648201878
1	0	3	0.04	-195.29896467039020536	91.15793301127771997	255.26099014474371529
1	0	3	0.05	-199.54126958231927347	92.347297969654732697	254.90681413300518443
1	0	3	0.06	-204.91820347627776755	93.593621637166407368	254.55263812126673884
1	0	3	0.07	-211.08004471094147902	94.894659794338323877	254.19846210952837851
1	0	3	0.08	-217.81189881014972798	96.248193651946650107	253.84428609778993291
1	0	3	0.09	-224.97282190132852975	97.652040339663599866	253.49011008605151574
1	0	3	0.1	-232.4658520031888429	99.104061779491331663	253.13593407431312698
1	0	3	0.11	-240.22182958557323218	100.6021720309479548	252.78175806257488034
1	0	3	0.12	-248.19002776892853035	102.1443432156325315	252.42758205083632106
1	0	3	0.13	-256.3324177002448323	103.72861014213327735	252.07340603909793231
1	0	3	0.14	-264.6199982347969808	105.35307375934360152	254.14722013554339242
1	0	3	0.15	-273.03035843960003604	107.01590356821722594	257.37872572258504533
1	0	3.5	0	-230.03192464778760495	82.499408077725036037	246.2371140632315587
1	0	3.5	0.01	-193.88343105873752847	83.427138419635440414	245.88845599340308468
1	0	3.5	0.02	-186.37339969604056478	84.428393685840418925	245.53979792357478118
1	0	3.5	0.03	-185.63105900215373367	85.500590872939298492	245.191139853746364
1	0	3.5	0.04	-188.01700443193158208	86.641096268690390048	244.84248178391800366
1	0	3.5	0.05	-192.19746374698058844	87.847249412986428752	244.49382371408967174
1	0	3.5	0.06	-197.53160183181535103	89.116384800903205132	244.1451656442613114
1	0	3.5	0.07	-203.66225521027979539	90.445851172434132081	243.79650757443289422
